take my heart please 
太好听了我哭泣
可以啊
空空如也 这四个字唱的好有感觉啊
wow！great
好好听哦
棒！！！
很好听，谢谢！
I love it so much
开口跪！！！
空空如野
pretty girl
厉害
好听好听，太棒了1
爱了  好好听(*˘︶˘*).。.:*♡
so nice
不错的
beautiful voice!
good
空空如也真的恰到好处
I like it
声音好听
好好听
bravo!
wow
音乐一起，范儿就来了
真的很好听
more
nice jacket!!!!!!!!
中文很棒
空空如也真的很棒
Love it so much！
一下进入状态了
Yes！More songs please
awesome
awesome
awesome
awesome
awesome
You are full of confidence when you sing
good
ガンバレ！
shawn翻译的很棒
Absolutely!
I like it！
爱了爱了
!!! Love it 
I very enjoy this song 
好听
好棒
nice
好好听！
口语发音好听
国产品牌，花西子
❤️❤️❤️❤️❤️❤️❤️❤️
这也太好听了吧！
词也不错
太棒了
中英文结合的词，听起来毫无违和感
好好听哦
good!
Nice
Good
WOW
beautiful voice！！
coming！
brillante！
oh dear！
哇！好听的
awesome
i love it！
more！！
好听！
amazing
歌曲很好听，唱的也很棒
so nice 
yes，i want
真的很好听
哇～安可！！
好听
诶呀，有撒娇的感觉！好甜！so sweet！
i lOVE it!
想听!
加油
Wow  I LIKE
好好听啊～
love u voices
你是最棒的
Really nice 
音乐世家吗？？
Genius singer 
好棒啊，超好听的
I like it 
哇哦
好听
这口音和肖恩一模一样
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
❤️❤️❤️❤️❤️
好听
这语调，爱了爱了
来啦来啦
卧槽6啊
翻译的也太赞了
喜欢喜欢！
wowwwww
太喜欢了吧
good
好听啊！
good
omg so good
姐姐太美了！
谢谢
好厉害啊
your voice is kissed by the Angel
太好听了
love you
想听！
66666666
全都比原唱的好......
这个英文是他们自己填的嘛，强啊
非常好听，很棒，我收藏了！
真的太棒了
Brilliant！
绝了
Awesome！！！
好好好好好厉害
amazing
Love u
好听好听
好听~
中文这句挺有味道的
比心
好听！
Love you
好好听
so brilliant！！！
啊啊啊啊啊，爱了
好好听哦～而且今天的妆容也好好看，爱了
NICE
AMAZING！！！
❤️❤️❤️❤️❤️❤️
！！！！！
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
太好听了
very nice！！！
❤️
中文好标准！
Ilove you
哒哒哒
Love your voice
高产！
中文那几句好好听啊！！！
声音好好
好帮帮
啊啊啊啊啊啊好好听
oh my god
GOGOGO！
格莱美缺你个奖杯！
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
