lamb！！！！！！
承包光屏
合影
爷青结了
完结撒花，前程似锦
爷青结
偶然路过这个视频，也在这里说一声恭喜，前程似锦
呜呜呜呜完结撒花
这衣服真的飒
时间的印记
完美撒花
再见，祝你们前程似锦……
完结撒花，感谢陪伴
Kksk
爱你们！！！
完结撒花，前程似锦
前程似锦，完结撒花
爷青结
流眼泪了呜呜呜
见证历史
见证历史，感谢陪伴
不知道为啥有点儿泪目，歌词也是和“最终”相关，但也有种虽然是最终也是各人的新开始的感觉
见证历史
谢谢你们带来的舞蹈
感谢有你们
love u all
感谢陪伴
最后一舞？
祝前程似锦
完结撒花，感谢陪伴
我永远不会忘记桃园恋歌以及极乐净土。
垂死病中惊坐起
见证历史
？？？
留下足迹
爷青回
完结撒花
先赞再看
见证历史
毕业快乐，前程似锦！
呜呜呜呜呜呜呜呜
见证历史
谢谢你们，在
谢谢你们，再见。
谢谢你们，再见。
蛙趣
爷青结
所长，老位置，这次是最后一次了
见证历史，感谢陪伴
最终篇 呜呜呜呜
woc
哇哦
前程似锦
爷青结
完结散花！！
见证历史
别抓我，我已经戒毒了！
完结撒花
再见
爷青结
完结撒花，前程似锦
多么好看
可惜了 
见证历史
希望还能看到garnidelia演唱会
再见银发娘！
谢谢你们
戒毒所要关门了QAQ
见证历史，完结撒花
完结撒花
爷青结
见证历史
高中到毕业工作呀
爷青结
今夕是何年啊？？
感谢陪伴
前程似锦
完结撒花，感谢陪伴！
青春的回忆与结束啊，祝三位姐姐前程似锦
见证一下历史，超级喜欢你们三个呜呜呜呜呜
青春的终结
完结撒花
还是那个味
逝去的青春啊。
爷青结
恭喜，祝前程似锦
不知道会不会爆捏
What's up
老婆老婆老婆老婆老婆老婆老婆老婆老婆
祝前程似锦
见证历史
纪念
最后一首歌，珍惜，同时也中毒了
谢谢你们
爷青结呜呜呜呜呜
爷青结
爷青结
爷青结
为何我又有上瘾的感觉了
爷青回
看到这一幕真的哽咽了
前程似锦！
逝去的青春
见证历史
姐姐们的宅舞万岁！！
啊啊啊啊啊啊姐姐们友谊长存！前程似锦！
从来不曾消失 我会永远在你身边
来了来了
泪目
爆款预定
见证历史
今夕是何年
杀我别用回忆刀
从来不曾消失 我会永远在你身边
完结撒花
完结撒花，感谢有你们
见证历史
见证历史
泪目
爷青结
感谢陪伴！
见证历史，完结撒花
完结撒花，感谢陪伴，仍有不舍，前程似锦
见证历史
哇
开头的时候可以仔细看三人的衣服，融合了前面所有舞蹈的元素
见证历史！！
别搞回忆杀啊啊啊啊啊啊
当初极乐净土的时候才我16，一眨眼都是已经走到最终篇T_T
完结撒花
完结撒花，前程似锦
银发好帅啊啊啊啊
我见证
10年再见
爷青回
爷青结
见证历史
从来不曾消失 我会永远在你身边
泪目
一个时代落幕了
完结撒花
见证历史
见证历史
见证历史
真棒！！！
见证历史，一个时代落幕了，完结撒花
见证历史，完结撒花，前程似锦！
完结撒花，前程似锦
完结撒花，前程似
完结撒花，倾城似锦
见证历史
青春结束啦
来晚了！
天哪，时代的结束，她们承包了青春
见证历史
致我逝去的青春
泪目
泪目
爷青结
不会说再见的！！！
我会永远在你身边！
啊啊啊啊啊啊啊啊哭了e
呜呜呜呜呜呜呜呜呜这里很感动
好喜欢这里！！！
爷青结
见证历史！！
啊啊啊啊好可爱啊啊啊啊啊
完结撒花
完结撒花
再见了，我的青春
kksk
笑得好开心但是我好伤心呜呜呜
梦回2016
卧槽！！！今夕是何年
爷青结
完结撒花
完结撒花！
完结撒花
太好哭了呜呜呜呜
感谢陪伴！
都好美
完结撒花
感谢陪伴！！
辣妹子辣，辣妹子辣
辣妹子辣，辣妹子辣
完结撒花，前程似锦~
已经在哭了
见证历史，完结撒花！
见证历史
前程似锦
蕾姆了
呜呜呜
爷青结
致我们曾经被她们燃爆的青春！
爷青结
完结撒花 要前程似锦
爷青结！希望三人组以后越来越好
