仪表盘细节
逮捕令
支持支持
什么逮捕令，笑死
我去
星空卫视
我的妈呀
有内味了
DNA动了
全都要
这个审字号太有内味儿了
逮捕令的op
卧槽
草
感谢up主有那种感觉了
我去，逮捕令
建议480p
卧槽，太有那味了！
太强了！
太强了
辛苦了up
有内味了
目暮警官
逮捕令
味太冲了
还真是逮捕令呀，美幸童年女神
好棒
原版
原版
原版
原版
原版
原版
原版
原版
原版
太强了
原版
原版
原版
味道太大了
原版
卧槽
原版
原版
原版
原版
原版
原版
星空台
WOW
上赛季画风的光很多都是真实的光
真的来感觉了
爱尔奎特（
最喜欢的一集
这tm能在少儿频道播！？doge
牛逼
逮捕令起
666
哇，不同时代的汽车内饰细节也好评
内味太冲了
泪了
还差点味儿
顺眼多了
最喜欢的一集了属于是
怎么不是大眼萌
这里的E231太出戏了（
泡泡糖危机
有内味了
赛璐璐味道还是棒
太有内味儿了
不是rays差评www
有味了
草这个车可太经典了哈哈哈
老画风看的很舒服
我正好在补逮捕令
6
有内味了
我擦，逮捕令！！
什么新世纪福音战士啊?
太强了
其实都喜欢
逮捕令草
我为啥更喜欢自制的92版……
小时候看哭的一集
亲 你有这手艺 盖了帽儿了 我愿称你为最强
味道很冲，孩子很喜欢
逮捕令 哈哈
太对了
逮捕令
握草，逮捕令！！！
开场就把人镇住了
这个画风太好看了
原版有著這個年代特有的光污染掩蓋某些偷懶行為
太冲了
莫名的觉得92版好看
我全都要！
星空卫视!
逮捕令
很有感觉
双重字幕真实
逮捕令，太怀念了
浪客剑心画风
头发要再夸张点hhh
卧槽
RTX：ON！
我真的好喜欢上世纪的画风啊
好有感觉的旧年代画风
最喜欢的一集
差点味道，不过也有那个味道了！
太对味了
夏實！快高跟鞋刹车！
现在技术缺少了些灵魂
小时候最喜欢的一集
逮捕令？
牛逼
想起了eva
不搞一手360p？
有内味了
一股马裤螺丝的味儿
脸不够尖
美少女特攻（队)噗
就是逮捕令啊
卧槽，太对味了
逮捕令
有内味了
有内味了
他甚至还在放歌
我真的喜欢老动画的风格
这个车简直精髓
这眼睛，很有那味
帧数不足好真实
太对啦
逮捕令的BGM
味太冲了
牛笔啊哈哈哈哈哈哈
480p特别有味
从小看到大的，很喜欢
？
细节好评：92年版是机械仪表盘！
ai：现在我会了
我全都要
我去 太有感觉了
更喜欢以前画风怎么回事
我超！！！逮捕令的op！！！
有那味了
感觉老画风没有新画风的违和感
高技术力
手绘真的无敌
“公裡”
夏实
音质就别磨损了吧，吓我一跳
最喜欢的一集
李小狼的感觉
92年基本是手绘的这里还是差点事，画风也是
完全好评！！！
直接4：3
6
我也喜欢复古画风
有内味了
最近在看金田一太有内味了
老画风太舒服了
today对上了！
草
为啥我觉得up的更有感觉呢
仪表盘也改了太细节了
头顶的炸毛神还原
逮捕令，我最喜欢的动画之一
标准往上翘的发型
有那味了
好一个爱尔奎特
↓ 原版                    重置版 ↓
赛璐珞无敌
以假乱真
intel GMA HD3000       NVIDIA GeForce GTX690
逮捕令
瞬间想起夏实那个小摩托
好喜欢……
战术掉帧
最喜欢的一集（）
提勾↑（不是233333_(:* ｣∠)_）
可以可以233333_(:* ｣∠)_
