矿神
哈哈
有意义
4090:危
回炉了？？
没有弹幕吗
前面的矿nm啊早矿难了而且是新卡
弹幕呢
tuf好看
懂了还是用3060 弹幕百分之99都不会买
MINI空调外机
寄
这还叫8k
漫威蜘蛛侠 重制版
噔噔咚
舒马赫
中一中
说是按三星600W做的
哇
显砖
真的，已经两年了
《显  砖》
你也有今天
显板
没有ti了
结果你们依然没搞定三屏Surround
猛禽（弱鸡）
ro寄
把这三个显示器吸到我显示器上
Linus那边见过
主板不能承受之重
!!!???
挺好的，散热规模大静音
电视HDMI你没那么多口吧转接就算了
摩纳哥蒙特卡洛赛道
2022年的科技也配玩2077年的故事？
这叫显砖
内存40G见过，mc
a100没有显示接口啊
同款！
一眼矿
我就纳闷一个问题，新出的显卡在旗舰店不应该放在主页宣传一下嘛，为什么所有旗舰店都没有放，感觉像是偷偷摸摸售卖一样嘞？
试试剑网3 手动狗头
三帧电竞啊
非常的结实，非常的巨大
就多1％性能
显砖
《 昨天的冷饭 》
为什么急于8克，感觉我们普通人4k就顶天了
1帧不卡
国家电网官方战略合作伙伴
信仰猛禽，必须猛禽
糊?你的手机多少分辨率?
woyong720p看
没差
被eth摆了一道
不行了…已经被塞满了
密集恐惧症（恼）
显块
当场拿下比诺托
Dlss能有眨眼补帧好用？
可以改itx
66
比Itx机箱都大
DP不能接？
注意，他们买到了3张4090
，
，
危
2077：没想到吧
拿来侧平举热身
AMD yes
因为游戏通不了关而面露难色的二人→
让我去比奇矿洞吧··玩电视我不熟啊!
自带模糊
上面两个倒着装缝隙小一些
1帧能玩，2帧流畅，3帧电竞
AMDyes
科技与狠活
8k时代真的来了
牛逼
这坨显卡
哈哈哈哈哈哈
这歌显卡芯片什么等级
众所周知，显卡是武器
散热真的厚
我的世界基岩版光追（雾）
华硕
看来4090还是不太够
我3年前看过那期界面，竟然3年了，疫情居然还在
200瓦
、
那不如直接4k?
可惜 要不就买了
公版被刺非公
2077年的游戏
这不得冻感冒
眨眼补帧
艾特苏打(
摩纳哥
地狱优化
大制作
缩水了，差评
昨天！
主板杀手
一针能玩
用玩笑话说出了实情
？
amd yes
6000+人
cpu或成瓶颈
缩没缩水物料看拆解就知道了
英伟达给厂商的消息是六百瓦以上，导致厂商为了散热做的很大
实测玩模拟器出现内存泄漏的话可以占到30+G
上三张？
多了0.1帧
rog的性能复刻原皮卡了
然而你的视频才4K
比如扫个雷
能玩
其实就是插值
老黄不当人
一个板砖可以这么大
4090应该可以改itx
才三年啊，这疫情闹得我感觉过了半辈子
我靠
3000一斤
主机画质
"懂了,买公版就行了"
战斧:?
舒马赫
666
