看到我你就已经不是第一了
刚刚！
呜哇好红红火火恍恍惚惚经济叽叽叽叽哈哈哈哈哈
加油
鬼灭
这梦想一心怎么只有预告啊（）
雾切
老板：你个老6
7分钟
《》相信科学
6分钟！！！
加油
《请大家相信科学》
要为自己的梦想努力
三连可以看到q版范十三耶
《走进科学》
才浅的电蚊拍？
《问题不大》
加油加油！
味太冲了
入味了
加油
四川人觉得丢脸
科学，太科学了！
红莲华！
不行了，这就跑步去三连
24分钟，打打还能吃(doge)
看我多快
得到雷剑！
刀鞘是胸口吗（
这里没绷住哈哈哈
网上13多 这不稀奇
投币止损
梦想一心难道要从胸口里拔吗？(
好烦键盘侠！
加油哇！！！
投币止损
投币止损
投币止损
投币止损
投币止损
加油！那些键盘打字的从来不会为自己说过的话负责，不用放心上。
一百多万粉为啥投币点赞那么少，我先投了
这好像更炫
好强的power
加油
加油
cos！cos！
《问题不大，就是疼》
哈哈哈哈哈哈哈哈歌舞厅
是梦想的味道
一小时2103个字
一个多小时 还热乎
高山我梦是吧
加油
两个币致敬
加油加油！
能受多大委屈 就能有多大成功。伙子加油
红莲华
加油
加油等我赚钱了给你们充电
加油
加油
但凡去过科技馆或是看过线圈相关视频的都不会说是特效
说真的，有点大材小用
你能代表四川人还丢脸，你算个毛啊
冰与火之割
我抄，雾切
但是每次都是这种拍摄模板……
加油加油
四川来旅游的 疫情被困在四川了，确信
左手绫华，右手迪卢克，腰间枫原万叶，背后刻师傅
梦想一心？
雾切！
你就是卡面来打saber！
这是特摄了
这节目满足了我的中二病
狮王战记，勇气之龙，阿拉丁神灯，疾风忍者傅
读过点书的都知道不是特效，都知道有多难
这是含光啊
踢个刀看看
震离出窍
雷齊召来
挺帅的还（
水势剑流水
火焰剑烈火
风霜剑翠风
雷鸣剑黄雷
志志雄知乎内行
是特效，但又不是特效
加油
加油
专注的人最美，赞
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
加油！
《悬疑的小曲》
全身西瓜刀
雾切！
加油加油
加油！！！
不学数理化，处处是特效
直高发
冰火剑，冷热流
诸  葛  亮
哈哈哈昨天直播间里十三疯狂吐槽哪里来的这么多人觉得假
因为大部分人只会跟风跟节奏
诡异の小曲儿
草。。。走近科学出新一集了？？？
你币有了
源氏大招那段我是惊住了！
什么武器大师
刚看完视频，原来给十三三连有特效
什么武器大师
加油
加油
劈我瓜是吧？
霜之哀伤，火之高兴
所以知道为啥外国都是后期加特效了吧，便宜啊和真的看起来也差不多
《请大家相信科学》
投币止损
jingu
端坐于霜天吧！流刃若火！
up非常棒！
无悔
这是“真”特摄了，假面，奥特曼还会用特效呢，他们完全考道具
你这寒冰剑怎么不能弃对面两张牌？
奈何我一身武艺，只能劈西瓜
注意看，这个剑客叫范十三
助力每一个梦想
当愚昧成为主流，清醒就是原罪
酷
我支持你
鬼 武 者
0赞
涤罪七雷·鸣(确信)
合成雷剑（云骑士际答）
这个视频在哪？
腿上土星剑
胳膊上水遁剑
啊这
你这瓜保熟吗？
太原火焰刀
冷热流
胸口拔刀！！
雾切是雾切吗
闲的了
确实
超酷的好吗
哈哈哈哈哈哈哈哈哈哈哈
帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅
电磁拔刀·祸！
闪   电   鞭
特效？这是特摄啊
卧槽，雾切
火之乐成狗 霜之哭出翔
加油
《科学》
疾风刀是高频村雨刀罢
双剑华斩！
可叹，落叶飘零
你完成了很多人的梦想
加油加油
这是不是善逸的刀啊
赵文卓直呼内行
劈中除去俩牌(*'▽'*)♪
cool!
特斯拉线圈？
投币止损，助力每一个梦想
热乎的
投币止损
十三先生加油
是你，斩月。
三国战纪诸葛亮是吧？
up注意安全啊！
扩散，减抗，融化，超载……
水势剑流水
火焰剑烈火
风双剑翠风
66
雷鸣剑黄雷
加油，支持你们。
10001个币
永恩？
搞这些道具拍照就是真实吗
雀食特摄了
没文化，真可怕
nb
说特效的人又不会道歉 嘴贱完就跑
暗物质能天使（雾
自己焊贴片元件我也干过，就是没焊这么多
太炫酷了
不会被抓吗？
红 刀 哥
前面雾切的，这把是梦想一心，是影的，作者有说
加油
看见你我就不相信科学了
你劈我瓜
原来你也玩原神
歪了无工（悲）
安迷修
火炎剑烈火
风双剑翠风
雷鸣剑黄雷
好家伙，有一把雾切闪过去了
现在的00后都不知道《走近科学》
四川减一分
但是梦想一心和雾切是同一个模型啊（）
煮了袋速食面！！！！
左手寒冰剑，右手古锭刀（doge）
雾切！
扩散，减抗，融化，超载
投B了，up辛苦了
真厉害
这个是真的强
投币止损，加油
作为四川人的我感到愧疚
这是四川被黑的最惨的一次（悲）
章鱼小八，六刀流是吧
尖端放电
帅
甜瓜模拟器是吧？
范13。
这刀是……      ！
这是特效现实版（doge）
死亡细胞？
这种人就是自以为是，不要去管
我周围也有这种人
看什么都说是假的，一点怀疑都没有，很肯定
但是说假的就算了，还要去发评论，是不是显得特效很好制作
可是雷电真的很酷啊
雾切之回光
熏师傅行为
刀哥
114万粉丝（警撅）
都是附魔武器
114w粉丝（警撅）
问题是 说错了吗
雾切！
赞赞赞
道长说了要迷信科学
人身中，湿气不散，湿气必塞在人的脾经脉中，湿气不能上升，越塞越多，就会使人的脾经脉中的气血郁成病。脾经脉的气血不通。先用针扎足太阴经的俞穴太白。使之泄气，针至气泄，即愈。
新四大神器
交出神之眼
某科学（确信
高科技啊
xross-saber！（低配）
老板太惨了
老板：拿我装备，你去赚流浪是吧
老板：拿我装备，你去赚流量是吧
粉丝114万
可以合成雷剑（秒答
114万粉丝（警撅）
红莲华
《假面骑士圣刃》
梦想一心都出来了，不来一套雷神的COS服吗？（doge
哇很酷耶好吧
合成雷剑，耗蓝6点
海乱鬼是吧(
114
注:闪电不是元素而是自然现象
蹦迪
你币有了
假面骑士圣刃
四川加十度
范先生激动的想:太好了他们没枪，这样我拿枪就打得过了
你猜我是谁？我是4刀流。
太帅啦！
注意看，这个男人叫小帅
西瓜:你清高你了不起！
114万粉丝（警撅）
一刀，了断
114万（警）
114万粉丝（警厥）
我去!梦想一心？!
假面骑士圣刃
相信特效（确信）
科学（指前面那段西瓜着火）
114万粉丝(喜)
114万粉丝
114万（警惕
114万粉丝（警撅）
我看见了寒冰剑弯了是橡胶做的。如果是冰他不会湾，他会崩掉。
UP太看得起我们了
绿色忍者是吧？
你tm劈我瓜是吧！
可能有些人不知道，特效不只是电脑，道具特效也是，中国这应该独一份吧
114万粉
左手绫华，右手迪卢克，腰间枫原万叶，背后刻师傅
台词拿错了吧，应该是大家相信玄学
太原火焰刀
4刀流是吧？
冰霜剑+火焰剑=雷剑(确信)
熏师傅行为
这不整个巴之雷
融化 超导 超载 扩散
西瓜：你清高
特效（物理）
114万粉丝（警觉）
西瓜：你清高你了不起
《梦 想 一 心》
超载，超载
大制作呀
此刀可劈铁珠之筒
光剑紫（大雾特雾）
手枪一枪秒
op414
三连给了
梦想一心？？！！
今晚八点半，我在切城大街等你
冰 与 火 之 哥
能不能握一下雷火剑（狗头）
这不就是科幻电影的未来？
左手寒冰剑，右手古锭刀
才浅做的吗
114万粉丝（警撅
红刀哥是吧
负重超了
我的雾切
才浅的设备是有点东西的哈哈哈哈
《合成雷剑》
西瓜：啊，对对对
太酷了
抖音，发现每一种生物
原来你也……
我相信你
重生细胞的音效
抖音，见证每一种生物
这个明显比特效看着牛逼多了
这要是挨一下子，那就完了
四刀流奥义·大千世界Pro max
诡异@小曲
永恩！
雾切是什么鬼了啦(
114万粉丝(警撅
电闪
比某魔术师好多了
为什么不合成雷剑啊！
合成雷剑是吧（doge）
雾切究竟是什么鬼？
索隆の三刀流瞬间低人一等
先火后风打扩散，最后附冰（bushi）
114.5粉丝（警觉
霜之哀伤和火之高兴
然后合成雷剑
霜之哀伤
火之高兴
神  刃  传   人   者
牛逼
善逸
融化超导超载扩散
科幻的终点是真实，范十三们是那终点的瞭望者
能不能把这个人给举办了，看你我还不如去动物园（即答）
注意看这个男人叫大山，在他前面的这个西瓜叫做小卡拉咪
忘 放 孜 然（
4刀流？
可以合成雷剑了
迪卢克 七七 琴 刻晴
扩散＋超导
辛苦了
告诉我你是不是旅行者？
斗音，遇见每一种初生
理他们干嘛！你就是最棒的！特效只是你的点缀！
真正的精彩才不是特效，而是真实，力顶up
神里流·霜灭!
左手是凌华，右手班尼特，腰间为万叶，背后是阿影
雾切耶！
西瓜:好看吗？拿命换的！
剑光如我，斩尽芜杂!
会呼吸法？
合成光剑土豪金
哇塞！
左手寒冰剑，右手西瓜刀
我不相信科学
才疏学浅，做的是哪把？
右手西瓜刀
雷之呼吸
牛
这是死亡细胞那个音效
省流：幻影忍着
一个人四个神之眼的屑
此刻，寂灭之时
雷之呼吸，一之型，霹雳一闪
原来你也玩原神
善意的刀特喵是黄的
看喷子不如看抖音里的喷子￼
雷之呼吸，七之型一一火雷神
火之呼吸，火之神神乐
雾切！
忍3四元素
火和雷一起用，是不是可以打超载
牛逼！
@元气骑士官方
 那种人就是嫉妒你的才华不用理他们
可恶啊我没币了
我想看你打出苇名弦一郎的反雷
什么铠甲勇士拿瓦
绫华、迪卢克、万叶、刻晴
西瓜：你丫的最好有事
刀+雷=无想的一刀
帅啊
右手古锭刀
《悬疑の小曲》
投币止损
辛苦了
ky自定义了是吧，有说原神的还有说其他的怎么就追着杀父仇人骂啊
原来你也玩原
确实像特效
霜之哀伤   火之高兴
投币了
↑蒸↑
此刻，寂灭之时
凯亚
凯亚、迪鲁克姥爷、旅行者、影宝（雷电将军）
梦想一心不会是从胸口拔的吧。
左手绫华，右手迪卢克，腰间枫原万叶，背后刻师傅
莫离（确信
你甜蜜劈我瓜是吧
雾切？？？
114万粉丝。
可是我现在不想看漫威了！
奉上2个币
哈哈哈哈哈哈
个人行为请不要上升到ip属地
加油
踢个刀呗
我靠，四个神之眼
雷之呼吸 一之型 
融化
火之高兴和霜之哀伤
融化，扩散
右手半西瓜
“涤罪七雷·鸣雷见”
先凌华挂冰，然后万叶开大扩散，接着雷打超导，稍等冰再附着后火融化
四川加10度
梦想一心和雾切不是同一个模型，不懂不要乱说
666
为什么不合成雷剑
雷电将军：？？？
可以自己打融化了
真帅啊
玄幻区up主
背后闪电鞭
投币止损
我去…是你吗现实版雷电将军
你可以还原乐高幻影忍者
有些网友嘴下留德吧…
快合成雷剑
114.3粉丝(悲)
牛牛牛牛牛牛牛牛牛牛
114.5粉(悲)
这个雾切是什么鬼呀
红刀哥
疾风剑豪
安迷修（雾）
那你他奶奶的是冰系还是雷系，还是火系还是风系？
原来你也玩原神（
融化，扩散，超导，超载
迪厅了属于是
安迷修
厉害厉害
↓雾切之回光
《谁赞助的剑？》
怎么还差三个元素（恼）
林克：你最好有事
114.5粉丝（悲）
《幻影忍者》
关于我关注的阿婆猪都玩原神。
闪电五连鞭
蹦迪现场
114.4万粉丝（恼
这尼玛帅
电影新思路，特效新思路！不必全靠电脑
蒸汽流
雷之呼吸·壹之型·八连击·神速
"控制的好是闪电,控制不好是夜店（ Dog）"
雷之呼吸
可惜的是，这个世界的主流依然是愚昧
腰间风之剑
但凡风刀换土刀
4刀流
告诉我，你是不是去了光明神殿
很能理解努力好久的成果被一群猪欣赏
抖音，发现每一种出省
蒸发（确信
我看过的某一篇小说，一模一样
看什么都说是假的，一点怀疑都没有，很肯定
村民
五香的一刀
114万粉丝（悲）
元素反应？
投币止损
投币
含光！第一把是含光！
忍三属性现状
盲猜才浅做的
这可以打超载和超导耶还有扩散
卧槽！雾切！
帅
所有人都在卷的时候，你又有什么理由驻步不前
我不相信科学，我相信哲学，嗯
右手青釭剑
我仍然认为
我仍然觉得七步之内枪又准又快
冰火剑，冷热流
投币止疼
随风而去吧！
投币止损
雷刃是才浅做的，，没看过可以去翻才浅的b站号啊，无聊的人瞎逼逼
劣币驱逐良币
斯卡拉姆齐？？
诺兰
这不得给个三连
太厉害了！！！！
他是来四川坐牢的
许三多：你这没有意义
老云怪了，这是梦想一心，不是雾切，看颜色和结构
《蓝色妖姬》
不懂就问，漫威特效现在很好吗？
《红色风暴》
《绿色毒刺》
这明明是含光剑！！！
《黄色预警》
好家伙，蹦迪是吧？
感谢你们的付出，给个三连是应当的
114.5（警）
这次一定！
哈哈，这个评论我怼过。
1145万
114.5万粉丝（喜
《我解说我自己》
可叹落叶飘零
《武器大师》
四川丢大分
沉默螺旋
电现在是人类控制最熟练的元素了，有一套完整的电磁学理论和技术
总有地上的范十三，敢直面雷霆的威光
114.5，(警觉)
114.5万粉丝（警觉）​
鬼灭之刃
dy可以见证生物的多样性
114.5万粉丝（警撅）
牛逼
冰之哀伤，火之高兴
不喜欢刀 还是喜欢剑
左手倚天剑，右手屠龙刀。
原来你也.......
114.5万粉丝
左手saber，右手blades，腰间剑斩，背后espada（doge）
明日方舟的红刀哥和冰刀哥？
雾切
114.5万粉丝（惊厥）
右手西瓜刀
114.5粉丝！（恼）
114.5万粉丝(恼)
在此宣判
风刃
一刀断绝
好家伙，原神四个地区占了三个
拿瓦铠甲？
霸缠
含光
红刀哥
114.5万粉丝（警觉）
同款1M长的雾切！！
114.5万粉!
114.5万粉丝（惊撅
红莲華！！！！
114.5万粉丝（恼）
114.5万粉丝（悲
为了评论来说服别人相信自己，有点把留言看的太重要了
粉丝数《114.5万》
114.5w粉?
好家伙，跟我玩元素是不？
114.5万粉丝（警觉）
没钱就别拍，这种事能拿出来说也是佩服你们的勇气了
集中一点登峰造极
雷之呼吸
我在900m外拿着狙笑了
114万（警）
114.5万粉（悲）
安 迷 修
好帅啊
一剑诛恶，一剑镇魂
依然范特西~
合雷叉
合雷剑
火之非常高兴
对不起，封面看成雷火剑
up主，我给你投币了，是两个硬币
融化是吧
此刻，寂灭之时！
良心商家呀
雾切（警觉）
《相信料学》
那些人只不过是害怕，你细品
我想看十三表演无想一刀
打反应
你也太看得起我了
投币止损
雾切？
加油啊！！！
为啥会跳出雾切啊
你们太厉害了!
含光？
刚才的刀是不是善逸的日轮刀
外星人：我们看看地球的科幻片怎么样？
《无想的一刀》
特摄草
坚持梦想！！支持！！！
水势剑流水
火炎剑烈火
风双剑翠风
雷鸣剑黄雷
太帅了。
此币留着有何用！
幻影忍者
电脑特效出
但是真的很酷！！！
梦想一心的话貌似需要胸口拔刀。
投币止损
都是科技yu狠活
烈焠刀（指正）
天雷刃（指正）
但是这样很危险
尖端放点
尖端放电
涤罪七雷·鸣雷见
注意安全
天殛之钥·裁决
雾切
