刚刚，好耶！
草
热乎的耶
两分钟好烫
大制作
一般路过雾雨魔理沙
3分钟
全明星
卧槽，潇洒哥，现在都没多少人知道这个了吧
五分钟耶
比博燃
这不比宝可梦旅途好看？
5分，出息了
6分钟
淑惠阿姨不是罗布吗？
金轮法王
什么哥？？？？？
老活腥整
这个彬彬太逊了
逆天
问题来了，哪个伟哥？
卧槽
bgm：wake
日常辱彬逊
猫和老鼠好评
9分钟
辱彬逊虽迟但到
急中生发
太燃了
比博燃
喊了盖亚却变成捷德的卢本伟是屑
11分钟
躺赢
谁家的垃圾饭店→
奥特曼集结
快给我桶博人传我快要燃烧殆尽了
屑阿嫲
嫌阿伟太听话的屑阿嬷
《杰斯拉》
舒服了很好
正片开始
卧槽，冰
第一次这么早
草
这么老的素材有人用
全明星！！！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
26分钟
中国超级英雄齐聚一堂
光之国：发生甚么事了
每日辱彬（1/1）
还是那个辱彬逊
这不比博人传燃
36分钟，热乎
一吱雄鹰
还有一个彬彬哪去了
冰冰 ~~~~~~~~~~~
魔法部出来干活了噢
比  博  燃
xswl
上  厕  所  不 锁   门
你看她笑的多开心
禁止在麻瓜面前施展魔法
群  魔  乱  舞
全体起立
保留节目
日常辱彬逊
八 仙 过 海
草为什么你要让他原形毕露
46分钟还热乎
魔 杖 窃 贼
逐渐偏离主题
给我人整麻了，这也太尬了
就是突然后背一酸
lbwnb
太顶了，遭不住
字幕死是汉字好评
好活
黄磊老师实在擦粑粑吗（不是）狗头保命
雪人是融化还是被冲下去好了哈哈哈哈
小奈，你在做什么（doge）
ohhhhhhhhhhhhhhhhhh
逆天
雪王把本体排出去了
一般通过魔理沙
小鬼僵司
宇宙恐龙，杰顿
1小时，针不戳
准哥假男人（逃跑的屑）
煤 气 泄 漏
xswl
蜜雪冰城把自己尿没了
2.猛男舞团＆蜜雪冰城
4.金立哥
5.天德池
9.周淑怡
全明星阵容
10.哈利波特
炮姐？
初代网红犀利哥！
燃起来了
28.哥斯拉（？）
32.孙悟空
35.小鬼僵尸
39.盖亚！
草
达成了只有彬彬是逊的世界
新生代之巅！不要再问了
环卫世家
草
卢姥爷，我爱你！
ohohohoho
伟迦
ohhhhhhhhhhhhhhhh
《清   洁   工  联  盟》
哈哈哈哈
俏  佳  人
草
进击的杰人
《横扫七星》
这地板还能要？
哈利杰特
欲纵故擒
←少林足球
越来越合理
草
wake！超好听
环保剑？
杰克逊
逆天
2333
下次一定2333
带制作
那个警察好有钱 
比博燃
他们只是从未离开过
杰~~~~~~哥~~~~~~
老 八 雅 间
八 王 之 乱
这不比博人传燃一百倍？
现在你才知道谁是老大了哦
连炮姐都是鬼才素材了吗哈哈
盖亚：满分
饶燃爆了
你说你照他干什么
逐   渐   忘   记   标   题
用环太平洋的音乐
在桌面玩电动
男性健康?
阿伟：震惊ing
冲出亚马逊
辱彬逊
盖亚
蚌埠住了
23333
魔男之旅
这样的艺术对于碳基生物来说还是太早了
泪目
三小时
环太平洋
草
嘴咋对不上话？这是哪个梗？
??
起立
男左女右（雾
越来越河里
起立拍
pppppp
魔理沙？！
草
马猴烧酒阿杰
BGM:Wake
火钳刘明
星爷YYDS
bgm：wake
zh红准哥假男人
ohhhhhhhhhhhhhh
草
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
ohhhhhhhhh
就他妈离谱
草
刚刚被杰哥抢走了
奈克瑟斯上去干他呀
离谱
...................................................
伟哥（同时指卢本伟和阿伟）
《用餐时间，请勿打扰》
哈哈哈哈哈哈哈哈
雾  雨  魔  理  沙
《进击的杰哥》
雾 雨 杰 理 沙
草
混进去两个奇怪的角色
草
丢得真准
保留节目
雾雨魔理沙
王斌斌
wake
盖!!!!!!!亚
盖!!!!!!!!!亚
盖!!!!!!!!!!亚
盖!!!!!!!!!!!亚
天德池爷青回
好活
彬彬去魔法部了
群魔乱舞
杰斯拉
突然不由自主地站了起来，热血翻滚
离大谱
超电磁炮
杰哥：发生甚么事了？
本  性  难  移
死了啦，都你害的啦
记住这个彬彬
毁灭世界：指奥特曼
←飞跑过的奈克瑟斯
杰哥斯拉
盖亚！！！！！
白嫖失败
炮姐大草
冰冰去二仙桥
一看人多打不过就认怂的屑杰哥
骑扫把的屑杰哥
进击的杰哥
越来越离谱
这不比博人传燃？
《全  民  英  雄》
燃 起 来 了 ，我 淦！
文艺复兴？？？
"赫 敏 • 格 兰 ""杰"""
那一天，人類想起了被杰哥支配的恐惧
抢阿伟扫帚的屑杰哥
老本行
cao
尿素过多
辱彬逊漂流记
这尿撒得到处都是
!!!LBWNB!!!
哈哈哈哈哈哈
草
草
再来一遍
xswl
Ohhhhhh
确实
家里堆满纸皮的屑阿伟
全员最终
杰 哥 斯 拉
奥特曼都跑了……
片尾彩蛋
群英荟萃
哈哈，保时【10】捷
草
说反话
说反话
离谱
雾雨魔理沙
猫和老鼠 魔法
尿素过多
超燃
潘子这样也太搞笑了吧
加 坦 杰 厄
魔理沙的扫帚勒?
杰顿
平城八洁
要素过多
比博燃!!!
毫无ps痕迹
  灾  厄  杰  侬
用眼镜变身维克特利的屑淑仪
火弩箭
燃起来了
群魔乱舞 
哈哈哈哈哈哈哈哈
炮姐吃了炫迈
右边两个是片子里的小男孩小女孩
哈哈哈哈哈哈
起因:扫帚被抢了
哪来这么多爱疯？
 BGM：Wake
比博燃
群殴阿杰
古呀老师专用手法
杰哥听到声音就懂了，门都不用开
欧布，艾克斯，维克特利，银河，罗索，布鲁，捷德，泰伽
一瞬间，集中生发
泰伽结局草
复   仇   者   联   盟
。。。老子再也不来鬼畜区了
埋下伏笔
痛 快 凯 撒 
铁打的辱彬逊
我老婆！
摇摆阳花式尿尿
罗布
俏家人
赛罗
大杰将至！
天德池，金立哥，好久不见
离天下之大谱
热乎的
带制作
全明星
那是真的牛批
英雄集结
草
笑死
鬼
这个冰冰就是逊（doge）
草
右边女厕所
哈哈哈哈哈哈哈哈
欧布，艾克斯，维克特利，银河，罗索，布鲁，捷德，泰迦
泰塔斯，风马，泰迦，泰罗
你看看你保护了什么
卢神登场
杰哥:我清理了自己
炮姐是什么鬼？
小鬼僵尸乱入
犀利哥！勾起了我的回忆
哈哈哈哈哈
高 手 在 人 间
？？？
无缝对话
6666666
阴间厕所
丐帮
你把（名词）把（动词）握住
汤姆哈哈哈哈
草
爷青回
全明星
大制作
泪目
杰哥，你干嘛啊
恐龙战队
笑死
哈哈哈
冰冰
火钳刘明
逐渐忘记标题
ohhhhhhhhhhhhhhhhhhhhhhhhh
童 工
《清 杰 工》
盖！！！！亚！！！！
草
暗示点赞会变逊
魔理沙瞩目
比博然
udk姐贵！？
比博燃
魔 女 宅 急 便
雾   雨   魔   理   沙
这不比博人传燃？
↓ 成 华 大 道
哈哈哈炮姐
比博燃
清   杰   大   队
没打就认怂の杰哥真的太逊了
哥 杰 拉
保     留     节     目
LBWNB
英雄集结
这么生草怎么不火啊啊啊
共公卫生杰
大撒四方
我们联合!
《一把扫帚引发的故事》
带制作
蒸汽时代
首尾呼应
哥杰拉
nb
求bgm
逆天
巴   啦   啦   能   量
诸神黄昏
正义就打一
新       生      代      之      巅
辱杰弱
辱彬逊会迟到，但永远不会缺席
233333
辱彬逊
红奈你在干什么啊
魔理沙草
哈哈哈哈还哈啊
王彬彬
美琴！我来救你
新生代
草
火钳刘明
《保 10 洁》
联 盟者  の 复仇
草哈哈哈哈
kksk
哈哈哈哈哈
哥 斯 杰
比博然
哈哈哈
去女厕所了
光  轮  2  0  0  0
老八快乐屋
ohhhhhhhh
比   博   燃
刚刚有个奈克瑟斯跑过去了
草
阿伟很听话 也要说的屑阿嬷
平成骑士
《杰利·波特》
lbwnb
皇太孙阿伟
闻其声如见其人
笑拉了
嬉 皮 笑 脸
《  人  形  巨  兽  》
哔哩哔哩？
应该加个托马老师
初代网红犀利哥
火钳刘明
无中生杰
van～
全明星
随地乱扔可回收电子垃圾的警校生是屑
比博燃
哈哈哈哈
刚才走过一个耐克赛斯
逃过这杰
ohhhhhhhhhhhh
ohhhhhhhhhh
泪目
前方高能
鬼！
LBWNB
熟      秽      奥    特      曼
太燃啦
501人哈哈
地    狱    绘    图
哥  杰  拉
那一年我们都变成了光
原片《奥特曼八兄弟》
　《卖布头》
离谱
←一闪而过的武僧小鬼
奥特八勇士
BGM 用听歌识曲a
。
要素过多
比博燃
盖亚
泪目
地狱绘图
hhhhhh
燃爆了
魁 地 奇 好 苗 子
非战斗人员请撤离
wake！yyds
阿古茹
罗布兄弟
雇 佣 童 工
全部0分！
火弩箭
巜康康》
我们是妖精的尾巴
自言自语的杰哥是屑
周淑怡变身 不要说话就好 
杰团
BGM.WAKE
文艺复兴
大地:逆子 逆子啊
蜜雪冰城化掉了
大制作
哈          利           波          杰
离谱
杰斯拉
全明星阵容
八  号  公  寓
前方众神归位
草
草了，哈哈
真就姐弟呗
前方高能，前方高能，这不是演习
这一集和清洁工有什么关系
