热乎
住在b站
1分钟
刚刚！出息了
第二天弹幕来了
一分钟加一
已投币支持
一分钟
这个眼神我眼泪都要流下来了
好暖
加油
这不是性价比问题，老板也不能一直亏钱
真好啊
三分钟！
肉肉好善良
真的挺感动的
肉肉真的好棒
肉肉好棒！
3分钟
大哥还有A套餐
突然想哭 
这次不白嫖啦
真的大家都好善良
哇肉肉来河南了
啊其实为什么不是做的人自己洗呢
四分钟
4分钟
5分钟
超前！
5分钟
三分钟
天呐，肉肉太棒了吧，这次一定！！！
兄弟们，把好人一生平安 打在公屏上
泪目
六分钟！
太速度了
三连了
这附近有个巴记羊肉汤不错
肉肉也是很善良的人呀！
好棒！！！
六分钟
七分钟
米面油蛋都不要钱，确实很难坚持，只能呼吁大众捐赠了
鸡蛋为啥免费啊
加油
加油！！！
肉肉真的太有爱了！！！点赞啊
7分钟
投了
天啊
我要哭了
投币投币了
感动了
调料免费，收5块确实要倒贴
肉会做饭！
八分钟
路人看了都觉得up主好棒
j肉肉也加油
很感动
关注你这么久了，头一次发弹幕…无他，这次真的感慨良多
太好了吧  肉肉男神
加油
9分钟
八分钟
老板好帅
关注了
好人一生平安
肉肉给了一万零五块钱，因为有5元是面条的加工费
今天还看了新闻报道
太感动了
肉肉太善良了，我要这币有何用
真的 家里人有人生病了  真的钱就不值钱了 花钱就跟洒水一样
三连了
这次一定
这个眼神让我想起《心术》的一句话：那是希望！
男人该你红
啊啊啊哭了
九分钟
肉肉好棒！
 米油面鸡蛋全免费是怎么撑下去呀
谢谢你们
阿姨表示善意的方式就是不要钱！！
流泪了
北京模拟题有这家诶
投币了 
右边还有免费粥面A套餐
呜呜呜看哭了，希望大家加油
必须三连
很少充值在app上，也白嫖视频好久，被肉肉感动到，
你这宣传了更坚持不下去了
11分钟
三连了 加油！
为啥没有慈善机构企业扶持一下呢…
啊啊啊啊
13分钟
三连！
泪奔了
肉肉真好
加油
投币了
他这个概念真的很好 而且还能帮家里条件不好的病人及家属省钱 但是老板不盈利的话也是无法继续的
感谢肉肉！！
白嫖失败
根本就是做慈善 还性价比 要普通人去占这便宜？
平凡彰显伟大！
超感动
15分钟
15分钟
最好吃的就是自己做的饭
永远支持up
币都给你了，反正留着也没啥用，支持up
这老板每年得亏多少呀
温暖
好像于和伟！！
来了17分钟！！！
不是宣传让大家去 应该是希望大家都帮忙一下
不是宣传让大家去 应该是希望大家都帮忙一下
多多宣传
好香啊
这期超棒
飙泪……
投币支持
我还有500多个币，我想投500个
太便宜了吧，我天
作为曾经的癌症家属，这样的地方真的很有必要，三连支持
感觉去的人多只会加速破产，除非人人都像up主这样捐款
必须三连
18分钟还热乎
三连
好感动啊
咱们别提伤心事；啦
瞬间泪崩
主流媒体多报道报道吧 大家一块支持
这哪是性价比高，就是倒贴呀
@王多鱼
说得好
你币有了
我知道这个厨房
三连支持了
看得眼泪嗖嗖的
太好心了 有没有捐赠渠道
