1秒！
热乎
刚刚！
热乎的
刚刚!
热乎的
1分钟
第一！！！！
0分钟！！
1分钟
刚刚
哈哈哈哈哈哈哈
热乎
贴贴
我出息了！
东尼还会弹琴？
诶呀，热乎的
坏了坏了
我居然也能赶的上“刚刚”！！！
一分钟 
热乎滴
哇塞
ohhhhhhhhhhhhhhhhhh
好听好听
一分钟 我很快
一分钟啊
起鸡皮疙瘩了
刚刚
一分钟！好烫
一分钟！
热乎，一分钟
好听
好棒！
1分钟，热乎的
挺好听的
真好听
继续，加油
好听
好好听！
A啊啊啊啊啊
好听
热乎的
我我我
好听~
这不比什么爱豆好？
哟，人模人样的，标题欺诈，我还想来看笑话的
挺好听的
三分钟
泪目
三分钟
没有人能看到这里
三分钟！！
wo c
好听
\东尼/\东尼/\东尼/\东尼/\东尼/\东尼/\东尼/\东尼/
三分钟：
三分钟
哇哇哇哇哇！
三分钟
3分钟！！！我出息了！
哈！
好听
wc，nb
三分钟
好耶！
好听
好听！
3分钟
尼妹尼妹你妹
very good
三分钟出息了
这是你唱的我把手机吃了
太好听了，建议出道
三分钟！！！
第一个看完!
ohhhhhhhhh
来了
出道吧！
四分钟o
好听，家里小孩爱吃，买了好多
牛啊
第一第一
好的，白嫖
四分钟！！
爱了
好听
太牛了！！！！——
四分钟
原地出道
四分钟！
四分钟！！！！！woc！！
刚刚！
4分钟
好听
声音好有磁性
超棒啊
5分钟，热热还能吃
你唱的？
第一个看完
感谢遇见
五分钟
东尼好棒！！！！！！！
好听！！！
我透可以啊
三连了
六分钟！
彳亍
梦的入口
我关弹幕了？
6
六分钟
五分钟，烫手
热乎的
啊啊啊啊啊啊我无了
牛逼
六分钟
6分钟
726人正在看！
东尼考虑出个粤语歌吗？
i了
好听的
刚刚
东尼ookii
七分钟！
挺好听的
(/≧▽≦/)
七分钟
7分钟留念
爱你
好听！！！！！！！
7分钟
好听啊啊啊啊
是对自己还单身的感慨吗
雀氏蟀
7分钟
给我点快点，我要看尼妹子！
最后被我承包了
东尼我爱你
东尼要恋爱了吗
八分钟
热乎
再见
大家都在认真听歌呢
一分钟，凉透了
八分钟有点凉
自恋小东
烫手
8分钟
哇啊啊啊啊
八分钟
总有一天我的谜底会
搞笑视频搞笑视频
曲好币有
2倍是来搞笑的？
解开～
你的歌声棒棒棒!!
8分钟之前
热乎
好听！
9分钟
九分钟！
9分钟
好，非常好
欢迎回来，鬼知道我听了多少次
九分钟，热乎
9分钟
解开
东尼加油！！！我在
好听哇
虽然是九分钟 还是热乎的
9分
来了
ccccccc好好听啊啊啊啊！
好听！我都麻了！
好听！
12分钟路过
10
烫手
解释一下，因为这是慢歌所以开倍速会更符合我们听的节奏
好听好听
十分钟
建议1.25x！！！巨好听
真心好听！！！
有感觉了
救命好好听好好听
十分钟
10分钟
好听！！！！！
粤语歌粤语歌
11分钟
尼妹唱歌好棒！
1.25倍绝了
好耶！
快进好搞笑哈哈哈
好好听！！！
爱的号码牌
今天有点像华晨宇
11分钟 挺烫手
好听好听！不愧是你
好听！
12分钟，还热乎
好听
多才多艺
吃手机的建议直播
承包空屏
12分钟
好好听啊啊啊
感觉咬字有点拖
十二分钟！！！！！
细节，ta
太强了吧
十二分钟！
13分钟
好听，特别好听！
13分钟！
彳亍，tql
好听！！
真的感觉有大事欸
13分钟
13分钟！
13分钟还热
好听！帅！
好耶
十三分钟！！！
害羞了家人们
好好听！！！
1.25倍速神仙！
好听！！！
14分钟！
牛逼。
真的好听！
我的
好听
好好听呜呜呜呜呜
很好听啊
14分钟热热还能吃
十五分钟!
不赖不赖
牛蛙
感觉不是东尼唱的
出道快出道
牛哇牛哇
烫嘴啊
好家伙
15分钟热热还能吃
热乎
15分钟热乎
好听
好的呢！
吃手机那个麻烦直播艾特我
太棒了吧  我惊艳了
找对象了吗
好听！！！
太好听了吧
感谢相遇 记得努力♡
1.25倍
16
爱你
好听
我在某年某月醒过来
啊啊啊炒鸡好听
16分钟热热还能吃
好听！
热知识：；
好烫啊
棒棒棒！
好耶！
17分钟我自杀好了
百万调音
好听 ~~~~~
950人正在看
17分钟哈哈哈
好好听！
2.0看的，哈哈哈哈
真好
尼妹啥时候出来唱歌，期待（dog）
好听
18分钟！
很高兴能遇见东尼啊
恶心心
19分钟
好听
第二遍 快听哭了a
随便发点
惊艳！！！
不是，绝绝子啊，东尼唱歌没口音啊
19分钟
东尼ooki（破音）！
多发点
多出出歌吧哥真的好听
洗机子娃衣自摸一黑豆子
20分钟，好耶
再不回就我看成了丢丢吧
\好听好听。！！/
好听！
张敬轩
这么久了！终于有掉粉时间了！以前最喜欢这part了！以后多多来点！你币有了
超好听怎么回事!
20分钟
卧槽
20分钟
啊啊啊啊啊啊啊尼妹！
好温柔哭了
21分钟还热着
雀食蟀
泪目
好汀啊！！！！！
好好听啊！！！！！！！！！！
尼妹
求网易云嗷嗷嗷！！
起鸡皮疙瘩了
21分钟!
东尼安排粤语歌吧！！！
好听好听好听好听
22分钟
22分钟 是不是已经没啦？！！！
粉丝的数量增加了
好耶，尼妹！
帅哥你哪位？
我要听尼妹唱！！！！！
点赞20万，下期尼妹唱。
不错
好听！！！
转行才艺区了吗
24分钟
可爱的！
大声比比：我要尼妹
想听东尼和尼妹一起唱
啊，第一次热乎的
好耶
25
血书求网易云，球球了
转型唱见！！！
25分钟
25分钟
真不错唉真不错
爷青结
25分钟热乎的
哇声音不太一样！！
26分钟
还热乎啊贴纸们
1.25倍的+1
好听哦
好听好听好听
26分钟 我出息了
鸡皮疙瘩起来了
1.25倍真的绝了
好听好听！！！！吼吼吼
真的很幸运可以遇见东尼！！
就来
好听的！
？？？这是丢脸？
这还是那个东尼仔嘛
啊啊啊啊啊啊啊啊啊啊啊啊啊看完了才发现28分钟，呜呜呜呜呜呜热乎热乎的
帅！！！！
好帅
好汀！
厉害
好汀！！！
哇
29分钟
1.25绝绝子
29分钟
29分钟666
这高音我爱了
二十六分钟！
鼓掌
好久不见甚是想念
大伙点起来啊！
早
30分钟
未来有一个人在等待
30分钟
哭了
好听
1.25倍发现新世界
想和东尼击剑
爱要拐几个弯才来
啊啊啊啊好听！！！
good
热乎
好听！！！
哇
耳朵怀孕系列
必须给爷收藏！
这个男人为什么在散发魅力？
哭了哭了
我往前飞飞过一片时间海
热乎
33分钟
我们也曾在爱情里受伤害
33分刚好
好听的呀
我直接退了又回来了
让尼妹唱，给你100个B
好听诶！
三连不过分
总有一天我的谜底会解开
泪目
《涨粉时间》
救命 我昏喽
厉害啊
向左  向右  向前看
35分钟后
B站费玉清
热乎
《掉粉》
好帅啊
高雅
