从这之后还是输了一次
一口气在肝个名侦探柯南试试（狗头）
色鬼山治哈哈哈
巴基大狂蜂
广东人降临
动漫区第一
广东人
我音量都调最大了
大boss永远是路飞打的，无论这章节的主角是谁
娜美名场面
黄金梅丽号！
卢本伟nb
阿金是绿牛吗
都五分钟了。。。
不怕，甚平也会上船的
我不信红发会被这东西吃掉手。变魔术的吧
全职猎人嗷嗷嗷！
妈问跪系列
牛逼喽
感觉少了很多精华
有人
恐怖如斯
咻咻
好看的点都被略过了
万恶之源阿金
你很勇哦～
谢谢up，一直想重温一遍剧情
是银不是金哦
留爪
狙击王！！！
海贼？
Up牛逼
不禁下泪
回忆回忆
nb
"원의 중심각이 클수록 원의 중심각에서 부채꼴이 차지하는 비율이 커집니다.뉴스, 스포츠, 애니메이션,드라마 음악, 뉴스, 스포츠 애니메이션, 푸틴, Nathan 바, 내 마음에 sa"
？？
最强的海王 连四皇都送了条手臂给我
他愣定了（专业）
火钳刘明
万物皆可阿金
去我的收藏夹吃灰吧
路飞并没有得知，倒是除了路飞之外的人都知道了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
火钳刘明
苏喂苏喂苏喂
富婆
鱼人岛后边就没怎么看了~剧集太拖拉
！！！！！！！
前面的，简化就是会失去大部分精华的，但up做的已经够好了
先赞再看 已成习惯
进度条有毒
小时候看觉得很感人  长大后看不得这些东西 要哭出声
送你上首页
汪汪
up牛逼
？？？？？
我一集一集看，现在看到500集
666666
当时看娜美还有乔巴章节的时候哭的稀里哗啦的
没送给路飞，到时候要还的
666
色鬼山治？这么直接吗？
好大的口气
这是水贼王吗
普通话很标准，但不是最标准
。。。
幸苦了up主！
を
最硬的一战
火钳留名
真的吗，我不信
骗人布
广东人来了
前后鼻音
进度条警告
阿金到底是绿牛还是凯多儿子
来了
哥斯拉
人还好吗
补到775集了，目前来说还有170多集
这就是新人吗？
全能阿金
骗人布
牛鬼？
全能啊金出现
怀念以前的风格
出现了，万恶之源，阿金
纯剧情向的，想看详细的直接看原著不就好了，有啥好bb的
面子果实能力者香克斯
都不是
辛苦了
口误了
3000万赏金的开始！
动漫里石自己折断的腿，漫画里自己吃掉的腿
阿金是罗杰的私生子行了吧
大制作？？？
一脚劈死了阿龙
索隆的身世一直不明朗，感觉明明的伏笔
梦开始的地方
你是怎么做到这么轻的声音
就这个长度就是真男人
挺想站这一对的
牛逼了
稳了
你是练了气功么
这是主线剧情，精彩的部分是描写，怎么可能在主线里说的那么清楚，想精彩去看漫画啊
这些名字好难记唉
你是开了900个分身吗
来了来了
火钳刘明
其实我感觉他手臂故意丢的……
口音劝退
你就是肝帝？
两倍
赞高
觉得这样感受不到魅力
声音太小啦
他女儿结局会不会复活
背景音乐好大声
我感觉红发完全可以用武装霸气抵挡的
是撒谎布
福建人
正打算看
。
第一反应娜米我还有救没
其实我感觉以前的这种画风好看一些(๑•.•๑)
我受不了了，告辞
动画改编，漫画里是他吃了自己脚
好大的口气
wlow
先赞在看
世界上最强残疾人
留名
我耳机坏了？
广西老表？
去年高考完看，一个多月看完
画风年代感
最强都山贼王呢
牛B
先三连了
哥斯拉2永远的神
海贼的第一个泪点
哥斯拉？
说绿牛是阿金的你去看看脑科
这我以前一天看四十级
胡建老乡
山治。别感冒了
你这口气你这口气也太长了
声音好小
这里好感人的
牛批呀
东海的水是阿龙放的
船原来是可雅送的
口误了吧
来了 QQ看点凯多儿子大和君
蛾子
和之国篇
罗杰死了之后我就不看了滑稽
儿子意译老爹音译？？
憋气达人前来报名
索隆，永远滴神
声音有点小
这是瓦岗山异闻录的bgm啊
背景音乐声音太大了
看到海贼就进来了
三连了
语速再快一点就好了
梅利
海贼前期的七武海都感觉是最后大boss的存在
不许弄哭我的航海士！！
WOC
哇
我憋死啦
辛苦了
声音太小了
夹吃灰
哈哈哈哈
肝帝
乌索普骗人布
每一慕都是泪目啊
弹幕呢，都没看完就走了？
小时候的了
不是香吉士吗？怎么叫山治了？
世界第一疾风剑豪
嘴瓢
弹幕没了？？？
梅丽呀
看到这个标题和时长我毫无犹豫三连了
小八
还是好喜欢这个时候的海贼王，让我回忆起自己的童年
确实有点我声音已经开到最大了
趣趣，当时看哭了
解说声音也太小了……我得开100
卧槽们把兄弟打在公屏上
没吃饭？声音这么小
神仙up
不要感冒呦
确实最开始的画风是有艺术性的，如今的却有点粗糙了
我也觉得以前的画风更好
一个寒假 看完
龙珠和海贼都牛b，比不了
辛苦了
很优秀的 回忆起来场场想哭
擦你冒犯到我红发 你币没了
声音小哦
音乐比解说声音大 不舒服
三千世界来了
棒
声音太小小小小啦
泪目
声音太小了
自从罗杰死后就没看
我哭了
基巴
此时，索隆还在赶来的路上
一集就说那么久后面怎么说？
后背的刀伤是男人的耻辱，巴基大神真神
色鬼山治有什么疑问？我第一次看山治也是这样想的
被鹰眼打成狗
也非常装逼
东海篇真的是梦的开始，每给船员的加入以及背景，都很好的表达
声音确实小
梦开始的地方
聋得传人
三连了，火钳刘明
没有当初追的感觉
6666666
牛逼。我来啦
海军，念成了海贼
太肝了，给你点赞
弹幕素质好低，白嫖还这么多话？
路飞没有听娜美的故事，他睡着了
送你上首页
面子王哈哈哈
声音忽大忽小
以前的画风有特殊，现在的画风随大流
声音太小
哇我期待这个期待好久了 我后面的实在没耐心追了
可怕，必须热门
克里克看见了鹰眼用黑刀划船
讲故事没有魅力啊，建议还是自己去看，真的好看
三连了
阿婆主牛逼。
这还是人吗
这
世界名画
声音太小了
看见时长 诚意满满 这次不白嫖怪了
这船长就这么点出息
这个我没脸白嫖
发四
真牛逼，这是个体力活
这个口音给我劝退了
太强了
up主辛苦了
肝帝
先收藏
难过
索隆对鹰眼这里相当精彩啊，怎么一笔带过了
这样讲有什么意思啊
确实 感动的地方都没讲
upnb三连安排
太小声了
好小声
我手机本来就腊鸡再搞的这么小声不用看了
说得太笼统了..
旭旭宝宝
这个长都得开WiFi看
现在变成水贼王了
不是啊我一口气只能十秒
看标题我就3连了
我永远单推吧唧海贼王
记得当时更新到鱼人岛，一个月肝完了
有人吗
记恨红发？红发不是为了陪吧唧连拉夫德鲁都没去吗
我聋了？
支持
一口气？？？
这一段我都忘了
必须赞
几乎听不到声音
好标准呀
没弹幕？
感动的地方没讲？这交代的很清楚了
这里有bug，路飞没听娜美姐姐讲娜美小时候的故事
路飞之前走了
等等，路飞并不知道
这就是郊区和峡谷之巅的区别
我三个月肝完了海贼王1到900集，一天大概50集左右
看的太认真所以没弹幕？
三个月900集
三连再看
Nb了
路飞直接去散步了
牛人
声音小
两个月800集班主任课上都看
海贼王真女主哈哈
说实话有点乱
梅利赛高啊！
声音好小？
1-900我追了6年
阿龙战超精彩!
海贼前期剧情从未忘记，小时候看了n遍
这个伏笔啊太久了，耕四郎是得多厉害的大剑豪啊，女儿用剑就是和道一文字，而且说送人就送了
第一次把草帽给别人保管
那时候作者还没想到有霸气这个设定吧
流浪武士，剑帝？
大妈偏呢？
牛啊
海贼王巴基来了
海贼丸
梅丽号
肝帝实至名归
katana！！！
我一口气就到这里 不能再长了
看了这个视频我半天肝玩
声音太小了
哇
。
声音小了
先投币在观看
可杰？
想起来了，快哭了
口气好大啊
厉害厉害
到乌索普的时候明显篇幅变长了哈哈哈哈哈
巴基大神
上shang不是sang，标准个鸟
说话声音敢大一点嘛？
这长度，先三连了
牛逼！！
这里是真的感动
我从顶上战争结束时翻回头从第一集开始看 两年了刚看到顶上战争面子哥出来
看完了，现在还有两口气
山治！别感冒了！
狙神乌索普
山治这里真的感动
需要半年？
复习
？？
雅丽尔塔：我这就没啦？
进入伟大航路后怎么回东海
up主的硬盘有多大？
好大的口气
面子王哈哈哈
up，这个哲普当时是自己吃了自己的腿，不是受伤吧
管家推眼镜的动作很特别
云海贼
顺境路飞，逆境索隆，绝境乌索普
先币再看
四分五裂果是什么  吃了为什么记恨 没看过 可以解答下嘛 谢谢
近海之主，永远滴神
狼来了
声音小了点，可惜
说实话 海贼不太适合这样讲
"One,two 赞高"
这个女的叫梅尔莉塔
为什么没人，这声音也太小了
前面的，巴基到梦想是找宝藏，结果被红发吓了一跳误吃了恶魔果实，从此不能游泳，所以没法找宝藏了。所及记恨
没有什么忽略不忽略的看的是回忆
唯一给索隆带来背部伤口的男人？
果断收藏
啊金
好大的口气可还行
前期的画风真的很好
和道一文字是和之国的吗
想当年我也是一口气补了800多集
Jungle
追了18年了，我从12岁开始看，到现在30都有第二代了
我是一口气补到司法岛篇
宁就是肝帝吗？爱了爱了！
np
罗密欧与朱丽叶
两个圆滚滚给你了
这口条还解说呢
云观众来了
也不算是记恨吧
前面的赶来的路上，xswl。路痴索大，这辈子是洗不掉了
要半年？？？
哦哦哦哦
万物皆阿金
这里我哭了
巴基高光时刻
这……太流水帐了吧
人太多了 听的一头雾水啊
蛾子
我在新世界等你
而且海贼王的船员都相对信奉本身实力，对吃果实的能力者会很鄙视，
当时这里哭了
绿牛牛逼
海贼王追了几年了，再看一遍，瞬间泪目，ye青回
鹰眼：这是世界第一剑客的篇幅？？？
路人补充：
这口气我可能咽不下去了
夺走了四皇一条手臂的近海之主，永远滴神
“暂时”
赞高吧
这七分钟能讲完？
而巴基和红发本来就是小弟，如此一来地位更低，会受人嘲笑
所以巴基十分记恨红发
普通话的感觉很特别嗷
这就是所谓的大纲 
这声音，可以，很有做这类节目的潜力
这条狗当时看哭了
先三连再看
牛逼剑客
有声音？
背后的伤疤是剑士的耻辱
