coin,favor,forward,list,name,thumb,view
17000.0,24860000.0,9270000.0,"美食,田园美食,生活,日常,三农,华农,乡村美食,田园美食,华农兄弟",华农兄弟：国庆长假，陆陆续续的人来玩，宰鹅宰猪招待一下,78000.0,1002000.0
5340000.0,79130000.0,46980000.0,"健身,运动,健身,疫情前后,训练,肌肉,疫情",被疫情偷走的时间，被我抢回来了。,83000.0,847000.0
53790000.0,39560000.0,10210000.0,"生活,三农,生活记录,UP主,评论,粉丝,三农繁星计划·秋收季",一百万读评论，但是小羊！,107000.0,909000.0
43310000.0,20000.0,20000.0,"搞笑,生活,搞笑,童年回忆杀,童年,奇葩,山东风筝节,潍坊,风筝,重阳节,沙雕,放风筝,男人的快乐",“风筝可以冷门，但不能邪门”,100000.0,1667000.0
17380000.0,36890000.0,15700000.0,"粤语,搞笑,生活,搞笑,广东,生活,郭嘉峰,搞笑研究所8.0,假期,粤知一二",广东人放假有多忙？,114000.0,957000.0
83330000.0,41000.0,80180000.0,"摄影,旅游,生活,出行,生活记录,童话故事,风景,治愈,情感,记录,秋天",“这大概就是童话故事里的秋天吧”,81000.0,430000.0
11000.0,37150000.0,19950000.0,"美食侦探,美食,美食,美食侦探,美食vlog,美食探店",最爱深夜的便利店,77000.0,1111000.0
31280000.0,58500000.0,60900000.0,"穿搭,生活,搞笑,明星,帅哥,颜值,哥哥,帅气,高富帅,小哥哥,男神,校园星发现",爱运动的小哥哥一枚吖～,92000.0,783000.0
12400000.0,16000.0,17000.0,"绘画,搞笑,生活,搞笑,搞笑研究所8.0,龙图",这嘴巴有鼻子有眼的,88000.0,867000.0
52050000.0,25000.0,28990000.0,"美食,美食,美食测评,测评,烤肉,平价,快餐,干货,经验分享,省钱,学生党",平替中的平替，省钱攻略战斗机！,45000.0,604000.0
39000.0,84920000.0,44170000.0,"英雄联盟,搞笑,游戏,电子竞技,电子竞技,TheShy,MOBA",兄弟游戏【TheShy的奇妙冒险03】,66000.0,635000.0
24000.0,81870000.0,11000.0,"Doinb,姿态,UZI,LPL,英雄联盟,搞笑,游戏,电子竞技,电子竞技,游戏赛事,游戏,GNR,LBL",四视角看LBL撞车GNR，众神之战爆发，战歌接连响起，年度最强组排！,54000.0,1258000.0
65290000.0,23800000.0,1390000.0,"社会,兵哥哥",他说，怕自己的脸影响军人形象，怕媳妇儿看到，你愿意为这样一张脸点赞吗？致敬，辛苦了！,122000.0,727000.0
20000.0,43020000.0,35580000.0,"游戏,电子竞技,电子竞技,徐老师,聊聊,无奈,建议,elo,elo机制",聊聊令人深恶痛绝的elo机制，无奈，我们只有一条建议,66000.0,837000.0
6550000.0,62630000.0,4780000.0,"绘画,生活,绘画,手写",要开始跟我动真格了是吧？,119000.0,1303000.0
9740000.0,42500000.0,15610000.0,"生活,搞笑,搞笑研究所8.0",80岁了就别像个小孩子一样抢菜了,107000.0,1221000.0
30040000.0,23000.0,13970000.0,"绘画,生活,绘画,原神UP主激励计划,雷电,毛笔,将军,母子,散兵,雷电将军",alticute:毛笔浅画一下雷电将军母子,132000.0,391000.0
35000.0,21000.0,23700000.0,"搞笑,游戏,单机游戏,娱乐,老番茄,黄金矿工,战马,沙雕",惊慌矿工,217000.0,2026000.0
9260000.0,17000.0,2950000.0,"法律,短片,影视,小剧场,原创,短剧,剧情,B站小剧场3.0",还敢敲诈勒索，这波可还刑？,205000.0,1449000.0
14000.0,89890000.0,2380000.0,"喵星人,萌宠,动物圈,喵星人,黑猫,动物观察局·心动的信号",捡到一只黑猫警长,154000.0,747000.0
14300000.0,43140000.0,22940000.0,"杨迪,搞笑,生活,搞笑",妈妈！我要吃柚子！（不是我！！）,116000.0,726000.0
16460000.0,11000.0,11000.0,"游戏,单机游戏",笑不活了,80000.0,932000.0
38000.0,14000.0,15350000.0,"手工,DIY,科技,数码,数码,科技,自制,西昊Doro-S300,车,西昊,人体工学椅",自制电竞车？户外全地形畅玩3A！感受随时散架的刺激！【科技达】,70000.0,386000.0
40000.0,11000.0,90830000.0,"DOTA2,开箱,搞笑,生活,搞笑,刀塔2,幽默,周边,记录,TI11",我们提前拿到了Ti11的周边...,59000.0,656000.0
15000.0,77000.0,31000.0,"喵星人,萌宠,动物圈,喵星人,强迫症,萌萌哒,铲屎官,云吸猫,动物观察局·心动的信号",原来猫猫也有强迫症！,494000.0,3982000.0
3910000.0,63580000.0,15110000.0,"汪星人,萌宠,动物圈,汪星人",护食这方面我没服过谁,106000.0,983000.0
43380000.0,18000.0,31630000.0,"4K,原神,时尚,仿妆cos,cos,珊瑚宫心海,心海",你一定没见过真正的五星观赏鱼,102000.0,557000.0
