打垮呀
腿伸不直的宝宝，可以把腿放低一点，这样会容易伸直一些，也别忘了崩直脚尖奥-April
抽筋了
第一天
做了up的另一套瘦腰的，真的很明显的效果！
前面的我也是
嗯嗯，说话感觉很舒服
这个瑜伽垫好宽
抽筋
去我收藏夹里吃灰吧
卧槽这个好难
骨头响怎么办啊
腿已经在发抖了
我的腿就离不开地面
第二天早上起来腿疼的走不了路。
买啊
哈哈哈哈哈哈哈
前面的没有床吗
看得我腿酸
在床上
毫无压力
第一天
但是第二次明显量的紧啊，勒出肉了（不是想抬杠）因为我平时松紧不一样也能瘦一两厘米
千万不要不吃饭减肥姐妹！反弹的很快！而且对身体很不好！
美丽芭蕾！！
舞蹈课做过！！
看过等于做过
我没有瑜伽垫，这个我做不了
抽筋＋1
好像在上舞蹈课，已经感觉到痛了
老腰折了
二倍好鬼畜啊哈哈哈哈哈哈哈哈哈
马嘉祺姐姐？我马嘉祺女友来了
当场去世
冲
这个大腿太粗，大腿的肉互相挤着所以起不来哈哈哈
跟美丽芭蕾好像一样
一张开我就抽筋了……
我听到我的骨头咯吧
我的脚一直在嘚瑟
这个动作要是肉太多没空间动怎么办呀
有没有人瘦了的
我抽筋了
我马上夹上
前面瘦腰瘦胳膊的我做了真的非常有用
看过即做过
有点挤那啥。。。
说不知道怎么收腹的 可能是没找到感觉 也可能是腹部肌肉不太发达 
这个好累
想象不出来
这个其中一个叫法就是相扑深蹲，前面的没说错
抽筋警告
脚抽筋了…
极限？
第一天
这个超难的
为什么放下会抖
我已经快累死了
两下就抽筋了…两边都是…
看了等于我做了。
抽筋+1
哇哦
沐沐第二天
这个真的累
这里怎么用臀肌发力啊，感觉我都是腰部在发力
美丽芭蕾
最讨厌的动作（哭
膝盖响的是不是缺钙，我也这样
why??cue刘耀文啊??
慢慢练
抽筋拉
这个做了背疼
脚尖崩直是小腿在发力啊 为什么会大腿紧张
夹纸是大腿内侧发力啊
死亡芭蕾
死亡芭蕾！
好酸
看弹幕真的笑死我了哈哈哈哈哈哈哈哈哈
抽筋操作。。。
手机砸脸了
害怕，太近了
害怕
收藏数和点赞数完全不匹配哈哈哈哈
真不累 比死亡芭蕾好多了
克洛丝？
我一活动嘎嘣嘎嘣懂的都懂
在抽筋的边缘反复横跳
这不是美丽芭蕾吗
第一天
越来越难。。。
这个真的累的要死
站不稳是怎么肥四
