了却君王天下事，赢得生前身后名，可怜白发生！！！
江山如画，一时多少豪杰
江山代有人才出，一代新人换旧人
没弹幕吗？
说大唐的，是那个发电央企吗
历史爱好者
日月山河永在！
见字如面。
大清误中华
十万人同心死义，留大朙三百里江山
壮哉，我大朙，文化昌明！
重铸汉魂
日月山河永在！
始皇帝万岁万岁万万岁！
同是天涯沦落人，相逢何必曾相识
九州同！！！
洛阳纸贵
这不是北京堵车吗
"一个华安两只眼,三个姑娘六只奶"
万国志！！！
施耐庵
梦里不知身是客，一晌贪欢
武帝千古
少年游！！！！
张巡守孤城
大唐中华巅峰，相当于现在美国
绣口一吐，就半个盛唐
醉里挑灯看剑，梦回吹角连营，八百里分麾下炙，五十弦翻塞外声，沙场秋点兵。
男儿到死心如铁，看试手补天裂
三言二拍
人闲桂花落，夜静春山空。
南唐江宁啊啊啊啊啊啊
君王掩面救不得，回看血泪相和流。
九重城阙烟尘生，千乘万骑西南行。
物华天宝，龙光射牛斗之墟，人杰地灵，徐孺下陈蕃之榻。
关山难越，谁悲失路之人？萍水相逢，尽是他乡之客。
翰林文墨消得容颜孱瘦
举目见日，不见长安。
金瓶梅被世俗害了的奇书
忽逢桃花林，夹岸数百步，芳草鲜美，落英缤纷。
骓不逝兮可奈何，虞兮虞兮奈若何。
一曲《广陵散》，悠悠天地间。
翩若惊鸿，婉若游龙。
诶我大唐
反对骈文
雨打梨花深闭门
岳武穆的满江红呢
公元1621年：凌蒙初所做二拍刊刻，《初刻拍案惊奇》《二刻拍案惊奇》
有美一人，清扬婉兮。
桃之夭夭，灼灼其华。
我家在碣石山旁边
关关雎鸠，在河之洲。
公元1644年：闯王进京，满清入关，明朝落幕，汉人的时代结束了
大唐来了
公元1621年：凌蒙初所做二拍刊刻，《初刻拍案惊奇》《二刻拍案惊奇》
公元1628年：冯梦龙小说三言刊刻，《警世通言》《喻世明言》《醒世恒言》
高皇帝  在九天 
惶恐滩头说惶恐，零丁洋里叹零丁。
公元1589年：《牡丹亭》成书，中国四大古典戏剧之一
和羞走，倚门回首，却把青梅嗅。
公元1578年：《本草纲目》撰成，本书为本草学集大成之作
尽吾志也而不能至者，可以无悔矣。
聊斋设有茶坊一个，我以清茶换故事。
公元1551年：《金瓶梅》问世，著名兰陵笑笑生，被称为四大奇书之一
公元1547年：明中期三大传奇陆续成书，李开先《宝剑记》
公元1524年：《三国演义》嘉靖本刊刻，当时的读者争相眷录，以便观览
春风又绿江南岸，明月何时照我还
独坐幽篁里，弹琴复长啸
座中泣下谁最多，江州司马青衫湿！
君埋泉下泥销骨，我寄人间雪满头。
故人入我梦，明我长相忆。
安能摧眉折腰事权贵，使我不得开心颜！
寻寻觅觅，冷冷清清，凄凄惨惨戚戚。乍暖还寒时候，最难将息。三杯两盏淡酒，怎敌他，晚风来急？
公元1283年：文天祥赴死，与陆秀夫 张世杰并称为宋末三杰
公元1207年：辛弃疾抱憾而终，一生沙场点兵，人老犹盼破阵杀敌
李煜文化造诣真的深啊!
后宫佳丽三千人，集三千宠爱于一身
公元1101年：苏轼逝世，东坡居士，问汝一生功业，黄州惠州儋州
历史课代表前来报到!!
公元1072年：欧阳修逝世，古文运动领导者
公元1069年：王安石变法开始，其变法内容至今仍褒贬不一
公元978年：南唐后主逝世，小楼昨夜又东风，故国不堪回首月明中
天涯何处觅知音
铁血大送
清朝误我中华
公元987年：《百家姓》成书，特殊的历史文献，记载了中国历史姓氏发展
安排开花
仗剑去国 辞亲远游
清朝误我中华
感谢Up主
竟然没有苏轼
公元960年：陈桥兵变，五代十国结束
公元939年：南唐建立，唐烈祖定都江宁
公元939年：南唐建立，唐烈祖定都江宁
公元905年：白马之祸，唐朝落幕，无不怀念我大唐
公元858年：李商隐逝世，晚唐著名的诗人，与杜牧2人并称小李杜
公元817年：诗鬼李贺逝世，其诗想象大胆，用词奇峭，自称长吉林
恭送祖师
给唐寅排面
了却君王天下事，赢得生前身后名，可怜白发生。
公元770年：诗圣杜甫逝世，其诗应真实反映唐朝兴衰而被称为诗史
公元761年：诗佛王维去世，诗中有画，画中有诗
《九州同》标志性的唢呐！！你币有了！！
兰陵笑笑生
得之心，寓之酒
公元757年：睢阳之战，唐朝天下得以保全，全仗睢阳坚守10月之久
公元756年：马嵬驿之变，唐贵妃于马嵬驿被缢杀而死
公元618年：隋恭帝禅位李渊，隋朝落幕
赢得生前身后名
公元280年：陈寿《三国志》问世 此乃是二十四史中评价最高的 前四史之一
开了城门迎闯王，闯王来了不纳粮
公元17年：新朝灭亡，仅存十四年的短命王朝
陛下！！！
俊采星驰
公元前304年：《吕氏春秋》著成，其问精练短小，用事说理颇为生动
科举：公元605年，科举制设立历经各朝，形成今天的高考，十年寒窗，一举成名
公元409年：中国水墨画鼻祖顾恺之逝世 笔下《洛神赋图》画尽思绵绵而增慕的情意
公元361年：王羲之去世于金庭 其作《兰亭集序》使历朝历代的文人争先恐后地临摹
乐府双璧呢
公元233年：曹植著《洛神赋》艺术魅力，经久不衰
一蓑烟雨任平生
公元24年：《九章算术》出现，现存最早的中国古代数学著作
啊啊啊谪仙人！！！
公元前221：始皇帝  天下一统    千古一帝
日月重开大宋天
此去经年，应是良辰好景虚设，便纵有千种风情，更与何人说
奉旨填词柳三变
问君能有几多愁，恰似一江春水向东流
虚假的盛世
我刚学了汉语言的中国古代史，我哭了
清军进关山河默，后朝几代坐
对历史要保留温情
开始了大怂
梦里不知身是客，一晌贪欢
阳明先生呢
恭送盛世
恭送盛世
九州同!!!你币有了
敬文学。
随之而去的还有大唐盛世
自是人生长恨水长东
东坡先生！！！致敬
大宋排面
太白
白嫖失败，三连双手奉上！
大唐诗情满华章
中华风骨在魏晋
卢杞谢罪
江山代有才人出
吴承恩排面！
唉 难受
清明上河图！
竟然没有李杜
太宗皇帝名字都不值得一提？
文科生前来报到
少年游！
来了来了
一蓑烟雨任平生
超爱BGM啊啊啊啊
背景音乐好听哦，以后多点这种好吗。
完颜构
历史专业报道
李世民
汉语言文学报道
公元762年，李白逝世
崇祯呜呜呜
草！
青苗法！
加油
但愿人长久 千里共婵娟
政哥
历史专业报道
香雾云鬓湿 清辉玉臂寒
6666666666666666666666666666666666666666666666666666666666666666666666666666
不错
汉语言文学的出来报道啦
参见陛下！！！！
汉语言文学专业前来报道
开花
火钳刘明
大唐！大唐！大唐！
人生自古谁无死，留取丹心照汗青
梦回吹角连营
千里江山图必须有牌面！！！！！！！！！！
生死祸福，皆不可夺吾志
斯是陋室，惟吾德馨
白也诗无敌，飘然思不群
半夜笑出猪叫声
从嘉呜呜呜
风入松！
老夫聊发少年狂，左牵黄，右擎苍
执手相看泪眼，竟无语凝咽
九州同！
古来圣贤皆寂寞，惟有饮者留其名
群星陨落
问君能有几多愁？恰似一江春水向东流
沧海月明珠有泪，蓝田日暖玉生烟
晚来天欲雪，能饮一杯无
参见陛下
汉语言文学报道
广陵散绝矣。
看哭了
政哥哥
只为你如花美眷似水流年
吹爆少年游
李俶那个等等我
魏晋风骨
北宋啊啊啊啊啊啊啊！
九九归真
大鹏一日同风起，扶摇直上九万里
汉语言文学前来报到
人生得意须尽欢，莫使金樽空对月
参见女皇大人
恰似一江春水向东流
精清狂喜
情不知所起，一往而深
李白排面！
李煜李煜李煜
斯是陋室，惟吾德馨！
理科生凑热闹
大唐盛世
缺了很多
文物修复学生前来致敬
唢呐!
呜呜呜太棒了，一键三连然后进我收藏夹吃灰吧
给李时珍排面！
啊啊啊啊啊啊啊bgm是九州同啊啊啊
这个太棒了啊啊啊啊啊啊
汉语言文学研狗报道
人生如梦，一樽还酹江月
无字碑
三连了
医学生路过。
收藏比赞多系列
三绝是裴旻，张旭，李白
不是李白吗？
从头开始看来得及么
三连三连，一定一定！！！
文科生报道
我也想做这样的视频怎么办头发不见了
唐伯虎
大唐盛诗
世说啊啊啊啊啊
海内存知己，天涯诺比邻
我爱魏晋！！！
汉师专业的来了
吉吉国王
他人笑我太疯癫，我笑他人看不穿
唐代宗李俶改名豫
床前明月光，疑是地上霜
晋太元中，武陵人捕鱼为生。缘溪行，
有的人真的抽象。一边媚外一边说爱中
西汉《毛诗序》：诗者，志之所之也，在心为志，发言为诗。
理科生凑凑热闹
收藏大于币系列
司马光
太宗皇帝真长策，赚得英雄尽白头
文史哲不分家
美美美
BGM九州同
乐府应该用引号
史记这句是鲁迅评的
来了
哎。
大作
宋明是顶峰了
支持大大
哎
台湾该死
司空见惯浑闲事，断尽苏州刺史肠
马思拳毛边草动，雕眄青云睡眼开
千古一帝
落日楼头，断鸿声里，把栏杆拍遍，无人会，登临意
把酒祝东风
你币有了
哇
罪人安禄山
大魔法师
山上层层桃李花，云间烟火是人家
天地肃清堪四望，为君扶病上高台
大唐
隋唐演义！！！！！
李白哥哥排面
拜见辛将军！！
初三备中考报道
仰天大笑出门去，我辈岂是蓬蒿人！给白哥排面！
call！！！！
现存最早 字典不是尔雅？
逐渐偏离主题
哇！！
人生自古谁无死! 留取丹心照汗青。
没有春江花月夜吗？？？
给女皇排面
政哥哥！！
赏心悦事谁家院
这是历史还是文学啊
易安姐姐呢
历史课代表前来报道
王阳明心学，知行合一
？？？关汉卿呢？
我且为君捶碎黄鹤楼，君亦为吾倒却鹦鹉洲！！！！！！
王荆公千古！！！！！
便纵有千种风情，更与何人说?
无奈朝来寒雨晚来风
我大唐！！！
九章算术这么早的吗
北宋冲啊！！！！
大宋！
靠连续投了18视频了
hi！
这次第怎一个愁字了得
代宗俶儿
这是吴又可
张养浩。兴，百姓苦。亡，百姓苦。《山坡羊·潼关怀古》
说文
