渤哥得弹幕由我守护
渤哥
前面的加一
前面赞同
希望对咱们来说太重要了
爱渤哥
怎么笑着笑着就哭了
这才叫演员！
这是真的靠演技的
我做的刚好相反，哎
演什么是什么
封面是疯狂的石头
一出好戏
疯狂的石头2
哭着哭着笑了
疯狂的石头
蛋炒饭
余香
封面是疯狂的石头
求bgm
演的太像劳动的我们了
余香bgm但不是原唱
胡歌和他差的还有点距离
嗯
这里好像彭彭
封面是疯狂的石头
杀生很有味道的
这是哪一个电影？
余香      版本不知道
这是我最喜欢的年轻的男演员
可你到最后还是不如别人你还不要抱怨因为人生就是这样你该有的与生俱来就有你想得到的可能拼了命只能触碰一下说着不要羡慕别人那只是你心态接受不了事实为活着找借口
渤哥实至名归
渤哥
艺术家
影帝，实名至归
寻龙诀
我好像是从一个综艺节目看到黄渤的
影帝
101次求婚
唉能好一点的话
痞子英雄
那就唉一下
疯狂的赛车
牛娃
疯狂的石头，上的车
爱渤哥
bgm是余香
被光抓走的人
我和我的祖国
小鲜肉好好学学
可笑的是他们只是演而正在看的我们试现实
团长！
民兵葛二蛋
教科书级别演技
这才是演员该有的样子
，渤哥好棒
亲爱的
302 302 302
渤哥演技真的是万里挑一 实话实说
渤哥超棒！！！
心花怒放
当之无愧！！！
走一步退一步等于么走
别逼小鲜肉学学，还算劝劝小鲜肉别打扰影视了
泪目
6666
真的是演什么像什么
个人觉得，bo哥最令人称道的地方就是把虚构的人演的像一个真实存在的人。
鬼吹灯之寻龙诀
咋一看这像成龙，是我的错觉吗？
追车那个 是 假装情侣  我电脑上存着的
疯狂的石头上的车
BGM，余香
为什么不去原唱？？
疯狂的赛车
民兵葛二蛋
疯狂的赛车，石头个锤子
我和我的祖国
我和我的祖国！
可笑
白夜追凶 关宏峰
火钳刘明
火钳刘明
最喜欢的演员
好男人唉
死啦死啦！！是他！
男人的无奈你都演出来了，真正的演员就是这样，他在银幕前影藏了自己，他可以谁都是，他可以做任何行业，他可以成为任何人，向真正的演员表演艺术家们致敬
看的心疼
爱渤哥
三连了
亲爱的
娃儿无过，娃儿无过啊
经历过才能很好地表现出来把
假装情侣
他这一个个角色演的就像活生生的普通人
爱渤哥
我和我的祖国
太难了
演员你真的很棒 黄渤你也很棒
啊啊啊啊超喜欢这里
斗牛
很担心以后能不能看到好的电影  电视剧  感觉现在的青年都在支持一些毫无演技纯卖化妆整容的脸的所谓演员  风气差了  很难变好
爱渤哥
杀生二杀
真的，一部戏除了剧本演员太重要了
爱渤哥
热 血 高 校
神兵葛二蛋
太棒
肖战退出了直播间
演戏真的很有感觉
俺高低不下来了
渤哥真的演技无可挑剔，人品还好
别人演的是假的，而你却是真的
希望对咱们来说太重要了
那个是杀生
爱渤哥
我凭什么接受现实
渤哥
杀生真的好看，我第一次看的时候才初中
“快将尘埃掸落”
真的是演什么像什么
大盘崩了啊啊啊啊啊
老戏骨，演技炸裂
你们看过生存之民工吗
爱渤哥
我爱我的祖国
正道的光
点赞！
段奕宏也不错
渤哥演的是真实
民兵葛二蛋
蛋炒饭
接到我喜爱的城市，看看这里的美好
心花路放是真的好看
爱了
疯狂的赛车才是吧
当时认识渤哥是那个电视剧 民兵葛二蛋
爱渤哥
秒啊
我和我的祖国
我就是看不起小鲜肉!
我和我的祖国
up真棒
看到黄渤哥就饿了，想念正新鸡排
看到了徐峥
爱渤哥
我最早是末路天堂，那会还小学
疯狂的赛车
我和我的祖国
这才是真正的演员!
这才是真正的演员!
berger最棒
爱渤哥
喜剧的真谛，是悲剧
渤哥
努力真的有用吗
疯狂的赛车
影帝
好现实
这版本bgm是徐薇唱的
封面，疯狂的石头
大爱黄渤
被光抓走的人
遗憾没有无人区
凭什么嫩吃猪蹄子，俺就萝北白菜
实至名归
看到黄渤演的人物和自己很像，钱更重要，
这个体育场和西红柿首富那个足球场同一个
实至名归
正新鸡排，哈哈哈哈哈
他把最生活最真实的一面都展现在荧幕上
渤哥民工就很强
暗香
超大排
生活对丑人真不容易
封面上线
实至名归
彭昱畅！！
角色塑造厉害
在我眼里只有黄渤和徐峥
当之无愧
这段好帅
这回真的便宜你了给爷看笑了
亲爱的
渤哥！！！！！！！……
没有寻龙诀吗
实至名归
命自是自己的   钱才是大家认同的
女流别看了，这是你的不到的男人
看得想哭
超喜欢
真的佩服
承包空屏
我斑愿称你为最强
谢谢
这tm才是演员
能不能尊重潘粤明，不要刷白夜追凶
努力对怯懦的人没用，因为他们根本不会努力！
生活好累啊
名至实归
民兵葛二蛋
爱渤哥
最喜欢的演员之二，还有个老胡
痞帅。
真的演什么像什么啊，能老实能痞
一直喜欢的都是老戏骨们的作品，对新一代演员都不敢有什么要求，在他们的作品下言语中肯的评价都会被骂“他在努力啊，你怎么看不到”，如果他们能演戏时稍微黑一点，脸上有几滴汗，我也不会看得那般尴尬
你们把李雪健 陈道明至于何方？
药神的黄毛让黄渤演
寻龙诀
这生活很现实，这演员很真实。
黄渤 沈腾 徐峥 都挺好
段郎～～～
实至名归！！！！！
实至名归
黄渤牛逼
bjm
疯狂的石头，黄渤出名的第一篇
他情商也超高！！！！
蛋炒饭
很多电影，笑着笑着就哭了
影帝
101次求婚
什么电影？是真跳吗？
白夜追凶有电影？寡闻了
没有痞子
黑皮绝了
我太喜欢他了
爱渤哥
好的演员让你觉得其实也没啥表演但后面喜喜回味这就是演技
黄渤的亲爱的，真的看的我快哭死了
彭彭是你吗？
炼金
实至名归
请收下我的膝盖
寻龙诀寻龙诀寻龙诀寻龙诀寻龙诀！！
寻龙诀寻龙诀寻龙诀寻龙诀！！
这人一部戏值钱
薛六儿
我的偶像是张国荣成龙黄渤你们呢
正新鸡排太秀了
黄渤就是黄渤，为什么是第二个周星驰
最早是活着之民工
爱渤哥
贵妇那个，笑到我了
有时候没钱，命如狗
太好了渤哥
这才是演员
喜剧的内核，是悲剧，星爷是开创者，现在渤哥是继承人
蛋炒饭
真正得国服演员
我男神啊！！
可我拼命的跑着，也没有赶上别人走着。
余香啊余香
说腋毛的有毒吗hhhh
特别接地气！
我不是药神  黄毛
喜剧的内核都是悲剧
感觉反应了好多社会现实
最早认识他是民工那个剧，很小，但记得他演的很好，格外优秀的那种
超喜欢黄渤
不是疯狂的石头是疯狂的赛车
蛋炒饭 
泪目
泪目
三连警告
剪的不錯
黄渤情商也很高
黄渤和王宝强
渤哥演绎了太多了我们，所以你是渤哥
实至名归
正新鸡排 哈哈哈哈哈哈哈
热血高校
为什么没有无人区啊
黄渤挺好的
小时候第一次认识黄渤是因为他给库拉配音
今天被公司优化了
我渤哥！实至名归！！！！
青岛往事
渤哥演技真的炸裂，超喜欢！
帅
我在看
我在看继续兄弟我在做笔记
正新鸡排和新东方的就别说话了
实至名归
人生如戏全靠演技
杀生是真的好看
图
 快把爱豆们搬出来
人命什么时候值过钱啊
演技是真的好
谢谢你给的感悟
我男神啊，渤哥
寻龙诀
真演员
鬼吹灯
把真实演成电影
这个好看
渤哥！！
真爱渤哥
想当年，我一把西瓜刀从南天门砍到蓬莱东路，一路上血流成河，手起刀落，眼都不眨一下!
boger！
正新鸡排棒
生存民工
说  我不是药神 黄毛  的那个，过分了
蛋炒饭真的好看，B站就有
正新鸡排
我和我的祖国
热血高校
中国的骄傲
周星驰和黄渤
关宏峰
王满仓
親愛的
等我去买个正新鸡排
哎   爱死你啦  希望越战越勇
肖战算个屁
泪目
没有疯狂的赛车 差评
渤哥实至名归！！！！！
渤哥实至名归！！！！！
好吃
你得支棱起来啊
渤哥实至名归！！！！！
这是救命的钱
谢谢
这里莫名感觉有点像关宏峰关宏宇
这个硬币给黄渤
渤哥必要打call
boger~~
真正的实力派
此生无悔粉渤哥
渤君一笑
要不咋说是影帝呢
我特别喜欢黄渤
酸甜苦辣，现在个别演员演不出来
实至名归
树先生呢
记忆大师
泪目
实至名归
正新鸡排和极限挑战入坑
渤哥演电影是真的很好看的
哈哈哈哈哈哈哈哈哈哈哈哈
努力是最有用的东西
无人区没有吗
实至名归
封面魔鬼
实力派
bgm也好听，剪辑的也不错
我竟然一直以为这是成龙
渤哥帅
我和我的祖国！！！
斗牛和杀生可以看很多很多遍
这演的才是真实的人
这特么疯狂的赛车
对黄渤印象深刻的的一部
很帅
渤哥实至名归
黄渤真的是影帝
舔狗情侣
我和我的祖国
正道的光
亲爱的好像是，应该是真跳
还
实至名归！真实力派
关宏峰的你要笑死我吗哈哈哈哈哈哈
渤哥实至名归！！！！
杀生↑↑↑↑↑
真正的入戏的境界
演技好好
最喜欢前夜了
看哭了
小鲜肉进来挨打
杀生真的棒！
实至名归
我看哭了
实至名归
黄渤
耿健将
没有皮肤的王者
钱
影帝
最喜欢他
你币有了
正新鸡排给我整笑了哈哈哈哈哈哈
后面正新鸡排的你别走
黄渤即众生，众生皆苦，平凡可贵
众生皆苦，平凡可贵
实至名归
斗牛看哭了
渤哥真的……
最讨厌这样帅气而没有演技的人
我和我的祖国！！！
演什么是什么，很真实
我要看他的hello树先生
正新鸡排好吃
亲爱的这部电影全程泪目
渤哥实至名归！！！！！
未来给点盼头  就要努力向前
名副其实
泪目
无人区好看
求bgm
哈哈哈哈哈正新鸡排的你别走，本来贼感动的一下就笑出来了
《杀生》
厉害厉害
为啥这声叫得这么喜感
都有些什么电影
他是你看第一眼就感觉经历人生百态的人
实至名归
实至名归实至名归实至名归
前面说黄渤是第二个周星驰的我理解的是两人都可以用喜剧把悲剧演出来 而黄渤有真实感 周星驰说经典 可以用无厘头喜剧的方式把人生苦难告诉我们 同时每次又让我们重拾信心 就像喜剧之王里的死跑龙套的一样有志者
实至名归
实至名归
影帝当之无愧
因为他平凡过所以知道何为平凡
人人车
