冠军们！
热乎的
棒棒鸡
爱丽丝？？？？我不配露脸？？？？
又让我拾起了对宝可梦的热爱
这点是历代反派boss
X希罗娜美丽
n和透也好帅
大舅子
看到哭
带着黑白双龙的透N
水系：水莲 志米 西子伊 寇恩 亚当 小霞 米可利
地面系：菊老大 哈乌普 菊野
忍蛙
佑遥
BW2的艾莉丝这么好看，居然还是1的服饰
我老婆玛利
日月也有
冰系：得扶 小菘 科拿 哈奇库 柳伯 波尼
我婆奇巴纳
历代博士们
结果我第一，又强又厉害
火系：亚莎 大叶 帕琦拉 卡奇 伯特 夏伯
我最最最最最最喜欢的宝可梦世界！！！！
草系（太模糊了）：利佳 菜种 天桐 福爷 玛奥
交换精灵了
换回来了
旅行的二人迦勒尔重逢
骨头社制作 天下第一！！！
历代御三家
历代道馆馆主四大天王出现的顺序是 水 电 地面 冰 火 岩石 草 毒 超能 幽灵 虫 仙 龙 钢 一般 格斗 飞 （没有恶） 到幽灵为止都是后一个克制前一个
看来这左边全是铠岛景色，右边全是雪原景色了
龙系：夏卡 小春 朵拉塞纳（渡呢！？）
左铠岛，右雪原
是棒棒鸡
钢系：燕凯 东瓜 马瑞英
我   再观看
格斗：希巴 阿四 阿里 连武
月莉莉贴贴啊啊啊啊
再看一遍
呜呜呜莉莉月N透我好得不行我哭了
恶系也太惨了
站在奶奶旁边的是哪个博士来着
太棒了
戴上了赤红和丹帝的帽子
对战区
太棒了！太棒了！
伴我同行
泪目
梦幻，投球，懂？[doge]
太棒了
高强度逐帧分析 开始
各个对战设施！！
恶系天王：默丹 花月 越橘 梨花
下面还有铠岛雪原的海报
还有谁不会飞
神奥的梨山
恶系好像全是天王啊
黑白列车长和宅邸老婆
木木枭果然是南小鸟
Mew
这里男主有一瞬间切换成了女主
太可爱了玛利
太真了太真了太真了
对战设施，黑白的对战地铁，南厦和北尚
他们交换宝可梦了
开头四个人在铁路上走的片段，来自于初代主角出门前，调查家里电视机会出现“电视上正在播电影！四个人在铁路上走着……我也该出发了！”的信息。
右下角影子是古兹玛
冠军之路
对战设施的管理人
历代反派boss
这tm比GF给力多了
狗子姐弟
这里右边是岛屿守护神吗？➡
忍蛙瑟妹
冠军之路
这关gf什么事情？
初代家里电视上就说四个男人走在铁轨上
毛毛角羊c位！！
4个人在铁轨上走，那我也该出发了
红绿家里的电视机，四个年轻人走在铁轨上！
这该不会是下一代的男女主吧
卡勒姆
227号！
馆主厨极度满足
小菊儿你这表情wwww
电属性还有神奥的电次
袖子不是白的，不是冠军艾的服饰
满满的回忆
按属性分的历代大集合呜呜呜
大木
空木博士一脸幽怨的眼神233333
格斗属性还有丰缘的藤树、阿罗拉的哈拉
瑟妹和忍蛙
霞
made，满充这里看哭了
渡 快龙
大吾 巨金怪（mega）
米可利 美纳斯
NATURAL HARMONIA GROPIUS!!!!
卡露乃
南下北上，四姐妹
n
代表初代和代表最新世代的帽子
小悠（小遥）
青绿
赤红
泪目
飞行：娜琪、卡希丽、风露、阿速
啊啊啊啊啊啊啊啊啊啊啊啊啊啊渡
丹帝的帽子被轰飞了hhh
主角！！！
幽灵：芙蓉、阿塞罗拉、婉龙、梅丽莎、松叶、菊子
赤爷我爱你啊啊啊啊
路比 遥 戴亚 白金 透也 琴音 透子 芽衣 恭平 瑟蕾娜 月月
赤爷威武！！！！ 赤爷威武！！！！
赤爷威武！！！！
月莉莉啊啊啊啊啊啊啊
这里好棒
无能狂怒（指在飞行方面）
Red  Red  Red  Red  Red  Red
Red  Red  Red  Red  Red  Red
Red  Red  Red  Red  Red  Red
丹帝太帅了！
合众三人组呜呜呜
(下)水梧桐、赤焰松、古兹马
(坂木身前的不规则阴影)阿波罗
我震感
大误算！！！
骨头社nb
N！！！！
神兽剪影
莉莉艾我的
信息量巨大
如果能上首页就太好了，非常棒！
太棒了
两人戴的是赤跟丹迪的帽子
历代冠军
四个人在铁路上走着……我也该出发了！
加勒尔！
哭了
博士们！
再来亿遍
棒棒鸡
我tm直接哭爆
这里BW阿戴克和艾莉丝击掌
一闪而过的琴音
ohhhhhhhhh
传说的开始
亿遍
再来亿遍
神
主角团
N!
疯狂截图
一分钟的冠军哈哈哈哈哈
白银山小赤和阿响
还有谁不会飞
第十遍了
一晚都在不间断的看
这画风好舒服啊
木木就是南小鸟
博士们！
空木博士快被酷酷伊博士勒死了
丹帝15555551
伽勒尔！啊啊！
在家里电视上看到:有四个男孩子在铁道上走 我也该出发了
丹帝！帅死了呜呜
喜欢你真的很幸福
卡勒姆给特写
宝可梦的世界！！！
这mv无敌了
真的哭了
男主镜头就这么一点点啊哈哈哈哈
再来亿遍
啊啊啊啊啊啊啊啊啊啊啊啊啊
gotcha！！
绿字nb
超级巨破阵火球冲啊!
我们钢系是不可战胜的！
巨金怪天下第一！
我永远喜欢宝可梦！
抱脸虫皮卡丘
kbn!!!!!!！！！
看个mv都能泪目
再来亿遍
白银山顶的决战
历代御三家也太可了
赤爷vs阿响
前方高能
银和茂爷好久不见了
历代冠军们吗！？
停不下来了，这是最后亿次
超梦！最强！！
阿罗拉众好欢乐，黑白基调就灰灰的
啊这，手里正好捏着剑盾
我永远喜欢宝可梦！！！！！
啊我死了
大木博士我好想你呜呜呜呜呜
太燃了
这个227代表着2月27日的宝可梦日
RED!!!!!!!!!!
NNNNNNNNNNNNNN
不会飞
太懂宝可梦了
玛俐我老婆！
我的老婆们
马俐太可爱了！我太喜欢马俐了！！
赤爷！！！
Ok!是致敬那首op吗
可爱
泪目
神MV
板木前面那个是赤日吧喂
好看
真是需要逐帧看
地板恶食大王
大木博士 我们想你！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
岩石馆主表情太草了hhh
美月好可爱！！！
奇巴纳啊啊啊
我对宝可梦的爱永世长存——————
大吾帅啊
竹兰竹兰
哭哭好帅啊啊啊啊啊
剑盾合集
刷特别篇的连自己喜欢的角色眼睛什么颜色都不知道吗
我哭得好大声
梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻梦幻
一切就此开始
这是绿，不是小茂
白银山对决怎么就是特别篇设定了
霞姐！！！
泪目
没有下一季了这季是完结
哭了 给我哭
泪目真的
循环n遍了
上次看这么刁的还是海贼王的广告
爷哭了
再来一遍
月莉莉太尊
就是没有阿罗拉冠军
古拉顿盖欧卡
直接上热门了！！！
满充在冠军之路最后发起挑战（飘起的彼岸花场地）
中村豐登場
N哈尔莫尼亚
奶奶旁边的是山梨博士
老婆们贴贴
泪目
大误算
白菜姐
聂梓！聂梓！
这是赤出家门前电视里的画面.4个少年在铁路上走
打在公屏上
遥
赤爷！
最爱藤树
找到最初看动画的感动
感动
千面避役  塔冰人偶  喷火龙  双斧战龙  坚盾剑怪   多龙巴鲁托
呜呜呜我的蛇蛇好可爱，合众人就想要历代御三家回来qwq
画成了我想要的样子
真老粉
恶系(右边探头)从上到下：默丹 花月 越橘 梨花
赤爷太帅了啊啊啊啊啊啊
RED！
！！！泪目
响啊啊啊！！！！！！
羊系大师
哇
博士们
莉莉艾和美月！！！！！
月莉！
历代博士们
历代御三家
这里全是神兽的影子吧
历代主人公
Let'sgo皮卡丘伊布
棒棒鸡的歌？
莉莉艾与我贴贴
大木博士C位！
这里它们帮他们把帽子戴上了
泪目
爷青回
这是！新的吗
啊  我被捕捉了
呜呜呜是历代主角们！
看到小田卷博士了！
再来亿遍
哭了
傻狗贴贴
四个男孩在火车轨上走！
我TM直接吹爆
骡子QAQ
这个背影我认识，不会飞的那个神兽
再来一遍
大吾真的帅炸
太可爱了
白银山对决是游戏剧情
大吾，米可利！
历代主角！
琴音和银！！
好激动(✪▽✪)
古拉顿红红火火恍恍惚惚
嘿嘿
像素我的天
Hhhhh不给爱丽丝露脸
我哭了
这里分别戴了赤红的帽子(过去的玩家)和丹帝的帽子(未来的玩家)
每帧都是惊喜
丰哥
剑狗和盾狗好有爱啊
小优好帅
Red  Red  Red  Red  Red
山梨博士好久不见
什么是国际巨星啊（后仰）
我要再去看一遍
啊啊啊啊啊啊
究极无敌大冲撞！
小遥和祐树好吗……刷特别篇的搞清楚这是游戏
历代主角
赤爷！
Red
感觉衣服不错
啊啊啊啊啊白菜姐！！！（）
再来亿遍
好棒
所以说那个长头发的男生是赤爷长大之后
决战白银之巅，阿金派出了电龙！
是月艾！
我永远爱库库伊
历代博士
伴我同行？
强
月艾贴贴
什么是世界第一ip(战术后仰)
丹帝丹帝丹帝！！！
redredredredred
注意 这个MV是讲的游戏的内容不是特别篇也不是动画分清楚
伴我同行！！
「四个人在铁路上走着……我也该出发了。」
瑟蕾娜！
阿迪克和爱丽丝击掌交替
艾娘啊呜呜呜
再来一遍
茂神
001奇异种子
四个人在铁路上走着......我也该出发了！
结果我第一，又强又厉害！！
水是流動的冰，冰是靜止的水
SP？！
感动死了
N！！！！！！
短片质量爆炸
有种阳炎的味道
好看
那是绿，游戏没有小茂啊喂
泪目
泪目
再来一遍
泪目
大木博士！
大吴!
爱丽丝哭了
黑白永恒
结果我第一，又强又厉害
\=
赤爷威武
赤红，永远滴神！！！！！
阿罗拉!
大吾！！！男神太帅了！！！
鳥肌
这是第一代电视对话的彩蛋
钓上来和不会飞
黑白!
N！！！！！！
赤爷牛逼
大吾!!!
竹兰!
绿爷!
赤爷
这里是中村吧
海皇牙
铁打的大木
敢动
等离子团
车长!
爱丽丝就一只手，那一只是阿戴尔
太好看了——！！！！
！！！啊啊啊啊
n透这你眼中有我我眼中有你也太好磕了吧！
啊啊啊啊好棒好棒
黑白的部分都好严肃
赤红和丹帝的帽子，属实牌面66666666
啊啊啊啊啊
绿爷还是这副嚣张臭屁的表情2333333
博士们！！！
御三家们啊啊啊
瞬间泪目
泪目
重温
看哭了呜呜呜
真鱼n的
赫普！！！！！！！！
我也该出发了
伙伴，一起出发吧！
棒棒鸡无敌
小银！！！！！！！
透也！
超极巨破阵火球！！！
小胜！！！
再来亿遍
阿巴阿巴
银与火爆兽！
tql
网易云单曲已出，要听的去搜棒棒鸡
我超喜欢的乐队了
再来一遍
一遍 亿遍就睡
大木博士啊我哭死了
罚钱啦
超梦牌面
6
6
7
hao
！
木木枭前排
棒棒鸡！
宝可梦世界第一！
赤红和丹帝的帽子，属实排面666666
绿爷还是这一副嚣张臭屁的样子23333
彼特彼特彼特
日月！！！
电视里的是四个人并排走在铁轨上，该出发了
露璃娜
南厦笑了！
卡芜
这不伴我同行吗
在冠军之路上拦着你非常抱歉，我想和你做最后的对战，可以吗？
玛瓜
火前留
索妮娅！！！
泪眼蜥！！！
炎兔儿！！
奇巴纳！！！
赤红和丹帝的帽子，牌面！！！！
菊草叶、木木枭！！！！！
露莎米奈
收藏和赞一样多，泪目
伴我同行
骨头社 我的超人
瑟妹和甲贺忍蛙！！
再来亿遍
