瘦了耶
来早了
非静止画面。。
哇～～！
吴恩师我看见你上过CCTV3的节目哦
非静止画面
不要在晚上听，会伤感
太强了
这是什么房子？
i want you！
热乎的
艺术气质提升
爱了爱了
来了来了
无敌
大晚上的把我听哭了
新鲜
.
要坚持唱歌呀！
父辈们有多少像你一样唱歌好听呀？都被生活磨掉了
来了来了，进卫生间听！
好听
沙发
来了来了
把币给你交了
来了来了
这个拖长音太好听了吧！！
该修鼻毛了
泪目
爱了爱了
哭了
在美国
好听极了
吴恩师，就决定考研歌单就是你了
没人了？都在哭？
爷爷陪着你
来了来了
神tm大晚上听哭了  3点半刚出炉滴
先投币后看视频
泪目
流啤
再来亿遍
叙利亚风格装修的录音棚，比舞台上的好听多了
正在修飞船的我哭了，差点飘走喽
大晚上的你们是魔鬼吗
哇哇哇
热乎
热乎
这是怎么收音的呀..
这要是直播不起飞？
妙啊
开口跪
ohhhhhhhh
太早没弹幕。晚上戴耳机再听一遍
晚上再听，好好哭一下
前面叙利亚风格装修是想笑死我吗
OHHHHHHHHHHHHHHHHH
听着     回忆往事。
唱哭了修宇宙飞船的我
我先三连了
爱了爱了
281人在听
太好听了哭死了
心痛了
↓，233333。
来了
听到有点心碎的感觉
撕心裂肺
好听
好稳啊。。天啊。。
来了
爷爷陪着你
太好听了吧
来了
爱了
插座线哈哈哈哈
太好听了
牛
开口跪
牛
梦你
苏F哭了
赞赞赞
春天花会开
喔！
这个水啊……
此曲无敌
学友是你
1
领子圆了
我一直以为是爷爷陪着你的海
妙啊
已投币
大我十岁的姐姐，我还是忘不了你，你喜欢的歌
鸡皮疙瘩……
冀A哭了
i了
maybe人家在国外
鸡皮疙瘩
蒙D哭了
川Q陪一根
粤A陪一根五叶神
声音好听
好稳
好听
终于更新啦
起鸡皮疙瘩了
来个见面会吧，好想现场听
共情
糟了，是恋爱的感觉 @_@
项浩你听的到嘛
糟了，是恋爱的感觉！
卧槽
啊啊啊啊啊啊啊啊啊啊啊啊
听着起鸡皮疙瘩，加油
豫c陪一根
我来长鸡皮疙瘩了
翻唱的每一首歌我都能听哭
这咬字，真的是i了
看我刷出了什么
川X陪一根
哇
听哭了研究曲率飞船的我
怎么那么好听呀
鄂B哭了  陪一根
泪目
这个心字和琴弦共振了啊
泪目
终于来了
太棒了
在火星的我听哭了
好听
瘦了啊，好好生活着吧
我在火星上泪流满面
好汀
仙林哭了
锰男哭泣
小露香肩
渝c陪一根
ohhhhhhhhhhhhhhhh
来了
鸡皮嘎达
汾酒一斤
赣B哭了。。
太好听了吧 哭
来了
来了来了来了
参加好声音吧
鲁C表示好听
看到学友我就投了
第一第一
宁A哭了
666
蒙B哭了
湘A揪心了
真的厉害
兄弟们把卧槽打到公屏上
老好听了
投币啊
63W了
鄂N有吗？
哭了
太厉害了
真的是太好听了啊
还是这个味道
你币有了
泪目！
皖N陪一根
终于更新了，等得我都石化了。
战术歪嘴
稳
不知道有国外吗 你们这么蠢的吗
别动不动就质疑别人 这个习惯真不好
装备升级，有落地扇了
起鸡皮了
老歌 闻
粤M哭了
来了
粤A揪心了
开口跪
好听好听
我死了
真的好听
好听
每次都投币
战术闭眼
黑B哭了
头皮麻
豫P来陪一根
ohhhhhhhhh
发歌就是首页
新AT﹏T
桂C-哭撩
吉A昏过去了
好听！
粤B陪一根
泪目
米尔萨普
我要这币有何用
你敢更新我就敢二连
泪目呜呜呜呜呜
太好听了吧
贵H觉得哥里有故事
牛
牛
比原版更有渲染力
老表来了来了
哭了
投币了投币了
背后走明线的插座瞩目
这里头皮发麻
芜湖
卧槽，我以为是 我就这一颗心。
惊艳啊！
沧桑的胡渣
故意拉长不太好
瘦了
冀B哭了
可能这就是天赋吧
太喜欢他唱的歌了，每首都三连
浙a还在
Woc
66666
张学友我爱你
这？？？？！？
热乎的
头皮发麻
这嘴爱了爱了
颚J一瓶牛二喝完了
先投币 再听
抽一根香烟，一起？
鲁b听了难受
棒棒棒
哭了哭了
牛
鸡皮疙瘩！
剪爱
稀疏的胡渣子
皖j也吃不消了
啊啊啊啊好听！！！
呜呜我喜欢！！！
唱歌好听的人啊啊啊啊
失踪人口回归
！！！好听
绝
好久不见，
啊啊啊啊真的好好听
参加节目时候选错歌了，选这种多好
就手机收音啊啊啊好好听
鸡皮疙瘩
前面的确实张学友有点哈哈哈
哭了
这就是强者的世界吗
太可了
神tm晚上听哭了哈哈哈哈
感情太好了
好听
头皮发麻
牛逼到爆
蓝色
头皮发麻
开口跪
牛逼
我tm直接火钳刘明
直接三连好吧 不多bb
币只为你而留
无敌！
哈哈哈哈中午绝了
提前网易云
鲁E哭死
先投币再听！！
听粤H哭的声音
白嫖失败
瘦了
好声音黑幕太多，没关系没财力上不去
歌唱的一般，主要是来看人的
哪怕有一粒花生米，哪怕有一粒，我也不至于醉成这样
鸡皮疙瘩无限掉落！！！！
这歌声太入人心了！！
粤G哭了
高手
开口跪
粤G分手一个月了，陪一根
大哥瘦了啊
同好想听现场
好！
泪目
贼嗨森
热乎热乎
非静止画面
好听
爷爷陪着你
巨无敌
先赞
卧槽 起鸡皮疙瘩
鸡皮疙瘩
车东宇你好好过
直出cd
声音在颤！
来了来了
剪头发了！
绝了
好！！！
wow
si
up主能唱一次车站吗
苏M哭了
闭上眼睛听真的好深情啊
牙齿不错
卧卧卧卧卧槽
我看透了他的心~~
皖B
网易云知乎内行
桂k哭了
原生态唱法
牛逼啊
很难唱的歌…
好听
冀B很感动
无敌了！！！
awsl
厉害厉害
来了
首页通知书！
希望来一首江南
像你身上的味道
厉害
感动哭了
战术后仰。
woc
你币又又有了
wooooo
浙B哭了
颜粉+1
哇真的开口跪
来啦
川X没得海
666
北京炸酱面一碗
1438在看
想听 我真的受伤了
情感酝酿的好好呜呜呜
好听的！！！
中国好声音没有你我不看
好听到哭
贵J 迷失在东莞
+++++++++++++++++++++++++++++++++++++++++++++
什么设备都没有，唱到这个水平....让多少歌手无地自容
卧槽
1496在看
好声音啊
我爱了！！！！！！！！！！！！！
收音设备差了点，可惜
厉害
这拖音
豫c陪一根
也太稳了吧
好~
牛批牛批
浙B别跑，宁D来了
好美的歌声
火星的那个别跑！
1605在看
好美的声音啊
牛B
卧槽
粤A哭了
模仿嘴形：OOOOOO
我的鸡皮
牛皮
陕A哭了
粤K哭了
李圣杰？
来啦
建议最小化 听歌
晋D怀念从前
起鸡皮疙瘩了
柳陂
啊啊啊啊啊
啊啊啊啊啊啊啊
泪目
开口跪
中国好声音会被淘汰
开口跪
热乎的
b站年会必须有你
？？？
我哭的声音
好听
UP有网易录制版么  求求你了
桂G哭了
路晓丹你好好的
妙
太强了
终于来了
贵J一直在
普通话好标准，不像两广人
up瘦了啊
赣B觉得很赞
粤E哭了
颤音太舒服了
热乎
我要这币有何用
皖A提一杯
同黄石
湘D陪一根芙蓉王
老哥唱得好好听
牛逼!
上一次听呆了我，这次弹幕给你刷爆
想起那个普法栏目剧了
太好听了叭叭叭叭叭
鼓掌
"爷爷哭啦,"
666666
颜粉
浙J：度笑好听
开口跪
为什么他唱歌 满脸都在动
桂A直呼好听
好听
第一句就哭了
鸡皮疙瘩
留着晚上听哭
?!
鲁S泪目
颜控，听啥声音
东北哭泣
牛*
我要这币有何用！！！
表情学友化
666
6
好有特色的声线
来了
哭了
人比弹幕多
有吉他，不算清唱吧
听  我哭的声音
门漆是后来喷的，牛批
苏D：好听
皖C已三连
粤k陪一杯
6
孙浩你咋这么胖了
原唱杀手
浪都哭啦
开口跪
这颤音听的我心脏跟着一起颤
好听
原生态毛坯
强啊
气质这一方面，拿捏得死死的
牛皮！大佬！
白嫖失败
2000多人听 好听
浙C
声音盖过多少明星
想你身上的味道
瘦了
桂c泪目
up主该有一个称号
豫A陪一根
桂K爱了爱了
辽g已经三连
来晚了三个小时
不夹壮什么能说你是广西的
666
牛逼
"闷啊,喝啊,卧槽,闷啊,喝啊.好厅"
高手在民间
豫B止不住泪流
起来听歌了兄弟萌
熟悉的红砖背景墙
ohhhhhhh
熟悉的背景红砖墙
湘J在此
好
人在美国，刚下飞机，已哭
瘦了
祖传嘴型！
瘦了啊兄弟
轻轻掐了掐脖子，我好菜
牛皮哦兄弟
甘A也陪一根
"塑料袋化嗓音,好汀"
再来亿遍
强强强
awsl
wocwoc卧槽
这后面的门和墙不搭啊哈哈
辽H哭了
阿妹经典
真的好听啊！真的有人benlai
开口瞬间治愈
粤s
我爱阿妹
恩师有眼光阿妹的表哥好听
台A听哭了
听海
赣B听哭了
张惠妹
不错
云M以哭死
太强了
云D哭泣
大伙都是有车一族啊
闽E泪崩
比原唱好听
阿妹
amei
皖A已经抽了一包烟了
可是泪水
赣B哭了
冀J哭了
卧槽卧槽卧槽卧槽好汀
卧槽
副歌太稳了
卧槽开口跪
????
川E已哭
台B报到
贵F好难过
好好听哦
头皮发麻
跪拜
鸡皮疙瘩
唱的真的好
粤w来陪一根
在现场，我是电线
琼b在此
太绝了！！！
2630个朋友你们好
开口跪
为什么我一个连初恋都没有的人会有泪目的感觉
好听
泪目了XDM
鲁L听哭了
卧槽太好听了吧
粤T陪一根
桂B觉得还行
泪目
晋B泪目
索马里哭泣
爷青回
白嫖失败
闽F哭了
漠河在哭泣
好听的
好好听
粤S已投币
毛笔哭泣
鲁A感动
好听
为什么听完第一句突然泪目了
好听
6666
投币听歌哦
鲁Gi了
记得投币听歌哦 
开口跪
辽A闷逼哭泣
粤J听哭了
