太浪漫，温柔
来了来了
66666好好听
好听
岁月不饶人哎
very good
回忆满满
回想起小时候天天在家看理查德DVD的时候~
睡觉(＠￣ー￣＠)
？？？？？
钢琴曲:水边的阿狄丽娜
welcome！！！
(づ ●─● )づ
永远的钢琴王子
欢迎到来
太厉害了
自己给自己配BGM.
承包王子
合影!
啊…果然不管听多少遍都好好听啊
听着好舒服
震惊
Welcome art and artists. My account level is 6.
学校10分钟休息铃声，现在一听就想睡觉
好听！
(∩˃o˂∩)♡
前200弹幕留念！
大师！！
太舒服了
午休铃!
求bgm
好听！
开头见
到此一听
哇啊啊啊
小时候听的黑胶碟。。
bilibili
感谢有你！！
3000点赞
童年记忆
上课了！！！
真·大佬
203
bilibili欢迎你
自己配bgm
真的喜欢
这粉丝数量以肉眼可见的速度增长
现在粉丝还没破万
英语听力？！
好和蔼可亲的亚子
北师大教学楼晚上关门前的铃声！！
晚安…
啊啊啊啊啊啊啊啊啊啊欢迎！
水边的阿狄丽娜
童年的回忆，磁带的年代啊！
这谁还敢在音乐分区混啊！?
好温柔啊
留念
好有感觉
童年回忆
暴露年龄
与大师合影留念，从小听您的作品长大
一直想去听音乐会来着
welcome！
睡前逛了下B站真是太幸福了
放学了～？？
盖好我的小被几
welcome!the prince of piano
大师在太原的音乐会我也去了！
瞧瞧我发现了什么
双井ume华星cgs厅的候场音乐
哭了，以前只有去新年音乐会才有机会听到
我们中午的午休和下午的饭后铃声
童年
蓬荜生辉
欢迎呀
再弹这首我就把你钢琴扬咯
感动
真是太棒了
喜欢
Welcome to bilibili! 
爱死这小破站啊。。
好美
我的天啊
致敬，谢谢您。
前2000……留个念吧…
♥♥♥♥♥♥♥♥♥
同学们 上课时间到了 老师 你们辛苦了。
享受
转转转
高中放学
为王子献上弹幕
真的好听
长沙洒水车的声音
太棒了
CD党路过
感谢您让我们领略到音乐的魅力！真的太好听了
啊啊啊啊啊啊好好听
现在变钢琴老国王了
这必须不能白嫖
大师！！！！！！！！
小时候都是听他的钢琴曲泪目啊
太好听
给理查德来一杯卡布奇诺
下课了
Bonjour
好听，从小就喜欢听
71岁的查尔斯王子要继位了
原
原奏
大神！！！！！！！！！！！！！！！！
音乐生们赶紧给我三连
好听
这个声音太熟悉了！
我男神的钢琴曲我真的爱了
超爱
i like you 
i like you
很好听，爱
舒服～
ilike you
天啊，活着的男神，太棒了
膜拜大佬
以前电视点播台的背景音乐就是这个
回忆啊！！！
7小时，现在2万粉丝
我的天
梦中的婚礼，致爱丽丝，水边的阿狄丽娜～～记得还是用磁带听的
水边的阿火丽娜
我的催眠曲，
cd和mp3的年代
下课了
啊这个音质我死了
真好～
牛批牛批
啥时候和腾格尔老师合作一个
撒花
爱了爱了
留念
谢谢您的曲子伴着我
欢迎！！！
真的老了啊
永远的王子！
我终于知道b站股票为什么大涨了
Bonjour~
全球总播放量几千亿次了吧
听他的钢琴曲 感觉很美好
上课迟到了，快跑
欢迎欢迎，我的梦啊
图书馆闭馆了
青春回来啦！
哇～～～大神(　ﾟ皿ﾟ)
水边的阿狄丽娜！！！我第一次听的就是钢琴王子的
有生之年
怀念初中3年睡觉的时光，不管多困听到这首音乐，精神倍爽！
爱了
我才上幼儿园是老妈就给我放着听了，现在已经已经大一了，，好怀念
高中时候的饭堂音
致敬
啊！爱了爱了
投币啊三联啊愣着干嘛
love this
真男神 永恒的音乐
欢迎
每天回家放起CD做作业
竟然没有人
小时候因为喜欢听钢琴王子的钢琴曲去学了小提琴 哈哈就像四谎一样 可惜没能坚持
别，别弹了，啊，上课了
太棒了，欢迎您！不愧是大师
遥遥记得有人和我说这首曲子叫《河边的村妇》。。
大爱
当年初中放学铃
NB
话务员全忙，请耐心等待
下课了
泪目，王子都老了了，我还有王子的全套cd呢。
同学们老师们辛苦了 下课时间到了
熟悉的感觉
坐火车经常听
好听
好听
啊啊啊啊啊啊啊泪目了
自助餐最喜欢放这个曲子
我们这洒水车这声音
水边的阿狄丽娜
OMG
哇，心里就静了下来了
爱爱爱爱爱爱爱
精彩
水边的阿迪达斯？
哭了有生之年
哇，我的童年回来了
大师
泪目
自带bgm
曾经的王子变成爷爷了，岁月啊
从小就听您的音乐了
有点儿想哭了
水边的阿狄丽娜
打烊了
欢迎您～
商场下班了
听不腻
合照留影
图书馆关门了
好好听
好温柔
好感动⊙_⊙
必须炸出来
熟悉的音乐！超好听啊
青春回忆
好浪漫
神奇
电话待接听铃声
有尖顶的巴黎圣母院……
好熟悉啊
放学了
卧槽
欢迎啊啊啊
北师大教学楼关门铃声的别走~我昨天刚听一遍
哇⊙∀⊙！我也是前两千弹幕啊！
哇⊙∀⊙！我也是前两千弹幕啊！
和我同一天生日的钢琴王子!
每跟手指保险十万美金
bon voyage
经典永远不会过时
好好听啊
真的童年回忆
真实泪目
真的泪目
从小时候就在听了！
welcome！
太感动了(ಥ_ಥ)
我爱这一段！
哇 这熟悉的声音
留念
太棒了！
我的妈呀，我居然听过
常来呀！
别做年更up主呀~
留名
啊啊啊啊啊啊啊啊 
太棒啦！！！！！
我枯了
我是前两千条弹幕啊！开心
太可怕了！大佬居然这么近！！！！
这是我初中午休结束的铃声。。。
神仙！！！这怎么粉丝这么少！
Bonjour 
卧槽见证历史
ohhhhhhhhh
ohhhhhhhhhhhhhhh
ohhhhhhhhhhhhhmm
欢迎王子哈哈
真的假的
哭了，童年的音乐啊
放学啦
牛逼
大师
大师!
b站牛批
大师的歌陪我度过中学时代，谢谢
爱了爱了
！！！！！
好悠闲的音乐~
我一起长大的邻居小时候天天弹大佬的曲子！
一生热爱一件事真好
真的是我童年回忆
哦哦哦哦欢迎大师!
b站牛逼
同学们，马上就要上课了
大师，初中时疯狂的买他的磁带。。。
感谢乘坐东方航空，我们下次旅途再会
大师大师
第一个视频留念
奇怪，明明这么温柔的曲子，为什么听着听着就落泪了呢？
有段时间老听这首歌
晚上的熄灯零食
瞬间五万粉
超好听的
Hi helen
太好听了。。我竟然流泪了。你
点播台点火影啊
杨老师，张若兰的小背心真不是我扯掉的
钢琴老王爷
水边的阿狄丽娜？
好神奇 怎么会有人作出这么温柔的曲子
欢迎
nice！！！
图书馆关门了
哭了
放学啦
好听
欢迎！！
我枯了
放学了晕晕晕
男神也老了！
干杯哔哩哔哩
这首曲子是大师献给世界的礼物
哔哩哔哩NB
哭了
大师大师
回忆啊，tm青涩
回忆啊，tm青涩
BGM之父
座机电话铃声
优雅的绅士，历岁月而更醇厚
欢迎欢迎
太熟悉了
爱了
欢迎欢迎
啥，学校广播这首是他的？
欢迎欢迎！！！！！！！
好听好听！！
来了来了
以前不让看电视，就听这位大师的钢琴曲
不会法语。。呜呜
大师身体健康
爱了爱了
最帅的钢琴王子
太好听了啊啊啊啊
我也是老粉了
老爷子来啦！
上课了，别玩了
致敬
考试了
哇，老男神来啦！么么么么么么哒爱你
祝大佬长寿健康
克莱德曼三部曲特别好听
Bonjour
梦回小学
他在发光！
有内味儿了
初中的时候最爱听他的音乐睡觉
有点感动
