来惹
播放量1！！！
第一第一
牛
咋了，隆鼻了？？？？
来了来了
1
哈哈哈哈哈哈哈哈哈
原来开了的
啊啊啊啊啊
还挺早哈哈哈哈哈
前排哈哈哈哈哈哈哈！
豆奶奶好棒ヾ ^_^♪
我来了
看完就去考古
来了来了来了
豆奶我来了
1
热
可
有
我喜欢你的大脸
111
画的好好哦
来了
以前还是有包袱的哈哈哈哈哈
是的是的你最好看
美女你谁阿，奶奶还我
1
！
拍片，滑稽/
交出黄衣小改改
哈哈哈哈哈哈哈哈哈哈
嘿嘿
好可爱
加油
我的天哪
纳豆好厉害啊
？
还是前排
卡在了奇怪的地方
？？？？？？
666666
继续前排
抽脂？
??????????????
你不要过来啊
哈哈哈哈哈哈
奶奶奶奶
你胡扯！
还是热的
来的太早了，真烦，也没人
奶奶冲！
豆奶加油！
你谁
这该死的肥美
纳豆辛苦啦
加油哦
今天来得早啦
失踪人口？
？？？
泪目
我去，好漂亮
对对，赞同
美女你谁
植髮
豆奶加油
画的不错哈哈
来早了没弹幕
辛苦啦宝贝
来了
基基的点
好看
？？？？？
。。。
？
当时多好看
？？？？
天啊好辛苦
字好可爱呀
我好早
并没有
哈哈哈哈哈哈哈哈哈哈
加油
加油！
綠得法律
映射
2020也要加油鸭!
哈哈哈哈哈哈哈
豆奶棒棒棒！！！！！
好看啊啊
加油
豆奶加油！
哈哈哈哈哈
好厉害
辛苦了
这些已经很多都看过  哈哈哈
纳豆好厉害
拉了个双眼皮？
爱你(ɔˆ ³(ˆ⌣ˆc)
你可以！
承包
加油哦
什么基基的点？
美女你谁？
画的好好啊
对是这样
海草海草海草
听成了基基的点
纳豆奶奶冲冲冲冲
哇哦
辛苦啦
这个决定真有勇气啊
画的好可爱
好暖
美女你谁
画画好棒
金瓶梅
哈哈哈哈哈哈哈哈哈哈
奶奶超棒
少女奶奶好可爱！
纳豆居然这么中二
好看！！！
暗示自己越来越胖
我的天！我爱了！
好好休息鸭
好厉害奶奶
你超级棒！
点赞的赞写错啦啦啦奶奶
哇！好漂亮！
妈耶我差点信了
好漂亮
基基的点
纳豆奶奶加油！！
好厉害奶奶
剖腹产啊！狗头
原来这个视频是你？？？？？
才八斤，我考研胖了20斤
牛批!
爱你
加油
有带来快乐！这是最了不起的事了
？？？？？？？？？？？？？？？？？？？？？？？
你很棒
好可爱！
正在熬夜的你们
纳豆好棒好棒好棒
厉害厉害，很多人都下不了这个决定的
厉害！
辛苦了
奶奶加油
字写的真好看
现在也很漂亮呀
真的爱你
我幻听了
好优秀
痔疮手术？？？
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
画画好好啊
下面的是胡子吗
来了来了 55555爱你爱你
字好好看
奶奶画画好好
我就是看那个搞笑视频入坑
加油！！
哈哈哈哈哈
真的是很美好的一个人，看的人浑身正能量啊
加油2020
我卡了
弹幕呢
奶奶最棒！
画的好好
np！
早
加油！
好看
我一直以为奶奶在上大学呢好厉害啊
太棒了吧
好棒
为什么我感觉到一股恰饭的味道
美女，你谁啊
奥力给
纳豆奶奶畫自己的時候別開美顏（狗頭）
画技太好
美女你谁？
你这看的什么
好看
8213人
豆奶加油
可爱画风
hhhhhhh
奥利给
美女你谁
画的好
割四眼皮？
某乎哈哈哈哈哈
看过
666
？？？？
取关
赞写错了哈哈哈哈
榨干自己？？？
豆奶加油！！
谢谢奶奶鼓励
太勇敢了吧
：）
你没有
奶奶太优秀了！！！！
三连了
长按。。。
美女加油！
可可爱爱
加油
纳豆少奶
奶奶的画工很好啊！！！！！！！！
这么强啊
你可以的，加油！
我为什么看到了金瓶梅？？？？？？？？
年龄和能力没有关系啊，厉害的豆奶
好康
加油
辛苦了！
颜色很好康呀！
哇，没胖之前这么好看呀，啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！！！！！！！
纳豆超级棒！
前排嘿嘿
同款彩铅！！！
豆奶真的很厉害啊
前方耳机党注意！！调低音量！！
所以现在豆奶是全职up
？？？
红红火火恍恍惚惚
注意到那个JJ的点就好了
奥力给
纳豆奶好强啊
真的大胆，起码我不敢
豆奶你已经很好了！！！你真的很棒！！！
那一夜？
来了来了
看你的视频真的很开心！！
金瓶梅???
…！？？？？？
kkkk
是你! 他拿卡 先生!
王钢蛋同志真的好久没有出来了想念
热的！
好可爱鸭
纳豆奶奶超棒的呐!!!
热乎的
哈哈哈哈哈哈哈哈哈
来了来了
奶奶从现在开始你是我偶像了
演员
奶奶从现在开始你是我偶像了
奥利给，加油！
豆奶还留过公主切啊 好看
出道吗
加油，奶奶
我好像又不是那么喜欢了(狗头)
双下巴！！！
真的好看鸭
基基的点我没听错吧
你就是最棒的
我是从你街头汉服那一集来的
那你是去植发了？
可以
每当这时就当自己在登山，正是腿软时
你超棒的
美女你谁啊
纳豆因为你真的值得！
双眼皮？
好棒
辛苦了！
胡一菲的笑声？!
来了
终于来了
？？？？？？？？
美女你谁？
来了
我也看到了金瓶梅，但不确定就没说
你是谁
奶奶hei美
哇哇哇
应该这样  ：））  一个是嘴  一个是下巴  
醒醒 你有三个下巴！！！
十级美颜
这脚印是在暗示你越来越胖了吗？
画的真好
画技真棒
美女尼谁啊
厉害
好优秀
那时候开始看的
她是当年的纳豆少女吗哈哈
不是海草海草吗
奶奶加油啊
胖虎
太惨了，原来奶奶是这么来的
我当时也很纳闷
？？？？？？？？？？？？？？
奶奶？？？
加油，奶奶
奥 利 给 ！
那段时间豆奶真的很不容易
感觉还是工作的好
魔鬼舔舌
真棒！
？？？这么猛？？！
小手术！
好棒哦！
美女你谁啊
信息量好大
豆奶辛苦啦！一直一来感谢你的陪伴，2020也要加油啊！！！
豆奶好棒啊
画的太好了吧
hhh
然后就成了奶奶
8斤
怪不得豆奶的发际线堪忧
豆奶真的厉害啊
笑中带泪的感觉
下次一定
真的很有勇气的决定
美女你谁
岁月真是把（    ）
我幻听了
你很棒
原来那个时候脸就那么大了。
于是快秃了
漂酿！
卧槽牛逼
纳豆好棒！！！
哈哈
苍井
明明是你胃口变好了2333
？？？
加油加油
豆奶真的好厉害啊！！！！！！
美女你谁
314.4万了
？？。
奶奶考不考虑让钢蛋再出来呀
基基
莱莱
你看你这汉字写的 写错了！！！！
不有趣？你超级有趣好吧！男女老少都是你
哇塞呀
牛逼啊
太不容易了
字好好看
之前不是说在日本企业工作了很多年嘛？
啦啦啦啦
豆奶棒棒哒
画骗
岁月啊
全身心的工作不好吗
哇哇哇
我也一滴都不剩了
整容吗
辛苦啦！！
咋咋咋呀呀
加油！你很棒！
加油鸭。奶奶
看到弹幕的，速度三连！！！速度！
怎么有回声了呢？
优秀
感动
来啦！
画的好棒！！！！！！！
植发了？？？
整容了吗？
豆奶辛苦了
2020继续陪我们啊
加油
美女 你哪位？
我幻听了
好好看
加油!
哎？我好像在电影里看过
桌子上放金瓶梅？？？？
你真的很棒！
啊啊啊啊啊啊啊，我就是这个视频粉上豆奶的！！！
整容归来
画得挺好的，字也挺好看的
这个小城市不会是枣庄吧。。。
你同事看吗
因为你有我们这些强大的后盾呐：））
真的好厉害
rydeen
套娃?
拔牙？
吃饭时间到
我不能够后退，因为不是绿叶～
哦，是吗
牛逼
终于整容了嘛
割双眼皮？？
现在也不差呀
纳豆少奶
无痛》
厉害
秃了？
来了！第一次这么早
