hi
？
火建人
恐怖进度条！！！
3.20还有2000多人太离谱了
大章鱼印象深刻
真的希望DNF出个电影
大半夜2000+
hh3点了
娜迦？
3点多了，还有两千个马喽和我这个大马喽
666
天帷巨兽
抛开荣誉便只剩苟且
凯丽好漂亮
第八使徒——罗特斯
漫游yyds
2000+啊凌晨三点
200+
不困
gsd永远滴神
红阵加满
流心刺
套你大嘴
777
有才
真应该让官方的人看看什么叫Dnf视频
赛丽亚就是第十三使徒，剧情已经出来了
牛逼
真爱啊
牛啊
2000+
之前只有十个使徒不算，后面和米歇尔一样加塞进来的十三个使徒
卧槽，果真国庆不睡觉？
片头好长啊
墨竹，贤者，梵风衣，细雪之舞，龙鸣套
鬼见条
无色狗
gbl教也就是哥布林神教，也叫搞比利教
gsd带我打天空之城，历历在目
2000+
2000人再看
陈靖怡我爱你
咋和你们说的不一样
呆呆兽YYDS
855加  唉
现在的剧情里 卡赞是想当第三方 并且奥兹玛最主要的封印就是卡赞加上的
卧槽，牛逼
魔刹石涨价了
巴隆
牛啊牛啊
今天  又是充满八万的一天
3000在看
爱了
好惨的两人
卧槽
卧槽
赫尔德的脸
弃坑3年了
火钳刘明
狂龙
狄瑞吉 DNF史上最悲情的角色
大半夜3000+
无敌
小伙子你悟了 没荣誉就去打boss就是沙雕
全站5000+观看
3000+
奥兹马和卡赞最早设定是鬼神和死神签订了契约。被吃书了
莎米拉绷不住了
1.41分 3000+在观看
哈哈哈哈哈，不睡觉
三连再看
卡赞！！！！
现在凌晨1.35
我15秋叶刀炸了
3000加
肝帝牛逼
很早就希望dnf能出个剧情从头到尾的视频
卧槽
UP你发了2遍？ 我看完了都！！！！
3000+
nb啊
僵尸3000，单带5000
牛蛙牛蛙
三千+
男大叔呢？
少年回忆，国庆节期间的最强大制作呀
大家好
流放者山脉
虽然老马坑，但是盗版的是真的菜
就尼玛离大谱
电影可以，游戏不必，兄弟们
全是二姐的傀儡
RNM，退钱！
是的
大制作
网络连接中断
400+
是
初恋啊。
功高盖主，唉，卡赞，奥兹玛也是可怜人
哈哈
4000
6666
这是官方素材剪辑的吗？
我直接棒
地下城与狂战士
握草
剪成电影了
十月一日在看
牛逼DNF这么多剧情了？
6
我傻了
这是我的青春啊
是的
卡赞（林冲）风雪山神庙
爷青回！！！
4k
"rnm,退钱"
我去，这么长。。。
4000人？
升级副本不应该那么简单，没有乐趣了
网络连接中断
你币有了
牛逼啊
叮，武器祝福
1557
dnf是什么
疯狂屠戮
DNF满级50-60级的时候 那是我最青春的三年
DNF大电影！
自从没有我柔道的位置后我就没怎么玩了
这个时常牛逼
我挺喜欢地下城与勇士剧情的
牛牛牛，冲冲冲
鲸鱼
12：22
卧槽是实时四千人吗？
带僵尸王者8000金币 还差1个
12.21
真。爷爷青回
我愿称卡赞为全服第一红眼
屠龙的勇者终成为龙
GBL教=击毕儿教
5000+
5000+
很长，但他是我的青春
怯呀，
第二脊椎攻坚战
5000+在看
不会现在还有带僵尸王的吧
卧槽
有的话吱一声
5000+
有没有人
我记得曾经地下没这么多使徒，这些是曾经的使徒，被除名，现在又拉回来了，也可能当时我小，记错了
雪山雪山
5000+
是的
gsd天空城，回忆啊
快去请旭来佛祖
兄弟们，国庆快乐！
凯丽我的女神！
12.03
00:00  5000+
500+
赫尔德疯了
配音像亚索
2w带JS
是的，混沌使徒奥兹玛
现在dnf的视频还能5000+人观看，泪目
厉害了我的哥
拜见师父
你这时长好夸张
5000+
卢克大人呢？？？
这么长
不是功高震主，是皇帝被迷惑了
卡赞的诅咒
5000+
狗托
5000+在看666
5000+
6666666
5000在看
曾经在地下城的日子啊
5000+
握草
5000+
硬币拿去
成龙历险记？？
500+
5000+
5000+
腾讯打钱
一场毁天灭地的战斗后，你发现需要10套才行。
哥布林：没有我帮你升级你谁也打不过。
离大谱，5000人看
 太古之初，存在双至尊
吾乃疯拳流大师，疯振
三个小时是认真的么？
5000+了
瞧瞧我发现了什么
刀魂之卡赞
5000+
顶上去 首页通知书
澳柯玛
等我洗完澡在来看
5000个兄弟你们好啊。
勾起回忆
进图丢十个灵魂晶石带王的遗迹
牛逼
流放者山脉
5000+
5000+
强呀
666
GSD！！
青春？
5000+
免费带2+4 来个回归刷币
NBNB
这，，，，直接三连了啊。。。
大制作
23.33
卧槽
5000+，热门进来
什么时长卧槽
三连 拿走
5000+
5000+
牛逼
5000+
强呀
。。
卧槽，牛啊，你得到我的币了
5000+
哎呦 不错哦
不用看了，冲着这时长这次一定
：
卧槽，牛逼
5000+
赛丽亚
5000+
死神
同5000+
？
看着dnf倒数着国庆
针不戳
实时的扣个1
5000+了
狗哥，是你吗
1500+
等我的黑暗武士
卧槽
牛逼
冲8w算什么，我都是一小时12w
狂龙赫斯
风往东边吹
看这时长给你点个赞
想当年带着天空之城开拓者是那么荣耀。死神邀请是那么牛壁。回不去了。。。。泪
5000了
奥兹玛当然是使徒
5000+
这感觉是蚁裳顾命。深海主宰啊
坏女人
5000+
牛逼啊
9.30 23:14 
有生之年不知道能不能等到官方出一部这样的剧场版
地下城好久没玩了
！！！！
23.14的
就离谱
5000+
卡赞的设定已经被吃了
最弱使徒――罗特斯
5000+
快去请旭旭宝宝
刀斩肉身，心斩灵魂
5000
五千在线
裂缝回归求带+++++++++++++
5000+你们好啊
齿轮＋魔法阵
奶妈回归+++++++++++++++++速通
5000+正在观看就离谱
刺激
5000+
大家好
五千加正在看的兄弟，我顶你们的肺，都给我把钱交出来
好
卧槽，这进度条
厉害了
ohhhhh
还挺正式
5000+
感觉应该换个题目，没多大吸引力。
5000+
5000
5000+了好兄弟
5000了兄弟们
5000+
大制作
5000了牛逼啊DNF
打团啦打团啦三牛来老板
风拳，刘大师
来个回归爹
看题目就值得来个赞
坏女人
4000
卡赞的诅咒
有那味
11:03
奥宝快跑！带着卡赞和丽兹快跑！
守护冰心少年
搞比利教
全都是我刀下亡魂
没看直接三连
假野猪天下第一！
官方直呼卧槽
卡赞的诅咒
怎么没看到卢克。。
800W勇士在看吗？
当年280hp卡在这出
离谱了，每次DNF都会上热，为什么
禁地
1
赫尔德什么时候亮血条
牛逼
卧槽！！！！！！
卢克呢？这么没牌面吗
2个小时多能吸引人
GSD
4000
这片头绝对是大制作
毒奶粉官方直呼卧槽
卧槽
大晚上看亮瞎眼了
有的冒险家被俘虏，有的变成石头，有的。。
老是搞这种白屏干嘛
冒险家死了好多
天帷巨兽
碎觉 明天看
皇帝好像还抢了卡赞的老婆
上热门了
np
泪目了xdm
不，是背叛！
这时长牛逼啊
二姐，别废话，有能耐你亮血条。
侵权警告。小心去南山打官司
毕业就在眼前...网络连接中断！~
知道卡本西斯的举个手
极昼，气功师教你做人。
光之城主
卡赞被三觉鬼泣秒了
野猪套
我是风拳流大师，风振。
1.3W赞  1.3W B
热门预定
现在最新剧情到哪了？赛丽亚到底是不是第十三使徒啊？
？？？我发现了什么
牛逼
牛逼啊
先三联再看
牛逼克拉斯
666
打三牛了
厉害厉害
戒了六年了，还是挺怀念的
时长感人
22.37有人无
刀魂卡赞
它来了它来了
刚好晚上看电影明天国庆
奥兹玛
罗特斯
看个电影很多人在线正常
天空之城怎么走？
4000
肯定算啊
我选择审判
是的 奥兹玛是 使徒
有没有大佬讲解一下
这里的国王被爱丽丝污染了
这长度？？
今天又是充满希望的一天
刀魂
刀魂
刀魂
功高盖主
4000个兄弟你们好
地下大电影
这是游戏里的画面还是动漫里的
牛啊
赛丽亚的眼睛好看
牛掰啊
是时候开启转职了
11111
掉线城与虚弱勇士
伊西斯版本150W战法无缘无故葑号10年，TX腊鸡
这是真牛B了啊
4000
赛利亚，rnm退钱！
1800多的hxd们你们好啊
握草。。。。
我大受震撼
留明
4000
大制作
搁这看电影呢
牛逼
百万开头
08年好多好友下线再没上来。
不容易，
阿拉德都炸了，还看个毛
只玩狂战
卧槽
这片长太牛了
卧槽
这个进度条离谱啊
牛
虽然不玩了 但还是感觉到了up主的肝！！三连了
亮血条吧
火钳刘明！
会得到我三连
猪头
wc4000＋
字幕不是双语，差点味儿
4000＋
卡赞跟奥兹玛都挺惨的
死左天下第一
时长牛逼
夹竹桃天下第一
已三连
我喜欢，真不错
奥兹玛三牛求带！！！！！！
喜欢欢乐向的可以看阿拉德战记，可惜只有一集
离谱
2+2开回归？
↑↑＋space
大制作
先三连，有时间再看
光环加身 
先点赞致敬
我装备上12炸了……
魔界人天下第一
就tm离谱
多说无益 亮血条吧
然
这个拿法杖的是成为使徒之前的奥兹玛
赛丽亚，你还好吗
nb
3000+离谱了奥
全站3000+
DNF的剧情确实很好 
飞鸟尽，良弓藏
跨六求带三牛
这个女人她骗了我好多金币
爷青回
→+空格
赫尔德派爱丽丝去迷惑皇帝说奥兹玛和卡赞会夺权，卡赞被外派，皇帝让奥兹玛去把他抓回来
先3连了
火钳刘明
妙呀
奥兹玛只是解放力量，他本就是未觉醒的使徒
3000+在看 9.33
好耶
是224，不是2+4
当初最经典的剧情
卧槽
它只是想喝水啊，它有什么错（滑稽）
3000+
3000+
风拳流大师风振
假猪套天下第一
第十三使徒是谁
3000+了兄弟
3000+
3000+
3000+
9.21
3k+
3000+
3000+
进度条满分
3000+人
3000在看
白嫖党第一次3连
