我等着方天画戟
为什么不原速放呢
好多杠精啊
舒服
没事，门口有准备了2车摄影师
怎么这么多杠精，这个特效加的很棒啊！
可以知道一件事，绝对不是铁的，还可以知道一件事情这些不会很重
糟糕，这是初恋的感觉
我也觉得
外行看杠精，内行看手法
同感特效和拍摄都挺棒的，继续加油，期待能做个系列兵器谱，认识一下兵器
苗刀
刚才弓的手法不对
想看原速
这好飒
丈八蛇矛居然这么短？
这个锤大的夸张，是仪仗用具
穷文富武，只能看看了
厉害啊
找机会振她一下
牛哇牛哇(⊙o⊙)！
闰土
比王者荣耀的动作都潇洒
卒
哇唔～～好帅
哇唔～好帅，好美，干净利索
打不过 打不过 打不过 
想开点儿
卧槽，这个短剑是怎么归鞘的
好帅啊好帅啊
中华苗刀！！！
看到后面发现一只润土
哈哈哈哈
画面剪辑和音乐超配，卡点过于舒适
燃爆了，好飒
其实吧 我觉得 一样兵器练到牛x 估计也得一年 这二十样兵器得多少年
飒
传统弓的给演示下呗
很不错啊！
评论区武器大师好多啊
下个赛季帮你抢贾克斯
别的咱不知道 但就这武术动作加上剪辑看起来是真不戳
这个锤子就过分了，古代的锤类武器可能超乎你想象，正常也就香瓜那么大，对的你没看错，香瓜那么大
4444个赞 不忍心打破这个数字（doge）
这不打好几个我
是继续换摄影师么
NB
闰土
武术操，可以看看，别上头当真，会被打死。
太帅了吧
比现在武侠剧武打场面好多了
师姐恐怖如斯
师姐好
打不过打不过。
差个刀光剑影
要说最厉害的武器，还得是在座的一些人的键盘了
鱼获鱼获
这才是真的剑
lei
吴钩
点个关注吧（拔剑）（不关注劈了你！）
这不是长枪，这是花枪，另外如果剑只是拿来刺的话那两边开刃干啥？
水壶
振他刀
三级头
评论区好多懂的啊！（你用的弓和人家的是一样的吗？）
给三连了
哇哇哇哇哇
满精鱼叉
雷电交雷电将军
飒
那是宋手刀
鞘柄一体，如果没什么特殊结构其实很差。
姐姐S我
这确定是武术的魅力，而不是…………
键来
普通蛇矛
这要是拿反了？
有点飒啊
摄影师，危！
羡慕了
拂尘 其实就是锤加了几根毛
十八般武艺 啊啊不对 多少来着
你为什么射我手机
大家都散了，网友的意思我明白，就是姐姐打他们一拳，他们虽然死了，但是就是不服。哪能有啷个办法撒
永劫无间新武器有思路了
衣服不错
懂了一键三连
这里想耍双手剑，招式对了，但剑不对，剑柄太窄
名字闪得太快啦
帅炸了
啊！我中箭了
我喜欢这锤头
武功再高，一枪撂倒
拿锏打，连盔带头直接开瓢
之前的摄影师是不是已经阵亡了…
这特么不比电视剧里的打斗场面燃？
宁就是张起灵族人？
拂尘上会挂小刺，加上萃毒，算是太监兵器
啊啊啊啊啊啊啊扇子！！！！我dna动了！！！！
老师我可以学吗？
i
下次就是70号了
太帅了
我的大刀已饥渴难耐
危
加钱
永劫无间新英雄预告片
太厉害了
阿我的心中箭了，是丘比特之箭
猹害怕极了
拍摄和制作很专业
现在中国有真本事的女武打演员要绝迹了
点燃了，不说了去振刀了
鱼获
乱开黄腔棺材反光
我也给了你俩铜板 是不是说明确实是卖艺的
闰土(՞•Ꙫ•՞)ﾉ????
69号摄影师是从别人那借来的吗
截图当头像
老婆！
粉了，四连超凡
期待70号
截图提醒
戚家刀？
有塑料登吗
不如街头卖艺的
有板砖吗
大佛一丝，秒大佛。
炫啊
这样的人，在古代是否叫武学奇才
摄影师-1
点赞可以，能不能先把剑收一下
让我想起了另一个武术推广老师：延颜小师姐，一样的厉害
好飒啊姐姐！
有被飒到，酷爆了
好帅
21:9很赞
这次一定
真气跟不上，待俺调息一下
18般武艺
不点就砍我是吧
来个折櫈
您
帅
头盔不错，我也想要
我记得这个是宇文成都的武器，我一直以为是类似双锤的武器
我手中这杆枪，名唤AR-15。
盾山行为
好美爱了爱了
下次还填非常简单
哈哈哈哈哈哈哈
来将可留姓名
Love that term 
这颜值，这身法，这剪辑
甩个凤凰羽出来啊
丈八蛇矛呢
武术奇才
该，让你说含亮老师
十八般武艺，你会二十有六
摄影师寻思
闰土
好帅啊
有点费头吧
太飒了
姐姐这身材太好了吧！！
太炫了！
不过分不过分
三连都可以
你威胁我，不拔刀我也给
地砖毁灭者
手中的这把汉剑真的帅
永劫无间新宣传片是吧
键来！！！！
可盐可甜
速来振刀
哈哈哈哈哈哈哈哈哈哈
还有我
来，你回来，陪我显示器
头铁
那必须的
摄影师-1
太飒了
润土
太费摄影师了
又是人家的老师
看得我想让闺女学武术！
这这这
垫了
攻击范围5 伤害96 
太强了
哈哈
丘比特之箭
太帅了
果然是板砖
确实起源
这是闰土插猹用的吗
是练家子
