异教徒
mc好评
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
？？？？小学生做操的音乐啊哈哈哈哈哈哈
优秀
sky！sky！sky！
战歌起
JOJO好评www
好狂啊哈哈
MC好评
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈
记得三连，么么哒~
扯草可太真实了
下次争取！
这是我们学校课间操还没开始的音乐
哪里模仿老番茄了？？
j j
。。。。
NB
军训混子前来报到
@井哥哥得死哟
好押韵哈哈哈哈哈
呵呵哈哈哈呵呵呵
我也这样干了
66666666
下次一定
哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈
一个年级总有那么几个帅教官，可我就是赶不上趟儿啊
你这
前三个是我了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
真实
哈哈哈哈哈哈
这东西是晒出来的吧，还没开始，怎么得的
。
可以有请假，但是军训算学分的
哈哈哈
汝听，人言否
我得荨麻疹是因为环境因素就是换季就得的那种，所以没什么忌口的
百事好评
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
好湿好湿
MC乱入
标准结局
为什么我荨麻疹不能军训请病假
快点搞♂
没弹幕？
肥皂♂
猛男♂
李子园好喝
真实
哈哈哈哈哈哈
哈哈哈看他笑的多开心
话说军训期间怎么带的手机
哈哈哈哈哈
什么大学
好湿好湿
要在他们面前喝才爽
这哪个学校啊
你咋这么特殊呢，老实呆着，相机扔了
此曲一出，非死即伤
北七玩意儿军训
这音乐死了算了……
哈哈哈哈哈哈
好湿好湿
哈哈哈哈哈哈哈哈哈
啊啊啊啊我们教官就在这
哈哈哈
老番茄
哈哈
过于真实
百事好评
哈哈哈哈哈哈哈哈哈哈哈
这个头有点远啊
惊了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈没事，
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
等等，军训可以带手机？
好湿好湿
不，你不想
也叫风疹
葬礼现场！举队欢场。
标准结局
牛逼
下次一定
太真实了
我喜欢草莓的
哈哈哈
哈哈哈哈哈哈哈哈哈哈或或或或或
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
军训完教官默默地走了，没能见到最后一面Ծ‸Ծ
憨批在咆哮憨批在咆哮
卧槽，这纯粹是气人吧?这一定是在气人吧?
哈哈哈哈哈哈
米斯达！！♡
感觉和王大锤好像
为什么比本科院校还好
军姿准备
教官的腰！！！
被爆锤
吃草
请收下我的膝盖
这强行作死啊。
哈哈哈哈哈哈哈哈哈哈哈
就是我
下次一定
抽皮带哈哈哈哈
内山达生吗
同款军装
hhh
说身体素质不行的，喝酒加头孢都是惯得，你给我们打个样，喝一个，快点，对了，过敏是因为身体素质免疫体统过于敏感，一般来说过敏的人身体挺好的
估计是滤镜太强了
太真实了!
mc好评
口吐芬芳
一声到，一生到
出列！！！！
♂
学分？
你为什么可以拍摄
百事可乐给你多少钱，我可口可乐双倍。
前面的我也是钢七连的滑稽
mc
壮哉我大mc！
壮哉我大mc！
king
好了你可以回去重造了
然后被拉进去一起训练了
顶分作案
这up主怎么和傻子似的
给你的肾一刀哟
真实
动打报告……
在？做个人？
嗐，还挺押韵
哦吼，我们学校诶
发际线好高啊啊啊啊啊
唉，不4
呕吼，完蛋
真实
机电的学弟你好
啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈666
卢氏传说
一脸开学
此曲一出，非死即伤
我们军训40个人一个宿舍。。。三个连的男生都在一块
荨麻疹痒啊，怎么军训
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
？
荨麻疹不是一种皮肤病吗？我也有荨麻疹。
刚好
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
捕俘拳警告
单押✖️N
我也是，我前几天得过，哈哈哈
从开天辟地开始说起2333
我们学校军训开幕都是晚上在音乐厅开空调开的
好真实
逝者安息
好湿
看看简介？
好高兴啊
标准结局
前方高能
拔草过于真实
哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
啥？
罗甸中学吗
是个狼火
都起泡了你还不喷？
喝不完的可乐
哈哈哈哈哈哈哈哈哈课间操音乐
刚结束军训
和我一样，我9岁那年也得过！！！
可恶
哈哈哈哈哈哈哈哈哈哈或或或或或或或或或或
哈哈哈哈哈哈
哈哈哈哈哈哈
哈哈哈哈哈哈哈
标准结局
哈哈哈哈哈哈哈哈哈哈
狗在吼～猪在叫～老师在咆哮～老师在咆哮～
哈哈哈
不会一口喷出开来吗
面目狰狞
你比我还小一届
看他笑的多开心
哈哈哈哈哈哈哈哈哈
早就有人做过了
哈哈哈哈哈哈哈哈哈哈哈哈
是个狼人
哈哈哈哈哈哈哈哈哈
是我了
涵哥
哈哈哈哈哈哈哈哈
Big Bang Theoy?
哈哈哈哈哈哈哈哈哈
好湿好湿
？？？
哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
哈哈哈
下次一定
和我一样
卧槽，好湿
丽泽中学创编舞。。。
获得成就
疯子吼!
踢你的肾
其实我也想这么做
哈哈快乐的沙雕
这个和军训没有关系的哈哈哈哈哈哈哈哈哈哈
荨麻疹去找中医，喝几服药就行了
我也一样
skr
同款牛奶！
好的，不就是不喜欢＋投币＋收藏＋分享吗
哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈
很沙雕哈哈哈哈哈我也
很沙雕哈哈哈哈哈
我刚军训回来，我想咬死你
哪个大学啊
封面什么电，
哈哈哈哈哈哈哈哈
照死打啊啊啊啊
同款宿舍
不军训好像会跟着下届一起训的吧
学弟啊
机电的出来报个到
马步冲拳警告
fa
二营十三连
好你妹
一个勇敢勇敢的人
作死
真实哈哈哈哈哈哈哈哈哈
满脸呆滞
侠盗飞车罪恶都市被追捕是的声音
你为什么可以拿手机？？！
尼玛给劳资爬
已经好了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
一起看的603人你们好哇
mc好评
下次
内山是你吗？
太欠儿
这演技白瞎了
哈哈哈哈哈哈
6666
军训没关系？这是什么医生
啊
2333333
下次一定
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
牛批
哈哈
jojo
同款军训服
我卡在了封面
荨麻疹只能吃猪肉、青菜和米饭的
。
罪恶都市
罪恶都市
危
一看就是配合的
哈哈哈
。。。
！
你们这军训不严格啊
标准杰jo
你手机祖国的花朵
哈哈哈哈
瞧瞧这说的是人话吗
你……
李子园？
哈哈哈哈哈哈哈
这什么军训服？怎么这个颜色
mc好评
哈哈哈哈哈哈哈哈
真   从头说起
@景哥哥嘚死哟
哈哈哈哈哈哈哈哈哈哈哈
某布真是人才
我们广东团长都在通缉你不要来广东
你真开心
看上去不太聪明的亚子
这没插话筒啊
原来你也大一
你傻啊今年不军训明年补训啊
哈哈哈哈哈哈哈哈哈哈
好诗好诗
啊哈哈哈哈哈哈哈哈哈
标准结局
哪个学校
鸡某
我也是
辛苦啦
JOJO结尾
哈哈哈哈
真实。。就是我了
我居然跟up一样大
湖南科大？
你就宠她吧
哈哈哈哈哈
女教官
同款军服
Skr~
还有女教官，舒服
后面有彩蛋
工具人
哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哦是我们隔壁
哈哈哈哈哈哈
用vivo拍视频更防抖
要素过多
关键也没人看你啊。。。
哈哈
荨麻疹+1
HHHHHHHHHHHHHHHHHHHHHHH
哈哈哈哈哈哈
我去居然押韵了，韵脚是ao
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈真实
眼镜和我的一模一样
浙江机电长安校区
浙江机电啊
憨批
我也得了。。。。
还被罚跑1200米
我都带荨麻疹一起上的啊
又热又痒还被教官踢
bgm是妖尾里面的吧
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈
哈哈哈
噗哈哈哈哈哈
蹲姿3练习
MC好评
@菊花三
耳机党去世
哈哈哈哈在地上坐着的都被弄起来追他了
正片开始
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
海宁机电大学
我刀呢
衣服上是标准结局？！
 暴力摩托的bgm
我荨麻疹已经花了一千七八百
bgm是Denzelcurry的UItimate
前方0.5新世界
恭喜恭喜
奴隶
哈哈哈哈哈哈哈哈哈哈
内山达生
哈哈哈哈哈哈哈哈哈
1
12连nb!
哈哈哈哈哈哈哈哈哈
skr
回放
很难过还行
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
真的有点憨
超级战舰里面的那个外星人的风火轮？
哪个小学的军训啊？【滑稽】
。。。
好湿好湿
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈
哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈
BGM：Wolves At The Door
这个牛逼！
你转身投入教官怀抱
哈哈哈哈哈哈哈哈
肥皂可还行。。。。
爱军训人士表示强烈谴责
爱军训人士表示强烈谴责
BGM：Wolves At The Door
。
我也得了荨麻疹
作了好大个死
会猝死
hh抓腕砸肘
skr
哈哈哈哈哈哈哈哈哈
同款荨麻疹
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈
md，笑死我了
百事好评！！！
军训还能带手机吗？？？？
2333333
你再骂!
233333
即将被捕
为什么你还能背着相机哈哈哈
哈哈哈
该曲一出非死即伤
百事差评
够沙雕我喜欢
什么大学？
。。
真实
军训结束怎么办？
我的世界
wacao
贯耳冲击xswl
迷之白客老师面瘫脸23333
哪个初中???
2333
百世可乐打钱
哈哈哈哈
哈哈哈哈哈哈哈哈哈
完了
给你的肾一刀呦
医生真是善解人意啊！
百事差评
真实
哈哈哈哈哈哈哈哈哈哈哈哈哈
好湿好湿
nb
哈哈哈哈哈哈哈哈哈哈哈哈
尖刀一连
好湿好湿
哈哈哈哈哈哈哈哈哈哈哈哈哈
皂滑弄人♂
王大锤
哈哈哈哈哈
好湿好湿
不怕呛到啊
●REC
