你还有脸回来！
哇哦⊙∀⊙！
弹幕全是我！
绝对1！
11111
第一医院
哦吼
老坛果然喜欢大虾
你睡好了，不看老坛胡说尬聊
好前
人呢？
你们的故事有点儿多
哇
屁股献身？？？
1111
求赞
没有弹幕？
这游戏很难的
霸屏
我我我！前排吗
来了啊
没弹幕？
前排板凳
1分钟前
一分钟
屁佬
前排第一！
来了
哈哈哈哈
1
播放量一
新鲜的！
刚刚
来啦！
哦？出大问题
两个胆小鬼
哈哈哈哈哈哈
森林？
来了
一分钟前
空屏承包大虾和老坛！
一分钟前
播放1截图为证
搬完家都几天了  才更？徐大鸽
享受
不要刷时间
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
小黑蛛！
一分钟！！
第104条弹幕
承包空屏
你终于更新了啊啊啊啊
2分钟
老坛属实胆小
我好前
老坛对大虾是真爱了
前三百，好前
没有对比就没有伤害
第一次这么前！！
来了来了
两   极   格   局
forest
哈哈哈哈哈哈哈哈哈哈哈哈
？？
三分钟前
森林
哈哈哈哈哈哈哈哈哈哈
吓我一跳
哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
麻鸭吓死我了
没事吧
承包空屏哈哈哈哈哈哈
三分钟前
男人的快乐就是如此简单
3分钟一
热乎的
徐大虾，别名屁先森
你还有脸回来？
当年和室友开黑一晚上
游戏不能这样玩
这个游戏好像和小露一起玩过？
笑喷
打了半天才出飞机
互锤
没人？
这个好好玩的，我超喜欢，还有逃生
铁头功
突然变gay
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
震雷削
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
森林！好玩！
来了啊
出大问题，承包一波，好不好。
好沙雕哦，不过我喜欢
四分钟前！！
四分钟
承包空屏！！！
这游戏很老了
哈哈哈哈
飞机餐
第一次那么早，四分钟前
四分钟前
人都没有
忽悠出去了
两个铁憨憨
游戏黑洞  哈哈哈哈哈哈哈哈
老坛只想吹大虾
好早！都没弹幕！
大虾丢大包
出大问题啊
太早了！
震雷削裂地劈
没人嘛
嗯嗯～啊～啊～
暴躁老坛 在线劈
搞事情
…没弹幕么
老坛憨憨的
这次我来得真的快
五分钟前
坠机了真开心……
相依为命
看虾表情
没有弹幕啊
知道知道
暴力的一批
鲜明的对比hhhh
出大问题
这游戏什么时候出2啊
出大问题
不你没剪
没有弹幕
搞事情
这俩没长大的孩子蛤蛤蛤蛤蛤蛤蛤
6分钟前
不一定是来的太早了。
刚看完老坛
老坛发出来了地虎侠的技能：裂地斩？
关上了7000的大门
前方高能
没弹幕？
森林
哈哈哈哈哈哈哈哈哈
哈哈哈
黑衣人 
肤色不对呀！
啊
吓死我了
妈妈，这个人睁着眼虾说！他没剪
按F进入
吓死了
笑容逐渐变态
大虾好帅啊
偷♂袭
没弹幕，你说气不气
鬼见条
承包空屏
爱情水的等等我
你还有脸回来
两个憨憨对笑
这不是个野人养成游戏ma
不拿空姐装？？？？
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
破解游戏新玩法哈哈哈哈哈哈哈哈
吓说什么呢
好早
听话♂小徐~~~
来了
你还有捻回来
没有人
危险言论
森林？
老坛黑化
哈哈哈哈哈
才发现3分钟前哈哈哈
没人吗？
8分钟前
你还有脸回来
嗯啊～
哈哈哈哈哈
哈哈哈哈
八分钟前
安安静静，毫无弹幕
哈哈哈
狗冉，我dnmd
晓得
晚上偷袭，我记得老坛和大虾住一起的，哦豁
长长长
哈哈哈哈哈哈哈
这笑声。。
9分钟
十分钟前！
笑声有毒
承包
7837
老坛笑得像个憨憨
第一次那么早
森林我去
哈哈哈哈
80
10分钟前
森林
你还有脸回来
老游戏了
相依为gay
刚发现我是五分钟前
承包空屏
徐大虾，帅）
老坛憨憨
来啦老弟
老坛不敢睁眼
弹幕呢
没人？
封魔斩
裆头一棒
说好的日更，让我等的好苦
没人
哈哈哈哈坛宝宝好可爱
地虎侠是裂地劈 。。。前面的兄弟
抖
互动
哈哈哈哈哈哈哈
老坛的笑声好魔性哈哈哈
1
历史总是惊人的相似
哈哈哈哈哈哈哈哈哈
来太早了
13分钟前 还热乎着呢
没弹幕吗居然
哈哈哈哈哈哈俩傻子哈哈哈
13分钟前
你还回来~~
没人？
铁憨憨哈哈哈哈哈哈
可以吃虾么?
人呢？死了？
可爱哟
哈哈哈哈哈哈哈哈哈哈
不是 你们两个为什么说不是
突然想到纯黑
兄弟，要天黑了
？？
？？？？
两个野人
一直砍空姐  会把她的衣服拨下来  然后可以穿
酸菜
老坛带着大虾的耳机可好看了
洋葱
老坛最怕的死法是空难a！！
伞兵一号徐大虾准备就绪
哈哈哈哈哈哈哈笑出回声
来啦
俩个憨憨233333
你还有脸回来
胆小嘿嘿嘿
吓死我了!
胆小
胡搞虾搞
吓死我了!
哈哈哈哈哈哈哈哈哈哈哈
暗黑老坛
夜♂袭
暴民语录
承包空屏
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
记得三连么么哒
12分钟？
老坛黑化了⊙﹏⊙
18分钟前
听话 小徐
ROTK？
你怎么没去唱歌？
吔！吔！吔！
老坛憨憨
春游hhh
大爱迷失森林
之前和胡鸽玩2333
点赞过十万有下一期
中二坛
点赞过十万有下一期
你是不是玩不起
15分钟前
没人没弹幕啊
相1为命
哈哈哈哈哈哈
墙裂了？
有小鸟  游六花
出大问题
玫 兰 莎
老坛这个耳机绿的有点好笑
20分钟前
你不可以走
嗨佬233
对   森林
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
你俩是不是不在一架飞机上
才发现9分钟前
哈哈哈哈哈
貌似恐怖游戏
尬先一波
老坛，拿头扎他
玩不起？
大虾帅！
皮皮坛大虾
还是没人发弹幕吗
森林
砍掉掉空姐衣服啊
自己人
砍树
派大星？
23分钟前
♂啊～
诶呦
哇擦大虾的锁骨啊！！姐妹们！
老坛你笑死我哈哈哈哈哈哈
丧尸病狂 干的漂亮
全怪物铠甲超帅
hhhhhhhhh
两个憨憨哈哈哈
♂啊～
笑声好像熊大
这什么难度
通关了呀
小坛个憨憨
小学生之跳 哈哈哈哈
所以老坛同学是退学了吗
鲸骨 开！
春游模拟器
想吃天鹅炖海带
老坛
来了来了
哦~~~森林！
哲学
哈哈哈哈哈哈哈
我记得莉莉以前好像也玩过这个游戏
哈哈哈
等天黑了他就该哭了嘿嘿
俩人换了耳机？
哈哈哈哈哈哈笑死我了
我是住海边，因为有海龟吃
不是，出大问题，为啥老坛的耳机和大虾徐换了
哈哈哈哈哈啊哈
39分钟前
握草，吓死我了
哈哈哈，两个世界的人
呵呵红红火火哈哈哈哈哈哈哈哈哈哈哈
我爱你
这两天森林打折哈哈哈哈哈哈
？？？
森林！
先做长毛然后开箱子
憨憨
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
这个手看得我密集物恐惧症...
可以用石头砸
徐大虾终于开始玩游戏了
老坛最害怕的就是空难
老坛:你玩个屁
哈哈哈哈
ass？？？？
呵呵红红火火哈哈哈哈哈哈哈哈哈哈哈
你俩是互换耳机了嘛
辣椒人
森林啊
皮燕先生？？
两个憨批
红色野人
深林
liao肉
承包空屏
森林吗
32分钟前
你俩玩CF刀战呢？
裆头一棒
爱情水
痛击我的队友
my ass
老坛带着大虾的绿耳机
森林？
拿，拿，拿都拿都拿，都可以拿
啊啊啊啊啊啊啊啊啊啊啊啊啊，33分钟前
34分钟前
视角独特
麓鸣 斩
34分前
不行了妈呀我要笑死了
这游戏还不错
烧烤模拟器，烤野人肉
雷佳音！
呦吼！
老坛带大虾耳机为什么这么违和
哈哈哈哈哈哈
承包这片屏幕
34min前
哈哈
我听到老坛这更笑声我就忍不住了
哇，吓死我
出大问题
啊啊啊啊35分钟
哈哈哈
大红人
胡搞虾搞
画质有点难受
哈哈哈哈哈哈哈哈哈哈哈哈哈男人的快乐
终于看到了弹幕
森林诶
笑死我了哈哈哈哈哈
这游戏好像玩好久
我想起来了这个是那个打野人的游戏
震雷削
哈哈哈哈哈哈哈哈老坛要笑死我
森林？？？！
37分钟前！！！
小红？
疯狂的小坛
合家欢
你还有脸回来
来了
大虾笑起来好可爱啊哈哈哈哈
我来了
哈哈哈哈哈哈哈哈哈哈哈哈哈
woc，以前不是这样的
大家记得点赞啊喂
太难得了，加油加油
就知道是森林
空
老坛从开头的恐惧到现在的着魔
太魔性了
森林！
男人的快乐就是这么简单
老坛用的是徐大虾的耳机
哈哈哈哈
物品男
瞪眼说虾话
磨刀
森林啊
派大星
出大问题
偷♂袭
别刷时间好不好，没学过弹幕礼仪？
飞天大操
rua
老坛铁憨憨哈哈哈哈哈哈哈
这个涂满番茄酱的人突然出现着实吓我一跳
脑痰
不是，你们俩在一个房间？？
果然又是夫夫档一起出镜2333
饿啊♂！啊♂~
总是听成脑坛
老坛最怕空难
43分钟前
这不是搞笑游戏吗
你丫没有剪掉
玩过没啥意思
你还有脸回来？
太魔性了老坛你个憨憨
这游戏给我玩吐
你俩是不是在一起了？你们两个是不是在一起了
你还有脸回来
森林！！！
疯了
游戏嘛，开心就好了
老坛的胆子真的不大
四欠玩过
我在网吧玩过
红雷式开锁
刀 战 模 式
哈哈哈哈
大虾终于回归老本行了好欣慰
老坛误以为自己是莽夫
好长啊
面膜掉了！！！！
听话小徐
…
把你的鲸骨关上
哈哈哈哈哈
硬生玩成了刨地游戏
48分钟前
哈哈哈哈哈哈哈
gotit
我想到了绿色地狱
6666
出大问题
哈哈哈哈哈哈哈这是什么神奇玩法哈哈
初体验♂
嗯
血不是黑色的吗
有纱雕
裂地斩
暴力舔包
老坛笑的太魔性了
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈
老坛的胆子是真的小
那是裂地劈
你还有脸回来啊
听话 小徐~
哈哈哈哈哈哈哈哈哈哈哈哈哈哈森林
没弹幕？？？
生存游戏，玩过
裂弟斩
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈
我怀疑你们在一起了，折叠老张绿
他在狂笑
咦
54分钟前
老坛出大问题
蛤蛤蛤蛤蛤蛤蛤蛤
鲸骨开！
老坛咋变憨憨了
老坛这个铁憨憨
这笑声太魔性了吧哈哈哈哈哈
一年之前玩过 内容挺丰富的
老坛好憨啊
鲸骨开
卧槽
这糟糕的声音
你并没有剪
你还有脸回来
你好长
老张色
你还有脸回来
指导指导
大虾好帅！！！！
笑得像个大撒子
rotk可还行，谢谢哈哈哈
闭眼新世界
墨雯敛也玩过
卧槽牛逼了 真的打到了
第一个
？？
哈哈哈哈哈哈哈哈哈哈
臀先生
sans！
荒岛求生？？？
up主变形记
哈哈哈哈哈哈哈哈
挺好玩的
哈哈哈哈哈哈哈
之前和一个妹子一起玩的啊 还录了视频
周末刚刚和舍友一起玩来
开箱模拟器
hahahahahaha
哇 大虾这锁骨…
蛤
蛤
嘎啦嘎啦
角度刁钻
淦
听话♂小徐
终于录森林了！！
这个我玩过！！结局贼牛逼
森林
笑死我了
1分钟前
那是上个游戏玩家
裂地窄
这个游戏他是不是薯片玩过
一小时前！！
这一笑好像赵寅成哈哈哈
？？？
才发现是迷失森林
能想到老坛四十岁时候的笑声
是兄弟就来砍我
@大葱大大？？？
被野人锤游戏
太哲学了
疯狂水时间
你长了
记得看陈子豪玩过
森林
老坛铁憨憨
刚来的先点个赞再说
不带他完了
这人怎么傻了
一小时前
磨刀
震雷削！
字母哥
哈哈哈哈哈哈哈哈哈
你俩坐的是一架飞机吗
两个人互换了耳机
雷佳音
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈
交换耳机
老坛的ID：8D24是科比的球衣号玛
 有了有了♂
坛虾两人互换了戴着对方的耳机
这糟糕的音效
啊～♂呀～♂嘿～♂
哈哈哈哈哈哈哈哈哈哈哈哈
。  。
暴力开箱
哈哈哈哈哈哈哈哈哈哈哈
。        。
这个相机是以前的？
嗯啊♂
。            。
老坛的笑真的是
。
裂♂弟♂斩
。
大虾像在带妹吃鸡一样
.
哈哈哈哈哈
承包
听话小徐2333
森林贼好看
额啊♂！
好玩
这笑声把我面膜给笑掉了。
@野人
你们要是第一天遇到个酋长带着整个部落的话呵呵呵
发♂泄一下
你玩游戏不睁眼?
森林
哈哈哈哈哈哈
哈哈哈哈哈哈
空姐衣服可以扒的
ass♂we♂can
哈哈哈哈哈哈哈哈哈哈哈哈
？？？
相1为命
游戏我都玩腻了
欧呦♂刁肉
forest吗这个
憨憨哈哈哈哈哈哈
哈哈哈哈哈哈也太好笑了吧
点赞过十万
老坛游戏区的泥石流
老坛一笑我就觉得憨憨来了
哈哈哈哈哈哈剪辑
两人中必有一莽夫
开始
哈哈哈哈哈哈哈哈哈哈哈
lost
9:44有吗
一小时前
哦
多人确实合家欢啊
看过
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
雷佳音的等我！
这明明是烧烤模拟器尻野人
早！！！
老怂
我虾来咯！！
这手有点怕
2个怂p
assass？
有了有了
这笑声
胡搞虾搞
胡歌的森林呢！
魔性
有生之年系列
爱情水！
裆头一棒hhhhhhhhhh
那还有看头吗
我觉得洗一下斧子好点吧
hhhh，骗子，你没剪掉
吹爆森林！
似曾相识
Mr ass
来了
疯狂看石头的傻子
一小时前
野人快来教训老坛
哈哈哈哈哈
铁憨憨
一小时
脑瘫脑瘫脑瘫
老坛估计都不敢坐飞机了
出大问题
以前
承包空屏
这笑声。。
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
幼稚鬼老坛哈哈哈哈哈
有没有什么怪兽出没
铁 憨 憨
弹幕呢……
野人一来就知道了
好魔性啊哈哈哈哈哈
屁股先生？
带我玩
阴阳师
偷♂袭
hhhhhhhhhhhh
哈哈哈哈哈哈哈哈哈哈
san值
来了
哈哈哈哈哈哈哈哈哈哈或或
舌尖上的野人
空姐服啊
头槌
下了晚自习一回来就看到了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
野人呢？
0粉丝，已截图为证
这游戏有点熟悉
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
瞬间变拳皇
哈哈哈
哈哈哈哈哈哈哈哈
是兄弟就来砍我
莫洛托夫汽油弹
哈哈哈哈哈哈哈这发型
老坛酸菜
爱情买卖你是要笑死我吗
老坛胆子很小的
哈哈哈哈哈
mc即视感
回来了？
诶！有沙雕！
大虾终于回归游戏区了吾心甚慰
我记得这游戏之前是和妹子玩的
有点像未转变者啊
来了
囍
迷失新林
老坛：我是莽夫
粑粑值
哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2.5万点赞了
野人很好吃
雷大头的笑死我了哈哈哈哈哈
狂瀑扎
听话小徐
一小时前，哇喔哇喔
现在晚上十点，怎么说
精力
你还有脸？
这游戏大虾玩过
爱情买卖笑容逐渐变态
哈哈哈哈哈
冰火人
你明明之前和妹子一起玩的
这延迟，出大问题
哈哈哈哈哈哈哈哈哈哈
森林！
有点那个美剧 迷失 的感觉！
森林？
森林！！！
为什么没弹幕
森林
相依为gay
8n24＝8and24＝科比
森林？
开箱视频？？？
死侍?
空中浩劫
红红火火恍恍惚惚
莽夫实锤
无1无靠
单人玩就是恐怖游戏 多人就快乐了
相依为gay
血不应该是绿色的吗（滑稽）
你还有脸回来？
刷时间的真的无语了
爱情水
哈哈哈哈哈
出现了，火中做自己
按Exc跳过
哈哈哈哈哈重庆话都出来了 想精想怪的
啊哈哈哈哈哈哈哈哈，男人果然聒噪
玩好很晕
你好绿
哈哈哈哈哈哈
剪掉？
之前四欠玩过
哈哈哈哈哈哈哈
玩过
铁憨憨
你们在谈恋爱么
铠甲勇士等等我啊哈哈
妈呀，咋我一跳
不是同一航班
血不是绿色的？
ass是屁股的意思吗
