太美了……
他的硬币比点赞还多
浪漫
合影
合影
合影留念
才浅nb！
合影
《皮毛》
合影留念
皮毛？？？
我要上央视！
正片开始
《比较简单》
合影合影
《皮毛》
央视预订
上央视
上央视！
合影央视
好耶！
合影
！！！！！！
合影
上央视
《上                                央                                   视？》占个位置～～～～～～～～～～～～～～～～～～～～～～～
《门外汉》
央视合影！
《皮毛》
央视预订
我要上央视
这还真是皮毛呀，明明是人间巅峰好吗？
猛啊
《皮毛》
啥玩儿，又来？？
央视预订
央视预订
好精致
666666
蕾丝，嘿嘿
好厉害 我这手工要是能有这么好美术也不至于酱紫
太牛了！！！
真的就学了亿点点
合影
《文物—我在B战》
合影
央视合影预备!
终于更新了！！
这得花费多长时间
《亿点皮毛》
央视，看我，我才浅粉丝
合影
币比赞多
合影，期待在央视看到我
太需要耐心和定力了
皮毛
合影
h.nnnnn
这代表了作者对于中国力量的钦佩，以及对中国航天技术以及非文化遗产的喜爱与赞美之情。
央视预定
上央视
 央视预订
留个弹幕上央视
OMG，这得花多少时间精力。。
央妈我在这
合影留念
弄个放大镜吧
预定央视
央视预定
《皮毛》
妈妈我上央视了
越来越离谱了啊喂！
合影留念
合影
《门外汉》
记录哇
上央视
央视预订
三不ding
（木匠）
合影
-
好家伙
pimao
《才疏学浅》
政治题目材料本人
影视预定
央视预定
妈妈我上央视拉
央视合影
哇塞
真.皮毛
提前合影留念
我是pxm我上电视了
我是pxm，我要上央视
合影！
好可爱怎么回事
央视预定
央视预定
准备上电视
6666
央视预定
合影留念！！！！
央妈看看我
不一样颜色的合影
合影
央视预订合影
这次一定
合影
央视央视
合影留念哈哈哈
合影
央视预订
央视预订
央妈预定
今年的第一个三连给你了
合影
我上央视了！
央视预定
合影留念
合影留念
碎屑可以给我不
up主绝对有替身（doge）
又一次上央视的可能
才一周？！？
央视合影
上央视
合影
牛啊
合影留念
起飞
虽然是做的特别好，但还是要注意些身体呀，不要经常熬夜
合影
《才浅》
这是我唯一一次给B站的up主投币
央视合影
《皮毛》
牛逼
合个影
央视!!!!!
央视预订
给币给币
合影
66666666
6666
合影
央视预定
我要上央视 
合影
总之，才浅nb
才浅yyds
皮毛？？？？
带我上央视
央视我在这
合影留念
合影
合影留念
《皮毛》
央视预定
前面我都听懂了，你这会儿咋突然给我整魔法
央视预定
皮毛
央视预定
皮毛
啦啦啦
央视预订
上央视
央视合影留念
蕾丝
牛牛！
《一天都可能做不了几个》
