没错，我是第一
这么短！
1
..
哇
一脸欣赏
一播放（我住B站的）
快快快
刚刚！
来辣！！！！
排面！
第一第一
我爱小测！！
排面!
排面！！！！！
一定会的！！！
刚刚
“仅此而已”
排面
和善的眼神
`````
来了
我相信一定会的
我先来
卧槽 赶上了
双厨狂喜
小策出息了
顾的人吧？
我还真不缺少
追星成功
中年王三炮
我是来递归的
小策好紧张哈哈哈哈
会的
打破零弹幕……
《拍着玩》
吞评论？
我爱黎明
好早
.
？？？？
这bgm 就像做错了事的孩子
一个人都没啊
排面
厉害了
我是第一个！！！！！
会的
尬住
发光策
想杀一个人的眼神是藏不住的
哇哇哇
会的
会的！！
绝了，第一次看到小策的广场往事系列想到的就是贾樟柯！
怎么不戴口罩呢
排面排面
会的
没有弹幕?
1
《面试》
牛批了
没有弹幕？
哈哈哈哈哈哈
看到这条弹幕你就不是第一个了
好前排啊这次
策导出息了
凤凰男爵
绝了，第一次看到小策广场往事系列就想到贾樟柯
1
关注“过”
？
弹幕呢？
我第一次见导师的样子
“关注过你”
不能发弹幕嘛
小演导策是你啊
1
？？？？
瞬间
不会太久
牌面
热乎的呀
我惊了 弹幕大军呢
没有弹幕吗
“关注过”
中国·张店
弹幕弹幕
双厨狂喜
1
强啊
第一条弹幕
朱一旦：痛失网名
小策紧张了
《拍着玩》
五分钟 热乎
哈哈
出门还是要戴口罩啊策导
太好了
讲到这个就尴尬了
111
我成功了
牌面呀
大气啊
满脸乖巧
乌兹？
弹幕呢？
朱一旦
排面！！
没人
爷青回
哈哈哈哈哈
？？？
来了来了
牌面
当面教导
有点小慌张
排面！！！
1111
牌面
排面
?
安娜
哈哈哈哈哈
111111
1
贾导也玩b站啊
牛逼了？
乖巧
空屏…
《仅此而已吧》
热乎的
@朱一旦  老板
我没开弹幕吗
小演导策憋不住了
尴尬的笑一笑
第一！0弹幕 牛
就我一个？？？？？？
加油
关注过--意思是取关了
哈哈哈哈
解锁黄花闺女小策
呐，这个就教专业~
排面啊，策导越来越强了
蛋总
1
呐，这个就叫专业~
111
1
弹幕呢
会的会的
哈哈哈哈
多少年了，是谁还陷在《山河故人》里拔不出来
。
关注  过
牌面
hh
！
11
的
没有不舒服，就是想打你一顿…
黄猿
哈哈哈哈哈，山西人竟然不知道这位大神。
哈哈哈哈
加油吧年轻人！也许未来是你的
1
小策你已经渐渐接近了
科长发福了啊
FBI WARNING
关注过，但取关了。哈哈哈哈哈哈哈哈哈哈
牌面
1
没人?
《只有》
热乎乎的
《仅此而已》
策导加油
没人吗
牛逼啊！
别急么～
j
贾樟柯的电影不错
老板沦为配角
怎么会没人
1
弹幕呢
3
关注过？取关了？
居然来我们平遥了
不认识
策导，人儿了
排面
天注定
弹幕呢
承包空屏
好家伙十月的动态
乖巧
给导师交作业了哈
啊马兽医
记得谁跟我说要装作很淡定(￣∀￣)
哈哈哈哈哈哈哈哈哈哈哈哈
不知道流程，问狂阿去啊
小倒眼
能发言？
很紧张哈哈
粉丝见面会
短视频来得快去得快
突然更新？
见导师
贾导快找炮爷合作
哈哈哈，紧张
0弹幕？
排面！
马上就可以了
不认识就尴尬了。。。。
开幕雷击，给章导整不会了。
排面排面
我焯，策导牛的
尴尬哈哈
平遥！！！
一看就是过来面试的
one
？
《仅 此 而 已》
劳力士
爷青回！！！
不知所措
嗨
加油
6666
123
论文模板
家粉丝
？
紧张
？？？
《拍着玩》
？？？
1
关注   过
拍面啊
弹幕还没养肥
公开处刑，哈哈哈哈
飘了？优秀的电影无可取代！
《仅此而已》
3
？？
小策威武！！！！！！！
朋友们多发发弹幕
早晚的事
《关注过你》
哈哈
汽油车不能加柴油
弹幕
？？
人呢
牌面啊
joy
手拉手，哈哈哈
贾导：冷漠.jpg
原来是这
弹幕呢？
哦
哈哈
小策开始扮猪吃老虎了
6000人一句话不说 我有点害怕
朱一旦
这不小策吗  我白嫖过你
弹幕呢
哈哈哈哈
朱一旦
弹幕呢
朱一旦
好厉害呜呜
搞得跟面试似的
兽医小策
排面排面
托来了
会有这样一天的，我们都在期待
满脸写着高兴
。
“小导演”
7000加不错
哈哈哈
真准说的
我也喜欢路边野餐  看起来特别感动人
太早了没朋友
我也不喜欢
爷青回
就是明明白白告诉你我们在演
这声音原来是策导亲自配的
小学和老师在办公室
贾导演笑起来说话有点像三炮
入坑作
我们粉丝不好使？
枯燥
666666
Vet啊？
的确不舒服，哈哈哈
虽迟旦到
以后你也可以的
来了来了来了！从这个声音入坑的！！
爷青回~爷青回~爷青回~爷青回~爷青回~爷青回~爷青回~爷青回~爷青回~
小导演儿
我承认我欣赏不了贾樟柯的电影
假粉，哈哈哈
混入其中
2333
贾导这么慈祥呢 -_-||
《我关注过你》
没看我满脸写着高兴吗？
专业的就不一样，看到点都很准
这里看一遍笑一遍
蛋饺肉丝
666啊
好耶
宁浩
声优
就是这个味
可以洗钳啊，螃蟹知道吧，每天要去海边洗钳
哈哈哈哈哈，策导看起来有点怂
江湖儿女
山河故人
专业
这不小策吗    我嫖过你
他们不配
学学天注定，把好几个短片 连起来就是了
小武
B站
站台
《拍着玩》
三峡好人
二花这坐姿，铜锣湾山鸡了
看到木鱼了
爷青回
别说你俩还有点像
哟！
电影导演少说管理500人，气场肯定足
因为她女儿认识了他
牌面
kaili blues
一定会的
朱一旦
枯燥
天注定
老了和三炮很像
这个眼神哈哈哈
贾樟柯电影很多也有这种感觉
体面！
厉害了我的哥
今晚我溜进去给你贴
去过这个地方
一定会的！！！
哈哈哈哈哈哈哈
有几分像
天哪天哪天哪
啥时候再合作
啊啊科长
木鱼水心和阿斗，其他认不出来
爷青回
弹幕。。。
反问？
科长欣赏的眼神
公开处刑
刚刚那个是自导自演的吧
一定会的
那是因为你们没生在底层
平时没注意，在这里发现小策山东口音还挺明显
看什么？
哈哈哈哈很火的
策导是真的有才华，捧红了好多人
好短啊
像个孩子
哈哈哈
牌面
小策nb！！！
枯燥
木鱼水心，看到了
混入其中
看片
结尾口头禅：干净又卫生
原来是这条，太久值钱了
哈哈
弹幕好少
有亿点难
很好当
很好当
再过10年，你需要的，不是你需要的
高情商：日常
电影本来不就是给人提供一个梦幻的场景吗
每次回家都可以去趟平遥
有亿点难
有亿点难
有亿点难
有亿点难
有亿点难
我去
有亿点难
很好当
有亿点难
有亿点难
很好当
有亿点难
有亿点难
有亿点难
很好当
有亿点难
有亿点难
很好当
专业呀
平遥人签到，最喜欢贾樟柯导演
尴尬
专业
哈哈
看到阿斗了
公开处刑哈哈哈哈哈
平遥人签到，最喜欢贾樟柯导演
哈哈哈
几百万？
哈哈哈哈
好恐怖的感觉
不不不，你缺，我倒是不缺，我只缺装（）
淄博排面！！！
哈哈
也是个好导演
贾岛
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
顶流
科长说的很到位
学医救不
。。。
hu
哈哈哈哈哈啊哈哈哈
牌面啊！
策导牛逼！
刚看完这一期哈哈哈哈
哈哈哈是有
策导，沉住气，你超棒的!
反差
好像三炮啊，不会带点亲戚吧
确实，毕竟自己当时怎么想的都记着，看自己的作品缺少一种新鲜感
真正的小人物都不知道贾樟柯
间离效果
专业
此处建议 @狂阿弥_
狂阿弥！
策儿好紧张  哈哈
排面
会的
哈哈哈
忽然乖巧
捞钱啊
哈哈哈木鱼水星和林志玲！！咱们看来口味相同
你来汾阳问啊
排面
简单问题复杂化
不戴口罩的屑策
排面
哇  我去过这个餐厅
哈哈哈哈哈神作，去年看了三十多遍
哈哈哈哈  
您是小策呐您内，，怎么还不更新
杰伦你好  我听过你的音乐
牌面啊
这乖巧的样子很....
哈哈哈
想鲨一个人的眼神
自言自语？
【欧巴】
杂有点像爷两啊
厉害
还有地球最后的夜晚
凤凰传奇：正是在下
哇 两个偶像相遇  大爱你俩
，
天注定 神作
缺少了你去接触“底层小人物”看啥电影呢
我家！
过去完成时
朱一蛋
没发现小策和贾导有亿点点像吗
陈奕志，看到回个消息
贾科长！
我去  贾导没看过
老规矩第一遍看，第二遍弹幕
不是，你们才认出来吗？
刘烨他老婆安娜
牌面！！！
我也嫖过。
我相信一定会的
排面
三炮？
贾科长我没有不舒服，但是想刀你
“关注过”=取关了
小策紧张了啊
老贾啊
尴尬的抠脚啊
苦大仇深的老贾
这评价真厉害
我感觉策导比毕导有前途
他紧张了 不敢看贾科长
《b站推广大使》
这视频是入坑视频
内行看门道了
8000+
淳朴
就是想杀人
记住小策的笑容
排面
给你一个表情自己感受！
多少钱请的托
《小导演》
这就叫专业
"别说话,照相"
逢人就说200多W粉丝
天注定。永远的神
因为以前没有手机
