我才发现这个标签上写着“好朋友”
好棒好棒
好厉害！好棒！
死机了
他想要爱的你给不了，你想要的友情他也无法给你
黄色玫瑰代表忠贞的友情
火钳刘明
这里好棒！！
火钳刘明
kksk
火钳刘明！
今天生日，被朋友表白了，凎
我也火钳刘明
火钳刘明
超棒的啊呜呜呜
66666666
这个画风！
火钳刘明
宝藏up！！
火钳刘明
好厉害！
好美
火钳刘明
牛啊！
真的好牛！
火钳刘明
火钳刘明
画风超好看的
运镜也超赞的
歌是姐姐原创的！！！超级好听哎
火钳刘明
我也有相似的经历，两个人在一个房间的时候就很尴尬
好棒！
得不到就毁灭
kksk
细节！两个都是bad end
John Wick
这也太好听了吧！太棒了吧！！
火钳刘明！！！！！！！！
这里好棒！！！
好治愈的配色
首页通知书
公众场合告白多少有点道德绑架（
up好强好强赞了赞了
这种强迫恋爱真的好恶心
下次一定
nasty liar
好棒！！！
眼神画的好棒
好厉害！
恭喜你发现宝藏
真的很不错！
火钳刘明！！！
棒棒哒
好喜欢！
好厉害！（各个方面的）
我把你当兄弟你却想睡我
我喜欢！！！！！
这样的人不行，就算是玩得好，但是很不尊重女生，不适合你，绝对不能接受
诶，为什么女主的头发和开头的不一样了，不是蓝色的了
这种友情真的是友情吗？
up主加油
首页通知
太强了
绝了绝了，JIUJIUU
副歌真的好抓耳！
太有才华了
这段好好听！！
火钳刘明
真实
与男性无关，反过来也一样，希望大家都能拥有自己真正的友谊
很棒！虽然对部分人来说也是不可能出现的烦恼，因为没有朋友
发现宝藏！！！
好看不火系列
火钳刘明
火钳刘明！！！！
伪物
歌是什么呀
肉眼可见的涨粉速度
好牛！！！
做的真好鸭
竟然是原创歌我去
芜湖！好牛！芜湖！单身！
火钳刘明
好厉害！
强大
如果不是双方都心知肚明真的不要当众告白。
每一幅都想当成壁纸
太绝了
这歌在哪里可以听！！！快踹死我
是头像
突然有点懂了她的意思
好棒
火钳刘明
kksk
很棒
恭喜你发现宝藏！
太强啦！！！！！！
