这样一看，这么多年确实进步很大
撇你一眼
英雄
打破宿命的9.83
阳光男孩
想杀一个人的眼神是藏不住的
电影英雄的BGM
起跑确实很吊
步频比博尔特快很多 但是途中跑博尔特的步幅步频nb得离谱
举重亚洲人有优势
冲冲冲
博尔特依旧是博尔特
苏神
苏神！！
1360苏神
12年还没有换技术，没练上半身，还没请兰迪教练
宝藏up主
乔布斯？
这是年轻时乔布斯吗？
我觉得作为一个学着表达这个理论是ok的 但是他在阐述理解过程中表现出的傲慢与队东亚地区人种的不屑是清晰可见的 
龙吟！
乔布斯
牛皮
这个大长腿跑起来太吓人了
但是你们今年看到了，
博尔特这个后程是真的恐怖
《根本就看不到》
那不就是拉跨咯
出口转内销
那时候还是背景板
这就牛逼了，彻底的不破不立
咱中国人的不甘，必须有一天得拿回来
苏神给自己的定位非常明确，不贪不虚，不急不躁，稳稳地向自己的目标前进！
这不是2012年？
打脸了吧
挑战与机遇
头皮发麻
能找到自己不足并努力改变的是真不容易。
苏神
凤凰涅槃
泪目泪目
..
牛逼
Yyds
1000+
不破不立
去tm的种族论
决赛里，唯一一个亚洲人，唯一一个30岁，唯一一个PB  9:83​
可能黑白长短都很明显，只有黄种人成了六边形战士
弹幕别尬黑
主义表情
凯乐
前半程起步爆发真牛逼
前半程起步爆发真牛批
现在是9.11分
壮了很多
伦敦奥运会已经十年了
有道理，但无用
不破不立，牛笔
没人看吗？
太帅了
那个时候苏神还是三步抬头的自杀式跑法
苏神NB！！！
非常大胆的决定了
很残酷 但确实是事实 现在来看也就苏炳添一人而已
弹幕呢?
有点儿像日本声优津田健次郎的声音
苏神
半决赛和决赛隔的时间太短了，苏神年龄大了，要是休息一两天说不定能拿奖牌
又纯又欲
勇于改变
.???这教授就离谱
和博尔特比谁不是背景板啊
刘翔之前，也没有亚洲人能进110米栏决赛
苏确实是个百里挑一的天才 他退役后黄种人没人能顶上来
danune
说的是在理，只是苏神把自己的优势发挥到极致，同时提高了劣势。
苏神是不是头发太多阻力太大了
名场面再放送
亚洲荣光
老乔啊 
全体起立！
英雄配乐
风!风!!风!!!
苏神这样一路成长的道路，比刘翔出道即巅峰更让人震撼
起跑是真的快，绝对世界纪录级的，三十多岁才出成绩，耽搁了 不然的话...
年龄最大的
苏神yyds
更看不到白皮，白皮最废
哇哦，太帅了
笑出强大
《英雄》
致敬伟人
老头说的其实没错。苏是不世出打黄种短跑天才
哇
亚洲第一人
3425677
博尔特腿太长了
未来十年估计很难有人超越
美洲黑人筛选了多少世纪了
博尔特：卧槽，旁边是谁？有点小慌～
这组晋级成绩全部十秒以内
致敬伟人!!!!!
后面妹子好看
敬礼！
全是黑人，这就说明了什么
头发都跑竖起来了。
想起了一句话：如果你想拥有你从未有过的东西，那么你必须做你从未做过的事情
说的其实有道理的，苏神太强了
腿长频率还高
那是因为对教育的重视程度都不同
博尔特 超越一个时代的究极神话！
超级大魔王
2012年已经是亚巅峰的博尔特了
折叠大了，那时候的 苏
苏神说过头发不影响的
一个人想改变这么多年的习惯真的难
背景音乐好评
苏神前些年起步就抬头 这种跑法 起跑指定快
这改变的是长久的习惯，就像右手变左手，我们不会有强烈的感觉，但对运动员来说就是这样
起跑是前脚发力
其实这些确实有道理的，但是人的潜力是不可预测的，可以打破
博尔特0809年巅峰期 是超越一个时代数档的存在
说白了，进化的时间太短，差异太小
铜牌的不是吃了兴奋剂吗
这种感觉就好像很多篮球爱好者一开始用双手投篮，为了更好的投篮改用单手投，这个过程很痛苦
这么放还能九秒八七……
这个是纪录片吗 叫啥
这一脚不得把我李宁踹开线了
牛
决定：洗技能点（doge）
？？？
是你吗？叶师傅
博尔特 体坛神话
伟人
这真的太难了
bgm好评
博尔特可没磕过药 公认的干净
勇于尝试，才能造就成功
能站上百米决赛的都是人类体力和精神力巅峰的勇者
苏炳添不仅是黄种人中跑得最快的，也是非黑人种最快的
就跟金庸笔下的吸星大法一样，先要自废原来的武功，然后重新学
唯一的原因是我们肉蛋奶吃太少了
subintian
技巧性的一般东亚人占优势
虚伪又高傲的白种人，未来会有越来越多黄种人出现在男子百米的决赛上的。
年轻的苏神
不破不立！
有种东西叫做合法兴奋剂，就是超越现行兴奋剂目录的兴奋剂，一般欧美的这种技术在这方面碾压我们
这九人苏神年纪最大，都31了
这女的腿长手长
刘翔
甚至还回头。。。
当时的博尔特9.87
压轴
外星人
苏神nb
靠，破防了
改变，就是好事。
加特林这个b
尊严只在剑锋之上，真理只在大炮射程之内
身高
什么叫没必要?你什么都没必要？
非人类
种族高贵论
博尔特身高将近两米
重量轻，初加速快
十年啊
蜕变
呵呵
这女的眼神绝了
名场面
好年轻
全体起立
乔帮主
苏神出击
这是深圳福田体育馆吗？
看到好几个up主发过这个，一起抢流量是吧
剪的好棒，配乐也很有感觉
苏神牛壁
5000+
同款钉鞋
苏神把头发剃掉能跑九秒八
bolt的尿检是真的干净，生病都不敢吃药，饮食也严格控制
解说说的不错
人生有几个十年啊 太不容易了
刘翔也是为了突破换了跑法断了跟腱
泪目个屁，向伟人致敬，吾愿一马当先
苏站到决赛的跑道上时我激动的哭了，太争气了
腿短没办法
太牛了
这人完全不懂什么叫做体育精神！
我要这三连有何用
不破不立
苏神
这是英雄的BGM嘛，好熟悉
一步抬头可不快
刘翔，永远的神
笑死了，犯罪率高是文化教育生活水准体现的东西，你觉得有吗
护士职业躺枪
这视频改了不少啊。其实没必要 原版已经很好了
掷地有声
我站在冠军左边，陪他嬉皮笑脸
白人都没有，这项目对黑人太有基因优势了
苏神
为毛一定是韩国人?
我要这币有何用
牛逼
英雄
刘翔:谁说黄种人不能跑进决赛，我是第一名
壮士断腕
他已经是不仅代表中国了，代表黄种人
泪目
唯一的非黑人，YYDS，苏炳添！
失败无所谓，牛
致敬
以前的跑法，头很快就抬起了
腿长的优势
增肌了
自以为是的昂撒人
未敢尝试，何来成功
前60米苏神最快
投币啊～6000+人都愣着干嘛～
6000+
这个配乐我以为苏炳添出事了
6000+wc
换左脚 从0开始
人类是有种族的
棒
。。。
6000+
不承认种族差距的和种族主义者没有区别
不破不立！
有人吗
非静止画面
外星人！！！
博尔特拉开别人这么大的距离？！
呵呵什么？黑人身材比例确实是最好的 毋庸置疑
我要这70个币有何用
英雄的背景音乐？
这个时候好帅啊
5000+
真棒！！！那个起步瞬间真的超级赞
风风风
不破不立
背景音乐是英雄？
改变＝改练举重
伦敦奥运会都10年了
刘翔的意志果然没错
高翻
强！
起跑好牛！！
很欣赏很敬佩他。苏炳添。
老师是韩裔
全体起立。
站在神旁边是什么感觉？？
这时候抬头都比黑人早
这是对的，种族之间就是有差异
种族差异存在啊，正是因为西非人在田径的种族优势，所以苏炳添能杀进决赛不是更值得自豪吗？
神！！！
像是武林高手
什么叫去tm的种族论，这是科学的数据统计，体现在大多数人身上。
谭盾的音乐好配
风阻太大
黄种人的希望！
一堆黑人里就一个黄种人！
你白人不也是腿短身长。干嘛拿亚洲人举例。呵呵
技术流
不破不立
人定胜天
体工大队
bgm是棕旨
bolt还是太逆天，后段收着跑
站着如喽啰
大片既视感
现在2+2都坐牢了
致敬！
告诉我们要勇于尝试突破
这不是种族论 这是在客观分析种族差异 人家并没有说谁好谁坏 只是说这样的身体适合田径
。zzz
博尔特腿长优势大啊
身体结构确实有区别呀
突破自己 给自己一个满意的答卷
博尔特个子太高了  起跑慢  
前面的，换技术与伤病没有因果关系
孤勇者
年轻的面孔
无敌的气场
3000+
苏神牛批
气魄
这肌肉线条值得国足学习
真正的十年磨一剑
博特像玩一样
牛逼
1
伦敦奥运会已经10年了啊
顶上首页
身体越来越健硕
那年18
这大腿的肌肉
太厉害了！
居然换了起跑脚，这无异于破釜沉舟
这个配乐还以为出啥事了
致敬
60米的神
苏神！
3000＋人正在观看
适当练些举重有助于提高成绩
漆黑中的黄色闪光
致敬
感觉博尔特压根就没费什么劲儿啊。
太难了
当时还很瘦
做了一个违背祖宗的决定
发型好评
右撇子改成左撇子。。。
这BGM 大片的感觉
苏神
在博尔特的光辉后，鲜有人看到他坚定的意志，他深邃的双眸
这大长腿。。。
要改变。
棒子不会只会违规的吗
这个不是那个电影的情节吗？
这就是苏炳添，为什么能有那么高的流量的原因。
解说好评
有些人真敏感嗷，过于自卑了属于是
韩国人已经用了伟哥，但是不行
起立
如果没有头发更快
苏神之始
博尔特跑步真的像开挂一样，tql
注意看这里博尔特的步频和苏神差不多
我们可以
起速真的快，就是后程加速不行
这必须得三连了
bgm好评
7.棕旨
反正没什么可以失去的，就拼一波
英雄！！！
4000＋
BGM:谭盾 苍
红太阳您好
泪目了
自卑个屁，这是一个淘汰的旧理论罢了
经典回头望月
不破不立
还是只跑十秒零几的话有什么意思呢？
致敬
以前的观念就是这样的  多么根深蒂固
感动
博尔特有个采访好像就说了这次， 说是 他旁边有个人起跑速度贼快 有点吓到他了  笑死我了
看看中国举重队，9人出战8金1银  黄种人天生力量强！！
种族之间本来就有差异
现在，黄种人的速度天赋也被苏炳添建立了
他和雷总俩个人长的还挺像的
这肌肉
把种族主义踩在脚底下
博尔特2步顶苏炳添3步，步距长
帅
伟人的声音
黄皮肤站上100米决赛冲击金牌
我直接未看先投，不多比比
3000+
不破不立！
英雄
啊桥
棕旨？
哇哦psu
发财痣不见了
3000+
这体态确实帅
眼神很坚定
短跑应该是增重的
人类第一个用大脑跑步的人
抢跑影响了他节奏
苏神那个时候好嫩好年轻啊
不破不立
nbnb
是马头琴吗，震撼
这个肌肉太绝了
不破不立
***k
安于现状易，改变难啊
这怎么还把这个剪进来了
太伟大了！
尊重客观存在，通过艰苦的训练，会比自己更强，而不是比别人强
多大的决心啊
真正的偶像
这图太美了，哪里有高清图？想做壁纸
zjt体考加油
说博尔特身高腿长是优势的 麻烦多了解一下短跑 别云了求求你们
说博尔特起跑慢的 1.85前十米你替他跑的？
不破不立
苏炳添YYDS
就是种族论
帅
去掉痣，体重变轻，速度快了
帅的啊！
小腿牛啊
智力不同，必然在其他方面补回来
散步9.87
神の臀大肌
我就是腿特长
韩国人成黄种人代表了？
不破不立！！
狗都有区别何况人
苏炳添啊！！！！
前面那个zz闭嘴好吗  种族论是对的。   黑人本来就更适合短跑  你不承认事实就摆在那里
站在百米决赛的黄种人啊！！！苏炳添！~！~
电影《英雄》的BGM 用得好！~
博尔星人
苏炳添啊 战胜了时光啊！
人类极限的较量
贝利
长期负荷训练如果过度会落下病根，就像刘翔一样
小米
殊不知体育  可能是黑人的唯一出路
从此变成神
太tm片面了
那时候感觉苏炳添也就这个成绩了，没想到变成了现在的苏神。这种坚持，这种精神是真牛逼
拜见真神
现在应该叫  苏教授~~
连白人都没有
白人不行 （doge）
湖南话（汇）
