好耶霍格沃茨
《离谱》
三分钟!
来了
四分钟
烫手
？？！
太离谱
么么太棒了啊！
离谱
果然（）
善书者不择笔就是说
？
逐渐离谱
就离谱
上热门！
新年快乐，祝明年的我拥有么么的手
老粉正在等那个蚊子口器
？。？。
麻了
草
？？？
离谱上线了
这个成本太高了吧！！！
蘸水笔好好看
跨年去了
别骂了别骂了，我就去好好写字
离大谱
啊啊啊一小时
离谱
离谱，我左手像狗刨
逐渐离谱
？？？就离谱
承包这一缕青丝
？
我试过这个！！！！
当然了
！
怪纸
牛批
噢这个好好看
？？为什么我的蘸水笔不能这么听话！
原 石
你在阴阳什么！
前方开始离谱
？？？？？？？？？
可恶，我没有怪罪的理由了！
？？
儿童画板很难写的
卧槽
逐渐离谱了起来
电焊
？？？
有本事你用拖把
越来越离谱
离谱
树枝
一定是纸的问题
冰心
黄姓暂停学习
离离原上笔
每天早上都放？！我以为是我的冷门宝藏，没想到这么火
过分了过分了
离大谱
前提是我写字好看
？？
？？？
开始离谱
离大谱
IQOO8
同款速干笔
沙笔
还给人活路不？
听前奏我还以为是Love sick Girls(bushi
我的字是我不配了
这一定是纸的问题
逐渐离谱
这个我能做出来。
我不做人了
iQOO好评
我不配写字
这事我经常干
？
？？？？
？？？？？？
……我刚好今年就毕业了，，
币？？？
？？？？
取关吧
就离谱
还有一种石笔
惊呆了，为何写的那么好看
诶，这不算啊
一定不是我的问题
？？
怪我没有这双手
我的老师已经告诉我，字如其人
？？？？？
懂了只有圆珠笔写不好字（doge）
抖音笔
电钻试过嘛
也不至于这样吧？是我们手不如你脚？？
！
别骂了
牛笔
大S笔
可恶，一定是这个手不行
怪手没长大
？？？？
可恶，是纸的问题
离谱到家了
铸币吧
是纸的问题！！！！
离离原上谱了属于是
崴脚（）
别骂了别骂了
离谱
离离原上谱
进度条才一半
前提是我闲着没事儿做
逐渐离谱
根本不配写字啦啦
中国最早的硬笔
您什么都会是吗
离离原上谱，越来越离谱
果然在意料之中
？？？
头头头头头发
离大谱？？？
我觉得是重力差异
可恶 是我的问题
？？？
越来越离谱哈哈哈
老婆
这？
无论是什么笔首先你的字一定要漂亮
傻笔
铸币
前面的是手的问题呀 
这jio我可以
别骂了别骂了
大可不必如此羞辱我呜呜
哈哈哈哈哈
菜笔
看来也不是手脚的问题
？？？
？
？
舌头
第一反应是方舟的羽毛笔，我还有救吗
骂人嘛这不是
卧槽？
铸币（幻听
你在骂！！！！焯
大可不必这样羞辱于我
？？？？？？
？？？？
就离谱
傻笔
您
那我怪纸行了吧
啥笔
？
纸张本来就有很大关系
善书者不择纸笔 
就说有什么是你不能写的吧
我才发现这个世界某些人它存在就是为了提醒自己啥也不是
？？？？
我们缺的是笔吗？我们缺的是手
？
对，就是这个，我可以尝尝吗
好强
我是个左撇子 写的也没up主的好看
够了没，我承认我字丑不是笔的问题
逐渐不对劲
新年快乐
纸和笔刚接触的时候空气的问题
我是啥笔
魔幻手
虾仁猪心
离离原上谱
我是傻笔
脚写的呢
？？？？？？？？？
这个好好看！！！！
马牛笔！！！
云南蘸水好吃
叫吕浦
？？？？？？？？
？如你所愿
弹幕呢
脚写的都比我手写的好看
不，我不信
？？？？？
牛笔:有我吗？
我看这视频，就挺魔幻
越来越离谱
咱不至于
我不配鞋写字
不好意思，是我的细胞不行（doge
懂了，怪纸
逐渐妖魔化
笑容逐渐僵住
一定是纸的问题
离谱！！
飞白体？
狂暴50+组长
警告，后边的都比这个魔幻
在我手里都不好使
善书者不择纸笔
？？？？？？？
脚都比我手写得好看
牛笔有没有
这个可能不是笔的问题，是我的问题
石物为笔
禁止在麻瓜面前使用魔法
不怪纸也不怪笔，只是我没有那只手
加一
？离谱
那肯定是纸的问题（doge）
我不管肯定是纬度差异
我不管肯定是细胞变异
感谢up主花这2分36秒告诉我我不配写字
过分了啊过分了啊
冰
离谱了
这就离谱了
？？？？？？？？？
牛笔
是我手的问题
已经自闭了
没有笔墨的笔[doge]
Revice
刚才那个是圆规。
杀人诛心啊
嘟嘟莲
我警告你，你不要太过分！
我都不好意思说我写出来的是字了
我缺的是笔吗？不！是手！
逐渐离谱
这不现实
越来越牛了哈。
过分
现在跟笔离得越来越远了
缓缓打出？
兄弟们我们缺的不是笔，是手！手！
？
我不管就是空气的原因
你不要太过分
请给我换双手
血书在哪
凑！
抠出三室一厅
逐渐离谱
太卷了太卷了
换左手啊！
过分了
童年回忆！
0－08
元旦快乐！！！
牛笔
这就离谱
本来是想三连的，算了如你愿给个赞
您
我羡慕了这字
？？？？？？？？
不可以
这越来越离谱了
你是不是有点过分了
有点过分了啊
虾仁猪心
写字不好看，你用马良的神笔也没用
别骂了
2022年的第一个卧槽
我不管 一定是这个地球的问题
iqoo8
有笔没手
我估计你在骂我
怪我不会魔法
离离原上谱
众所周知，当全世界都在内卷的时候，最卷的还是书法区
看完以后我明白了一个道理，人不行别怪路不平
花体太好看了呜呜呜呜呜
我是傻笔
猪鼻是吧
逐渐离谱
一定是空气原因
我职高的5号毕业！！！！！
我疯了
能有痕迹，是笔
哈哈哈哈
天气问题
你在地球生活的还好吗
？？？？？？？？？？？？？？？不必
这我可以
当代笔仙
过分了喂
鼻涕
牛笔
我懂了！所以一定要练书法对吧
越来越离谱了
？？？
元旦快乐！
口红呢
牛
好玩
我差的是笔吗？我差的是会写字的手
离离原上谱
这笔写字真好看，我也想买（大误）
还给留活路吗
想看UP用电焊写字 
糖画没你我不吃（）
好了 赞了
越发离谱
iQOO:嗯?
写的挺好，下次不许了
啥笔哈哈
什么线？？！？？
我去了
我超
?????
？？？？？
