up可以试试用连续拍照拍出连续效果
确实低成本
精彩绝伦
要花很多时间吧?时间成本也算成本，所以成本不低了。
人家自己可以说低成本。看的可别这么说。这成本也不低
神仙
画的很好啊
挺不错！加油！
3D效果大制作
成本太高了哈
甚至有3D效果
经费在燃烧
牛牛牛
裸眼3d是吧
灵魂画手
6666
大制作
看了一眼粉丝数简直不敢相信
哈哈哈哈
低成本，高人工！
一毛一样！
明明大制作
大制作啊
牛逼嗷！
值得我投币和点赞
龙珠啊，永远的童年
画的太像了，作者有心了，龙珠党三连必须
绝对三连
企业级运镜
蚌埠住了
这成本不低吧
当时我一直很好奇猩猩的头为啥是这样子的
再看亿遍
这样也挺有趣啊
绝对大制作！
谦虚，已经赶超当今日漫了
龙的蛋蛋
硬币奉上
这成本可不低啊
雅木茶样子有点挫
有点意思
你这是大制作啊
这个手有点出戏
很棒
可以做原创动画了
没人艾特龙爸吗
666
不错啊
感觉节目内容跟粉丝不搭啊，这内容不上个10w说不过去啊
牛逼！！
想想现在小朋友看不到这样的动画，啊哈哈
棒
龟仙人脑袋没闪光 差评
刚试过了，眨眼也不管用
首页过来的，关注了，期待火影！
投币表示支持
不行了，晕车了
有才
火钳刘明
右上角不放一个对比原版吗
不错，这个很银魂
这成本还低？？？？
画的不错 再画一点
光能使者和神龙斗士
不错
牛逼
三连不谢
经常白嫖的我不由自主地给了个赞
哈哈哈
up加油
很不错啊。
火钳刘明
一句卧槽走天下
睡觉补帧
已经一年多没复习了
加油，很有潜力
这么多张分镜，重新定义低成本
卧槽nb
牛批
牛蛙
6666
早说啊一直眨眼呢
牛壁
投币+2
重新定义低成本
真帅
神了
经典
眨眼也救不了
葫芦娃了属于是
牛逼
这是真本事
快速眨眼亲测有效
助力每一个梦想
这是600粉的up能整出来的？
好活，当赏
哈哈h哈哈哈
三连了，这特喵叫低成本？
从新定义低成本
相当不错！
做的不错，如果在给修饰修饰会更好，加油！
卧槽！
DNA
眨眼补帧亲测有效（＾∇＾）
好活当赏，这次一定
高手
真心牛
已四連！
卧槽 我居然没法白嫖了。
自从有了龙珠超龙珠Z什么的 青春再也回不去
牛掰啊up
666
好棒
三连有了
牛
大制作
牛逼
剪纸鬼才
中华小子
厉害
画的很不错啊
哈哈哈哈哈哈哈哈哈哈哈
快说剪了几本龙珠盗版漫画贴纸
你他娘的还真是个天才
这也太低成本了
牛逼牛逼，我服了
鬼才
布玛哈哈
你他娘的还真是个天才
开始眨眼
魔鬼计划
火钳刘明
点赞比关注多
nb
火钳刘明
李云龙:你他娘的还真是个人才
该死，正在看的602个人，跟我举起手中的砸他
相当费手
UP主用心了
离谱加牛逼
还有3D画面
咚咚！
我一秒钟眨眼十几下，你怎么补的过我啊
黄种人突然变成白种人的故事
人才啊
这脸上高光哈哈哈哈哈可以哦
牛批
厉害厉害
画质感人
一毛一样
可以
牛逼
眨眼累坏我啦
给我去首页？
已三连
建国动画版
那不是叫乐平么？
小时候看的就是这样的
NB
这还低成本的笑死我了，没画过画吗
帧率爆炸
我先来，牛逼！
别的不说，你看这阴影质量多高
