带三水玩的都是好人
火了赞我
噗，这个三体游戏好可爱
越共（bs
老航天竟是我自己（dog）
恭喜你发现了宝藏
你成功的夺走了一个三体人的三连
火了赞我
模 范 夫 妻
我对三体世界说话！
这个太有感觉了
这个技术力！！！太强了太强了太强了！
“我在，你们就在！”
太绝了！！！！
好帅！！
我不允许有人没看过这个视频
太强了
不要说什么绍琳去死之类的话，叶哲泰坚守的风度固然值得敬重，绍琳明哲保身也是出于无奈
这个吴岳好可爱
尊师重道章北海，夫妻和睦希恩斯
老航天视角
东方好美！！！
不知道为什么没有很多人喜欢白ice，我读到二向箔那段真的难过
智子姐姐！
“小女孩，我遵守了诺言”
火钳流明
嘿嘿嘿嘿嘿嘿嘿嘿～
666666
我是东北人
全完了
核弹女孩
该视频一定会火，这是第一需要
我去 斐林
给岁月以文明，而不是给文明以岁月。
我对三体世界说话。
北海！北海！
《铸剑为犁》
前进！前进！！不顾一切的前进！！！
能者先赏
←别惦记你那帅大叔了，原著描写一脸横肉，形象好坏一点儿都不影响大史的人格魅力
我对三体世界说话！
太好看了吧！！！
小女孩，我遵守了诺言
这个闪回我真的眼泪下来
宝藏！
六分仪!!
火啊！！！！！为什么不火！！！！
他终于可以面对太阳
我的币。。)
“我要和我的子民对话”
“他甚至想杀死我的孙子”
维德好像30多岁吧
恭喜你发现了宝藏。
为了有更强的表现力，大部分都是对着头
用文火 
甚至有他们仨。
艾伯特好可爱
我是面壁者罗辑，我对三体世界说话 ，我手上的这是一套生命体征监测系统，他连接着雪地工程部署在太阳系轨道上的3614枚核弹  
我赌两块钱，这个绝对会火。
模范夫妻
人类不配逻辑！ ！ ！
我只给你们30秒时间
原著中还有后期哈勃望远镜的两位肯和罗宾逊
直接三连
你币有了
史
火钳刘明
罗辑！！！！！
叶文洁好帅啊！
火钳刘明
朴少校！
不愿成为萤火虫
差评，没有树桩
孩子们，这里要变成画了。
首页通知书
年轻维德
妈呀好美
太厉害啦，火了撅我！
居然画了这哥仨，用心了
好美！！！！！！
现在才六千播放，搬把凳子看播放量升上去
我的维德，，
省流：没有罗非鱼
呜呜呜呜呜呜太牛了
良作无人系列
火了撅我（喜
罗辑好帅！
火钳刘明
tomoko！
史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史史
太强了
章北海
不要回答！
AA！
aa真的可爱
哇，新的情头
老师好强！！！画手书辛苦了——！！
理想中的逻辑
丁仪！
天呐汪淼好帅啊
这个罗辑好帅
火了撅我（）
星环男团（）
自然选择，前进四！
谢谢老师改颜色，这个颜色很漂亮。
这段绝对不能按刘慈欣的来，会死人。
汪淼太帅了
惠子真漂亮
蚂蚁：为什么我没有介绍？
带北京那仨的都是大好人
破壁姬
高技术力suki！！！
章北海在下定决心冬眠前还没有完全成熟
人类的寒冬，降临
良作
云天明！！
好帅啊
我算了很多遍，不会错的，逃逸速度是光速
这个三体游戏也太可爱了吧
太强啦
首页通知书
高way：？？？
哈哈哈，他们三个
我去有内味了
看起来他们俩个很恩爱，对吧质子
物理是一座高楼，理论物理是地基，但是只要地基塌了一切都会没有意义
火了踹我(喜
帅啊
心脏骤停，但是叶文洁。（）
这你一问题太帅了
我对三体世界说话！
见
见BGM立进！！！
成功获得歌者三连
这个动画哈哈哈哈哈哈哈哈哈哈哈
这是人类的落日
罗辑脚上是Vans吗
哟，六分仪
大低谷纪念碑
汪三水
钢印族楚言
朴义君少校
大史nb
云天明!
带h关一帆玩吗
只送大脑
我的三体的东方延续，彻底疯狂！
给我一块二向箔清理用
丁仪！！！！！！！！！！！！！
＂如果早知道你在这，我会常来看你的＂
你发现宝藏的能力一直可以的
史强！！！神！！！
给跪了
大史
帅！！！
太空中是手枪
omg
汪淼这么帅的吗
前面的，诸岩不是钢印族
《模范夫妻》
北海！！！
up必火
给我火！！！！！！
↑是手枪
我去
火钳刘明
良作无人！
必须三连
你们蓝色空间还有时间打牌啊hhhhhh
666666
住手！住手！住手！住手！住手！住手！住手！住手！住手！住手！住手！
汪淼！
游戏名《三体》
周文王！
要进画里了
一切的开始
啊啊啊神作！！
什么坦克世界
三连干嘛，愣着啊
今夕是何年
罗老师！！！
好可爱啊！
小女孩，你看，我遵守了诺言
为生存
杨冬之墓
对不起！我没有币了，明天再补上
史强不瘦啊 你看汪淼是正常身材
她不知道三体人是什么样子的，但她知道人类
