重瞳
你可以原版吓人多了
省流:没有臭卷宝
石矶娘娘
怎么感觉是赖皮蛇
赖皮蛇
赖皮蛇
太夸张了，跟红皇后串了
这服装有点像赖皮蛇，
大威天龙！
大威天龙！
好有才
朝歌……
朝歌。。。
石矶娘娘
石矶娘娘驾到
卡姿兰大眼睛！
石矶娘娘？
已经开始害怕了
石姬娘娘
太吓人了
红皇后升级版！！！
血丝都看见了
这分明是石矶娘娘
太棒了妈呀
这眼睛
妈妈！这里有妖怪！！！
你的那个妖气要焕~~发出来！
吓人
看我来一个二技能
纣王轻薄了女娲，妲己只是个小喽啰而已
就要这个 不要换！！！
妈妈我怕
害怕
卷宝快跑！！
臭卷宝
朝（zhao）歌
吓到老子了
哇
吓到我了(￣.￣)
石矶娘娘是图图妈吗？
石矶娘娘是不是缺了一只叫臭卷宝的小猫咪啊（doge）
最还原的！
已经开始害怕了
我要买特别多漂亮的衣服然后让女娲做我的婢女
朝（zhao）歌啊
我感觉她要从屏幕里出来吃了我
石鸡娘娘，你好。
已经开始害怕了
智慧的眼神
zhao，zhao，朝歌
真可怕
好可怕
我天
卧槽
恭喜你发现宝藏
卷宝～～
美式演技
我去
cjb啊啊啊啊啊啊啊
炸鸡
一模一样
娘娘
臭卷宝
卷宝快跑可还行哈哈哈哈哈哈哈哈
好牛啊
太厉害了
Zhao
小时候看的很绝望因为不知道主角该怎么赢
所以姐姐，可以出个妲己吗
矶你太美
石矶
牛牛牛
到底是chao歌还是zhao歌呀
这是我童年阴影啊啊啊！
这不是石矶本尊？？？
卷宝快乐妆
离谱
666
《打鸡》（幻听）
害怕
可以可以厉害
好像赖皮蛇+红头皇后
你的眼睛为什么那么亮啊
臭宝，快跑！
看的我头皮发麻
害怕
卷宝
靠这个好绝一下子感觉出来了
太强了
我去
石矶娘娘
开始害怕了
臭卷宝快跑啊
cjb 早上好
石矶娘娘！
太强了
太强了
妈妈，有坏女人
哈哈，传神
你这是石矶啊！
谢谢，唤起我的童年阴影
朝一声
喜欢我大蛇丸吗
zhao歌（来自朝歌城的百姓）
打火机
zhao朝
zhao朝歌城
zao
朝zhao歌ge
我只想蛇kiss下
卷宝，过得不错呀~（）
臭卷宝快跑啊
《答鸡》
朝（zhao)歌
哈哈哈哈
朝歌
太牛逼了！！！
啊啊啊好帅啊
吓死我了
《达鸡》
臭卷包快让妈妈亲亲
貌似是朝（zhao）歌
石矶娘娘不露牙笑
臭卷宝呢
哇
牛逼啊
好恐怖啊
哇！
朝歌
太强了哈哈哈哈哈
我好害怕
太像了救命！
石矶娘娘不是坏人啊
卧槽！
朝（zhao）歌
好可怕
菜煎饼快跑
娘娘，臭卷宝呢
我的妈呀
@团宠酸奶妹
吉克隽逸（幻视）
石矶娘娘
开始害怕了
石矶
石矶娘娘
卷宝 快跑啊！！！
好像呀
东皇太一
眼睛吓人
害怕害怕害怕
你这是黑熊精吧
开始害怕了啊啊
哇塞六啊
好家伙
没有那种高贵感
不是朝歌么
好恐怖
前方眼球高能
真的仿了！！！
太棒了
噩梦开始
卧槽！
妈妈呀
吓死个人
再次被童年阴影支配
太酷了！再来一遍！！
黑魔仙你肿么了
迪士尼味真的好浓
快让卷宝妈看看！
刘嘉玲？
这次的转场很流畅
想知道眼睛是怎么仿得这么像的，太厉害了
太，，，厉害了吧！！！
刚刚打完王者，针对了一把妲己
那叫朝歌城
好惊悚。。。。
正义必胜 但愿海波平
正义必胜
臭卷宝，看上去你日子过的不错呀
从未关注，从未错过
恐怖
小猫咪你还能逃出我的手掌心吗？你不能啦！
卷宝快乐名
朝歌！
害怕.jpg
只看下半个屏幕你会爱上她。
不像的你化啊无语
zhao歌
zhao歌
不是石矶娘娘
不是石矶娘娘
不是石矶娘娘
卷宝快跑
