头上得绿帽子真鲜艳啊！
绿队行呀
袁绍：你礼貌吗
疯  狂  押  韵
《华雄》
准时登陆
绿
绿
奥特曼( o|o)ノ三三三三三三三
芜湖前1000
woc
这个好啊
绿
路人来顶一下
承包空屏
爽快！
诸葛亮：听我说谢谢你
好！
好！
绿
诸葛亮：啊对对对对对
绿
绿   还是二爷应援色
绿
泪目
下一个是不是张飞新说唱？
关羽：我可是读春秋的
太爽啦！
这一段绝了
然而，到此为止了。
盲猜后面有刀
芜湖
空屏被我承包
承包空屏
kksk
袁术：我不是在冢中吗？
过五关斩六将，岂敢挡我身形！！！
过五关斩六将，岂敢挡我身形！！！
过五关斩六将，岂敢挡我身形！！！
过五关斩六将，岂敢挡我身形！！！
过五关斩六将，岂敢挡我身形！！！
厉害的
神仙打架
kksk
好！
这确实强啊
kksk
支持
绿
今天是绿队赢。讲道理。文章对得好。
好节奏
欢迎大家来支持黄队
23333
kksk
曹操：来人，给云长送去
好！！
绿
正片开始
我读春秋的
kksk
kksk
好！
好
2333
kksk
kksk
吊炸了
6
绿！！！
绿
二爷色
冲冲冲
节奏和押韵都是一级棒
太猛辣
这个好耶
kksk
kksk
kksk
威震华夏！
太牛了！
这个调音绝了，强强强
这个三连关注出来，又这么一停，我还以为进度条没了（
kksk
kk
kksk
kksk
Kksk
这个真的强
吓死我了赶紧看了下进度条。。
把泪目打在弹幕上！！！
降汉不降曹，斩佞不斩忠！
这个有点稳啊
绿队加油！
霸气霸气侧漏
Kksk
水淹七军，威震华夏
绿
kksk
kksk
火钳刘明
不戳
绿队加油！
芜湖
绿
绿
kksk
绿
绿色
好啊
很强
ohhhhhh
ohhhhhh
ohh
芜湖
t
kksk
关大爷，支持支持
省流：某姓关名羽字云长
绿的很啊！！！！！！
这个好啊
关二爷睁眼要杀人
A.K.A_汉寿亭侯  Skr~~~~~~
连关公的衣服都是绿的
kksk
绿队
某姓关名羽，字云长，AKA温酒斩颜良_过五关斩六将_汉寿亭侯_天下无敌！！
来力(喜）
kksk
起飞
nb
关羽怎么死的！
好！
doge
好耶
kksk
真的很流畅
帅
亮：主公你牙上有韭菜 doge
单刀赴会太帅了
强啊
kksk
芜湖
芜湖
猛！
kksk
支持
芜湖
关羽：我还想回到当年赤壁取曹操首级！
芜湖
芜湖
支持三国演义
好
kksk好活
耶
KKSK
芜湖
牛
新鲜出炉
黄
可以
340人yq看哈哈哈哈哈
过五关斩六将，岂敢挡我身形！！！
关羽一生，忠义盖世
过五关斩六将，岂敢挡我身形！！！
过五关斩六将，岂敢挡我身形！！！
过五关斩六将，岂敢挡我身形！！！
绿
114514
绿
混入敌军
嗨嗨嗨
绿！
kksk
好诶
弹幕都收绿色德玛
强啊
支持绿队
kksk
绿
当你看到我，你就不是第114514个了
黄色
绿队
威震华夏的关羽，有着将红牌当杀的恐怖能力
哈哈哈
绿队
六小时
绿队加油！
五押神了
可以
看到我你就不是第一了
牛牛牛牛牛牛你牛牛牛牛
kksk
kksk---kksk---kksk---kksk---kksk--kksk
强的捏
黄
泪目，全体起立
绿队加油
绿
《安然无恙》
lllll
哦
火了撅我（喜）
黄
可以
punchline
哈哈哈，画大饼的亮
弹幕
泪目
绿色是关公应援色（误
好
牛啊！
好
太帅了
kksk
绿
AKA关云长
黄禄色
黄绿
。为什么全是绿的？
黄绿
nice
绿
绿
支持
绿
绿
颜表立 绿队冲冲冲！
针不戳
