我还是第二！
我还是第三！
up是天才！
太帅了
厉害
还热乎
我是第356个
雷切
我去，太震撼了
热
史前巨兽里面的无畏龙
不是蝗我不是很认可
铁粉来了
第289个
但凡雷蝉可以到地上产卵。。。
Up主，三连了，能否说下用的什么软件，可以和你一样自学否
太强了，独树一帜的风格
雷蝉不得10块一个
芜湖来的好早！
来了来了
带制作
这样看  不大聪明的样子
傻狍子
特效太好了吧
麻了
就是雷婵下卵?
！太强了
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
我乱码了
5
3
5
5
5
5
5
5
我靠
5
5
5
5
5
5
5
5
5
5
哈哈
5
5
5
5
六亲不认的步伐
5
5
5
5
5
5
5
投放鱼雷！
好帅啊
3
5
5
5
震撼
5
5
3
5
5
5
5
5
这期太有想法了
5
5
4
5
5
5
5
5
5
继续啊 别放弃啊 等你更新啊
5
5
5
5
5
5
5
5
5
1
5
5
5
1
5
一脸的我无敌你随意。。。。。。。
很难让人不给三连
蛋白质含量丰富的幼虫吗？
塵chen
爷爷，你关注的up更新了！
产卵都这么壮观
好像顺拐了
两小时可以。
纪录片既视感。
大制作
激光炮准备完毕
来了来了
先三连后观看
塵 群 结 队
飞行电池啊
钻地弹
有没有对比啊，多大啊？
有点像史前星球的泰坦龙画面
这是羊驼的祖先（doge）
塞雷
失踪人口回归
一节更比六节强
大制作
雷洛探长是你吗？
这不得一盗一个热门？
来两币
别在这里发电
啊，这么大风，这小翅膀能飞吗？
《沙虫来袭!》
以雷霆击碎黑暗
虽然但是，丢的不止一册
一群五百年
他们是不是顺拐了？
这句我听懂了 是 跑
跑起来不大聪明的样子
R～UN～！
多看看纪录片吧，很多动物走路就是顺拐的
这玩意带电吗
这不是四角山羊嘛
81
地雷
带制作，辛苦了
不喜欢虫子
好家伙 能吃吗
钻……钻地导弹？！
好吃啊，油锅之内众生平等
太强了大佬
可爱捏
把有点像去掉
加油
这不比鹅厂的那些垃圾好看？
磁爆飞行兵？
鹅厂那些垃圾也配？
很难不三联
傻孩子们~快跑啊！
二战战机群
幽助老爸？
我不信20天就能完成 原画 CG 建模 这些不都不需要时间的吗
哎呀我去，海盗虫，转过来吓我一跳
骆驼就顺拐
傻狍子尥蹶子
傻狍子！不！
第一个字怎么读啊
雷鸣 八卦
粉丝先吃
最后这几秒山海经夜游马上来偷。。
王虫么这个造型不就是…
王虫沙虫缝合怪
钻地蛋
它没肚子了呀？
？？？
我要养鲲
侏罗纪公园的梁龙叫声？
这不是风之谷里的王虫吗？
蛋蛋
谢谢，怕虫的人已经被吓到了，但还是抑制不住好奇心
经费在燃烧
救救摄影师
让·雷落
油炸嘎嘣脆
不是说遗失的那一册在始皇陵吗
用长颈鹿建模吗，挺像长颈鹿的
顺拐了
《山珍海味经》
这辈子直了
不去做个游戏或动画都可惜了
你币有了
npnp
一切巨兽在大自然面前......
斯鲁
共生关系 fdoge
10万伏特
去吧！雷蝉! 十万伏特!
自学20天？
你作弊
袋鼠
吃了变闪电侠
禁止自娱自乐
油炸还需要剥皮吗
不是无敌儿吗？
为什么会有雷呢
蓝猫的音效吗
