芜湖～
偶尔排第一，欧耶！
有那味了
来了，热乎
接头霸王
新鲜的
胖虎眼（doge）
我来组成头部！
骨架也太厉害了！
神子胖了
太棒了
好屑的脸
连COS服都会做太牛了
更像了
好屑的狐狸
您？
没有您不会的
蜜汁突起
氢氧根离子！
太强了
wtf
成龙！老爹的鼠符咒呢？
小子，手放哪呢
老婆
好像少了点屑屑的感觉
有点早
好像有点
这质感不错啊
我是第一名！！！！我是第一名！！！！
是我的错觉吗，下巴感觉好尖
头一回这么早诶！
哇，可动！？
甚至衣服都是自己做的
现在鸫的手法都已经完全看不懂了
后面的八重樱挂画
越来越深入
haoye
好看！！！！1
后面这个八重樱
求BGM
质感不错诶
好耶！！！
新鲜的！！！
牛蛙牛蛙
tql
卧槽好还原
人娲造人
巧手匠心
斜着看有点屑屑的，正着看有点憨
谁还记得他当初用粘土造人的
"CAO,牛逼"
tpe
这个耳朵的质感也太棒了！
？？？衣服也自己做
这是要翻模？？？
手好好看（关注点错误）
5
十分钟，热乎
5
5
5
5
5
为什么不往下拍了？
5
只要微笑就好了（幻视）
5
5
5
5
5
支支吾吾
太强了
5
5
5
5
5
5
5
4
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
这脸做的厉害啊
5
5
5
5
5
5
woc侧乳还原好评！
5
5
5
5
5
5
5
5
5
5
5
5
5
5
这是包胶素体
斜着够屑，正的太可爱了
5
5
哇唔
5
5
5
5
5
5
5
5
5
5
5
2
5
5
5
甚至不用花钱买cos服
5
5
5
男娲又造人了
雀氏
当新手还在惊叹的时候，老手已经开始三连了
左边的芭芭拉也在努力配合演出！
后面的头发没打磨
下半身呢
衣服有点大
注入灵魂
up主最后是不是要开店啊
左边芭芭拉
莫名有种环太平洋机甲的感觉
这个胖虎怎么变宽了？doge
卧槽
我记得以前不是捏泥人的吗？
哇
要是脸做成硅胶的就更好了
强无敌
垂死病中惊坐起
不够大
好看！
快进到mhy出钱请up
健身用具
君子都防
团子牛奶？
梅开二度！
参见男娲
空降03:53
好憨啊
眼神中就透露出的屑的神子
还行，不够屑
什么叫男娲啊（战术后仰）
nice
感觉问题在……发胖了？
侧面屑 正面憨
左边芭芭拉是up捏的
感觉都一年没见捏泥人了
这也太nb了
这是光固化耗材溶液…
？？？？？？？包胶？？！
电熨斗加水这步我会！（骄傲）
男娲已经很久没捏过小人了
好有质感
一脸呆呆的
同款挂画
大人 时代变了
讲究
从原始时代升级到科技时代了
这
你是谁？为什么在我的关注里面？
老婆！
为什么你眼中常含胖虎（doge）
连cos服都自己做！喜多川海梦狂喜！[妙啊]​
没打磨的是耳朵吧，本来就是毛绒绒的
影视级制作工序，看到这里肃然起敬
万事俱备，只欠鼠符咒！
....！！！
岳母好！
