龙泉！
好可爱很好
绝了
我的超人
喜欢
太强了
好棒！
好牛
西施惠～
hhhhhhh
太强了
哇
？？？？？？？？？？？？笑死
菇酱这个挑眉哈哈哈哈
看我发现了什么
哈哈哈老婆真棒
太喜欢了
喜欢
ohohohohoh
喜欢的！
好饭不怕晚呐！
哇~
哇哇哇！
非常适合
适合
非常适合
适合
非常适合
我靠，可以啊
非常适合
非常适合
非常适合
非常适合
非常适合
非常适合
非常适合
非常适合
非常适合
非常适合
非常适合
适合
非常适合
非常适合
喜欢！
我靠，太美了
saber，我想当你的master
好家伙，打了把真剑啊
好美丽！
太喜欢了！
太棒了
哇！
这不是画的吗？
喜欢
你就是李云龙吗！
太棒了
这种感觉真的很美妙！
喜欢！
打铁好帅！
是鸦九剑庐啊！
这个选色就很严谨
龙泉宝刀！
啊呆毛
打铁我笑了
呆毛都一模一样
喜欢喜欢
我的王啊
真的湖中剑诶
好啊好
我去！厉害
天呐，好精致
暴哥！
盔甲太细节了
不涂口红更好，口红与王的形象不相衬
哈哈哈哈哈
火凤凰saber
这把剑牛逼
喜欢喜欢喜欢
试问，你家的饭管饱吗（）
焰EX
肥肠适合
这是什么啊这是什么啊啊啊啊啊啊（精神失常）
真的美啊
绝了
武器自己煅可还行
你就是我的麻丝塔嘛？
喜欢
模特确实有点儿神似
全是弹窗啊
《甜 腻》
辛苦
太强了，大佬
锻造满了吗
卧槽好美！
打铁也太硬核了
厉害
王啊！
天下谁人不厨王？
太喜欢了！苏巴拉西！
这个真的工匠精神了
还可以不怕被你老婆打么，哈哈哈
可以可以
居然是还可以，不怕被老婆打死吗
牛啊
好家伙还是龙泉剑
老婆，跟我回家
吼吼
呆毛王左右手的手甲不是一样的啊（）
tnnd，这选项这么小，点错了怎么办
呆毛不够瞩目=.=
woc好兄弟
周姐蚌埠住了
币都是你的！
厉害
没有棉被不是很认可
天哪，太美啦！！！
你他娘的就是劳资的马石打？
呆毛存在感很强
阿这周姐
千 子 村 正
不可以加铁丝吗，只要铁丝够粗，完全可以拗造型吧
恩人哇
试问，你就是老子的master吗？
牛逼
让天下臣服在您的剑下吧
这个假毛好自然哦，是真发染的吗
卧槽了
这个老婆就很可以
这是个等量代换吗
太感动了！
卧槽
我要看补魔的那张
太喜欢了
原画也就这样了吧
哇是我生日！
在漫展看到一定会追上去求合影的哈哈哈哈
在外靠朋友啊
好家伙 真剑啊啊啊啊啊啊
喜欢
爱了爱了
牛
这把剑我有
太喜欢了
这就是发奋秃强吗？
周姐
外景就那些城堡什么的实拍成本其实更加翻倍
没有月光照在呆毛上我不是很认可
这首歌一响起就想起看06版时的伤感
烈火拔刀！（dog）
一毛一样
nice
此Saber非彼Saber
还原！
好家伙，真宝剑
奈斯！！
大制作
完结撒花
合适得不得了
眼好大很还原！
牛逼呀
哈哈，我也有这个头
这主要是p图了吧
我超，文艺复兴！
哭了！自己做的cos意义比买来的大多了！文艺复兴了！这个币我先投为敬
太美了！
‘
吹爆吹爆！！！
？？？
不单是前臂护甲左右不一样，手套也不是五指的好像（doge）
有点周姐2333
真家伙啊。到时候别在床上被砍了
这是真的厉害
吾王剑之所指，吾等心之所向！！！
吾王剑之所指，吾等心之所向！
太对了太喜欢了！
太辛苦了大大
合理
幸苦你门了
这可太强了
好！
没有呆毛是假的。
听到这首歌我就想哭，再加上这种风景和画质，很难说不喜欢，看到saber的cos这是第一个让人觉得算可以的了，加油加油
王厨狂喜
hhhhh
嫂子很美，地瓜很幸福
锻造剑也太硬核了
好帅的铠甲
确实像
我去真剑啊？！
真的还要铸剑 牛皮
这就是老夫的。。。。。
这一套可以摆家里传世了
居然还用真剑
3连，就为了吾王
截图
亚瑟王不可能是个女孩doge
也可以用鱼线
吾王！
炼金术是吧
这套装备NB了  神器啊
套图哪里买
自己炼剑还行
拍胸跟拍脑壳一样响
太喜欢了！
这精神太棒了
非常OK
吾王美如画
BGM：骑士王的荣耀
你他娘的就是劳资的master？
我去，Fate
铁丝明显撑不住这个厚度的布料
呆毛好评
阿瓦隆
太喜欢了
我的妈呀
没有过度修饰好评
全金属很重好吗…
吾王
我在dev分支
哈哈哈哈哈哈
哈哈哈，不会是开刃的吧
这手甲做的还是有点问题
这友情也太赞了吧
还以为是建模，好精致啊
什么声音
致敬
三连了
王厨直接泪眼汪汪
姐就是女王 自信放光芒
左手手甲是不是五指的
喜欢喜欢！！！
好兄弟
真金属没几个女生穿得动吧
tmd破防了，不看了
卧槽，牛批
吾王剑之所指，吾等心之所向！！！
很棒，但左手手指好像不太对，记得好像是中指无名指尾指一体的
大佬大佬
不经意
好美
太强了
同款大哈鱼毛衣
希望在座的各位不要拿别人老婆当壁纸（doge）
我想投1000个币
艺术
我的圣剑！
太下功夫了，好棒
太喜欢了！
服装色调可以说很还原动画了
非常喜欢！
牛的
这不来个咖喱棒？！
有呆毛！
就Tm你叫夏洛啊？
哈哈哈哈哈哈哈哈哈
老大哥！？？
开个刃你们就集体喝国家茶吃国家饭了
呆毛细节
这道具可以
吴王
币都给你
美爆
等下，这把卡尔光剑我也有！
好强啊！！
喜欢！
我想看捆绑那张
xh
火凤凰的saber耶，也买了一只
百分百还原立绘就像拍电影不用编剧，照搬原文
666啊
身高154
太喜欢了
你个小可爱就是本小可爱的骂死她吗
有和地瓜同款衬衫
用什么设备拍的
这把剑800大洋
草，自己锻
吾王之礼
吾王剑之所指，吾等心之所向！！！
不是，我只是个路过的普通三十岁市民
帅的帅的
我超太牛逼了
辛苦了
呆毛在哪
