永恒之土
哇
好看没人看系列
您三连有了
肝帝
我的三连感觉配不上您
离谱
手滑了
牛蛙，硬币拿去！
太好看了8
快看肝成精
突然觉得只能给一个三连真的太愧对于这个视频了。
牛逼
NB
太厉害了
我要这币有何用
必须火
666
哇哇哇好好看
您
这三连看来是留不住了
卧槽
太帅了
2022年了，竟然还有up主在mc里还原建筑，三连
《原块》
日冕！
您这是复刻了全部场景啊
手滑了，这简直神作哇！
太强了
卧槽
一个三连真的是愧对up
三连了
震撼
三连了
这太夸张了
妈问跪
帅炸了兄弟
牛皮啊
您
1000+
您
这波你们就是中国脊梁
握草
酒庄诶
牛批
突然感觉我自己不配玩MC了
风龙废墟
太强了吧
璃月全家桶
太强了！
太牛了
卧槽
按错了
震撼我妈100年
肝上长了个人
这就离谱
BGM：惊涛落日
您
跪了
@原神@米哈游
您
浑身是肝
按错了
这个up怎么回事，怎么把我的画质拿来当mc原神（doge）
您
太牛了
让我更加喜欢这两个游戏了
超级带制作
缺人。
璃月原型是古代中国！！
！
牛逼
直接三连
大佬们受我一拜
卧槽
这里有云堇的戏台，太细了吧
源于热爱！
点歪了
芜湖
点错了
惊为天人！！
您
这里绝美！吹爆！
串味了
厉害
牛
您
没币了，明天补上！
卧槽，直接三连
牛
太牛逼了啊啊啊啊
卧槽
您
HOLY CRAP
我要这币，有何用？
这就是传闻中的像素原神吗，据说不吃高配
尤如三神创世
风龙废墟
哇塞(ﾟﾛﾟ)
点错了！！！！！
火钳刘明
您
↑更正一下：绝活间
你币有了
您
夹带私货（bushi）
我TM我币呢
卧槽，牛啊
好家伙，币比赞多
您！
再来一遍！
叫你不开防锯齿(bushi)
您
还缺少了一点东西，才真真正正还原了提瓦特。
卧槽
卧槽鸡皮疙瘩
您
不舍得不投
巨佬
卧槽
nb
太强了
双厨狂喜
这都是什么神仙啊
币比赞多
甜甜花
全体起立!
不是，工程量这么大的吗
我的天这是神仙吧
南十字军和悖论引擎（bushi）
璃月海空军力量
握草
关于我在我的世界做原神的委托任务那档子事儿
日冕
绝活
nb
甚至有晶蝶
伟哉！我大璃月盛世无双
宁?
投币比点赞多系列
大佬
大佬，什么时候渊下宫安排下
我看到了甜甜花？
这里眯眼看绝了
这是二创？？？
这是二创？？？
点错了，气死我了
牛
《点错了》
太棒了太棒了太棒了
太好看了吧，我真的吹爆，投币了投币了
愿薪火相传，美德不灭
你们肝还好吗
点错了
牛皮
内百分之五是不是家里人没了
牛啊我的天
卧槽
您
牛牛牛！！！！
正拖进度条呢，点错了啊
我超
您
这个bgm太有代入感了，震撼人心的说
肝上长了个人
这应该加入原神拜年祭的呀
这盛世璃月！
1000+
快住手啊，这根本不是二创！！
我超
哇！！！
等会？你还塞了个群玉城？
?.≤lo;[‘
您
晨曦酒庄门前甚至还有两只风晶蝶，太细节了！
离大谱
卧槽卧槽卧槽卧槽卧槽
太好看了8，简直就是天堂！
璃月海军
《安全运输》
合成台太草了
您
点错了
真还原啊
