高技术力，三连了
塔塔塔子姐
看我刷出了什么！！！！！
帅
受压迫的感染者们，联合起来，夺回我们的家园！
将军。。。
爱国者的儿子。
我冻原那边的朋友称这种组织为‘‘整合’’
这才是斗士！！！
我愿意跟随这个时候的塔姐，感染者们能看到她眼中的光
阿丽娜……
希望+2！塔露拉冲啊
呜呜呜 阿丽娜 我的阿丽娜
阿丽娜，我的阿丽娜啊啊啊啊
雪怪的公主，她真的很冷
卧槽
塔子，你在乌萨斯看到了什么，你还能在这里看到什么
看看我刷到了什么
相遇，总是离别
好棒
"“over hate"""
霜星小姐呀
辛苦了
感染者这么处理真的没事吗（
这世上有许多东西，有些是好的，有些是坏的。好的我愿帮助，坏的我起身对抗。
为斗士塔露拉献上心脏
是刀
卓别林牛逼！
天元突破可还行
太棒了
阿丽娜。。。。
后边扎古？
帅哦
太强了
她独自一人行走在理想的道路上
太厉害了
阿丽娜啊。。。。
可惜啊，当时那个人在队伍里就好了。
一切都变了，一切都回不来了
亚历山大让抓走 米莎只能哭泣
注意此处塔露拉的背影
靠ironsky.我好爱
拜年纪那么卷了？
刀，是刀，呜呜呜
牛
阿丽娜之死，斗士塔露拉崩坏的开始。
火钳刘明
"”over love"""
再回头的时候，斗士塔露拉已经孤身一人了
"""over hate"""
来了来了！
这分镜无敌
斗士塔露拉，不会回头
那一天开始感染者再一次发现自己其实是人
太棒了，没法用言语描述了
一枪打穿阴云的爱国者╭(°A°`)╮
卓别林电影里的演讲！
寒冷在温迪戈面前节节败退
抗争开始了
这里塔露拉并没有与战士们一起
身后已无同伴
我永远喜欢斗士塔露拉！
那时的塔露拉是一个真正的斗士
太震撼了
刹那间，天空，被刺出一个大洞
洁白的布，掩盖着僵硬而冰冷的尸体
好牛
一切好像步入正轨
无罪的”罪人“回到了生养她的土地
小鹿，我的小鹿QAQ
小鹿的死去让一切向最糟糕的方向前进
多谢款待
人人生而自由
天元的ed！！
这一幕也太帅了，整合为这片大地带来了新的可能
进步是最为无情的，因为进步是不可阻挡的 ！
色彩的使用真的很打动人
是刀！no
这个是陈吧
这里真的震撼。。
牛壁
影子里有黑蛇
她再一次孤身一人走在理想的道路上就像她来时一样
“我族愿永远追随陛下，化为坚盾，守卫乌萨斯漫大国土”
太强了！
我们又一次胜利了，但是否失去了什么？
他战无不胜，却守护不了自己最珍视的东西
陈！
要哭死了
影中黑蛇
整合！
“还有下一场胜利等着我。”“够了，黑蛇！”
tql
太强了！！！！！！！！
作为“斗士”的塔露拉在巅峰时刻死去了
游击队的名号响彻冻原！
太震撼了真的是
永远不会欺骗你的塔子姐
爱国者的儿子
bgm:Iron Sky--Paolo Nutini
效忠于乌萨斯先皇的温迪戈，如今只剩博卓卡斯替一人
好棒！！！！！！
太强了，先点赞收藏，硬币后面来补
背着赤霄，是陈
从孤身一人到孤身一人
辛苦了
这厚重感！nb！
邪恶的大地在他面前颤抖，他的长戟贯穿天穹！
蚌埠住了，三连献上
多谢款待！
nmd。这首歌让我想起了尼亚和西蒙
万年TBC…………
啊啊啊啊啊啊啊
全盛大爹，这装甲真的不是一个级别的
太棒了，真是太棒了
这个背景像长辈啊
混血温迪戈还有呢
太强了
卧槽，n b
龙向着天空吼叫，黑蛇缠绕在它的身上
每一个人都是有权利反抗压迫的！
太棒了
整合运动之始
草
好家伙天元突破
务必看完！
影子里一条龙一条蛇
偌大的城市，竟找不到感染者的一片容身之地
塔子姐
BGM：Iron Sky
太牛了大佬
一切仿佛步入正轨，感染者们在雪原上联合，互助，抗争，为将来奋斗不息————直至一次悲剧
纠察队欺压感染者
强
离别，大火，崩溃
卓别林大师的演讲？
三个温迪戈可以征服一座小城
年轻的斗士被现实击溃，狡诈的黑蛇自阴影重生
蓦然回首，一切不再
感染者心中的烈阳
他们不配被拯救……
质量好高！
击穿面前的壁障！
火焰燃烧的声音
我超 东笙！
斗士
太厉害了！！！！太棒了！！！
姐弟离散
太强了
“碎骨” 新生
这个，，应该是陈sir吧
每一个人都有追求幸福的自由！
神了
最后的纯血温迪戈——博卓卡斯替
如果没有事变 整合和罗德岛完完全全有可能走到一起
泪目
这对姐弟俩
一切若只如初见啊
牛逼
阿丽娜呜呜呜
父亲!请你不要在为帝国服务!
最后的血亲间接葬送于自己的手中
这厚重感太棒了
大地需要“整合”
依诺和萨沙
伊诺
萨沙
她没有遇到落荒而逃的乌萨斯集团军，她也没有遇到高大的萨卡兹，她遇到了...雪怪的公主
姐妹分离
斗士的初生
演讲
tqltql
你们并非机械！你们并非牲畜！你们是人！
太强了，！！
抗争
整合
跟我冲！
阿丽娜！我的阿丽娜！
“她仿佛一朵枯萎的花”
年轻的斗士引领众人
一场穿越了时代和地域的演讲
身后的驯鹿默默守望
活下去活下去活下去活下去活下去
炸裂啊
明明都在向光明的未来迈进了
对未来的遐想 期待
为乌萨斯杀尽敌人，却救不了自己儿子的一条命
火钳刘明
背道而驰了
塔露拉，你现在赢了，但这有意义吗？
空洞的双眼中，什么都不存在
前方高能预警
彼时彼刻，如同此时此刻
罗德岛和整合从开始就走不到一起的
路线就不一样
这么棒的视频真的是我能免费看的吗
！
成既欣喜，败亦无憾
嫣然回首，同行不在
太棒了！！
We think too much and feel too little.
再来一遍
影子太细节了
她是，感染者之火
你发现了宝藏
再看一遍
受苦难的感染者们，站起来！
画的太好看了！
真正的斗士是站在前线的！！！
受苦难的感染者们，站起来！
太牛了！
？
tql
大佬nb
太强了！
她燃烧了自己，走了一条错误的路，所幸还未燃尽
她依然有余烬，来点燃这片腐朽的大地
但他们原本是可以走到一起的
太厉害了！！大佬们厉害呀！
这个是!很久前见到的画!
卓别林
塔露拉认输了，向着黑蛇还有这片大地
被骗了
火种还在
卧槽帅啊
她是一个斗士，也是一位王
太厉害了
罗德岛拯救感染者但不止拯救感染者 整合拯救感染者但大地一片狼藉
太强了！
不
令人惊讶的表现力..
陈sir啊
要决战吗
感觉好棒
卧槽这也做的太好了吧。。。。。。。
我超
活下去
这就回去把我的塔露拉手书分镜删了
好
整合运动不会就此结束
历史的进程不可阻挡
她步入人群
可恶没币了，明天补上
陈
塔露拉
恨火，流向原野
米莎
亚历克斯
兔兔神啊。
太牛逼了
塔子姐yyds
牛逼牛逼
太牛了
大晚上给我看哭了！
辛苦了
清醒
这盔甲 
大佬辛苦了
