就尼玛离谱
漂亮
精彩
？？？？？
你用扑克和日麻？？？？
好耶
救命哈哈哈哈哈哈哈哈哈
？？？就离谱
第一次看这款游戏挺正常 然后开始离谱 。
逐渐开始离谱的象棋 
我猜下一个是麻将
HOOOO
……
不一定，黑方也有可能会中炮
好家伙
突然中二
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
UNO的+2牌不是加2张牌吗
大意了没有闪
？
盲猜亵渎
丈八能把自己拍出去？
吴姐:这我也躺枪
有对着开的玩法
这特么叫正马
??????
???????????
剩九年了
？？？？？？？？？？？？
？？？？？
?雀魂?!
？？？
是奥秘！冰箱！
架屏风马啊
撅沙
噔噔咚
扭曲虚空！
？？？
到游戏王的回合了，该直接攻击玩家了
撅沙！吴姐！
华哥（半恼）
扭曲虚空！
温。。温蒂？
心肺停止
？？？？？？？？
Dota2是吧
当我看到右上角，感觉事情不简单
？？？？？
真的有人把雪华当嘲讽用吗
《平衡》
搭嘎!所列哇多卡那!
当场印卡
要素过多
火烧连营（）
草A
注：这是tts（所用软件）官方自带功能，方便线下掐架（doge）
szb火了（骗自己）
翻盘了《物理上的》
翻盘了《物理上的》
翻盘了《物理上的》
翻盘了《物理上的》
翻盘了《物理上的》
翻盘了《物理上的》
金蝉脱壳
虽然能和10但是会被剁手吧
臭不要脸
！？原声大碟
职业一般跳另一匹马，变化更多更灵活
我已经看不懂了。。。
什么玩意？？？？
ZQ
还是异画草
当我看到左上角的三国杀卡和右上角的黑子就意识到不对劲了
不，他还有一张扭曲虚空
蒸，都可以蒸
八阵图！
恭喜ts
八阵图
注意这有副扑克牌↓
卧槽
不是麒麟弓我不能认可
进度条告诉我不简单
私の道だ！
神的使不得
大表哥是吧
桌游模拟器 看到结局
退着走可还行
小华同学使用了败者食尘
带szb玩好人啊
我！！！就是力量的化身！！！！
？
你这不行，隔壁万宁象棋（不是大招版）还有四个二（doge
九莲可太行了
哈哈哈哈哈
红桃的九莲宝灯（
后面会不会有青眼白龙
蒸蒸日上
死亡之翼
扭曲虚空
我都快忘了，一开始玩的是什么了。
这打的什么象棋，打啥牌都有
刘焉狂喜
恭喜ts
？
伊格尼斯多拉贡
这边建议up主放个夜莺开圣域，几乎全闪避，或者把夜莺的鸟笼放下也行，直接吸引火力
亵渎可解
szb火了
？
游戏王牌佬：？
bgm
刘焉快乐器
?????
早该这样了
看到异议的时候绷不住了
？？？？
我token呢？
水印没去可还行
草，雀魂
？？
1000加正在观看
新概念九莲宝灯
舟游就离谱
卧槽方舟的回声行动！币有了
雀
？？？？？除客刀
你这竟然没有军旗的子让我很难接受呀
象棋还下吗？
大逮捕
神之宣告
szb我是真没想到
……
难道不是加两张牌变成大相公吗
八阵图
？？？
死者苏生
？？？？？？
败者食尘doge
华哥不拉缇卡吗
没有游戏王我不是很认可
你要不要来个图书馆？
刘焉快乐矛
扭了扭了
继爱情公寓后我又一大受震撼的桌游
草
？？？
死亡之翼
黑骑士砍什么不亏
你这士怎么出九宫格的
会不会有麻将
还推走了一个兵 
使不得.jpg
？？？
HHH
注意，还有扑克
草，这也行
nb
？
？？？
还有这种卡？
崇高力量！
地狱门！地狱门的枪！
棋  牌  游  戏
屏风马
风暴新宇侠的效果发动！
好！
棋  牌  游  戏
我是力量的化身！
你这不来一手大树
？？？？？？？？？
就蒸笼呗
810975原声大碟
办不了？办不了就不要办啊（乌鸦哥掀桌子）
温蒂～～～
居然是单车扑克牌
要素过多
？？？？？
桌游模拟器卖你卖亏了
不懂就问，这不都是同一个人操作的吗……
szb要火！
