你把rap健再摁一下就好了，这是特殊持枪，可以是正常的
666
头晕
高能君呢
高能君救我啊
不要组野队
这里真的不是按到G了吗……
这不就是缝合了半条命的多人版传送门吗
未响应者
van♂游♂戏♂
这个还低配 玩了卡死了 我吃鸡都能稳定60帧 这个只有三十几徘徊
原野
前方高能！！！
《 啸 呵 呵 》
那我为什么会掉帧，还特严重
《常回家看看》
前面内个确实
这个我玩过！！好玩！！
这个没中文
军团要塞2永远的神
黄镇
有没有手游推荐下啊
信仰射击
rust！
等等要是我上下呢
大兴，大兴我晕，三定完不了。
还打星，我晕，三弟玩不了。
NB
自从我玩了，我从此走上了ue4得开发道路
画风很好，已经开始晕了
说特殊枪的你有没有玩过的呀，游戏中的动作
二代的郎中
我也经常掉
好不容易心动一次，你却让我输的这么彻底
最牛逼的是这游戏子弹能穿过传送门
这好像是抖音最近火的表情吧
求求bgm
求bgm
求bgm
堪家诚
神一般都凉了（dog）
36分钟，4分熟。
这东西配置要求可不低啊我电脑进去直接卡死机
中文有汉化补丁就是配置要求挺高的了经常未响应
天 皇 本 音
《不小心》
哎？是听宇的还是谁的来着？
三国杀
郎中
好
这个游戏的作者还在b站发过视频捏
焯，我玩这个游戏都卡
昵称把我炸出来！
好玩
不好玩
好玩
好玩
不好玩
好玩
好玩
好玩
好玩
好玩
好玩
好玩
i just want to
第一人称是后来做的
郎中
我的世界天下第一
有汉化的 下一个就好了
这个我玩过，超好玩
感谢高能君
你也可以上下都放一个，无线循环
《现实时间》
rust！
玩战雷！
没有中文
创意工坊有中文，点一下订阅就有了
前方高能预警
这游戏优化稀烂
玩魔法雷霆！有效治疗低血压！！！
1月16日21点正在白嫖的发个弹幕看看
战雷确实好玩
玩过，全英
我连游戏都打不开，好不好？
《披萨》
哦，我知道，我看过他发的视频。
这游戏我玩过确实不错就是有点无聊
卡死
BGM: I Just Want To网易云里就有
吹爆
外国三哥拿枪姿势
作者新的游戏好像更好玩
玩扫雷
这游戏贼有意思！！！
11年没放过寒假了
官方有B号
CJC的游戏
这个很好玩，就是武器有点少，汉化的话要自己下，或者控制台，玩了2年了，好玩！
这个也不错，很沙雕，和室友一起开黑的不二之选，神仙不多但还是有，反正免费！
不是bug，按一下G就好了，正常按G按键就是Bbox模式，再按一下就好了
哈哈
未响应者
你给我搁这搁这呢
生化危机的BGM
二楞子橡皮人互抡模拟器
作者在B站
我生吃你有意见？
初中就在玩这个，好像现在还没有官方服务器吧。。。
《极         低》
没有寒假，谢谢
g
按了g
我电脑上有死寂，里面有专门的女人物，大的很
泰坦陨落2优化很好的值得一试
谌嘉诚
谢谢高能君
没看见
吔！
卧槽未转变者是真的好玩。
这个游戏巨吃配置
还行
这游戏配置比绝地求生还高
玩游戏要笑着玩
看起来沙雕，还挺激烈
刚下载了这游戏
 zhe这个我有
][前方高能]
黄金体验镇魂曲
这个也不低啊
这是一个up做的
《啸着玩》
这个吃cpu，优化不好
配置杀手
郎中
一家人是＊＊＊《bushi》
我TM用手机你跟我说用电脑
召唤神龙
女角色好康哦
这不是bug，这是可以调整的姿势
郎中
《低配》
未汉化者
低配？
这游戏刀才是神
带不起来
带不起来
注意：这游戏需求配置极高
我是穿越回来的，推荐的游戏，750带不起来
好玩
不要组野队
盗梦空间
额
pizza time
-
谌嘉诚
嘿嘿嘿幸好我没看
进游戏有点耗时
试了，怎么匹配都被退（QAQ）
他亲妈
谢谢高能君
脏小豆
军团要塞2
这个好耶
《这 也 没 什 么 吗》
草
工坊有汉化包。。。
unturned yyds！
里面能玩服务器，推荐夜航星的塔科夫服
卡死
吹爆
我终于知道什么是“低配”了
妈妈在对面王叔叔家
不耐玩
郎中
csgo只有10帧的电脑还能玩啥游戏
这个也不低配啊
这个低配？？
这玩意儿巨吓人
"这游戏都没什么人玩,匹配了十几分钟都匹配不到人"
这游戏才两个章节，可以再等等
、】
】】、】
[前方高能]
无敌好吧！
才更新的，前几天才看到
我还是比较惜命的，星际战甲是不可能玩的→_→
堪家诚nb
这游戏优化巨差，住内陆的千万别玩
雀食不错
这个确实低配，比csgo还低配
真实
苏坡面惊人
G是吹口哨状态，无法正确拿枪，再按一次G就可以切回正常状态了
低个屁啊
2008年的电脑都带的动
想到了郎中
好像是b站某个二坡主做的 
《   极   低迷  
这个挺好玩的
跑断腿《孤岛惊魂3》第九艺术《镜之边缘》都很低配
在大晚上匹配，因为外国人是在白天玩的
牌面
免费吗
TAB排面
就几个几G电脑受不了
优化极差
这玩楞白天没人，匹配不了
要等半夜找国际友人一起玩
极低？
哼(傲娇)
r6行为
大 笨 猫 3 D
不要组野队
押韵狂魔
侧边瞄准镜
am:原来我是晚上
boy ♂near ♂the ♂door 
boy ♂near ♂the ♂door ♂
