皮鞋演的好
哇他好帅
有那味儿了
光的男人
还定做谱
笑死了哈哈哈哈
还定做了一个牌，活好齐全
爱滴魔力转圈圈
哈哈哈哈，完全不出戏
演技赞
完全一致
前排落座！
这群男人玩的真花！
哈哈哈哈哈哈哈哈哈
鹅层 绝了！
奇 形 怪 状 阵
热乎！
鹅层笑死我了
不错子 12分钟
贝利亚草
我还以为给一拳
好家伙 赶紧申遗
哈哈哈哈哈哈嗝
蚌埠住了
14分钟，出息了
烫手
弟兄们，上任鹅层！
贝利亚好评
毫无PS痕迹
为什么我的脸蛋子红扑扑的
好演技 
哈哈哈哈哈，刘帅言男扮女装
热乎
神他妈鹅层
火钳刘明
哈哈哈哈
哈哈哈哈哈哈哈刘帅言就地给爷出道
前方高能
好耶
刘帅言，危
火钳刘明
好家伙，妖魔鬼怪怎么全住一层了
火钳刘明
热乎了 
火钳刘明
nku大头报到
好耶
不错
刘师爷笑死
好活
反卷总局hhhhhh
反卷总局
吉米多维奇：怎么又是我qwq
雅思：怎么又是我qwq
火钳刘明
刘局你怎么了刘局
这不是剑桥14吗
鹅层
火钳刘明
他  来  了
鹅曾好评
太顶了这台词
呜呜，心疼书
这光打的有内味了
看到结局
好活
哈哈哈哈哈哈
这都多少种方言啊
请找出地上的《工科数学分析》
果然是你
怎么还带口音捏
这忽明忽暗的光是怎么打的
爱的魔力转圈圈
鹅  层
挺有内味
让子弹飞申遗
火钳刘明
BO5三楼，全体起立
小哥哥太帅了吧
卧槽这人也太帅了吧
全场最佳：抬头纹
鞋子够亮
他爹！
来了来了
烫手
声音好听
防毒面具
火钳刘明
老公
同款伞 芜湖
有姜文那味了
草，鹅层
还有粤语
是全场中心全场c位
哈哈哈哈哈哈哈哈
黑皮鞋全场c位
片尾有惊喜
mh给爷冲
吉米多维奇yyds
灯光牛啊牛啊
欧阳院士
《鹅层》
口音好评
这时长爱了爱了！！！！！！！
全体起立
男生至死是少年！！！！
请来太原理工大学抓卷王
哈哈哈哈哈，真实
哈哈哈哈哈哈，
这哥演技太棒了
这面具绝了
来了
大制作
这就配新眼镜
吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼
哈哈哈哈哈哈哈哈
言哥我要给你生猴子
灵魂bgm
这头型？！！
让 申 遗 懂？
这个眯眼睛好可爱
我靠，真有那味儿啊！牛的
up主在讽刺哈工大宿舍不隔音
鹅层笑死！！
mh yyds
哥们演技牛啊
这不是厅长吗
眼一花，以为皮鞋是个火箭气球
带制作
这声音！有东西嗷
同款伞
哈哈哈哈哈哈
哈哈哈哈哈哈哈哈绝了！
哈哈哈哈哈哈
吴姥爷有点奶的感觉哦
这小兰花指
xswl
吴老爷
邪魅一笑
演技可以
又整新活
握草神他妈鹅层
姜文粉狂喜！
哈哈哈哈哈
万宝龙
哈
带制作
刘局啊
吴姥爷
哈哈哈哈哈哈我绷不住了
啊啊啊啊
哈哈哈哈哈哈哈哈好
卷死六个还行
泰州话？
唐山味
笑吐了
聊 他，言哥
还不申遗？
演技吊打小鲜肉
这句是塑料泰兴话
哈哈哈哈哈哈哈哈哈哈
蜡烛吧
我要是回来了，你就跟我卷被窝
蜡烛吗
像倪大红的声音
贝老黑好评
后面是赛罗吗23333
太阳照常升起电影原声乐，久石让
哈哈哈
哈哈哈哈
泰州老乡在这笑死
泰州yyds
这光，不会是用蜡烛打的吧
原来是刘队长
两  臂  侧  平  举
伸  展  运  动
糊涂高手
师爷这语气绝了
黑皮鞋真亮哈哈哈哈
四条杠
啊啊啊啊啊为啥不叠被啊
哈哈哈哈哈
塑料泰州话
泰州话
热乎
哈哈哈哈哈哈哈哈哈哈哈哈哈哈好
哈哈哈
哈哈哈哈哈哈
了然
吉米多维奇哪里够，郎道十卷安排
对味儿了
这嗓音绝了
师爷绝了！
名场面
哈哈哈哈
张若昀啊
周琦
泰兴话?
lidilidi
Lidilidi
越慢越好，你语速这么快可不行
用手间歇性捂着？
笑死了
好活儿
不是蜡烛哦 蜡烛太暗了
哈哈哈哈
好演技啊哈哈哈
同款被子hhh
别人的寝室 酸了
新活？
再飞一会
懂了
？？？？
我找我自己
好活
互换身份？
卧槽
伸展运动
蜡烛
哈哈
好家伙
哈哈哈
这床头的书，不对啊
味太冲
哈哈哈哈
以为是热血高校
这演技可以的
太有意思了
申遗
弹幕护体
什么点？？
笑死我了
经费爆炸
救命啊哈哈哈哈哈哈
不说台词，有点不讲究啊，太不讲究了
你偷我被子
这就是T
夜半校内十字路口的神秘仪式
哈哈哈
？？？？？？
经费曝炸
姜文粉惊了
师爷
哈哈哈哈哈
后面的小姐姐懵了
数分学到精分
篝火晚会
哈哈哈哈
燃起来了
哈哈哈哈
泰州话?
声音好像王千源
不是带银色眼镜也有错？
门口的师爷←
赛罗粉狂喜
哈哈哈哈哈
热乎
小哥哥演技不错欸
剑14哈哈哈
啧啧啧，牛逼
男生迷惑行为大赏呀。
经费爆炸
姜文本文？
贝老黑面具？
弹幕护体
我来了我来了！
G点？
哈哈哈哈哈哈
哥的声音好像于震啊
hhhhhh
弹幕护体
高数
赛文
弹幕护体
这皮鞋够亮
塑料粤语哈哈哈哈哈哈哈哈
唐山味儿
哈哈哈哈哈哈哈哈哈哈
老大台词真好
66666
方言好评！！！
奥特曼火并，哈哈哈哈
求路人视角
泰州人表示熟悉
