第一第一
第二第二
哇
第一，
2
9秒，热乎
1分钟
第一！第一
刚刚
一分钟不到
刚刚
首席
我是第一
烫嘴
刚刚
刚刚！
杠杠
刚刚
一分钟
165点赞23投币
哈哈哈哈
热乎！！！
1分钟
来了
看到我你就不是第一了
来了来了
白色巨塔
一分钟
痔疮
好耶
这小男孩玩的是明日之后
NB
耶！
来啦
好耶！
来了
一分钟！
男主是入赘的（doge）
一分钟我出息了
1分钟
1分钟
2分钟，我出息了
一分钟
一分钟诶！！
好耶
1分钟
嘿嘿嘿
1分钟
烫的。
？
重氪之后
1分钟
好耶
很快啊
《玄不改非，氪不改命》
热乎
热乎
一分钟，我出息了！
来这么早！！！
一分钟！
两分钟！
还好我没在丹麦
2分钟
来早了
来早了
财前教授
？？？
你再骂
两分钟。
一分钟
幸好我还没25岁
要不直接撒了我？
鸡哥呢，有点怀念鸡哥了
热乎啊我是伟哥
当你看到这条弹幕时就不是第一了
是我了
国 际 友 好 手 势
火影手游:你在内涵我？
热乎的，烫嘴
？？？
驱魔
来喽！
可有的人连朋友都没有～
？？？？？？？？？？、
两分钟
2分钟热热还能吃
今天是热乎的
2分钟，热乎的
瑶瑶
30岁还是30会就变成魔法师【doge】
你再骂？！
三分钟
两分钟
司马懿直呼内行
3分钟，出息了
我们小区滑梯旁边就是这种树，小时候还真被砸过
现在时间是22.03
都没有弹幕来着
那我没了
两分钟！！
2分钟，刚到家
比如下面这位。（doge）
竖中指以示友好
两分钟热乎的
帅哥你谁啊？
沙雕网友都没来
国际友好手势
如果30岁还是单身会变成魔法师。【doge】
玄不改非，氪不改命
？？？？？？？？？
热乎
三分钟
？？？
1`
卧槽
三分钟
还好我不是丹麦人
毕业照现状
奇行种
？？
两分钟
3分钟
热乎
氪服
哈哈哈哈哈哈哈
三分钟来晚了
鸡哥真人版？
三分钟
3
我看不懂，但我大受震撼
好像叫什么什么王
是热乎的凉风
三分钟
三分钟
好家伙
是欺诈大师？
热乎！
哈哈哈哈哈哈
哈哈哈
热乎的！
wc，那我没了啊
明日之后
我艹！
来了来了
4分钟
自产自销可还行
白色巨塔？
佛山人狂喜
关上四分钟的大门
完了，我就剩一年了
自产自销可还行
热乎
四分钟热乎
离谱
入味
玩网易游戏充钱也是孙子
有点眼熟巴霍巴利王？
哈姆雷特?
从哪里进去
东 方 常 秀
巴霍巴利王
大王椰
明日之后
哈哈哈哈哈
妙啊
哈哈哈哈
？？？
关键是我看过！！！！
好一个木桶骷髅兵
害怕
哈哈哈哈
卧槽
真就一期一场景
哥布林飞桶
四分钟
亿点点浮夸
热乎
巴霍巴利王
我之前也差点被砸，抬头真的是黑压压的一片。还好反应快
巴霍巴利王
开了自瞄吧
4分钟，早的一批
wtf
？？？？？？
害怕
阴间祝福真实版
5分钟
how dare you！！！
《挨打之后》
兄弟们这个是真的！俺们学校就有种，一条路都是！
很快啊
五分钟！！！
变成了肉桂狗
4分钟！
5分钟
这样是不是就能招来赫萝（doge）
看来抹脖子要升级了
华氏老方
完全一致
5分钟海能吃
你说这是无垢巨人的战术我都信
免疫扭脖子必杀
来了、
钢铁侠
有点惨啊
我们学校就有，枯萎就会垂下来（本人汕头人）
天空龙？？？
