终于到了我最喜欢的系列
穆赫兰道看不懂
禁闭岛！
源代码
我就看过这个，还是在6公主哪里看的
源代码超赞！！！
有无致命ID
低经费高票房电影
狂推
真的很好看，很多细节都暗示了你想象中的结局
还有竖锯爷爷
看过1
老爷跟狼叔还有阿福
这才是天花板
沙马兰还是不错的
搏击俱乐部？
666
其实我觉得《这个男人来自地球》也还可以
神作
源代码也叫悬疑？
看过，不错
看过
诺兰的呢？致命魔术，盗梦空间上不了榜吗
真的牛皮这部
三刷
没有两个结局，事实上只有一个结局，up可以仔细看看
禁闭岛并不是开放结局，有唯一真结局，细看
心理游戏Hyde
YYDS
第六感好看
结尾女主抬头一瞬间我慌了
这个牛逼
凯文斯派西
是，开端感觉抄袭这个
禁闭岛
禁闭岛真夸张
开端
这片子被夸大了 需要看说明书的电影在叙事上已经输了 感觉还不如电锯惊魂
推荐非常嫌疑犯
这是天花板
第一不是烧脑《双峰》么
命运石之门比这好看多了
别开端了，就图一乐，对时间回溯没有什么解释，国外的这些超自然现象方面都有科幻解释的，所以开端跟国外这些比不了
开端真的不算很悬疑，国内剧还是差点意思
孪生蝙蝠侠大战克隆金刚狼！
还有影帝肖恩潘
源代码感觉只算比较好玩，跟悬疑毫无关系
这个真牛逼
绝对悬疑天花板
有记忆碎片吗？
蝴蝶效应不配上榜吗？
大卫戈尔的一生
源代码
莱昂纳多的电影必须是经典
看过
这部也看过
目前为止都看过，穆赫兰道
不是是开端有点像它
穆赫兰道就是梦里发生的
赞
这部看完了，感觉翻译成“大卫戈尔的生命”更合适
蝴蝶效应呢？？？
不是 蝴蝶效应都不入榜？？？？？？？？
这个看过了
这个也看过了
看过不说透，给你关注给你赞
这个没看过，前两部都合胃口，所以有的看了
说反了，这部电影很早就出了，是开端跟源代码有点像
前目的地
建议改为：大卫芬奇的作品目录
说只有一个结局的，建议再看一遍
我爱穆赫兰道
老早就猜中结局了，不过确实是很棒的电影
好看
穆赫兰道是真天花板
源代码超好看
这个算伦理片，主打亲情
好看
穆赫兰道百合片哦
看过
跟前面比、这跟一般
搏击俱乐部
现在请不起了
这个看过，之后抑郁了一阵
禁闭岛
诺兰三部曲呢
这一部简直强无敌
这个真看不懂
感觉开端借鉴了这个构思
这个不是第一吗
源代码真的好看，
这个真的好看
还有人不知道“借鉴”俩字么
穆赫兰道应该排第一，绝对烧脑
推荐一部日本动漫电影红辣椒，比盗梦更早的类型片
这个排得高了
实话禁闭岛在我这到不了这么高
这个超级好看，已经看了三遍
成功的悬疑片不止要结构剧情好，商业元素能完美结合才是最成功的
这个超棒
推荐一级恐惧
凯文这个造型和在七宗罪里的好像啊
如果只有一个结局 这电影排不到第二
这个当年划时代，放在现在真的普通，说看不懂的你真的完整的看过？
牛到让人分不清什么是真实什么是梦境
后面不用想了，禁闭岛，蝴蝶效应，盗梦空间
盗梦空间么？
阿婆主声音好好听
开始逐渐玄学，看不懂系列
神作！！
小岛惊魂
第一不是穆赫兰道吗
结局至今仍在激烈讨论中
第六感真的好 最后看哭了
我爱米
你直接说开端内啥就完了得吧
大卫芬奇和大卫林奇是两个人
开端跟源代码像吧
穆赫兰道不适合绝大多数人
恐怖游轮yyds
无人生还没有么
悬疑电影入坑作
这个看过
林奇和芬奇是两个人
照这么看，我猜还有搏击俱乐部
七宗罪，源代码，盗梦空间，前进目地
低情商：抄袭。高情商：借鉴。
前进目地才是永远的神
这部应该是悬疑之首
当年看这个还是在录放厅租的带子
下木
这个真的很惊艳
小岛惊魂
非常嫌疑犯没有么，记忆碎片呢
太惨了
全部都看过，七宗罪不怎么悬疑，和很商业
杰克吉伦哈尔太帅了
说有多个结局的 建议多看几遍
看过，一直期待续集
这电影老早了
没有致命id?
天花板
这我看过！后来好像被翻拍了
女神、百合、悬疑，我不爱你爱谁
不是穆赫兰道吗？
无知:抄袭 懂行:借鉴
这片是故弄虚玄的
个人理解穆赫兰道细节超多但剧情没那么复杂
看完一脸懵逼
第一部是不是搏击俱乐部
开端算个鸟，抄都抄得一塌糊涂，节奏慢死人
就一个结局 很多细节指向
这部超感人
源代码像明日xx
这应该是第一名啊
没有死亡幻觉吗？
抄个毛
大卫林奇和大卫芬奇什么关系
标题改成芬奇十大顶级得了
恐怖游轮，小时候看的一愣一愣
最后的结局确实是开放性的，看自己的理解了
张青和张清是吧
心理游戏很棒
没看懂
不对，燃烧也可以
最爱
穆赫兰道不是第一吗？
看不懂
"oh,god"
终于有一部看过的了
禁闭岛天下第一
禁闭岛只能看一次
现在悬疑片越来越多 你能猜到不奇怪 但是在当年这种片就是无敌的存在
源代码yyds
刚刚看完心理游戏哈哈
这个比开端早
猜到有什么好炫耀的 就像致命ID 现在多少剧本杀都是这种人格分裂 一看就明白 但是不同时期影响是不同的
开端不是抄袭，只是模仿源代码的格式，不要混为一谈，尊重两部作品
不要光收藏啊，都快点赞投币
up主是我的电影选修课老师
也叫弗兰肯斯坦
u全看过
蝙蝠侠的婚后生活
好耶 老师排面
一个结局
两个结局的可能没看懂吧
标题建议改为芬奇与林奇
悬疑片千万别剧透
源代码上不了
这男的眼熟
最喜欢火烧岛
色调调的是真牛逼
德国的脑部实验室在哪里？！！
没有诺兰？
老师好！
不敢看的片子。。。都没看完
凯文史派西
是肉丝吗
真感觉一般
小李子，偶像
禁闭岛经典
在电影院看的。。
这部电影悬疑个p
这部戏就是女主太吓人了
诺兰
UP主 声音好低沉
七宗罪很牛逼好吗
没有搏击俱乐部吗
盗梦空间yyds
应是意识而非灵魂
诺兰悬疑麻？
没有韩国电影?
大卫林奇是真牛皮
可以库布里克没拍悬疑片
这个的确排的太高了第十差不多
2000多人在观看？
电锯惊魂反转多
蝴蝶效应第一部yyds
杰出的心理学鬼魂
诺兰来了
没有
这个真的看不懂，三个小时
这个是纯靠剪辑制造的悬念，其实不能算真正的悬疑片，更像是实验电影
解决了我的影荒，好耶，果断关注了
这个是真的牛逼
恐婚必看
还有阿福
这个必须看完影评再回去看，才能感到牛逼之处
恐怖游轮 蝴蝶效应 致命ID
我觉得七宗罪是我看过最烂的悬疑电影
来了来了，禁闭岛来了！
这电影前半部分还行，算上后半部分就是个烂片
抄袭蝴蝶效应
平行时空，这个设定真的很棒
看不懂
这部一般
蝴蝶效应
