我压力已经来了
好美！！
太美了
太强了太强了。
太强了太强了
这个茶字是不是反了
牛
我渲染效果啥时候能这样啊。。。。
也许整个视频就是反的呢
好美
牛批
强
啥时候我能从小白变大神
好美！
渲染太NBl 搁我电脑直接卡死了 
双桥烟雨
爱了爱了，大佬刷新了我对c4d的认知了
您了不起！
歪日 牛逼死我了
这特丫的都能当商业片用了
一眼就爱上了真的，甚至已经在脑补这样的动画能不能做一部聊斋
强无敌
写生圣地
太牛了
渲染调色很好啊
卧槽，这。。。大佬啊！
氿
卧槽
天哪这是练了多少年
啊啊啊啊好美好喜欢
好美啊
麻了，我用的c4d肯定和up的不一样
国家宝藏！
关大洲老师的夜凉
不是我挑刺儿，诗名“相思”而不是“红豆”吧？
怎么B站突然就毕业季大爆炸呢？
撑着油纸伞走在一条悠长悠长又寂寥的小巷
好想学
我特发
很强
投币啊，嫩着干嘛
卧槽这渲染高级啊
好厉害
走路姿势像个男人。这时候的女人应该
很美，收藏了
做了烟雾还
这真的不是自己拍的视频吗呜呜呜太美啦
这是游戏还是现实?太美了
1个人做这个恐怕得半年吧
太强了
“红豆”的含义是“相思”
我很喜欢
卧槽给您跪了
太美了
这意境太美了
牛
显卡的香气
太强了
我还以为是真人！
船了
你不说是c4d.我肯定以为是真实拍摄的
白雨跳珠
效果的确不错，就是这场景仿佛是周庄和宏村的杂交，有点怪怪的
个人制作就很nb
不是反了，是反面，双面的
徽派建筑
这个伞纹有点怪怪的，不知道有没有考证过
洪洗象梦到徐脂虎
雨巷
真美
好美
同名歌曲也很好听
推到首页的神仙视频
就喜欢这种风景的
如果用这个拍《剑来》………
加油～
我去 这个画质 666
我听到显卡燃烧的声音。
压力给到了今天的动画毕业生
神仙打架，诸神黄昏
这个渲染 是分段的 否则显卡估计1050TI 标准都要几十个小时吧？
设想机 的角度和构思 其实最重要
很难同意这不是实景
这不是拍的视频啊???
啊 四李 浴鹘湾
黑云翻墨未遮山，白雨跳珠乱入船
苏州
茶字为什么是反的，镜像了嘛
是我梦中的江南
跟真的一模一样
人物太出戏了，不如不动
好厉害
很棒很棒！期待以后能看到大佬更多的作品！
立马投币了
好美
美得很！
天啦噜！太好看了吧！
我还以为是真的
好棒！！！！！
站酷首页来的～～太强了
人物走路有点出戏
这是c4d画的？
你说这是实拍我也信
强
渲染两个半月
太厉害了
您？
这种动漫我爱了！
《毕业设计》
宏村
太好看了吧
配上伦桑的《烟雨行舟》更妙
哭了！好舒心代入感超强！
仿佛看到了电脑燃烧的样子
如诗如画
优秀
月沼
这里好像黄村那个水潭哦
求电脑壁纸
好美
一开始我以为是摄影
周庄
太牛掰了吧
很像安徽的宏村，据说那里每年都有很多学院组织去采景写生
太棒了
渲染很赞，动态还差点意思，未来可期啊大佬
/
人物模型欠佳
给大佬递茶
周庄
宏村
太美啦
这什么大佬!
太美啦
红豆生南国红豆生南国春来发几枝愿君多采撷此物最
绝了太美了吧好久msla
寒江孤影
有好几个瞬间我以为是真的
好久没上小破站，惊喜这个作品，好牛逼
你了不起 你清高 
强
叹服。
还不错哦！
这不拿优设？
这什么神仙电脑？
好强啊
国漫需要你这样的人才
太美了吧！
自动代入上海豫园大小姐！
婺源
红豆
相思
火钳刘明
卧槽卧槽
前面的，明显不是实景
大大
牛逼啊啊啊啊啊啊！！！！
电脑要炸了
我整个裂开，这也太好看了吧呜呜呜
火钳刘明
除了女子在廊桥走路那姿态有一丢丢怪 简直太完美了
瑕疵多 你行你上啊 
握草
好像是宏村
好美
哇哦好有仙气
也好听 也好看
也好看 也好听
大…大佬
这也太厉害了吧
太美了，这光影效果，牛
感觉工作流各个环节都可以再讲究一点
好看啊
给大佬跪了
风光短片也是片
叼
关注了
太美了
牛逼啊大佬
这个是宏村的书院吗？
王维诗里的红的红豆
真真假假，虚实梦幻
对于毕设已经很不错了。
3090ti带得动不
三连送上
显卡在燃烧。。。
跪了。。。
这熟练度有点心疼
为什么我看出了秦时的味儿（对不起）
像西塘有点
渲染的很好  动作不太行  来自行业内的肯定
有意境就行了这个短片重点不是剧情
漂亮滴很啊
好厉害
不去动画公司当大佬可惜了
确实是宏村，我去过两次了
哇 这里居然是大氿歌的伴奏！！
大佬啊
别人的c4d
好棒好棒好棒
故事呢？一直都是景色
韩老魔是你吗？
说瑕疵多的，发你没瑕疵的出来看看啊
