离谱
都没人吗？
全体起立！
cnc啊
NB
小米mix1代
nb
牛逼
10
99
《人脉》
100分
99
屏幕里面是不是进灰了？
6666
论朋友的重要性
期待
努比亚:？？
抽我！！！
鬼才！
美滋滋
辛苦了
不用做可靠性的手机
666
中奖
少女口阿
9.0想要再来一个大屏版的iPhone mix 3.1版
女少口阿
10
梦中情机啊
6666
太棒了
10
国砖手机
梦中情机
妙啊
三星的卡尺
好家伙，tnt Pad 就等你来DIY了
5
4
5
5
5
5
5
5
4
5
4
5
5
4
强
5
5
5
5
5
抛光成iPod classic
3
4
5
5
5
5
4
5
4
5
5
5
5
3
4
4
5
5
4
5
5
3
5
5
5
3
4
这边框好帅
5
5
4
5
5
4
5
5
5
5
5
5
5
5
5
5
5
4
3
5
牛
5
5
5
4
5
4
5
5
5
5
5
5
4
5
4
4
5
5
2
5
4
5
5
5
5
5
5
5
4
5
5
无中生友
一真三假
抽我
哈哈哈哈哈哈哈哈哈
妙啊
人才
赶忙看完1.0的
真能整活
少一分是因为下巴，但是lcd也就这样了
距离和光线居然在后面
中一个！
人脉
大家好，我好精灵
也容易碎 一摔中框变形一挤压就碎了
一台跑着ios的金砖？噢，是银砖
直接夏普手机了，好评
没事，已经不必原厂差了哈哈哈
好厉害啊，这么快就出2.0了
请问那里有卖的
重点：5G
一块钢板的艺术之旅
我真的需要这个酷酷的东西
中
不然再镀铬吧
鬼才哈哈哈哈哈
SW超好用的
后置指纹摄像头二合一！（bushi
抽了吧
丑
魅族15的1.175mm蹲一蹲
中中中
0
Mix
就是三星
库克进来学学做天线（doge
5
用这个商标不侵权吗？
量大出改装服务还是可以控制成本的
出个iPhone se3的改装服务
中
看来是跟阿B签约了
《市面上》
是我吗
中中中
小没用
一拍结合
不好看
中中中
又不商用
太妙了
悬浮的感觉更有美感
一真二假
抽一个吧！
三连回血
全体起立
中
中
中
再来个阳极氧化加喷砂
没啥用！！！
这不会都有人信吧
牛
梦中情机啊
66666
正好
谷歌三星同款方案好评
拉低中奖率
哈哈哈哈
中
工业设计典范
中
新评科技
好丑
10
666
中奖！
亮屏的时候logo如果也能亮起来就更好了
还是喜欢iPhone4的外观
哭了
ipad mini
厉害啊
永远永远
哟哟哟哟哟
给爷上热门
看起来真的可以
这是拿se3改的？
经费爆炸
怎么抽？？？
iphone5
抽我抽我！！！
牛鼻
上
求求了，給中中吧
中！
一真一假
100
Cpu是mt6735
喜欢这种设计的手机
梦中情机
中
外壳
外壳寄给我我来喷砂阳极
经费爆炸
希望艾奥科技越来越好~~~~！！！中中中！
抽我
9.9
5g.se3?
666
一真二假
这个手机拿出去  就是最亮的崽/。。。。
我想买  能卖不，，。啊哈哈哈
非常好啊
挺牛批的！
质感很强啊
妙啊
牛b
太帅了吧
100婚
iPhone nano2
食堂
中中中
外形太丑了
华强北科技
中
中
哇哦
这个有精度？
8848既视感
下巴劝退
拉低中奖率
第四次《正好》
一真一假
人才
中！！！
哈哈哈哈哈哈
厉害了
没啥用科技，专心做点没有的东西
厉害厉害，三连支持
我猛男粉呢
《艾奥春季新机发布会》
神啊，厉害了。。。
求求了，給中中吧
点我 中大奖
中    中  中   中 中
量产！量产！量产！量产！
半斤重
怎么抽，加个分母
你们好达不到华强北小作坊的技术
挺刑的
量产！
量产！量产
《苹安手机》
想要啊
等你上市
什么时候开始量产
彦祖么
666
不售卖就不侵权
@没啥用科技
三连给你回回血
请问你是在华强北上班吗？
建议量产
抽我
律师函警告系列
对标苹果
什么混血手机
忽然觉得这个太好看了
先三连了
两台吗，抽奖来吧
好丑
给我中
中
抽我中
纯手工iPhone doge
币有了
他如果很大的话确实很丑，但他这么小的话就非常的完美了。
妈耶，飞线
抽中我啵
中奖者在这里
NB
一真二假
厉害了！
厉害了
牛逼
三连关注，中中中
快发布！！！
中
中
爱了爱了
哈哈！
经费爆炸
什么时候发布自己的品牌手机
升降防水性就没那么好，也丑
卡了？
这才是艾奥科技的功夫！！！[支持][支持][支持]
中啊
发链接吧
中中中
山寨机直呼内行
来吧
抄袭小米mix是吧
抽我抽我！！！
怎么抽呢
有点方
爱了爱了
我感觉圆角也不错
中！！
抽我
请务必抽到我
中求求了
中中中！
好看
请用力~
中
摄像模组看起来太大了
魅族15的边框可以了解了解，还要窄一点
看着就很膈手
不要点砸到自己
中
让我中
比13mini还小？
中
说不定中了呢
满分
锤子：这个我熟
note20u
太丑了
你可以用软件吧stl直接变成igs的
中
小米MIX5
我靠，中啊
中
脑洞大开
中
牛逼啊
哈哈哈哈哈哈
求中
厉害了
有实机吗？卖不卖？
中
Lumia930那种外形就很可以
Mix1永远的神
关注了，哪领奖？
有点方
有这个下巴 其实可以有额头的 上下对称 还可以节省内部空间 不做升降摄像头
我我我
不抽了，想买一个
中中中
哈哈哈哈哈哈哈哈哈哈哈
卧槽 可以啊
卧槽我爱了
自制手机啊
小米3即视感
三果？
梦中情机我的评价是
中
114514
我靠，男人的浪漫
中奖！！！！！！！！！！！！！！！
中中中
喜欢，我要。
抽我
好喜欢
我我我
让我中奖吧
中中中
简直是我的梦中情机！！！
怎么有点mp3的感觉...
mi mix 1代
抽我
6
抽我
66666
索尼？
那你天线方向性也没了，多出来了一堆杂波，信号还是不行
有点意思
中了
极其先进
边角太尖，像安卓
抽我
高达玩家日常
下巴有点不平衡了，还是平均一下好看
中
要是有配套的手机壳就完美了
草
中
最早的索尼就是这个样子
中
牛逼
？
胶佬狂喜
好家伙8000+
卧槽 高级
抽我
这样的话，我更期待3.0了！哈哈哈哈
中！！！
抽我
其实找个搞机械的帮忙画图出图，半天就搞定了
中啊
可惜没把指纹做到Logo上
给我中
下次记得把LDS天线做上去
美国那边已经醒了，装哔谨慎一点，等他们睡着了你在认真装哔
我要我要
这种事一开始就应该想到啊
丑
冲冲冲
碎屏你保修吗？
抽我
我靠，全面升级。
精度。
中中中
中
哇咔咔哇咔咔
选我选我
中
抽我
抽我
丑到吐
中
如果能发光就更好了
中中中  你们快量产吧 这就是我心目中的手机
创意太棒了
我
一真三假排列
索尼
分母大军正在集结
中啊
四边等宽就爽歪歪
能中的会是我
ipad mini max
怎么抽
中中中
中
中中中！！！
还是iPhone13好看
一真两假doge
完美设计啊
一真二假
关注艾奥那么久了，抽我一次不过分吧（doge）
抽我
高级感拉满
中
分母
秀
反正只要摔，肯定碎
天线怎么调的
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
这不就是Sony嘛
就做一个摄像头呗，还简洁一点
赶快上架！
及其先进的3.5耳机接口
丑完了
中就完了
nb
直接mastercam就出来了，还顺便把程序给你搞出来
我爱up，太喜欢你的手艺的，简直就是我的梦中情机啊
@小白开箱
抽抽抽
抽我抽我
中
哈哈哈哈哈
抽我
一键三连了
这么洗 不变形吗
铝框变形不可修复
抽我
CNC加工很贵吗？没有3D打印贵！！！精度吊打3D打印
抽我抽我我我我！！
抽我咯，大佬
梦中情机
中！
？？？
抽我
怎么参与抽奖呀
抽我
努比亚：？
老实说，挺难看的。
中
logo大了 位置还偏上了点
是不是xr改的
抽我
抽我
下巴有点大
满分
中！！！
抽我
中
中奖者就是我
期待双卡双待功能
中
抽我
无敌！
合着还有战术镜头
外观抄袭
抽我
现在才搞升降摄像头？怎么感觉很蠢呢
诺基亚n9版，期待
中
水冷？
能量产吗
发光？
抽我
发光？我感觉发光真的土
还是要有塑料边
抽我
抽我
用力抽我
抽我
抽我
抽我
哈哈哈哈哈噶
抽我
抽我！
中
抽我抽我
真他妈丑
想到了L36H
我就不信我会！
魅族
妙哇~~~
库克：学废了，学废了
中
喔喔喔喔
这是个啥玩意……
你们该做手机卖算求了(●'◡'●)现在这些手机的设计一言难尽
怎么抽奖
黑莓
66
用CNC不行吗
中
中
中
天选之子
抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我抽我
厉害了
这也太方了
梦中情机
支持支持！期待3.0
满分
中
中
板砖
后置指纹？
这指纹位置绝了
我！
怎么 抽啊！
中
工科生狂喜
你做这玩意儿不会侵权吗？
中！
中中中
柯南1178集：直角杀人事件
好难看
抽我
中奖啊！！
一真二假
proe 工设专业学生看到吐血
好样的 这个可以的
红米10A设计
中
跟mini一样舒服的手感
中
安卓化
中
下巴缩一点就完美了
中奖
nb！
人脉（
抽我
乔布斯死前做出概念实机上手体验
吹爆
复古的感觉
不考虑下我嘛
中
《iPod  nano  8》
我觉得不丑 中吧
中
怎么抽 我来了
圆角会好看点
怎么说话有点机车味
好丑
火钳刘明
中
好丑啊
中
像个大板砖
中
抽我!!!!!!
怎么中奖？
！111！
还行
id无边框
中大家
啥时候发售
哦草！
好丑
三连选我～～
雄起，中
下巴虚假宣传
亿点点经费
牛逼plus
我先来量产！
先进了
中
抽我
抽我
没曲面，太简单了
牛壁牛壁牛壁牛壁
厉害厉害厉害厉害厉害厉害
版权警告！
抽奖
没错 我中了
抽我！
冲冲冲
喜欢直角，出了必买
价格肯定不便宜   能不能用上就看中不中奖
这我要了
我我我我我我我我嚄 嘻嘻嘻嘻嘻
一真一假双摄
哈哈哈哈
已经很不错了
中
mix一代
中奖
哈哈哈
李宗伟还会做手机嘛（狗头保命
冲
中
看看
抽我吧。
中
抽我
这啥啊
中
我青回
梦中神机
抽我
中中中
背面可以去uv机喷上 效果也不错
中不了我
一天能出一个
我中
cccc
抽我！！！！！
冲冲冲
怎么抽
好像遥控器啊
抽我抽我！
拉低中奖率
《市 面》
中
不错不错
抽我
啊啊啊啊我打错分了
诺基亚有这么方的
全球限定
有没有喷砂防腐？
抽我
NB
点错了
太方了，棱角太尖了，真的不好看
助力每一个梦想
中中中
不会
爱了爱了，已关注
抽我
中
我我我我我我我我
抽我吧，谢谢，西部大开发
感觉看更像是HiFi播放器
救命！真的心动了(//∇//)
中
中
怎么抽奖
中中中
哈哈哈哈哈哈哈哈哈
大下巴
望我
恭喜我自己
xdm，这个我是真心喜欢
肯定是我了
中中
卧槽，666
一言难尽
太酷了，帅炸了
中
绝
求抽求抽
牛
火钳刘明
SW不是有手就行？基础建模软件了
经费在燃烧
yyds
后面设计的好细心啊
真的狠
中！
中
我很需要一台手机
手工手机
离谱
中我啊
用朋友的十年单身！抽中我！
想要！
不太……
抽我，我脸大！！
选我
5.0售价1999
一般人已经玩不起了。。。
所以为什么不用LOGO来代替指纹解锁呢？
中
抽我！
活佛保佑我中奖
中一下
中？中！！！
让我中吧
666
中
中奖绝缘体 害
抽我吧
我焯 手艺人啊
让我中一次
中！！！
来来来
中了，以后每期视频比四连
中！
抽！
抽我
还在买这玩意儿呢？
抽我！！必须中的我
抽我抽我抽我
摄像头盖板 质感再好一些就好了
应该做单摄就好了，机子太小，单摄美观
肯定不中
这么卷吗？
我擦，以前好像做梦梦到过这个手机
中
中
怎么参与抽奖
不中
问题不大，后续再出个手机壳就行了
我！！
中
中
漂亮啊，想要
买了一箱彩票，想试试和你哪个中奖概率高
满分
绝了
如果不中我就吃两碗粉
牛。   我还以为苹果真出这手机了
这不是夏普吗
抽我！_！
中
中！
必中
这手机好想试试手感
抽我
iphone魔改！
抽我！
我要抽奖.
拉低中奖率
抽你妹啊，别刷了
中
中
全都要
不商用，怎么侵权。。
必中！
我当场好家伙牛p
我要中
中一个
中
荣耀SE！
里面是不是乱飞线
中中中！
中
发个弹幕就可以抽吗?
山寨机早就弄了
抽
可以
我来组成分子
俺也不知道能不能中奖
solidcam
好丑啊
666
口袋兜好像都是弧形的吧，这么方，会不会把我口袋挫个洞
好丑
哇太厉害了，我也是iPhone粉丝抽下我
中
666
中
万一是我呢
中
中
梦中情机
好棒
精致感不错
请抽我
一键三连，应该是我了吧
xr改的
牛逼plus
我也想改一个这个！！！
抽我
抽奖原则：从不缺席从不中奖三连支持！从不放弃​
c
抽我
中吧
我，赢政，拿来……
你是谁？
中
抽我！！！
中
我中奖了。
666
抽奖
中！
还能中奖。
中
小米MIX5
中
拉低中奖率
怎么中，怎么中
你的第一台iPhone，何必是iPhone？
抽我，老表
必须中呀呀呀
@云飞
中！！！
中。
好帅
很难中的
中
原来是自己做啊我还以为是苹果出啊真牛逼
爱死了。求求你给我中
我觉得我抽不到
可以抽奖？
我
这底部大黑边真是丑爆了啊
终于cnc了
三连了，抽我！
还是抽我吧，抽中我我倒立洗头
啦啦啦啦啦啦啦
下巴可以停航母了
库克从这进货
好丑
牛批
抽我
山寨机中的苹果机
中中中
抽我吧
抽我！！！
SW
SW比cad简单啊
必需抽我
qqqq
选我选我
拉低中奖率
中
中
中！！！
中
深入了解
我
抽我
碰碰运气喽
真香？
这不是喝小米mix一样？
冲冲冲
抽奖原则： 从不缺席 从不中奖 从不放弃！
一点点
oooo
没人觉得丑?
愁我
抽我
让我中
pdd
真的像夏普
我觉得很酷
我愿意被打，抽我抽我抽我
哈哈哈正在学CAD
抽我抽我
要是屏幕再细长点就好了
中
我！
抽奖
抽我！
中！
我太喜欢了
好想要啊
中奖
中？
中
太强了
中中中
哇哦哦哦
中
中！
这个设计就真的很华强北style了，早期山寨机到脑洞即视感
抽我
好难看呀
抽奖原则： 从不缺席 从不中奖 从不放弃 [doge]
给我！
拉低中奖率！太喜欢了！我要中奖！
抽我吧  我抗抽
太厉害了！
抽
中
中
抽个我
中
拉低中奖率
厉害啊
哇
牛壁啊
其实用6系就好，锣完了氧化下
都是消停点，是我的
擦个边
有点丑
哇！真的好好看！(
时间和经费都在燃烧
有个朋友
怎么抽奖
中了
中
mx4：这个我熟
中奖
抽死我
抽死我
抽我
狠狠的抽我吧！
中
中！！！
头脑和经费在燃烧
经典一真两假摄像头
我的
中
抽我吧
怎么才能抽中？
中
抽奖
中
《5g》
抽我！抽我！
中
创世纪突破！
直接开模冲压不就完事了
(●'◡'●)
放兜里会扎大腿吧
苹果给我滚
中中中
小电视好可爱
我的了 哈哈哈哈哈
有没有大佬知道怎么参与抽奖啊，这太帅了
抽我
抽我
抽我
我
中？
虚假宣传  下边框停航母
求抽求抽求抽求抽求抽
哇
小米mix 1表示很淦
努比亚：？？？
试试
想要
抽我！
想要
正真内卷
抽啊
中
拉低
如果是圆角就好了 期待3.0！！！！
我也要抽个奖，
太喜欢这种魔改了
中啊
抽我
屏幕也来个小R角会更好看，这样直角看着不协调
一口中
抽我
99
大佬牛逼
牛掰啊！
IPHONE4超级经典
未来苹果还得看大哥的
阳极喷砂呀
这不iPhone6么
这不得配一个3D打印硅胶壳？
加个RGB也不错。
我要中奖
中
我来了
乐视
有点儿
等出手机一定买
中！
我来拉低中奖率
？？？？？？？？？？？
“不要”抽我“不要”抽我“不要”抽我
做分母支持一下
SolidWorks
我以为是概念机，想到是真机改造。
抽我啊（撕心裂肺（二倍））
抽我@！
抽我
求中奖！！！
中
具体怎么抽奖
三星：？
中！！！
中
我是幸运儿
请务必让我中奖尝试一下梦中情机
我来抽个奖
挺好的
牛啊
中
中！！！！
牛逼，制作组辛苦了，真的是神作
不错
中
怎么抽奖呀
中
我我我
中！
中！
不可能绝对不可能
这不就是mix吗
中吧
我去！！！
冲冲冲
中中中！！
好想体验
牛逼牛逼
抽我
一真二假
抽我
抽我
求求了
欧皇
中
哇哦，牛逼牛逼，关注关注，抽我抽我
好 我要中
求求了 中吧
抽我
感觉很不错啊！
中啦
幸运的我
抽我
抽我
爱了爱了，抽我啊！
逆天
抽我！
凡是抽奖的我都参与，两个币就像两元彩票让我踏实有底
中
丑炸了
抽啥
这种会夹头发
我必中
给我中
索尼
中
不行了越看越像Lumia
中
抽抽抽
抽哦我
我天。下本了，大制作
中
中
抽我！^_^
好帅的iPhone
帅
咋抽奖啊？
溜了溜了
有点东西
抽我
这不就是我想要的嘛
中奖中奖
我想要
我不要了
中
说实话 挺丑的
中
中
怎么抽奖
哈
抽我
我我我
中
抽中我
抽抽我
iPod touch
中
我我我我
抽我
平头哥
？
中中中
抽奖
中中中
中
抽我
中我啊
抽我
中啊（破音）
拉低中奖率
中一个？
不能卖，小心律师函
中
恭喜我自己！
严丝合缝
!
中
抽我
所以是怎么抽咧
我也觉得很难看
太棒了！抽！
这么厚？还是方边？
中
logo版权问题怎么解决的？
中
是的
牛
牛
怎么抽奖啊 
中
真丑
这也太厉害了
真的太酷了，太酷了！想要的手机的样子
爱了
厉害啊
抽我
谢谢我的大佬
中
好像要
这爱了爱了，emmm
虽然这种好事不会轮到我，但是也要象征性发一下啦
试一试
不能摔的手机
抽我
量产量产
抽奖
我中了
中中中
中
中？
《稍加》
5
中奖
硌手。。。
拿来中
太丑了
酷
机械打卡
一真二假
中
求中
想要
抽我！
中奖
能抽奖？太好了吧
抽我让我中一次吧
抽我哈哈哈哈
中！！！！
我抽中了
冲冲冲
中
中奖了
抽我！
中！！
304奥氏体不锈钢
降低抽奖率
太牛了
抽中嘛能
抽我
想要想要
是我要的！
good
中！
今天学的
梦回sharp sh403
中
抽我
用心了
艾奥666
抽我 
抽奖
方形弧度太小了，直直的不好看
中
牛啊
中
抽我抽我
有屁用，这大下巴，还不如倒过来把前摄塞额头上
牛
中
厉害
中
啊！这烂鬼佳铁
Lihai 
抽奖必中
我要中奖
三连啦
好家伙
抽我呀
好牛呀 这是真的在用心做视频
抽我
亿伯昏！
抽我
666
抽我抽我
牛叉
一真二假
跟本书似的
这是啥手机？
中
抽我
别给我
很棒
别说还挺好看的
抽我，抽我
抽我抽我
抽我抽我抽我
太用心了
中中中
这个大小日常携带非常舒适
一点了 5000+？
抽我
夏普305sh警告
中！！！！！
拉低抽奖率
我中了
我超好帅
抽我狠狠抽我
中
什么吊玩意儿？
抽我抽我
抽我就给十分
中…
拉低中奖率
中la
中
中
抽我求求了
中中中
666
中
谁会是那个幸运儿呢
中
中
中
1萬分
我中了
现在还记得诺基亚N8的水滴屏，那才是我心目中的屏幕
oppo?
oppo
中
梦回小米3
m
抽奖啦
我也想要！
真他么厉害！
这次必中
我我我
绝了
中中中
抽我
所以为什么抽我呢
抽中
一代外观好看些
开始以为是渲染视频，概念机，越看越感觉牛逼
是我是我
全体起立，抽我
中
那怎么不算了
中
冲冲冲
咋抽啊
抽
Sonpple。。
抽我
中我啊   刚买了iPhone13
中中中
抽抽，轟
中中中中中中
中！！！
中
抽我！！！！
抽
《市面上》
鬼
抽我！！！！
谢谢大佬 
抽我！
iPhone 4s pro max
10
中!
好牛，抽我
牛牛
为什么不居中！
太喜欢了 三连 一定要中啊
中啊！
这
抽我！！！
中
抽我
你们和没啥用有啥关系？
中中中
上市吧
啧啧啧
中中中！
我中了 
我
中中中中中中！！！
抽到我
下巴
我
我中奖了
中中中中中中
能把摄像头做平就完美了
太能折腾了
中
中中中中中中中
中中中奖了！！！
很有想法的更新great innovation
中
抽！
别看了。 不可能是我
抽奖
中奖绝缘体
中
赶紧量产啊！！！
iphone  14
中
牛鼻子
抽我抽我
确实好看啊
抽我
中
抽我！
中
Zhong!
多谢了那就！
抽我
這也太醜了吧
666
主板是哪来的
直角真的丑
牛逼
拜托了先生
抽我
一真二假
中
中
我抽
抽我
好丑
？？？
不会中的啦
中
厉害
抽抽抽
抽我！！！！！！！！！！！！！求求了
哎奥牛逼
我想到了lumia手机
抽我
经费曝炸！
经费曝炸！
球球了 一定时我
这太酷了
大家别争了，其实我已经内定了。
中中
抽我！！！
预感是我
辣鸡，安卓用不要的升降苹果捡去用了
中
太丑了 真像板砖
是的，我中奖了
抽我
中
中
中
我来中奖了
抽？
抽我
恭喜我这个b~站用户
怎么中
能撬瓶盖吗
中
我相信你
抽我
抽我
