怎么没有弹幕啊
弹幕呢？
。
额
鎖那！！！！！！！
这么回事，弹幕显示才有两个？
弹幕呢
？
行秋太可爱啦！！！
我要买个独眼小宝
快四十万播放量才四条弹幕？
我来组成弹幕
神里我的！！！抱走神里
1
6666
好家伙，7.8万点赞8条弹幕
哈哈哈哈哈绫人
我要做宵宫小姐的烟花！！！
补了好多想看的细节啊
播放量跟弹幕就离谱
还得是暗猫
咳咳
叶宝！！！
叶宝贝！
香菱宝贝！
家主大人会是稻妻海王吗哈哈哈
御建鸣神主尊大御所大人像
宵宫老婆天下第一！！！
哦哦哦哦哦哦哦哦哦哦
牛壁，画的真好
我永远喜欢神里绫华!!!
捕捉左边的钟大爷
钟离！
头发：谢谢你
哈哈哈绫人
锁那的歌
公子你看看你！连不是个人筷子都拿得比你好! (狗头狗头
人活着就是为了神里绫人！
好多宝箱！斯哈斯哈斯哈斯哈
这种画风看着好舒服啊
留云借风真君的面具
天呐路人也都好好看暗猫太绝了
锁那的歌awsl
我可爱的宵宫老婆天下第一！我永远喜欢宵宫
呜呜呜，影酱是男人QAQ
我永远喜欢神里绫华！！！
白垩劳斯和忱玉劳斯及暗猫劳斯史诗级会面（bushi）
汪汪汪
叶宝！
可惜没有钟离老头子←_←
暗猫
汪，汪汪汪（我主人终于登场了）。汪汪（真·doge）
绫华！！！
申鹤右下的难道是志琼！！
雷大炮，你该死啊！
暗猫画公子了！！双厨狂喜！
我对神里绫华一心一意！
阿阿阿阿阿阿阿阿阿公子阿阿阿阿阿阿
云宝！！
《100+》
sana／
鸭鸭
你给路大有
我是八重神子的狗
神子老婆天下第一！
我永远喜欢神里绫华
行秋在练自己的签名好可爱啊
我永远喜欢神里绫华！！！
申鹤老婆
绫人真的好像贴心大哥哥 爱了
香菱
太美了！！！
1000+就离谱
细节啊！提瓦特文字
没有影和心海和五郎的戏份
鸭鸭！！！！
哇，这个转场！！！
这次温迪没和阿影互动好可惜
那大长腿跳的挺欢快的哈
