第一 神剧
卧槽？？？
越狱不更新了吗？？？
我
最爱
老白！
先赞再看
出息了 刚刚
考前
1分钟
wc
我关注的好多Up主都在说 越狱  我一个没看，不知道为啥不感兴趣
1分钟！！！！烫手啊！！！！
怪奇物语呢 起了个坑就没了吗
都是我一开始看的美剧
我想知道前四名是.....啥
madi
我的最爱！
越狱呢？
进度条暴露了一切
我TM 2分钟的来了！！！！！！！！！
wcccccccccccccccc
好家伙又开坑
好家伙
有没有一种便秘的感觉
一分钟好烫
3分钟热乎
两期讲完过分了
哈哈哈哈哈
2分钟前，极其烫手
热乎的
哈哈哈哈哈哈哈哈哈哈
ohhhhhhhhhhhh
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊、
巧了我也不会读
3分钟
三连三连！码了很久了
眉毛瞩目
咩咩咩?
哈哈哈
4分钟~
关上五分钟的大门
好耶
传奇的开始
热乎的
F K U
哈哈哈哈
gta剥个蛋
牛逼！牛逼！
越狱呢 哥哥
这段好搞笑的
先催更。再观看。
别吧。。。。
剧透了
国王的愤怒
6分钟，第一次这么早
我靠，来了来了
哦哟
秃然高产
小雅和另一个谁来，已经解说好几遍了啊。。。
他在上一节课教育过这几个学生
沃特
越狱？？？
怀特，白
凯斯勒前期真的婊到不行
用什么干？？
666
美国教师确实工资太少了。不兼职养家都难
剥个蛋危机
好耶
吃了没文化的亏
这样了还生二胎？！
内外超级大的反差
这种学生是真的恶心
毛毛虫眉毛
压垮骆驼的最后一根稻草
勇闯无人区
两期就要讲完？
又开新坑了
6分钟，早啊
7分钟前耶
老白黑化真是情有可原
塑料英语都读不出来，哈哈哈
666666
汉克人超好啊。。
越狱呢？
被抓了赃款也没了呀 咋想的
特别喜欢汉克
居然讲绝命毒师了！！！！
以前做化学实验防护没做好的后遗症
BGM突然轻快
绝命毒师 先赞后看
太短了，不够看
这时候即使发火还像个文明人
刚看到第5季
好歹像阿尔帕西诺
oHHHHHHHHHH
这都什么学生？不同情就算了，还嘲讽！
一分钟出戏了
死神汉克
前天刚看完今天就更了
时日无多=五季（doge）
先投币再看
10分钟！！
赃款藏起来就行了。够老婆孩子用几十年的
小粉
这光头男不是妈宝男吗？
好男人
太好了，最爱之一
breaking bad
救护车，-8000＄
GTA
好家伙，新坑
来了来了。。
-8000
小粉
余欢水借鉴这部剧的吧
本山大叔是你嘛？？？
那就别被抓呗
热乎的
主要是小粉年轻，能控制
b王汉克
看不下去  感觉没那么神
11分钟
GTA SA 好评！
达咩
读metacritac
越狱呢
越狱呢
RV
终于来了，最牛B的美剧
高产
哈哈
音乐搞事情
这是又开新坑了吗？
说好的越狱呢
fa♂q
全剧唯一的好人
我看完了，真没吹得那么神，太多不和逻辑的地方了
小粉
海森博格
这光头不是那谁嘛
白大嫂哈哈哈，郭芙蓉
Ohhhhhhhhh
小粉
淋巴连
我去牛皮
w.w
???
最牛逼的美剧
男主长得像法鲨
粉酱
海森堡
笑死
可以做做毛骗啊
蒜瓣
敢出这个测评就直接三连
当年看毒师第一集就被吸引了，看权游还是熬了3季才开始大概知道说什么，难受。
突然圣安地列斯
正片这里有惊喜 建议去看原片
第一第一
开心，自己高中把他追完，现在看阿斗回味我一下
小粉哈哈哈
越狱速度
看完了
老话题了，智力没问题
bgm入魂
墨西哥口音？
哈哈小粉出场
gou汉克
真难念
来了来了
这姿势
好耶
我小时候看困了
11111
文化人发火既视感
怀念搜狐视频
“每一季都是艾美奖的常客”，仔细品了品，是个病句
心目中最棒的美剧没有之一
第一集老白的裤衩超容易劝退
白大嫂可还行
化学老师是伏笔
然后活了五季？
这部剧贼nb
say   my  name
老板这眉毛。。。
早就想看了，但一直没看
卧槽我今天刚想去看绝命毒师，阿斗就来了
风骚律师也行精彩
看完这集是不是神话t系列就该更新啦
爽
这特么是八岁？
广东人。
认真的在教
第一季就7集
考试还想不想过了？？？？
是你，珍珠翡翠白玉汤
老白小白爱情故事
《安分守己》
越狱只能看两季，越狱只是开山鼻祖，但绝命毒师才是巅峰之作
两姐妹一个比一个婊
牛逼
全家全都有毛病
越狱越狱越狱越狱越狱越狱！！！！！
好家伙 这部有更新几季然后再更其他的 掉我胃口吧
这bgm
老白
老王？？？？？
我曾经坐火车时刷这部剧，有个东北大叔好奇一起看，正好演到婊姐和老白摊牌出轨，尴尬的我呀，大叔撂了耳机不看了，我乖巧可爱的大学生形象T﹏T
越狱不急 阿斗已经在出集的路上了 大家不要着急
DNA动了
一点都不美国梦
最好看的神剧 没有之一
汉客好可惜
这让我想起了，大家好我是电影迷小雅
哥 越狱捏
全部看过了，哈哈哈哈，再看一遍
回放了五遍，笑死我了。。。。
666
因为有第一个人讲越狱就都开始仿照，马上又要一片人讲绝命毒师了
考察新项目
波格丹的那个潜艇吗
老白，永远的神~！
高中追完的毒师，最爱的剧
余欢水是不是借鉴的这个开头
烫嘴
肺癌为什么会晕倒？呼吸困难？
《导师评论你的实验数据》
毒师人狠话不多！
越狱
白嫂婊得不是一点
哈哈哈
哈哈哈，眉毛
卧槽，阿斗是要开多少坑
老白这家子里里外外就妹夫一个正常人
越狱才看完，又让我刷一遍老白么！！
这时候的小白非常羡慕汉克，老白生日会上汉克有种主导的感觉
这么纯正的印度腔都听不出？
两期讲完一季这么过瘾的吗
俺最爱的美剧
这BGM 弄我的我感觉自己可以为所欲为了！
学好数理化走遍天下都不怕
小王八蛋 放学不送一卡车礼物过来考试别想过
咩咩.
小粉好惨
眉毛怎么长的？
35分钟
汉克！！！！！！！！！！！
师傅别念了！！！
公立学校的老师工资确实不高
越狱真不行
这剧没有一个无用的细节
来了来了
苏  勋  宗
这个剧经常很搞笑的，真的是搞笑
这剧也没有套路化的剧情
这剧更没有任何烂尾
老板这眉毛是认真的吗？
梦 开 始 的 地 方
我喜欢
这剧是我唯一认真看完的美剧
引路人妹夫
gta5
原片楼上特精彩
毒师真的一步一步引人入胜，简直太好看了
小粉呀！！好喜欢
这个这个真的好看！
越狱开头神作，后面平庸，毒师刚好相反
哇哇哇，新鲜的
催更
小 粉：你 在 教 我 做 事 ？
毒师封神！
若子
这个故事其实挺心酸的
来看越狱了
底特律BGM
越狱被你吃了呀
梦开始的地方！
这个翻译也太拉了，做饭都出来了
哈哈哈哈哈小粉
now，say my name
..
做饭？
他是高中老师吧没什么挂科不挂科的
完完整整看过两次
汉克真男人，可惜了
这就是男人
这个可以看
赚钱养家不丢脸 
我去，牛逼
绝对神剧
热乎的
哈哈哈我也想说
咩……咩 哈哈
我悟了哈哈哈哈哈哈哈
蘸糖
比越狱好看，从头牛到尾
ohhhhhhhhhh
阿斗厉害呀
越狱就前两部可以后面的都很拉胯 不解说也罢
gtasa
支持了
这是越狱里那哥们吗
泪目
gta
NT
越狱呢？卧槽
想念迈克和马宏
做饭这个翻译很赞！不然就没了这视频
越狱越不动了
电视剧神不仅是说剧情，还有就是节奏，毒师的节奏当年真的是天花板
GTA
泪目了
咩
wc
这个剧只有看原片 才能感受到好在哪   
卧槽
这叫黑话，还翻译拉得了吧
FAQ
大爱！
不说轻微我以为是骂人呢
是你吗？贝里克
nbnbnbnb
经典笑贫不笑娼
汉克有点像贝里克
《安分守己》
越狱！！！！！！！！！
嗷嗷嗷嗷
我都没看完
楼上有点
cook
小粉~
cook是黑话吧
阿斗哥吃了冇文化的硬亏
nt
阿斗牛皮！！！！
哈哈哈哈
伏笔
GTA！！！
你教我做事
对不起 斗斗  这部剧我看过
博格丹危机
越狱呢？
Mr White
老嫂子上线
对牛弹琴。。。
啊啊啊看我发现了什么
这个剧前面也很真实
更喜欢衍生剧风骚律师
又来一个新坑
中国人
最爱神剧
兄弟们，全体起立，这波是真的致敬经典
下部美剧来不来个风骚律师
唯一好人
越狱真不行，太狗血了
咩咩羊咩咩咩～
难怪是化学老师 懂了
ohhhhhhhhhhhhh！
以前通宵看完，少有的不烂尾神作
会晤
他来了他来了
pinkman/
1
有老白必须三连
开新坑了
一天30根烟
汉克真的可惜了
来了来了
say my name
pinkman
又挖坑
底特律
卧槽！我TM直接好家伙
开新坑了
这剧可有的说了
从此剧，认识了电视剧
海森堡
汉克真的惨
这不比扁豆强？
看过很多遍
约狱呢？？？？
演技炸裂
