我喜欢艺术
刚刚
老师好！
我套热乎
来了
热乎的
刚刚！
热乎
好烫
刚刚
老师好
热乎！
任何事物都应该有拘有束吧
刚刚
热乎
老师好
法  外  狂  徒
刚刚
老师好
热乎的，
老师好
烫手！！
这特么能排出4000多名，也是个“人才”
1700庆祝
zhe xue
巧了，我也这么认为
？
三三来迟
不是吧
鬼畜区侵权十分严重（狗头）
热乎的
这难道不是对于人相貌的物化吗？
《艺术品》
扎克伯格当年也是这么干的
老师好
张三の辩词
真猥琐
当然也不行啊
奥地利出走画家
热乎的
还热的
热乎
热乎
我还没看
才发现我这么早，老师好
承包空屏，老师讲的很精彩
有些确实拍得很有艺术气息的咋办
《人 民 艺 术 家》
哇 学到了
HAOZAO
扎克伯格脸书一开始就干这个的
fxs也是大多数人选的
我认为没有边界才能创造极致的艺术
三三来迟
 那一开始为什么要放在展馆
易  竖  品
有一帧闪过了什么
确实。没经过自己同意就拍自己的照片，还进行排名。无论是谁都不会开心的。
WWWW哇哇哇
老师好
弹幕？
老师好
首先你得是个艺术家（doge）
来源于生活
4399
刚点开就看到哈哈哈第一次
表情包？
艺术家也是常人，也不能做出超出法律和道德的事
占空位
没有进度条好评！
《马背上的戈黛瓦夫人》
热乎的
人乎的
这种作品 能展出就离谱
热乎
第一次这么早 我还以为大家听得太细致
2000W冲啊
三三来迟
正常是寻求同意并说明用途
厚大 艺考
呼应时事
1700合影
a
自由不能超越社会道德的边界啊
不应该
离谱
2200
《有点》
承包空屏
5min
前面的 不明白这件事哪里不尊重男性了？？
你开弹幕了
刘波
鬼畜区全都中枪
照片版选妃
让我想起，《社交网络》里面的剧情
我卡了？
挪威的森林
色戒
有病
烫手
没错，你卡了
热乎的
懂了，这就去告朋友圈发我照片的人
老师好
芜湖
老师好
....................................................................................................
是我卡了吗？
7000+
老师好
24601
热热还能吃
老师好
真就数学课都没听这么认真。。
下面卡了→
老师好
首席鉴黄师唐马儒
没错，你手机坏了
易   诉    品
行为艺术家（bushi
卡住了
老师好
4000名？选择困难症直接跳楼
卡了？
不受法律限制难道就不受一般社会道德的限制了吗？
确实
第一次前排围观罗老师
没人？
你卡了，换个手机吧
你会卡一下
村上春树
三三来迟
1700贺电！！！
4869
《优雅》
雀食
老师好
8000
天才也应该有自由的枷锁
这个展会在放出来的时候没想过这个事吗？估计也是舆论越来越多然后他们害怕了
怪不得没有弹幕呢，原来是来早了
我卡了？非静止画面
难得一次这么早！！！！
无解
我卡了
按照一般人价值理论
《优雅》
展方没有审核的吗？
真不错
艺术家也分国籍和人性的
