刚刚，太热了
来了来了 我第六名
来了
来了
刚刚！
封面笑死
我是第一！
刚刚
报道
热乎
第一个看完
刚刚！烫手
刚刚
我滴妈，这么快
热乎
我来组成弹幕！
来了张姐
刚刚
来了！
什么发型啊
第一个看完
热乎的
哦，乔乔
来了
小锅盖子
刚刚……
chebv
刚刚！
看他开心的
省流助手:                                                                                               
啊啊啊啊啊刚刚
刚刚
刚刚，热乎
一个播放量（Doge）
l
老张好帅
好热乎啊 
我晒干了沉默，悔得很冲动
1分钟
一分钟就这么多人？？？
一分钟哦吼
阿 凡 达
热乎
《司马一出，君子难追》
I
见封进
救命
小（）子
6
《 本 末 倒 置 》（
深度学习
一分钟，出息了 ！
救命笑死我了
草长得真的好像老张x
1分钟
一分钟！！！！
1分钟！
这波经 费 爆 炸
1分钟热手！
帅
一播放446个赞，b站特色
1分钟出息了兄弟们
一分钟
？？
老张模仿老张
刚刚，烫手，一分钟
烫
62+你好
刚刚
这不是你拍的吗？
2分钟！！！
两分钟哈哈哈哈哈哈哈哈
产后康复
1分钟
两分钟！
还有点帅？？？？？
3分钟！我出息了！！！
两分钟
bgm好评
1分钟，热乎
关上一分钟的大门
好涩
刚刚
哈哈哈哈哈哈哈哈哈
两分钟
1分钟烫死我了
《不 是 很 难》
老张笑得好可爱
两分钟哦豁
讲道理我觉得老张理的这个头发挺好看的
小貔鄢子
笑的、、
原曲好评
和小臂宰治（doge）
当你看到我时，你已经不是第一了。！！！
油起来了
认真的男人最帅
专业
真是太辛苦了啊，
煤油唑烷的锰最铜
一分钟，一分钟！
有丶帅
杰伦
一模一样
周董nb
有内味有内味
1
《  不  是  很  难  》
还蛮帅的
天空是蔚蓝色 窗外有千纸鹤
完全一致
有点帅诶！哈哈哈哈哈
哎呦，才看完兵长发型过来的
两分钟！我出息了！
笑死了
三分钟卧槽
哟，不错哟。
好腰
b站利威尔
一模一样！
大病选手
太像了吧
两分钟 ！
高质量老张
尬起来了
一模一样
油性大张
对不起 我撤回
…这腰…！
镁铀做完的锰最铜
三分钟烫手
三分钟！！！！！
人间油物老张
好腰（不是）
该来的还是来了
小老张子
逐渐上扬的嘴角
97个赞
开幕雷击
一模一样哈哈哈哈哈哈
灵魂
《一模一样》
哈哈
来了！
三分钟
吔，三分钟
？意外之喜
这还能有人不知道吗
3分钟！！！！！
