你就叫子弹啊？
这就是子弹，我们都是子弹
理想主义者不死
买
太阳！
他回来天就亮了
全内八
牛壁
今天是九月十号
笑死233333
就是为了飞一会 我才换的这个硬币
芙蓉镇yyds
就因为姜文我把他的作品都看了一遍(●—●)
我就是我 我的理想至死不渝
串起来了
原来这小姑娘是姜文专用女主
无缝衔接阿
UP主又高又硬
只要还有一个人坚守信仰，太阳还会照常升起
这是人家老婆
比博燃
昔人已乘黄鹤去
这小姑娘？
这特么的是姜文老婆
无敌剪辑
首页通知书
芙蓉镇，估计现在的年轻人没几个看过
剪的真好啊
没办法，谁叫人家潜了导演
芙蓉镇
？？？
此地空余黄鹤楼啊～
电线质量真好
半载半载半载，真是说不出的痛
我终将落俗，但浪漫不死
兄弟们，上任鹅城
卧槽 头飞了
火钳刘明
我想飞
不如说鞋绝缘好
遭了，我成替身了
世界线收束？
一根电线上是等势体，要锤子绝缘
姜文，天马行空，横扫华夏
我把芙蓉镇小说看完了，唉
全带的一饼，是不是表示日本？
拿回你们自己的东西
弹幕开了吗
让子弹飞和邪不胜正真的好看
值得三连肯定
进度条警告
up针不戳
他一笑，天 就亮了
让学
《陈建斌》
昨天刚又刷了一遍让飞 今天就给我推送起来了
弹幕呢卧槽
币给了！
这剪得即野性，又感动，又浪漫啊
阳光灿烂的日子
3000在看，离谱了啊
姜文的台词是真的牛逼！
笑死
《小姑娘》？
别害怕，闯出去！
一手一个掐吧死俩
好啊！
我靠跌宕起伏
发展的有点快，跟不上了都
精苏落泪
这姑娘是他老婆
三千在看离谱了啊
不准跪
火钳刘明
哈哈哈哈
好作品
差首《太阳照常升起》啊
贯通全篇的一句话
这段是真磕药了
这他妈八岁？
好嘞
好活
十七岁的单车
东方升，红太阳！
神了！！
您是d↑飞？
这是姜文媳妇
芙蓉镇不是姜文导演
8岁牛逼
周韵，很有韵味
挺好的
日本：就为了这几块奖牌，我才办的奥运会。
这都不给?
嗯，针不戳
有，自己看不见怪谁
仔细看，这是我，是你，是我们
还等势，不知道跨步电压？？
牛逼，不准跪
好一个潜了导演，关键是你还拿她没辙，你说气不气
离谱了
头飞那个是哪部啊
`
播放量都十二万了，什么离谱不离谱
敢叫日月换新天！
这是姜文夫人
他一笑，天就亮了
异父异母的亲兄弟
卧槽
弹幕呢？？？
全程高能
6
币你有了
弹幕，由我来组成
姜文妻子，专用女主演
哥，邪不压正
他一笑天就亮了
待到山花烂漫时，她在丛中笑
拿回你们自己的东西
2021/8/7
花有重开日，人无再少年
火钳刘明
太阳照常升起
首页通知书
我喜欢阳光彩烂的日子
别闹那是嫂子，姜文现在的媳妇
此地空余黄鹤楼
头飞了是邪不压正
镜头语言真美
天尽头何处有香丘
现在在看的冒个泡
有点感慨，有些人一边说着喜欢张，另一面又说着黄的话
四千在看
阳光灿烂的日子
内八好评
牛批
太阳照常升起
萨日朗，抢碉楼
弹幕呢？
鬼子了来yyds
好想再看姜文拍部电影
火钳刘明
红高粱呢
上点心，什么点心，好吃吗
邪不压正开头
芙蓉镇
好好好
怎么避免跨步电压的
9月9号的第二天…
4000在看就离谱
建议申遗
冒泡
太阳照常升起这段真不错
火钳刘明
电线上有跨步电压吗……
细节内八罗圈腿
。。
牛
燃的很
笑死，跨步电压说的是漏电，一根电线哪来那么大电势差
电影里讲究物理学是吧
这个衔接牛啊
拔碎
这不属于跨步电压触电
那是周云玩，姜文媳妇
这bgm…我以为要化身迪迦了
我起了一身鸡皮疙瘩
卧槽，这个转场
大哥大嫂过年好
这个女孩是姜文老婆
4000
那段笑死我了
这里的bgm是什么，求告知
都在认真看呢
啊，为什么要在这种电影里讲物理？
黄鹤一去不复返
红高粱不是姜文的电影
噗
新人都是魔鬼
哈哈哈
看视频呢
东方红，太阳升！
日本人老内八了
燃起来了
我突然发现这个仰泳的姿势好熟悉，是那个人
半个小时粉丝上千了
比博燃
他一笑天就亮了
两万点赞，1.2万投币
我不想再听太阳这首歌了，好多人做视频就硬塞，给我塞麻了
被殖民
抗日啊
我顶了哈，
安红我爱你呢？？？
你是觉得那个时候会在城中接高压电？
穿绝缘鞋咯
别问，再问就是鞋垫绝缘
都是一个师父教的，破不了啊
还是那句话：邪不压正！
公平公平，还是tmd公平！
国粹C语言战士
装逼我让你飞起来
解放兔子？？？？？？
进度条感人
姜文电影又不是姜文的电影
解放兔子
比博燃
承包屏幕
ohhh
电线电阻那么低，你站两边哪来的跨步电压?
这不是云大吗哈哈哈哈哈哈
电线电阻那么低，站上面哪有跨步电压
冯裤子！
我们可是异父异母的亲兄弟啊!
姜文年轻就演出了老成的感觉
2021年8月7日
芙蓉镇他也不是姜文导啊
火钳刘明
看完回来说一声牛逼
唉，9月9号刚走就...
哪有红高粱？
我自信没有看懂一部他的片子
老谋子的
红高粱不是姜文电影
那是他演的阿
可以是导的也可以是他演的啊
也不会让你过哈哈哈
前方高能
还是那一大堆话
详见站在同一根电线上的麻雀们
黄鹤一去不复返
白云千载空悠悠
晴川历历汉阳树
出现了:内八字！罗圈腿！小鬼子！
兔子都知道不吃窝边草
