哈哈哈哈哈国乒队盛产之一：表情包
来了
很喜欢你哒，不要灰心哦，我也是个女孩子的哦
坐gr
同款笔！
好耶
卡哇伊小胖!!
嗷嗷嗷~姐姐好贴心
可恶，有被帅到
热乎的
热乎的
22分钟热乎
早了好多
我看了n
我看了n遍 但是...
好耶土土爱了
哈哈 紧紧跟实事
那一期视频真的很好！对我帮助很大！
在这都能看见小胖哈哈哈哈哈哈哈
三连了，一定教会我
土土的原声超好听！！！！
啊up好可爱
小学老师教的j就是点点下面头头那里有个小手
啊啊啊w的大小写都好难QAQ
土土的衡水体越写学好了
土土的衡水体越写越好了，支持！！！
土土原声超可爱！
很有用！！谢谢up！三连了
欢迎回来
恭喜你发现宝藏
恭喜你发现宝藏
恭喜你发现宝藏
真的比练字帖有用多了啊！
实在是写压强符号写习惯了属于是
二刷了，很有用啊
土土的衡水体也越写越好了！
高考完了，还愿，真的有用
恭喜你发现宝藏
真的学会了！
很感谢土土啊，
恭喜你发现宝藏
三连再看，养成习惯
那期视频真的很有用啊
up有心了
衡水体考试亲测有效
啊啊啊啊啊啊
为什么投币有上限？
是真的有效果！我也是
2333333
舍不得快进
土土加油，别人辛辛苦苦做的视频教你还挑三拣四的
加油哦，一直支持你
别管那些喷子，那里都有
哈哈哈哈哈哈哈哈哈r不配拥有姓名
好棒
爱了爱了
等等我火速三连
三连交学费啦
原声很好听！！
土土的声音很好听啊
好好听，up的这个方法真的很有用
哇哦
哈哈哈哈好可爱哦
哈哈哈
哒波鼬
哈哈哈好可爱
恭喜你发现宝藏
恭喜你发现宝藏
亲测有用
亲测有用！
亲测有用
哇
热乎热乎热乎
真的有用！
已三连
声音很好听啊
加油哦小土
学会了衡水体真的不难
很难不支持！为up主打call
三连再看
怪怪投币了，确实很有用
转笔土
前方预警
圈儿
好圆啊
我平时就是这么写的
捕捉这个胖儿！
可爱死了
不要带小尾巴哦
学到了
靠近小胖的写法
哈哈哈哈哈哈哈哈哈前面的笑死我了
写慢点还是可以做到的:-O
我就这样，放飞自己，写出个性
声音好好听！！喜欢原声www
哈哈哈哈哈
完了圆都不会
土土的手手好好看
我写不好s
只练好了第四种哈哈哈
突然慌张哈哈哈哈
是的是的
学到了
学到了，这就去写
圈儿多练几遍也会了
认真
这个g写的好完美
谢谢up
我就点得很放肆
哈哈哈哈哈哈哈哈哈还好哈哈哈
学到了
f好难写啊
白嫖失败
这么可爱，一定是男孩子
真的哎
突然悟了
看看我刷出了什么
哦学会了
其实衡水体也没那么难
白嫖失败
白嫖失败
白嫖失败
白嫖失败
二刷，做笔记，
白嫖失败
白嫖失败
上头了上头了
我是哪一步没有更上
啊啊啊 出镜头了 
个性
太有帮助了，我之前全都是错误写法
到我收藏夹里吃灰去吧!
+1
1
文科生实锤了
upup你被我们英语老师推荐了真的是宝藏up！！！！！
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
同款活页本
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊、
【衡中生】进入直播间
没有L
同款握笔姿势
大写呢
year
声音很温柔啊
我就是被劝退的……
勾
礼貌：你小胖吗？
一边写一边想小胖会圆很多吗
看看我刷到了什么宝藏！
看看我刷到了什么宝藏
礼貌三连，感谢up
亲测有效，赞啊
赞
多谢了
N刷了
白嫖失败
白嫖失败
有心啦
谢谢！
感觉像小学生写的
在？别人辛辛苦苦重新录，为什么不投币
看看我刷出了什么
up加油！支持
转笔哈哈哈哈
可恶被你装到了
哈哈哈
三刷
圆润一点
大家出来走个流程
哈哈哈好可爱哦
揪掉我的小尾巴
从此无尾
恭喜你发现镇站之宝嘻嘻
恭喜你发现宝藏
有用啊！！！为什么还不火
三连了感觉这个视频会火
英语老师推荐的！up太厉害啦
恭喜被我们老师发现啦
推荐过来的+1
+1
+1被老师发到班群
白嫖失败
我要把所有的币都投给up
土土声音很好听啊
太棒啦
声音好听！
都不会写
是我是我
总结一下：不要太放飞自己
感觉刚开始练衡水体会写得大小不一救命…
就是我
原声很好听呀
刚刚还在练现在就给我推送，大数据真的好可怕（doge）
懂了 就是先练o 
手不错，嗯！
考完了，来看了
摩擦力写法，太真实了
s好难
感觉xx的感觉这句话和我一样
80+r
不要太放肆学会了
学会了 不要太放肆
楷书
80+的人你们好啊^o^~
好黑啊看不见啊
那作文来不及这么办，我这样写要很久
对的对的
这样老师看成o不就是拼写错误？
圆画不好可以用控笔训练
xswl
棒！
记得初中的时候分手写体和印刷体，没有这些勾勾都算错…
我全是错误写法
草物理 勾起了不好的回忆
啊啊啊啊是我
喜欢原声
求求笔牌子
好的，小土
这个i不是印刷体吗
斑马
写z都带点了。。
别太放肆，没什么用
好可爱
斑马
收藏夹进来吧你
不是前面的，这是标准的写法，但是说错是因为现在教衡水体
都是小学，初中英语课本叫我们这么写的，又不是错误的
本衡中学生告诉你们年级前几的字都跟飞了似的
按Q版写就完事╭☞( ￣ ▽￣)╭☞
同样是手，为什么写出来差别那么大
写英语习惯性潇潇洒洒
数学老师教的
英语渣渣也被英语老师要求的写成这样，比练汉字简单太多了
大写的m对我来说是噩梦
练多了就快了
从此断尾
把m那个剪头看成弯距了。。。
当初都是模仿英语老师写的
就好比因为楷书好看，你就说草书是错的。
我东哥
哈哈哈哈哈
练衡水体时是错误的
牛批
转笔好
1000+
衡水中学yyds你们这帮lo人
温馨提示：三指操作可放大屏幕
总结：写的呆呆一点
法线是虚线啊
可恶，是我了
1000＋你们好呀
确实没错啊，但是这里是教衡水体，在衡水体中那样就是错的
是我是我
555
666
就是我
66）
666
别骂了别骂了
为考试专门练一手还是很有用的
有手就行？那我可能没有，怎么办
写英语都是龙飞凤。我说的是我。
这是为了让人更好看。而不是追求美观性。
收藏夹吃灰去吧
不敢想象
谢谢
真的好好看呐
我就练了几天字帖，字已经跟衡水体基本一样了哈哈哈
1000+
牌子是斑马
有一些不是衡水体
拼音字母
baile垂直符号
封面离谱
这不是我小学时候写的吗，然后上了高中就改了，现在这是要返璞归真
其实我都是把字母画出来的
可恶，老是想绕弯弯
高中确实教过这种写法 但是太难我没练
衡水体f下面不是要带一个尾巴吗
习惯性带小尾巴
不要太放肆，没什么用~
是我了
我咋没早点遇见你
这不就是小学刚开始学拼音的写法
我记得带小尾巴的写法是小学英语PEP上教的
哈哈哈我弟老师也是这么教他们的，但是他写的很放飞（狗头
物理选修课
作文写衡水体就好了，别浪费太多时间
没办法写地这么圆润
衡水体很好练哒旁友们
huil
我其实对不齐
huil
这真的是小学的时候老师让带尾巴的，到现在也没改过来
我写快了就大小不一样了
350人
指甲好看
天哪是我了
圆圆的好可爱
内      卷      体
我一个准大二为什么会刷到这视频
但是这样写太慢了
收藏吃灰去
物理我会这样写
大小不一才最致命
好像没有r
可以
关键是P教材上的教学就是那样教的
必须顶
小胖：你礼貌吗
我写英语作业呢衡水体写，英语老师给我打了一顿
是我没错了
别太放肆没什么用
但是提上去的小勾在教材规范里有的啊
所以说标准手写体很多在衡水体里都是错误的。。。
看起来像小学拼音字母的写法
这个握笔姿势不正确
谁没事练衡水体啊？
1000+就离谱
真实
放荡不羁爱自由
...
那是意大利斜体
打印机啊
习惯了意大利圆体，改不过来了
r呢？这个怎么写，衡水体里面就这个写的难看
白嫖失败
从此我学会了画圆
我们老师说要有一点斜体
 i不带勾勾真的不会判错吗？小学留下的痛。
这个i这么写不就成i这么写不就成印刷体了吗？
好像汉语拼音呀
小胖的写法哈哈哈哈
这个重力加速度没有灵魂啊属于是（doge）
不能说是错位写法，只能说不是特别整洁
真是
阿婆主考试时写英语作文一般用什么笔啊可以推荐一下吗，想用粗一点的但不洇墨
这个复数它没有灵魂啊喂
真实
这不就是一年级写的汉语拼音吗？
精髓就是大和园
好像没有r
字母写的很好，写作文的时候垮掉怎么办，九敏
好家伙，同款笔
学校不给这样写，酸了
我们老师说要写斜一点。。。。我不会咋写斜
不要太放肆
这样写会不会很慢啊
哈哈哈哈哈哈小胖不服
我一个大学生看这玩意，看的津津有味的
其实衡水体本身就不是正规写法，只是看起来好看卷面分高而已
好家伙
怎么跟我的一模一样。。。。
为什么g不在
真好用
感觉这种写法是就是在答题卡上，扫描后，觉得清晰清爽
是我
我的小胖！！
对对对
不会很慢的，练一下就很快了
太慢了
感觉用那种0.7的笔杆比较粗一点的笔容易写衡水体(个人)
一看就会.一学就废
写熟悉了就快了
这个字体老师会不会不让这么写
樊振东;...
从高一到现在大三我都是写的花体
牛
就离谱
收藏夹里吃灰去吧
那O老是写不好咋整，QAQ
美甲好看耶
1000+的竞争对手，压力大
圆体
衬线
16班张姓男子前来观摩
毕业四年了来学zhe ge
有字体
实不相瞒 从小学就这么写的 老师教的
现在有些私立高中的老师都让学生练衡水体，说是因为改卷到时候很干净舒服。
这个考研英语用这个行吗
马阳
好的
其实横不衡水的只要整齐就好，所以up很有用！
圆
拼音写法哈哈
小胖哈哈哈哈
老是感觉我写的每个字母即使是相同的也长得不一样
问问，衡水体在一些写法是错的，中考用这种字体会扣分吗？
那这样不就是汉语拼音吗
镜    面     反      射
这就是汉语拼音啊
不按老师教的写字母考试会给分吗
那这其实是违背英语的笔画及标准的手写体的对吧？
妈呀和我高一时一模一下
妙啊妙啊
实时的吗
你币有了
打好草稿十分二十分就描一遍了，留给作文的时间还能少嘛
小G写起来头重脚轻怎莫办？
手好看
同款笔袋！
同款笔！古典红真的好康！
那我考试得花四十分钟写一篇作文了……
P公式里不带的是功率带得是压力，写习惯了
真实
小胖招你惹你了啊喂？
去我收藏夹里吃灰吧
我小壆时不带小尾巴，英语老师让我罚抄100遍bdapm这几个字母
老是写不好h和n，被说了好多次
我就写不好s
是的 非常慢
为什么中指的指甲盖颜色不一样呢
我们都是衡水人，衡水体，衡水题，衡水的成绩排第一！！！
脑子：我会了！ 手：你放屁！
拼音？
会比较慢的 但是习惯之后就不会很慢了  这种字体的主要目的是卷面整齐不是吗 下笔更注意的话肯定会慢些的！
我们全班要求衡水体的谁不好罚写五张作业也是要罚的
只要写习惯了就会写得蛮快的了吧
主要是大
我们学校有一个去衡水复习的学校出的钱，老师教他写衡水体
圆
不要写0要写O
传送门 00:30
我最大问题是写不齐……每个字母不一样大……T^T
别骂了别骂了
重力加速度g勾着写是灵魂
不会还有人只收藏不看吧？
主要是数学这样写，写多了就习惯了
好家伙
感觉挺简单的  但我就是不会画圈
不懂就问，这是打印机吗
为什么我写的老是不在一个水平面
每个错误示范都我了
懂了  倒过来写
之前那个视频真的很有用！！！
早看还能干掉一万人呜呜
刚刚去实践了一下真的超好用
所有小尾巴都不能有
我也在
这不能叫错误吧 带勾就是意大利斜体而已
英体没起笔写作文不扣分？
理论都懂，但是一到考试的时候时间一着急就写不出来。
可是我手抖画不好圆555
我是罗马体
00:30
天啊我就是
t我一直习惯十字架写法(泪)
英语考试应该还是有时间慢慢写的吧
我知道了，可以删了
感觉汉字英文字体好不好看是相同的，我就是都写的不好看
离谱
你好我是小潮
法线应该是虚线吧
什么字体写顺手了都不会太慢，需要平时写字的时候注意，后面就越写越快了
我记得有那种字帖，我们高中都用的
妙啊
声音那么好听，为什么要变声器
止步于此
老师没说过考试都统一要练衡水体的吗…这都不是愿不愿意的问题 花时间的说啥呢
表白小胖！
1000+都是被字帖折磨的吧TT
我总是会把这一类那一竖写的很长
好，想求一下阿布扎比的链接。
新高考英语两个作文，其中一个还是前面给你一个材料阅读叫你续写，我一般写到第一个作文只有半个小时了
好家伙全是这样写的
礼貌小胖：你吗
物理上用可以
好可爱的字哈哈哈哈像画画一样
对
小胖：？
救命 小胖太可爱了
A！O！
我糙是真的！
发我老公
万恶的衡水体哈哈哈
两支笔都有同款
不好看
啊啵呲的呃
会写了不就快了吗？写汉字不也是
小姐姐原声好听诶
求同款笔
笔 好可爱
小尾巴。。我小学课本教下来的毛病
1000+
不会圆弧
管用唉
up主牛逼
宝藏啊
我懂了Bilibili
全 是
g
东哥东哥
i
一看就选历史的
啥叫衡水体啊？要喝老白干吗
初中老师教这个i字教的不对
有些老师觉得这样没个性，不过得分高
写多了就稍微快点了
练熟了就可以提速啦（也不快）
不会写圈儿咋办
你好 小秃
我也习惯了 写快笔的时候还特顺畅
多练啊你不练你考试写不完不是活该吗
前方高能预警
r呢
全部踩雷，蓝瘦
打印机
错误示范我全写过，就离谱
阿基米德螺线
啊啊啊啊啊东哥
哈哈哈哈哈东哥
法线是虚线吧
真实
学的是日语怎么办
每一个错误都是我了
我快被衡水体整疯了！！
弹幕从笔里钻过去哈哈哈哈
莫名感觉可爱
0o
g和y我永远写不好看
学校里高一连了2周就写会了，不过速度有点慢
别骂了
1000+
总结：一笔一划不要放肆
l怎么写？要不要带弯儿？
这就去请教达芬奇
法线是不对的呀 
蟹蟹up主！！
放收藏夹里吃灰去吧
tf哈哈哈哈哈哈哈哈哈
但是物理里vu分不清只能写的潇洒一点，然后就带到英语里面了
练熟就好啦
bjt
三极管
不是还得倾斜一点吗
把答题卡扫描后电子阅卷，当然还是写的干净整洁点好，不然老师都看不清
1000+的人！
救命，全部的错误写法集我于一身
确实不用练 毕业了【doge】
是我没错了
我偏要练！！
勾什么的都是斜体带过来的，意大利斜体写好了也很漂亮的
用的斑马的笔jj15
失去了灵魂
原声很好听呀
错误示范全是我的日常写法…但是看起来也还行？
礼貌小胖：你吗
王者荣耀出新皮肤了好耶
王者荣耀倒闭了好耶
王者荣耀nb
王者荣耀
王者荣耀
错误示范和我的字体一模一样orz
懂吧也懂，盖不住考试时间不够，整个人都要飘起来才能写完
你们是不是搞错了，up说的错误是指衡水体不能这样写，而不是说这个写法是错的
七年级英语书第一章就是教怎么写字母，笔画和结构控得很严格的，我们老师都不让我们这么写。
问题是我O画不圆啊！！！
