阿婆主做的图太牛了
ooooops妹妹
可以去问问乌丸千岁/滑稽
是卢本伟
up主真的好棒
暂停截图
逻辑清晰的可怕
黑魂既视感
噗，哈哈哈绝了
是5个月左右……
竟然没人
以前刚知道才过了半年的时间我是真的惊了
太厉害了
八口哦，第九是谁呀
红与黑
没有，这儿是翻译问题
吓我一跳
皇帝都不敢这么做
那个术？
红与黑的撞击
在在在
经典三选一
？？？？
黄金城？
哈哈哈哈？这语气
我毛利小五郎呢
解釋不通，平行时空
詹姆斯 布莱克…我的脑洞停不下来了
第一集OP好评
鬼见条
66666
酒太难了
黑方主要成员主要是琴酒以及各个红方派过来的卧底
基德啊
除了gin都是卧底要不就是潜水怪
盗一不配在夫妻栏？斗妈长得特别特别好看
必火
辛苦了
科幻片
那就是说在这六个月中有大约850人死了？
半年死了无数人
啊！雪梨
好
高木原来垫底
是贝利亚
这一年柯南时间的科技发展极快，都比我们10多年的成长高（滑稽）
是个蒸蛋
1年内可还行
为了成立天人组织 笑
反正柯南长不大
柯南元年
业界要完
讲真有必要吗？并不是黄金打造就适合住啊!您为何这么不低调呢
辣个男人？
从平成到令和
我只想问  一年时间那么多案件是怎么发生的  
火前留名
目暮绿瞩目
库拉索还可惜了！
博士的爱情故事好感人的
为了好玩
可能连他自己都不知道吧
在在在，有人有人
在认真看没发弹幕
这个目前不是只是推测吗
贝姐柯南亲妈
如果真的是纯金而不是镀金，全世界的黄金加起来都不够。
论事件密度233
阿笠博士
早就二年级了吧。。。
每个事件排一天都有365天了吧！
这个也没得实锤证据啊
。。。。据我所知只有一个
那个男人♂
嚯嚯嚯，死的不算
666
琴酒，以及其他各个组织的卧底
吴邪。
三连！
快青我吹爆啊
众所周知，日本犯罪率极高
"玄幻片,小五郎后颈千疮百孔，依然生龙活虎"
不是到了令和吗
when you hear 哔，begin answer the question
when you hear 哔，begin answer the question
一年内？
先三连再看，收藏收藏
贝姐
脸都差不多，哈哈哈
没实锤你个头
有人
777777
这个总结好厉害，暂停认真看
up厉害了
红方？就是腐乳呗
就算一天死一个人也不止365了…
金闪闪果实
可能是卖假酒
安室透出现了三次哈哈哈哈
Upn好严谨
BC（Before Conan），AC（After Conan）
即是神亦是恶魔，那便是马金花Z。
先赞为敬
nb嗷
他的红方？去哪哪死人
nb
只有一个琴酒正儿八经干活
怪盗怎么算？
哈哈哈哈哈
让我康康这个图里有几个二五仔
51年
琴酒
前面打工仔的xswl
。
。
最牛总结视频
元太:我呢？
所以一天三个案件
酒厂
那可太6了噢
Bgm 好评
这集看过
是个狼灭
世界黄金储量全挖出来全世界一个人40多吨黄金
真实，全部是青梅竹马
全是卧底
欢迎收看，走近科学之柯南。
为了复活青梅竹马的2333333
high
假酒那个你够了
确定了，作者说的
那位可以储存时间的大人吗
首页通知
收藏了以后看。。
团长！你在干什么啊团长！
酒厂
内鬼组织
卖假酒笑死了哈哈哈哈
公益组织
为什么我这么想笑
火钳刘明
敲黑板警告
呵呵哈哈哈
青山公布的boss
这个语气哈哈哈哈哈
小哀家三口子
平行并列错了
毛利小五郎也有厉害的时候
16200人同时观看
代表人琴酒(没错就一个人)
新兰都官宣了应该算情侣吧
英语听力你是想笑死我吗
早就二年级了！！！！
单元剧，每集剧情除主线都是独立的
伏地魔
三池苗子很漂亮呀
你难道没有听说过“柯南漫画宇宙”吗？【滑稽】
让我联想到了fate……红黑
我还以为第四个职业是小学生呢
一年死了多少
拉姆？（幻听）
简称酒厂。。。。
柯哀大哭
卖酒的
哈哈哈哈哈
完了我已经听不懂了
卧底合集
修学旅行后面几集工藤优作说了
辣个男人
哈哈哈哈哈
他的目的是让卧底结集起来了
就喜欢up这种搞学术的精神
卖假酒你别走，突然出戏≥﹏≤
老子叫工藤新一
啊啊啊啊啊啊苦艾酒啊啊啊啊啊
这点赞飙升速度就离谱
up辛苦了
6+油。
你币有了
这个是之后剧情里凶手是老太婆的那个故事对不对？
大佬牛逼
科幻
科幻动作片
他TM变小，我出生，现在我特么都能当他叔了，他还那么大
哈哈哈哈哈哈哈哈哈
性世良？
没出生就算进去了？
NB
没毛病
哲学
白马探是基德的对手
早就确定啦
平次给妈妈冲啊赶紧和和叶表白吧
青春
抑扬顿挫，掷地有声
听不懂了
我也火钳刘明，可能这辈子也看不完柯南
除了Gin全是25仔，哈哈哈
它
我傻了
