那可真是太强了
ohhhh
第二，嘻嘻
我第一
团团越来越皮了
没人？
烫的
膜拜大神
川建国?
自由的风景线
来了来了
这歌唱出了我的心声
踢人是不对的，但是踢得好！
233
谎言
真带感
这一脚极度舒适
也就是冬天了，什么时候秋后算账啊
666
看的上火
没人比我更懂rap
在？为什么不踢重点？
skr~skr~
ohhhhhhhhhhhhhhhh
推下去这动作真的帅！
妙啊
好听
再来一遍，给力
这首歌一直在我喜欢里，今天被官方发现了
我的评论为啥都被吞了5555
哔--------
赞赞赞赞赞赞赞赞赞赞赞赞赞
赞赞赞赞赞赞赞
建国同志，为你而歌。。。
爱了爱了
火钳刘明
666
妙啊
再来一遍
厉害
hhhhh
看我发现了什么
川建国
唱得好
是踢下去
666
这里红领巾哈哈哈哈
团团牛逼
再来一遍
天府事变nb
22分钟
槽
我又来啦！
skr
天府事变
冲
ohhhhhhhhhhhhhhh
妙啊
干得漂亮
OHHHHHHHHHHHHHH
Cool炸天！！！！！！！！！！！！爱了
恐怖女神
666666
好厉害
再来一遍
感谢川建国同志友情出演
哇带感hhh
年度金曲预定！
呸！！！！
建国同志
大场面大制作
舒服
666666
再来一遍
Skr
太帅了！
建国同志唱得好
好同志
自由美利坚枪击每一天
这特么天府的歌
川建国同志辛苦了！
Respect to天府事变
skr
666
呸lease，妙啊
哈哈哈哈哈哈
你币有了
66666666
干的漂亮
干的漂亮
干的漂亮
三连
这个太爱你了
这英语有点烫嘴啊
前方踩点一脚踹
罗伯，收工啦。
再来亿遍！！！
6666
skr
天府事变牛逼
这才是真真的rap，表达自己的思考，而不是空洞地模仿不属于自己的文化
ohhhhhhh
欧阳靖？
辛普森美国制造的海报
第几遍了
3连
我们又见面了
这个呸很灵性啊
谁说真心话？谁说真心话？
天府事变！
现在看到美国那些政客的脸就想给它一板砖
666
这才是真正的rap呀
川建国同志申请入党
感谢川老师
牛逼
This is China 太帅了
顶上去
建国同志辛苦了
问题来了这是什么音乐
不得不说  妙哇
666
❤️❤️❤️❤️❤️❤️
官方diss最致命
skrskr
红领巾
最后的警告？是要出击了吗？
勿谓言之不预也
再来亿遍
太好听了吧也
开头见
开头见
干得漂亮！这个词太爽了
帅
skr！
Now and forever
666
真的好听！！
来了来了
建国同志唱的真好
再来亿遍
共青团中央带头文化输出
We don‘t need advice
We don‘t need advice
民主为之蒙羞
笑死
呸les
好听
呸
这也太牛批了
好了，你币有了
哈哈哈哈
建国同志辛苦了
好听！！！牛批！
川建国同志
天府事变
NOW AND FOREFER
66666666
妙啊
真秀！
我先跪了
sky
妙啊
妙啊
川建国同志暴露了
排面！牛逼！！！！！
Now and forever
skr skr
呵，美国
66666
第二遍啊
哇厉害哈哈哈哈哈哈哈
说得好！
笑死我了
烧，烧到自己家后院
NOW AND FOREVER
njsgdd
自由美利坚，枪战每一天
呸233
再来亿遍！再来亿遍
建国同志高见
666666
天府事变牛逼
三连
nb
天府事变NB
感谢特朗普的三句hook
川建国同志不要暴露啊！
好有魔性的歌曲，好嗨哟
勿谓言之不预也
支持
666
再来一遍
无限循环
勿谓言之不预也!
202
6666666
妙啊
开头见
勿谓言之不预
天府事变牛批
建国同志唱的好
哈哈哈哈呸
666666
再来亿遍
有点好听啊
官方rap最为致命！
skr
skrrr
川建国同志说的对
干得漂亮
勿谓言之不预也！！！
三连必须
得劲
出不去了！！！！
再来亿遍
再来亿遍
啊这段好好听！！
JOJO
好听
感谢建国同志
太厉害了哈哈哈哈
哈哈哈哈哈哈哈
民主美利坚，枪战每一天
好听！！！！
ohhhhhhhhhhh
前方高能
太优秀了起鸡皮疙瘩
i了i了
自动变色
勿谓言之不预
再来亿遍
逐渐上头
。
666666
太强了
自由美利坚
666
牛逼
干的漂亮！
再来亿遍
不愧是建国同志
好听啊
好听!
阿中nb
再来亿遍
skrskr
必须三连
不看评论都没发现是繁体
建国同志这段hook不错
妙啊…
rap挺带感
有内味了
不三连谁也别走
上头了
2018成都小李报道
上头
建国同志好！
NB
牛
再来亿遍
川爱国同志，请不要暴露身份
大快人心
小李!
耳机党舒适
我就想知道这个泼汽油的有没有被绳之以法
投了
我就问一句，川普说的那句话是原话吗？
再来亿遍
太巨了
好听啊
啊呸
建国同志好样的
666666
？？？
妙啊
三连了
川建国同♂志辛苦了
6666
666
66666
nb！
这样的说唱再来亿遍
牛逼牛逼 绝对三连
666
自由美利坚，装逼每一天
干的漂亮 分享到脸盆网上去
厉害
Nice
红领巾
咳咳，变个色
Skr
身体律动，抖腿开始
开头见
nb
牛逼
小李的辨识度好高
这个不三连 还有什么该三连
勿谓言之不预也
建国同志好样的
建国警告
上头
有内味儿。
幸苦
必须给币！
火钳刘明
强！
牛逼
太酷了
秀得一匹
给爷爬
天府事变666666
天府NB！！
牛逼
66666666
6666
建国同志！！啊啊啊啊
OHHHHHHHHHHHHHHHH
建国同志保护好自己
妙啊
上头
川建国爱了爱了
共青团中央的？看右上角
自由美利坚，枪战每一天
NB
犯我中华 虽远必诛
太酷了
勿谓言之不预也
。
。
好听
嘿～呸呸呸呸呸～～～
再来亿遍
停止了世界和平的英雄
开启洗脑循环
forever
66666666
嗨起来
哈哈哈哈哈哈哈哈哈哈哈
666
好听好听!
呸！死！
勿谓言之不预也
好洗脑啊这段
太平天国的勇士给他们点教训
建国同志，你冲动了
好nb
湖北共青团员报道
no way
干得漂亮
建国同志你暴露了
这是天府事变吧
再来亿遍
上头+1
666
666666
NB
德先生
牛
德先生，你好！
np
自由美利坚，枪击每一天
好听啊啊啊啊
试图白嫖的我
sky
skr
66666
666
勿谓言之不预也
保护建国同志
帅啊
建国
再来亿遍
哎呦我天哈哈哈哈哈
演唱者：天府事变
上头了
胸前的红领巾更加鲜艳了
特朗普牛逼！！
憨憨
NOW and FOREVER
啥叫嘻哈呀
US双关了，赏鸡腿
交币了
山东共青团前来报道
美国的新年
顺着团团过来
牛
太酷了啊啊啊啊啊啊啊啊啊啊啊啊！！！！！！
i了i了
再来一遍
妙
牛壁！！
I want nothing!
上头上头
再来亿变
帅啊
6666
6666
川坚果同志怎么暴露了
厉害啊比个心
太带劲了！！！！牛逼
skr
大佬
好上头呀！
比吴亦凡好听多了
