这是写给原公司还是经纪人的？
很有feel
记得
和平“分手”吧，邓紫棋被Tan 栽培是真。
应该是写给公司的
有暗示吧
新歌！
skr
火钳刘明 自动变紫
8分钟
太喜欢这里了
姐姐现在瘦了
11分钟
姐姐加油，一直支持你的
解解我来了
尖叫
好好画上句号 重新开始
12分钟
歌词很棒
这歌词，鸡皮疙瘩！！
重新开始！！！解解加油
写给蜂鸟的吧
太棒了
解解你真的太优秀了
霸屏
真的好好听
和声好好听
啊啊啊啊姐姐我爱你！
啊啊啊，吹爆
这个mv的导演也是很强的
来了
还好 一切都会过去，前方是一路美好
牛
6666
五年之后是很多个五年
为自己卸下束缚
加油
diss前公司和张丹
有故事
把娃娃上的提线扯出，这个mv太有feel了
解解解解
真情流露
好的个都有一个故事
好听
姐姐，我又来了
兔子的受伤也象征着当年的全网黑吧
属于gem的新时代要来了
再见再也不见
好好听好好听啊
好感动啊
好想哭
小女孩会成为女皇
这一段泪目……
邓紫棋一直很单纯，只是想唱歌搞音乐
爱的恨的全都是你
邓紫棋和蜂鸟已经解约。
片头见
冲冲冲
我爱你
出不去了
可惜我们终于来到，一个句号
好听
陪解解一起走
你可以！
加油
窗外不愿飞的蜂鸟，也在哀嚎
前方高能预警
都是你
好心疼
眼泪不值钱
邓紫棋常常和“前经纪人”张丹进行争论
姐姐加油
邓紫棋我们一直在
好听
告别过去，面对更好的未来
哭了
感觉这首歌就是姐姐跳出局外，只是平淡的诉说着，然后感谢告别，划上句号。。
纠正一下 前公司
你还有我们
张丹给老子死
邓紫棋你值得更好的未来
怎么连diss前公司都这么温柔啊
画上句号，重新开始
窗外不远飞的蜂鸟，也在哀悼
我要你自由
哭了
陪你一直走下去
厉害
i
可惜我们终于来到，一个句号
解解最棒 加油
句号成绩越好，张丹死的越早
邓紫棋厉害啊
爱了爱了
姐姐加油
不许间断
加油
❤️❤️❤️❤️❤️
哭死了
就让我真心真意，把歌唱完重新开始
泪崩！
说句心里话，你还怀念吗
真心真意把歌唱完重新开始
解解加油
加油邓紫棋
张丹要是有良心就好聚好散吧
说句心里话，你还怀念吗
小女孩就是过去的自己
一马当先！！！
我这里真的哭了
开口跪！！
世界突然变得好安静，这俩是一个和弦
啊啊啊啊啊邓紫棋
哇！
太好听啦爱了爱了
出不去了啊╮（﹀＿﹀）╭
好听好听
棋士与queen永远不会有句号
好想哭
哭了蜂鸟biss
看哭了
开头见
diss前公司
太好哭了
新的开始
泪目
一样的发型
兔子变成了木偶，完全被控制了
出于喜欢音乐，她签约蜂鸟
泪目
新的开始，加油解解！
一直在❤
循环
解解解解解
再来一遍哈哈哈哈哈!!!
哭了
句号，冲呀
内地音乐平台什么时候可以上线啊
来了
别不开心了，你喜欢这个小兔子吗
太好哭了
爱你
可惜我们终于来到，一个句号
好听又好哭
太心疼她了
好好听啊
我的信仰，请你开心快乐无忧无虑
时间滴滴哒 你还怀念吗
疯鸟sl
邓紫棋多么重感情啊 却换来了他们这样的对待
心疼
希望你自由快乐
解解我们和你永远在一起
她不开心
挣脱提线木偶，重新开始
为何！
走向新的开始
你可以！！
都是傻鸟，害的音源迟迟不上线
解解，以后你和我们棋士永远不会有一个句号
太好听了，不火没天理
啊啊啊啊
原始的你最好看
解解，以后你和我们棋士永远不会有一个句号
说句心里话，你还怀念吗
拆掉线还是会留下伤疤的啊x
你还怀念吗
你有我们 
才女啊！
不得不服
音源为什么还没上啊啊啊
我的宝贝
心酸
重新开始吧
坚强
棋士永远陪着你
解解，以后你和我们棋士永远不会有一个句号
听到前奏就已经酥了
从歌词里都能看出邓紫棋是歌单纯美好的小女孩
啊啊啊啊啊啊好好听！！
fnsl
姐真的厉害
解解你怎么能这么棒！！！
爱你啊啊啊啊
真的好爱
解解加油
哭辽
邓紫棋，你真的太棒啦
她真的很优秀
好温柔的姐姐
女皇，请收下棋士的膝盖
awsl
爱了
暴风哭泣
tan给我s
加油
好心疼解解啊
解解我们陪你
解解勇敢飞，棋士永相随！！
邓紫棋加油！未来有我们一直陪着你！
狗丹
歌词太扎心了，解解我们会一直陪你的
未来我们一起
这首歌包含的有很多吧
连我爸都没打过我！
加油解解
加油加油！！
终于来了
紫琪
你还记得吗
我先哭了
一身伤
爱你解解
陪你一路逆风
加油啊
提线木偶
爱你的永远都会在。
加油啊
是在说那个老板么
张丹没有心
一起加油
解解加油！！！
怎么跟周杰伦曲风越来越像了
努力！期待和你见面
太好哭了
不是的，你不是商品，你天生像珍珠贝，高贵
永远爱邓紫棋
如果可以，这个小姑娘还是愿意继续信赖他的啊
重新开始
邓紫棋，我爱你我们之间总不会有句号
单纯的小女孩
句号
你尽管冲
laile
垃圾不值得怀念
解解加油
开头见
上帝一定会给你开一扇窗的宝贝
邓紫棋太惨了
❥(^_-)
真的好听！
好听。。
宝贝别怕
我们永远陪你
坚持自己！！
邓紫棋爱你爱你
爱了
哭了
邓紫棋！！
gem加油
有我们陪你
让过去化成句号
唱完这首歌，就好好生活，重新出发
听哭了
这就是解解出道以来的真实写照啊
太好听了太好听了
把自己交给自己
爆哭
邓紫棋真的很单纯
我们一起重新开始
张丹良心被狗吃了
听哭了
开头见
我们之间没有句号
可惜终于我们来到一个句号
邓紫棋我们还在
把自己交给自己
支持解解
邓紫棋真的很会写，很会唱
加油！！！！！！！！！！！！
其实感谢zd的眼光才能吧这么好的解解带到我们身边
邓紫棋邓紫棋邓紫棋邓紫棋
就在这里为姐姐打榜！！！哪里有姐姐那里就有棋士！！
骂人都这么温柔
把歌唱完重新开始！
你还有我们
老邓头有我们
邓紫棋从16岁出道，到27岁，都是蜂鸟陪着的。所以蜂鸟看着她成长。
可惜我们终于来到 一个句号
解解加油！！！！！
哭了
好听
我哭了你们呢
邓紫棋和前经纪人张丹，经常产生争吵。既然解约了，也再也不会听到争吵声了。
第一次反馈，给了解解。解解棒！
我们跟你一起重新开始
重新开始吧解解。
未来来了
爱了，爱了，这首真的超好听
首张EP获得十大劲歌金曲最受欢迎女新人金奖、第31届十大中文金曲最有前途新人奖银奖 等奖项
加油！！
再来亿遍
听哭了。
加油啊解解 永远爱你
解解你身后有一片紫海啊
宝贝爱你❤
好好听啊
紫色才是解解的颜色
做最好的自己吧，我们会一直在你身后，永远支持你
做最好的自己吧，我们会一直在你身后，永远支持你
好听
好听
MV的设计好细节
邓皇爱你么么哒
没有音源开始刷mv
解解我们一直在一起
你币有了
G.E.M加油！！！
已经哭了
这是你啊 你真的好棒！
爱了爱了
勇气和自信能战胜一切困难
我女神！！！！！！阿阿阿啊啊
我哭了
太心疼了
解解我爱你！永远支持你！
加油
好康
太难了哭死了
NB
再看亿遍
好心疼她啊，自己的心血不能发出去让更多人路人听到。
开头见各位。
好听  大爱姐姐
解解我来了啊啊啊啊
扎心了
再来亿遍
我考~~这开场，牛B啊~~
加油
很高兴认识你，从中走了出来
邓紫棋
哀悼
加油啊，邓紫棋！！！一直支持你！！！
超级好听
路人都觉得心疼了 小姐姐加油
超好听啊
过去的就让它过去吧
宝宝好优秀
唉
太好哭了
加油啊，解解
听哭了
真的好听
好听
开头见
要自信
邓紫棋我们会越来越好的
爱了爱了
哭了哭了
解解勇敢飞
开头见
。
哭辽
贡献我的弹幕，冲啊！！！！！！！！！！！！
这女孩子是不是催眠大师里的那个啊
爱紫琪五年
短片导演是谁啊
加油!
给解解排面
邓紫棋呀
加油宝贝
棋士永相随
邓紫棋
real talk 爱了！
做自己
哭了，真的哭了
现在只有Apple Music有！其它地方被动了手脚！
好听好听真的好听
我们是你最坚强的后盾
我们一直在
很喜欢邓紫棋的歌
再见蜂鸟！！！
越听越心疼竟是哭了
会变好的
这象征性好大
把自己交给自己
太好听了。她的歌不会让人失望
你不是！！！
这个娃娃被变成牵线木偶
可惜我们终于迎来一个句号
这就是歌手的diss吗。我哭了
紫色的草就是紫海，是歌迷啊
2.0
无限单曲循环
但过去了就不再介意，这歌不是小家子气的diss，只是byebye
你还记得吗
好歌不该被埋没
大爱
我的心里住着一个苍老的小孩。
你曾是我最信任的男人吧
城市再也不会听到 我们争吵
你会不会少了一点烦恼
666666
温柔、坚强、自强不息。这首歌传达了很多东西，我知道那是什么。
开口跪
开头见
路人转粉了~
說的是前公司
已经前前后后听了一个小时了
好好听呀
再来亿遍
太好听了吧！！！！！！！！！！！！
太好听了我爱你
妈呀，哭了一首歌的时间
宝贝值得最好的！
加油邓紫棋！
我的棋啊，真系仙女
啊啊啊啊我爱你解解
加油我们爱你
真的神仙颜值
太好哭了
经典
心疼你静静
解解
与过去的自己做个了断
我是嘻哈开始喜欢她的
啊啊啊
哭了
我真的想为你做点事
我会永远陪着你
太好哭了那
开头见
应该是写给原公司的
妈妈爱你
n刷了
心疼
哭了
你是公主
刷林狗的都有病吧？？？？？？
心疼
好心疼解解
解解我爱你
片头见
加油
皇后勇敢飞，棋士永相随
可惜我们终于来到，一个句号。  泪目
疯鸟给我si
第一次发唱片，就一马当先
玩偶变成提线木偶...我好心疼 再也不是小女孩的爱了 是男人一手操控
希望每一个句号都有新的开始
念念不忘
加油啊宝贝
加油
完了出不来了
解解冲啊
我也哭了
真的好难过
我爱了。
再来一遍
啊啊啊啊啊啊啊啊好听
句号后是新的起点
我要这币有何用
开口跪我的妈
真的是反复听啊  姐姐加油！！！
解解在哪里，我们就在哪里
第一次做制作人完成的歌曲就很棒啊
apple music 已经登顶了
我花花和邓紫棋都喜欢啊怎么啦？
爱你
我老婆
姐姐的歌为什么能这么好听？？
。
哭了
听歌的一定要听正版啊！！！
QAQ解解太棒了 好么，全世界最棒的
永远支持邓紫棋
看哭了
好好听啊，加油！！
我老婆真棒
以后我们会一直陪你一起走，不要再害怕
好听
押韵狂魔跟踩点狂魔的结合 我i了！！
姐姐一直在用亲身经历激励着我们
我好心疼啊
你永远不是一个商品，你是女王！
太好听了8
f。n。s。l。
期待年底新专辑！
我买
超级好听。
希望以后的日子一切顺遂
听哭了
珍贵的放心里
哭了
未来我们一直都在
又好看又好哭又好听
温柔的述说，却撕心裂肺
我们还怀念 但他只想赚钱
唱完这首歌我们就重新开始
你还怀念吗
我永远都爱邓紫棋
默默支持解解
情感饱满
都给我哭
多少遍都不够
紫海中的一根草也要为你而发光
逗号
你还怀念吗？
一句句戳心
我们都在
太好了
撕心裂肺
希望你一直快乐
加油邓紫棋
好听
加油
歌词很有感觉啊
解解一定要加油
单集循环ing
爱
一定要快乐
呜呜我太爱这个女人了！
邓紫棋你要一直幸福
邓紫棋我会一直在
爱了爱了
别怀念，我们陪你，重新出发
她和所属公司吗
邓紫棋在哪我在哪
句号。
前经纪人！！！
说唱是生活最真实的反映！
你还怀念吗？
我真的爆哭
牵线木偶？
你是无价之宝
我爱了
加油！
沒有了蜂鳥 她變得更好了 
超高品质
张丹死一边去，蜂鸟倒闭
我来了
姐姐加油！
apple music可以听
邓紫棋我爱你
邓紫棋我爱你
你还记得吗
你是最宝贝的
解解别哭！！！！！！
猴猴听噶
我永远爱你，我的公主
我的妈呀
今后的路我们陪你一起走
你姐真的好难
来啦来啦
抱歉我没法永远当你听话的傻瓜
加油!!!
蜂鸟是什么公司吗  谁说明下
冲冲冲
愛琪琪！
只是来看看
好听
加油宝贝
华语乐坛唯一活着的歌手
爱你解解！
晚上听到没电为止
你还，有一点点良心吗？
邓小姐加油
让我想起死亡万花筒带帽子的巨人
。。。
邓紫棋
这是rnb
zd已死，有事烧纸
好喜欢！
抱歉我没法当你听话的傻瓜
Apple music上支持你
她放手去爱，却舍不得恨
加油！
这句不会听到感觉想是要唱哭了
疯狂表白邓紫棋！！！姐姐，你是天才！
会一直在的
姐姐加油
邓紫棋一直的在大放异彩越来越好
邓紫棋邓紫棋邓紫棋邓紫棋邓紫棋邓紫棋邓紫棋邓紫棋
好听
这里一直给娃娃装饰是代表给邓紫棋加上的各种枷锁
The old has gone
爱你
这歌听得我好想哭，ZD没有心，她才不是商品，我们棋士的宝贝
好听
我爱你
邓紫棋加油！！！
我不从站旁边
没有蜂鸟，我们会更好！！！
我们陪你重新开始！
再来亿遍
邓紫棋邓紫棋邓紫棋
几刷了你们
