刚刚好
第一次这么前
第26个？
^
来了来了
skr~
1
难道我是第一个？
666
skr
哇竟然有郭晋安
skr￼
1
来了
好诗
古灵精探男主？
skr
郭晋安！！！！
玩归玩，闹归闹，别拿周姐开玩笑
hhhh
神tm奥观海
2分钟
哈哈哈哈哈哈哈
烫
？？？
哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈，张淑怡
?
？？？？？？？
卧槽
啊？！
生理反胃，这大妈是哪位
小说就是这么写的
厚颜无耻之人！！！！！
感觉没有仙气
原作确实很好玩
。。
难受啊
3124
？？？？？玩尬的
？1
好烫
少皇！！
？？？？？
好湿好湿！！！
越看越像男的
成是非
郭晋安，，，，
这个王舞丑的一比，不如动画和漫画里的
?  ?  ?  老子修个仙也要学物理?
哈哈哈哈哈哈哈
heei
恶俗
？？？？
...原作小说前期也没说他为什么会这样啊
qing
？？？
所以..你压根就没有看过原作吧
嗨
政治正确
女的好丑，跟没牙老太婆一样
啊？
skr
。
怎么看都像男的。。。。
看到后面会真香的，女主的演技很好
有追求之人
？？？？？臭不要脸？、
配音有点耳熟
末法时代灵力少养不起空灵根
少皇！！！！
我决定挺好
好热啊
这是恰饭么？
skr
突然好尬
？？？？
？？
张榕容五官大，这种扮相真的不好看
桑塔纳打钱
这玩意原著就是这个德行23333，看的就是沙雕
反冲斗士
好像男的
哇哦——
！？？？？
有意思
周淑怡好看个锤子
手工耿？
语料库
小说就是这么写的啊
来了
?
雪研姐姐？？
如果长得好看点，还真有反应
好好说话
于子朗，没想到你居然抛弃晶晶来这儿修仙！！！
是穿越过去再穿越回来
？？？？？
哈哈哈哈哈
太尬了太尬了哈哈哈哈哈哈
原著？？？
？？？？
这个越看越好看
耐看
那应该是化妆师的问题
小说节操掉的不能直视……
广电不让穿越
王璐璐出场
比女主还好看呢啊
拜一拜
这是原著和动漫剧情
？？？？？
承包空屏
不说出来憋死我了
不好看
AAA
前面的，是郭晋安啊！！！
小琉璃不是六长老的弟子吗？
？？？？？？？？？？？
？？
真的好看，我喜欢
原著就这样
杨贵妃，是你
原作就是这样的，很还原了
女主怎么有点像个男的
？？？？？？？？？？？
¿
哈哈哈哈哈哈哈哈
？？？
从现在开始你就是东尼KO
2333
好像林更新啊
杨贵妃白月光，沙雕就沙雕吧还是喜欢
跑环？
skr
？
笑死我了
傲观海很贴合动漫形象啊
表白师父
果然是沙雕神片
这是五阿哥？
原著还真就是这样
升仙大会还是比较符合原著的
这个剧真的好看
越看越入迷
哈哈哈哈哈
挺好看的书
哈哈哈哈哈哈哈哈
。。
哪请的女主啊
。。。。。
原著是穿越小说，漫画，动画
？？？
这一段我笑抽了
原著比这个污的多
哈哈哈哈
哈哈哈
skr
哈哈哈我本以为这个会改，结果真的玩奥观海的梗
额⊙∀⊙！
原动漫就是这样吧
妖猫传的贵妃，你敢信？？
真就没素材了呗，烂片
？？？？
这个剧好看
skrskr
朱元冰
考研党，拜一拜
好肝呀
这个词儿
WTF
？？？
郭晋安
看不下去了
看剧可以知道是穿越的，一出生能就说明了
哈哈哈哈
19分钟，哈哈哈
动漫看过
郭晋安！
？？？
劝弹幕善良
开口跪
5566
哈哈哈哈
笑死
是你吗党妹
哈哈哈哈哈哈
真的好看
强行拖更悬疑社
innersfree
是你 成是非
富察·傅恒
老大爷
这是妖猫传的杨贵妃
热乎的
王五
厚颜无耻之人
1
这样演不尬吗
厚颜无耻之人
原作前期很棒 后期剧情感觉有点崩
卧槽，我的灵剑山漫改剧了？？完了完了，被毁了
奥观海233
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
一刀999，刀刀爆到绿
王露露！！
有点儿像男的
买。。。眼药水吧
2333
恰饭
老板娘号称漩涡当麻
牛顿来复仇了
???????????
竟然有点好看
woc，真的是伊博
不好意思这个颜值……
猝不及防
拜一拜
伊博呀，他真的会说东北话
好可爱突然
bba
端脑啥时候更啊？
真的好好看的
。。。。
小说就是这么沙雕
她有白眼
和原著很符合
中法混血....
这是个男的吧？
小海小海小海
?
厚颜无耻之人！
智教会更沙雕
what？
龙舌兰姑娘？？？
这个真的超级上头，越看越好看
哈哈哈哈哈哈
吹爆张榕容
里面台词和谐了好多
符合原著，很搞笑，张榕容演技不错
？？？？？？
母猪羞愧的低下了头
像个男的
东北味哈哈
???写轮眼木叶村
阿巴阿巴？
鼻子好大
有点像完美世界里面的
里面配乐端脑
张三李四____赵六？
她真的是锦绣的演员
新鲜出炉
好湿
她真的是锦绣的演员哈哈哈哈哈哈哈哈哈哈
真的改毁了
仰望星空
23333
挺还原了
少年江湖物语里面的弟弟嘛
原著就是这么写的啊
我知道你，东北小伙
66666666
爆米花biss
原著就是黑人
跟我拿外卖乱取的名字一模一样
@手工耿
越看越喜欢师父，没有师父都是跳着看的
哈哈哈哈哈哈哈哈哈哈
张榕容也太好看了叭！！！我爱了
从前有座灵剑山还是动漫好看
爬爬爬
郭晋安啊
跳票
说实话原著的内容改成动漫真的不错
好湿
wdnmd，真就弹力最大限度加上加速度被
skrskr
小王舞
星辰女王王璐璐
拜一拜
成是非是你
这个原书就是这样
杨玉环
这不是我的情敌，魏璎珞的意中人傅恒吗
现在电视剧不能说穿越
小海
。。。
哈哈哈哈
厚颜无耻之人
拜一拜2333
刺激
拜一拜！！
漫画里真的是黑人
啊啊啊啊啊
空灵根是万中无一的最强体质但是很难修炼
来了
来了来了
原著本身这样设定的，这个没错
考研上岸
口型对不上。。。。
周姐带明星啊
好剧拍烂了才能叫毁吧 灵剑山有什么好毁的
周淑怡超话来的，谁叫片片
动画同不错
我勒个去
我追了二十几集
？？？？？？
说像男的是眼光多高啊
动漫党不是很能接受这个王舞
周姐:我TM怎么到哪都躺枪
?咋根本不像啊
不行不行，，，，，后面真的真香
这个真的好看
？？？？
真的推荐看下去，尬笑尬笑的哈哈哈哈哈哈哈哈哈
不行了，我坚持不住，太尬了
伊博
片片头上那串数字是什么啊
这兄弟学霸
不行的，好像穿越剧不给上
孔连顺 还是唐马儒 好像
哈哈哈哈哈哈
居然挺好看？？？
喷出来了
有内味儿了
国外的。。。。。
好嫌弃
长的还可以啊挺好的呀
王舞?
郭晋安？？？
拷贝忍者西卡
物理课？
这把剑的名字在作者上一本书里面还是女主角
拜一拜！！！！
这把剑的名字在作者上一本书里面还是女主角呢
有点像华妃
昨天刚追
拜一拜
这个动漫搞笑的
和原作是一摸一样的
？？？？
我也看过动画版，确实是这个剧情，但是后面创立教派开始就变得越来越莫名其妙，所以我弃番了
wdnmd
灵剑山嗷嗷嗷
???
这个剧有毒 根本停不下来
小说就有
漫改电视
好湿好湿！
我的海受怎么这幅德行，而且老大爷是灵溪镇的人物啊
在哪看？
拜一拜
拜一拜
郎朗
这个黑人真的会说东北话，跑男里说过
郭晋安
因为现在不让拍穿越啊，但是看剧能看出来是穿越的
动画里也这样哈哈哈
表情好奇怪啊，嘴型也对不上
我拜了！！！！
好壮
D区
拜一拜
星辰仙女王璐璐！！！！！！！！！！！
啊，我寻思着前面都是夸这部剧的优点啊？
男主颜值这么高
解说我都看不下去了  告辞
up主只不过是调侃一下而已，别被有心人带节奏
动漫好看真人不好看
好看好看
男主比女主还好看吧
一博？
？？？233
妖猫传的阴影挥之不去
？？233
难看
我不知道他瞎没，反正我瞎了
拜一拜!谢谢！
漫画后期已经没什么好看了，越讲越复杂 其实越看越无聊。自己都不知道自己讲什么
恰饭（滑稽
没毛病 小说就这样写的哈哈哈
有一说一，这部剧男女主演员跟动画的人设不是很搭。。。
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈
新鲜
Hape
知道是穿越者也是后来的事儿了
我觉得这个还行吧。。。
成是非？
原著就是这样啊
嘴都对不上
？？？？？？？？？？
。
真的好丑
哈哈哈哈奥观海
欧阳商
还原哈哈哈哈哈
233333
啊，郭晋安啊
为什么不买途棺L？
啥东西啊
h哈哈哈哈感觉好好看啊
真的还挺好看的样子
拜一拜！
片片好好看原著，王陆不是穿越者，是人造人
欧阳商
对不起，前面已经很尊重原著了，后面才改的一塌糊涂
拜一拜！！！
Skr skr
easy啊
量子玄学
郭晋安！！
设定男主应该才十二岁，这……
拜一拜
这个村里满眼都是蓝感叹号吧！！！
黄字我笑尿了
郭晓婷?
郭晓婷真好康
二五仔王忠
???
错  是大师兄穿越到地球 又从地球穿越回来
居然想看了
说实话小说和动漫都不错的
我就是看到这果断看不下去了有许凯也不行
真人版好奇怪啊 尬到我了
？？？？？？？？
刚看完
我居然想看看这片子了
原著就是这个设定
好尬
猝不及防
拜一拜
“老，老前辈，这里到底是什么地方？”    那人正待起身离开，听到这个问题，驻足答道：“现在是什么地方，我已经说不清楚了，但是从前……这里有座灵剑山。”
穿越沙雕剧
娘娘
动漫好看
“老，老前辈，这里到底是什么地方？”    那人正待起身离开，听到这个问题，驻足答道：“现在是什么地方，我已经说不清楚了，但是从前……这里有座灵剑山。”
哈哈哈哈哈哈哈
真的尬。
拜一拜
有点像雪妍
游戏已经开发好就等上线了吧
郭晋安老了也要被爆口碑了！
星辰仙女王璐璐！！！
跟动漫挺像的其实
？？？？？？？？？？？？
没漫画那么
真难看
看过好好笑
拜！
还是杨贵妃这个造型好看
尼哥爬
太丑了
拜一拜
我想起万古仙穹，popo
穿越题材广电现在好像过不了审了吧
保佑保佑!
老婆叫鸟唱
这就是个沙雕小说
我就知道是你
他老婆叫鸟唱
怎么变丑了？？？
等级是不是弄少了?化神之上还有合体，大乘吧。
?什么演技
？？？？？
i灵剑山来啦！！
贵妃？
小说里就是黑人啊
原著是这么写的
啊啊啊  上头
没毛病啊，小说就是这样的
成是非哈哈哈哈
口型就是对不上，你说神奇不神奇
他说小琉璃我特么笑死了
拜一拜，我要3.5
我也好久不看国残剧
这个不是对嘴型，这货东北话贼6
拜一拜
没看过原著吗？
哈哈哈哈
拜一拜
这啥子玩意啊
他不是穿越现代又穿越回来的么
哈哈哈
我天哈哈哈哈哈哈哈哈哈哈哈
？？？？？？？
劫我劫我！
来了
前两集都是喷女主的，后面，哎呀妈呀真香!给女主加戏!
保佑期末不挂科
现在没女主我反而看不下去了，有毒啊
