投币了
牛啊！
哈哈哈
卧槽，厉害啊
不错
brave heart
投币观看
他好像想教会我
先投币点赞再看，养成良好看视频习惯！
好家伙这勒肉，哇哦(・◇・)
nb
哈哈
太牛逼了
这做的也太好了
天女兽可是童年梦想
来了来了，良心up主
试图教我们？
牛批啊
姐姐太难了
这实打实的勒肉感
动态感好强！
迪路兽进化~~~~~老婆兽~~~~~
细节啊，牛逼
太天真了
啊啊啊啊啊
太牛了吧
好可爱的小女孩
线条感好棒啊
小姑娘好漂亮呀
这个细节值两个币
甚至有勒肉的感觉，绝了
真勒进肉里了
好帅
好美啊
爷青回
勒肉好评！
我应该给你投20个币！太赞了
DNA动了
大家学会了吗
帅！！！
肚子疼
小时候的女神
质感很强啊
造型太牛了
勒肉好评！！
先投币了
 笑死，竟然企图教会我（
黑色更带感
太完美了
两个币？我TM直接三连!!!
有剧情了
好，到此为止，上色吧，要什么衣服
哇酷
这个可以不要
太细节了
太强了
这里有点像那个堕落天使兽
剑魔建工吗（doge
剑魔监工吗（doge
啊啊啊啊啊啊啊啊
太难了
小演员真可爱
太不容易了
越来越好看了
DNA动了
哈哈哈
wow!!!!!!
开幕就值得一键三连了
细节
太细了
这是鸟的家吗2333
这人体真的太强了
手放哪里呢
爷青回
好家伙，这两颗小皮球
太强了
细节
被迫营业
脑门子钉钉，嗡嗡响
用这么粗糙的材质做这么精致的雕塑。太牛逼了
真漂亮
像啊，太强了
进化
太细节了
大家能学会才怪嘞
修脚师傅
太腻害了
卧槽
《胎毛》
好复杂。。。厉害
金色传说
有场景了
嗷嗷嗷嗷嗷嗷好好看
太像了
像！！
脸是不是钉了个模特头上去？
我直接点赞投币
好好看真的太好看了
这个角度好美
三连，必须三连
他试图教会我们
哈哈哈哈
这么大一个手办，得好几百吧
爷青回
有几个音错了，不过无伤大雅
像
工具人亲姐姐上线
邓紫棋同款皮裤
牛逼了
哈哈哈哈哈哈哈
直接做成妖女兽，连颜色都省了
你在试图教会我？？？
牛批
气枪大佬？
毒液
酷
你老婆还比了个心233
兄弟，电焊还是带防护罩比较好吧，你这直接面对，眼睛不要啦？
哈哈哈
我都记不清了
我已经好了
很合礼法
握草
卧槽
犯规啊！
我的胸有点疼
好漂亮！
太懂了，勒肉yyds
我要兽人加鲁鲁
我曹
妖女兽
学会了，但没工具没轮胎怎么办？
堕天使
前面的 这是变奏 谁告诉你音错了
永远的女神
先搭骨架
逐渐丰满
逐渐立体
好漂亮
哇这视角！
细节100分
天女
光明跟勇气 真像 骨科
不，这是轮胎
这BGM，dna动了
降调，不是错了
想不到轮胎也能变成女神！
胎毛还行
绝了
感觉胸口有点疼
的亏是轮胎，软的
卧槽
迪路兽超进化那不是神圣天女兽吗？
我不记得啥内容，但这音乐我莫名兴奋
这么大一个啊
动态感真的强
老二次元了
一条友善的弹幕
启蒙兽
脸做的牛逼
卧槽
直接三联
等身手办
真.手搓大神
说实话，B站多点这种的我狂赞。
这不冲爆
太像了
