第九
这就77个弹幕啦？
口罩好评
有生之年
口罩好评
前面这个好像我开哥
猛男登场
55开瞩目
600
口罩好评
还是熟悉的面孔，
律动还挺好看的
黄磊老师呢
太强了
来了
卡哇伊内
心动
第一个看完
爱了爱了
在你胸口比个郭富城
见封进
不，你不是
再来一遍
我爱黄磊
有点东西的啊
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
下学期 文艺汇演 舞蹈素材有了
口罩好评
运镜很棒
卢本伟我看到你了
搓火球
看完好开心啊
我泪目……2020大家加油
爱了
走位好评
我没法弹幕而已
666666
猛男和面
沙发
可可爱爱
霸  屏
啦    啦    舞(篮球场)
疯狂踩点
"wow,这才是舞蹈"
空屏辣。。。。
可爱
绝活
好活！
真的np
这镜头好舒服
\^O^/
心动
你币有了
这就是猛男吗
来了来了
哇⊙∀⊙！
真的好可爱
感觉这一段明暗差太大了有点晃眼（真心）
这个动作学不会。。
黄磊老师笑的可可爱爱
OHHHHHHHHHHHHHHH
秒啊
i了i了
ohhhhhhhhhhh
10086
热乎的
怪可爱的
拍摄是个小姐姐
心动
有内味了
从白天跳到天黑
爱了爱了
哈哈哈
6666666
nice!
我又快乐了
谢谢你们
时长好评
i了i了真棒
口罩好评
oh
好整齐好认真
看上去真的很开心超享受的
太到位了
觉得心动的兄弟们把心动打在公屏上
太棒了
镜头好棒
仙人搓背
鬼看条
太棒了
是我
在线拉面
看着就好开心啊
我爱你(ღ♡‿♡ღ)
这舞蹈吊打国内女团吧
爱了爱了！！！
真的可爱啊哈哈
！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
来了来了
卢本伟吐舌
谢谢你们！！
真男人就得是粉色
都好厉害啊！！！
带制作
这个镜头爱了爱了
运镜牛逼
ohhhhhh
黄磊solo
心动心动心动心动心动心动心动心动心动心动心动心动心动心动心动
卧槽好厉害啊
跳的真的挺好的
心动
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
我爱了
心动了
那位小姐姐呢
棒棒棒棒
整齐
猛男舞团从来没让我失望过
心动心动
太秀了
反 复 横 跳
C位呢？
前方高能
Meazon我可以！！！！
真正的舞蹈区
没想到猛男都有被猛男融化的一天我的小心脏
爷爱了
i了i了
笑容好棒
粉色i了i了
什么叫猛男啊（后仰）
心动
完了好帅的感觉！
铁门坎儿
我变粉了
棒！
好甜美
nbnb
真的好欢乐太可爱了！
ohhhhhhhhhhh
心动 心动 心动 心动 心动 心动 心动 心动 心动 心动 心动 心动 心动 心动 心动 心动
爱了爱了爱了
我去第一次这么早！！
爱了爱了yeah
不知第几次做好 失恋的准备
环顾周围有那么一大堆
bgm：恋爱幸运曲奇
绝活
心动了！！
搓 仙 球
各显神通
心动
也太棒了
好棒好棒
心动
哭了
逐渐开心起来
芳心的Fortune Cookie（幸运曲奇）
心动
Hey! Hey! Hey! Hey! Hey! Hey!
i了
出道出道！
爷i了i了
出   门   带   口   罩
大家一起跳舞多好呀
心动
心动
❤️了❤️了
绝活
有种想追星的冲动
miao啊
哈哈哈哈哈可爱！
心动了
黄磊好评！
ohhhhhhhhhh h
心动
大力式
可可爱爱
爱了爱了
爱了
可爱！
跳的好好！
但是却对自己没有信心
Yeah! Yeah! Yeah!
喜欢性格好的女孩子
到头来还不是外貌更占优势
八仙过海
好看！i了
爱了爱了
太萌了吧
合照
体前变向
他们都好开心啊
I了i了
泪的幸运曲奇
再来亿遍！
泪目
爱了爱了
soooooocute
心动
反正明天又会是崭新的一天
神他么仙人搓背
想到污妖王唱的哈哈哈哈
暂停记名字
ohhhhhhhhhhh
爱了爱了
蚊子好多
❤❤❤❤❤
九门提督
这口罩 ，爱了爱了
ohhhhhhhh
摄像厉害啊
看的好舒服
好棒啊
心动
黄磊呢？
i了
❤️❤️❤️❤️❤️❤️❤️
爱了
爱了
啊
心动了
爱了爱了
辛苦了！！
心动
666
心动！！！！！！
画质逐渐宝岛化
黄 秋 生
前排PDD稳定输出！！！
6666666666
