为了祖国
军令如山没听过？
抗战牺牲的最高将领
和尚一喊出来瞬间泪崩
这个演技 我真的哭爆
看哭了
都很年轻
不能忘，不敢忘
这期视频 是说所有英雄 而不是单单哪个党派
还有云南啊
正面战场国军打的够惨烈的了，淞沪会战损失25万人，打了3个月，武汉会战打了4个半月
我只想说，这些讲国军抗日的片段，都是大陆拍的。
捍卫者，捍卫者
建党伟业
李云龙
自忠将军！
卢德铭将军 死时刚刚二十出头 家中未婚妻还在等他
张治中将军
姚子青
求BGM！
开国大典吧
骑兵连，进攻
溥仪不算吧？
今天我张自忠不走了！
如果有奇迹的颜色，那么我想她一定是中国红！
真的是看哭了
？？？
中国必胜
迅姐！！！！
闻一多先生的最后一次演讲
勿忘国耻
敬礼！
嗑瓜子的，你就不能让我震撼一会儿吗
若有战 召必回！
敬礼
啊啊
和尚没了
多少人流血牺牲啊
中国必胜
中国必胜！
这才是抗日，比那些雷剧强天上去了
中国必胜
中国必胜
意大利炮
敬礼
张自忠
忍不住了
敬礼
必胜
中国必胜
谷子地
做个人？
918之际，向中国军魂致敬
勿忘国耻爱我中华！
此生无悔入华夏，来世还在种花家！
敬礼
若祖国需要，此身必献于祖国。
今天我张自忠，不走了
我的徽州
哭了
中国万岁
中国必胜！
蔡晴川
中国必胜
中华人民共和国万岁！
已许国再难许卿
ku亮剑！！！
壮哉，上将军！
我的江西
姚子青，一个营。在国土的门前撑了七天
中华人民共和国万岁
敬礼
我们吉林
英雄不死！
恭喜首页
中国必胜
和尚死的憋屈啊!!
永远不要忘记我们曾经的屈辱
敬礼
大丈夫生于乱世，当带三尺之剑，立不世之功
欧豪演的这个叶挺真的有股只属于军人的流氓气质
川人从未负国
就是扮相太干净了，有点出戏
壮哉，上将军！
卢德铭将军
敬礼！
敬礼
中国必胜
敬礼！
中国必胜
中国必胜
闻一多先生啊，瞬间爆哭
勿忘国耻，致敬先烈
敬礼！
(ಥ_ಥ)
以先辈无量之头颅，无量之鲜血
中国必胜！
敬礼！
末代皇帝？
中国必胜
祖国必胜
这里班主任给我放过！
敬礼
张治中？
中国必胜！
敬礼
中国必胜
中国必胜，中国必胜，中国必胜，中国必胜！
整部戏就被那耍酷的毁了
枯了枯了
中国加油
敬礼
中国必胜
敬礼
致敬
同志们今年是中华人民共和国成立70周年纪念日
致敬  缅怀
团长！
没我团啊...
敬礼
中国必胜
中国必胜！
中国必胜
必胜！！！
中国必胜
致敬！
徳盔师
中国必胜
天津的张自忠路
中国必胜
如果奇迹有颜色，那么一定是中国红
中国必胜
中国必胜！
兄弟呀
