前排打卡
燃起来了，giao
大家早上好
是游戏的实机画面吗
芜湖～
加油！！！
好！
新鲜！
第前几名
ohhhhhhhhhhhhhhhh
55555
有点爽哈哈
牛魔王?
精彩得让我忘了发弹幕
牛逼牛逼牛逼牛逼
来了
猴子脸感觉有点变了？
期待！
握草
《比个心》
这是平天大圣牛魔王嘛
大圣别刮了
好耶！！！
招聘啦～
这里放分身之前猴子方向转个不停   盲猜一个搓招系统
燃起来了！
ohhhh
nb
芜湖
不知道几年以后2060还带的动吗
牛逼！
爽！！！！
E宝和英伟达上镜了
帅啊
热乎
QTE他来了？
立马分享
好家伙！你醒啦？
新年快乐
前排，
热乎的
发个弹幕压压惊
老牛
卧槽
亏我通宵没睡觉，我太机智了
光追
寂寞
反手持刀利威尔
这是何方妖孽
NB
我是食人魔魔法师
牛
太厉害了
虎力大仙，玉兔精，小白龙做好准备
666
加油
打 他 蛋
二阶段？
芜湖
加油
加油
卧槽
草，越来越玄乎了，我都慌了
有光追！！！
这是硬直打没还是处决动画 好帅
卧槽
卧槽
卧槽
3090都要卡得飞起
再来亿遍
人是不是少了点？
团长，钱包已经准备好了
太原火焰刀
热乎的
场景好帅啊啊啊啊啊
来来
woc
卧槽~~~~~~~~
来了来了
太原火焰刀
卧槽卧槽
又来了，看视频看出打击感
这一段是处决吧
多多多多多多出一点哇
卧槽
定!
爷关更
烈火拔刀！
芜湖
好耶！
牛魔王这个配音。。能不能牛一点
帅呆了
我们还行吧？那当然！
eipc！好耶
芜~
希望优化能整起来0.0
加油加油
我们还行吧？那当然
新年快乐！！！！
还是热乎的！！！
加油
瞧这光影，牛逼
新年快乐
诶，打腿没死
才11分钟就离谱
你们这么玩让同行的脸往哪里摆
qte！！！
Epic提供虚幻引擎
爷关更
反串黑别太过分，都是好友，别在这挑事
掉帧了hhh
光看你能看出个jr打击感
比心心(≧∇≦)/
加油啊 其实当时玩斗战神就感觉很有意思 可惜那时候还小 玩不明白 现在大了有机会支持你们了 只要质量在线 必买
只要你出，我就怂恿我们班的男生一起买
加油啊！！！！
虚幻5
悟空好帅
好家伙，游戏科学牛逼
望各位不忘初衷各显神通，做出我们自己的最棒的3A大作。
RTX ON
卧槽
应该是个狮子
冲冲冲
epic瞩目
卧槽，这个效果要多少的显卡你说吧
斗战神永远的神!
哪是松鼠吗？
←因为这是虚幻引擎，epic自家的
亚克西法印，绕后，重击！
坏了，怎么这么卡啊，不过也是个好事，说明是实操
这镜头有战神的感觉
还有局部抖动反馈，牛逼！！
妈耶
虚幻5吗
十六分钟五万
双头鼠，后面得跟牛魔王
和同学分享你的思维 快点
不过确实掉帧
好耶
6++10202.23
牛魔王这这么大一个吗  卧槽
全给我三连，快，不然来不及了
慢慢做，不着急，我等你
牛年大吉
牛逼！！！！！！！！！！！！！
用的epic引擎
热着呢
合着又是个招聘广告……
老牛
其实希望难度能够调高，比如说类似只狼的难度。
我要哭了
冲冲冲加油
全体起立！！！！
停下来还滑了一下，细节！
谢谢祝福！
加油
牛年大吉
兄弟们，带好钱包冲啊
把我看傻了
这真是牛妈妈给牛开门，牛到家了，
woc……woc！！！！！！！！
卧槽，刚开始我还以为看错了。。。
部位破坏？！
Chinese New Year！
我感觉要换显卡了
全程掉帧！
牛牛牛
二阶段
不要QTE！！！
芜湖
这是什么啊 啊啊 啊
这nm是实机？？
博人传 ：怎么你们都壁我
牛年牛牛牛！
666
不是虚幻5，是虚幻4
老牛！
双头鼠人
腾讯？
新年快乐！
把我的钱拿走啊浑蛋！
yes yes!
过年了！
卧槽
冲冲冲
那是松鼠吗
咚！
这是古代的路由器么
来了来了
牛大哥！
辛苦了
背景音乐太舒服了
前方核能
牛年大吉
看得我这个鸡皮疙瘩啊。。。
不错
五六七发来贺电
好耶
好耶
1060，收手吧，外面全是黑神话悟空
芜湖
Q弹
新年快乐！
爷爷，你关注的up更新了
战歌起
雷电奉还
出必买！
丢帧吗
我的世界僵尸敲木门的声音（幻听）
全体起立！！！
你们住在b站吗
支持一下
鼠死牛战
这啥效果火还会发光
加油呀
新年快乐新年快乐新年快乐
求大佬来分析一波~~
ohhhhhhhhhhhhhhhhhh
好耶
够味
瑞思拜
什么都不及这一句开发进度正常
不是掉帧，是24帧电影式剪辑
前方宫吧老哥
我感觉这游戏应该挺难玩的，要操作。。。
冒泡
牛逼
