第第一
爷青回
芜湖~
瓶宝更了！
我第一
？
分流大师
看到我你就不是第一了
；来了
？
这
Journey through the decade
本视频大制作
爷青结？
为巨人献出心脏！
实至名归
袜！！！热乎！
不专心领奖 还发视频？
热乎
被虐到了
小圆牌面！！！
一分钟，热乎
来了
第一次这么前
不错不错
热乎
小圆！
求生欲极强
小圆赛高！！！！！！
开幕雷击
QB必须死
p5r的bgm
加上剧场版吧
发评论就转发了 什么情况
芜湖
直接吹爆
看到弹幕你就不是第一了
冲
更了
bgm落泪
好家伙
第一第一第一
11年果然是魔圆
等巨人
好靠前
好耶
我是第二！
哦吼，前排
来了瓶宝
质量很高但没有补
老虚流弊
大家都在看百大，就你在这偷偷发视频
烫嘴
小圆啊啊啊啊啊啊啊啊啊
热乎的
懂了引战钓鱼视频
为一的缺点：虐妹，呜呜呜呜呜
来了吗
巨人，永远的神！！
看到我你就不是第二了
热乎的
全体起立。
巨人yysd
RIP
小圆 好耶
确实
献出心脏
冰菓可太好看了
默哀
盲猜有物语系列
四谎！！！！
好耶
四分钟，烫手
bishi
确实
好耶
确实是目前看过的季饭最强的
冰菓牛逼，非常精致
我爱了你整整十年 却用一整个四月 编造了一个我不爱你的谎言
可惜还没有第二季
你币有了
冰菓真的是艺术！！！！
混酒喝
冰果？？
泪目
冰菓
全体起立
冰菓天下第一！
水果
RIP
阿部望yyds
高达啊！别凉了啊，机战要再创辉煌啊
clannad西八
冰果一生推
14年的话我个人比较喜欢游戏人生
10年了，好快，感觉小圆还刚出
一直看一直哭，四谎值得
吹爆四慌
冰菓！
老虚功不可没
不敢再看第三遍，因为前两遍我都哭傻了
冰菓冲啊！
好耶！
只有莱纳受伤的世界完成了
毋庸置疑的神作
全体起立
比如站长头像
巨人好耶！
"冰菓,yyds"
为兵长献出心脏
永垂不朽
前方高能
能get到就停不下来
全体起立，献出心脏
创哥yyds 巨人是动画历史上的反战珍品
六分钟
yysy，推理没有命案就很无聊
最后一集太美了
7分钟
千古名句
冰菓必须有排面！
感谢诸位制作者
7分钟
献出心脏
开 幕 雷 击
吹爆！！！
确实
圆神！！
别刀了别刀了
热乎
太早了，还没有弹幕
千反田赛高！
龙骑外传（
不是改变了“魔法少女“”的含义
19:43承包空屏
四月是你的谎言我吹爆！
没有弹幕？
就是对女主的评价褒贬不一
武本康弘呜呜呜呜
已经入春了
我很好奇！
当时看完结局哭得眼睛疼了好几天T_T
你想成为马猴烧酒吗
别刀了别刀了，孩子都傻了
巨人牛逼！
四月没有弹幕的吗
很难想象这画面是2012年的
马猴烧酒是高危职业
好耶
兵长我爱你，求别死
冰菓！！冰菓！
而且音乐实在是太加分了
但结合的不好也会产生四不像..有风险的
好耶
冰菓！！！
巨人nb！
监督去世了哎
全体起立
爷的青春
p5的bgm
上低音号也配的
泪目
。一定有进击的巨人
京都东画最喜欢冰菓和紫罗兰了
太喜欢冰菓了
京阿尼的日常是真的棒
第一次看到以为男主叫公主，眼瞎了
你不是去年就有这个企划了吗
从说11年时我就猜见必有小圆
没错，吹爆四谎！！！
我爱你十年却用整个4月编造了一个不爱你的谎言
我爱你十年却用整个4月编造了一个不爱你的谎言
眼泪抑制不住的崩出
我爱你十年却用整个4月编造了一个不爱你的谎言
大佬云集
四谎不敢再看，看就哭
武本康弘老师呜呜
再次起立
四月是你的谎言
日常推理才是老推理的信条！期待小市民动画
京阿尼的日常可太狠了
BGM犯规了呀
吹爆
世界欠熏一个奇迹
春天要来啦
我爱你十年却用整个四月编造了一个不爱你的谎言
好
好嘞
我爱你十年却用整个四月编造了一个不爱你的谎言
国家队牛逼！
