我是第一个
三周年快乐！！！
来了！
三周年生日快乐！
三周年快乐！
刚结束我就过来了
留下弹幕
哈哈，来了来了，再看一遍
生日快乐！！
舟舟三岁快乐
三周年快乐！
二刷來了
我永远喜欢明日方舟
我们不能失去damedane!就像刀客塔不能失去热水壶!
三周年快乐！！！
好耶
再来一遍！
好快~
急死了
深爱泰拉深爱泰拉深爱泰拉深爱泰拉深爱泰拉深爱泰拉深爱泰拉
榜一大哥我要玩这个
来了来了
三周年快乐
三周年快乐
三周年快乐
三周年快乐！
三周年快乐呀！
猝不及防
见证历史。
哦哦哦
开挂是吧
？
三周年快乐！！！！！
直播时没发现，右侧数字是时间！
好轴
三周年快乐！
再看一遍
这个连接方式
光速赶来
出了个小bug吗，右边的时间一直没有变化
分数细节
好有意思这个
彩虹小队！突破！
方舟3岁快乐
三周年快乐
？？？酱紫这么转
明日方舟三周年快乐！
是ACE大哥和霜星（呜呜呜呜呜呜呜）
阿阿阿啊啊霜星阿阿阿啊啊
草霜星和ACE
好耶
明年4月1？
霜星和sharp啊......
ACE大哥！
3周年快乐
一眼认出斑点
明日方舟三周年快乐！
好耶
九分钟
什么操作
霜星！！！！！！！！
Ace大哥！！！！！
这个操作可以做到但是容易翻车
爽
第一组：二星队（除12F）
？？？
懂了 明年愚人节小游戏
BGM是东方project的主界面曲！
第二组：12F，暴行，爷，兔兔
锁屏可打（bushi）
42奶奶爆诞!
霜星！！！
？？？
Z   U   N   乐
越共探头
第三组：Castle-3，Lancet-2
右边是分数，而且应该是方舟一系列大事件的日期，比如现在20200501是一周年
?
舒服
旁边分数是方舟的开服时间耶
三周年快乐！！！
二创和舟都辛苦了！
？？？
这开场但凡是动物世界版本，你再多说一句话就不能播了
A1中的四人：米格鲁，克洛丝，芬，翎羽
榜一大哥我要玩这个
目前都是开服干员耶
乌萨斯方块
三周年快乐
开了就是挂（陈述句）
来学习俄罗斯方块思路了。
是干员实装日期
这些都是开服干员
史都（切尔），下排安德（华德），炎熔，芙蓉
这节目真不错
一周年到了
骑兵与猎人卡池
关了吧，没意思（）
梓兰，安塞尔，卡缇，玫兰莎
这些是干员出场顺序，好有心啊
鞘中赤红卡池
狮蝎，红豆，霜叶，蛇屠箱
一周年～
？？哈哈
西斯塔音乐节
見證歷史
二周年到了
我想玩这个！！！！！
左下角细节
香草，杰西卡，雷蛇，芙兰卡
A chit～方舟萌发～
红，清道夫，杜宾，艾丝黛尔（小鳄鱼，公招限定）
强迫症
手撕那么多石头人，怎么可能弱
2周年辣！～
泪目了
战地秘闻!
战地秘闻
（谢拉格）初雪，讯使，崖心，银灰
这是不是变反了
游戏名等长条
穿墙榴弹已就绪!
三周年快乐！
游戏名:等一根长条
战地秘闻
二星集群
喧闹法则
（企鹅物流）德克萨斯，空，可颂，能天使
洪炉示岁
还能这样？
欺负我没玩过是吧 还能这么转的？
42
我看到了2个阿米娅和霜星和ACE
又到了动物……的季节
二周年不是赤冬吗
都是回忆呀
好 评 如 潮
饽饽牲机碗乌景发的境界，犹在眼前
一眼就看到了奶奶
深海色，幽灵鲨，蓝毒，（下排那个没认出来
太棒了
因陀罗，推王？艾雅法拉，安洁莉娜
喧闹法则
三周年达成！
局部坏死
古米，凛冬，真理，慕斯
在这里可以看出二周年后到长夜临光前鹰角的产能真的低当时节奏也很大
第一届危机合约
天火，夜烟，远山，嘉维尔
？怎么转过去的？
好可爱！！，
愚人节
乌萨斯方块
砾，白金，守林人，流星
快出！
泪目
生于黑夜
越共探头
zun乐！越共探头！
有挂
越共探头！
火神，华法琳，末药，调香师
右边分数是时间吗哈哈
苦难摇篮
地生五吽
好有意思
太上心了这制作
乌萨斯的孩子们
陨星，拉普兰德，普罗旺斯，地灵
午间逸话
好有创意，好可爱！！
沃伦姆德的薄暮
泪目
以后周年庆保留节目?
？
黑曜石音乐节复刻
这也能刀
密林悍将
越共探头
?
生于黑夜
一周年
踏寻往昔之风
玛丽亚·临光
搭炮台啊，你在干什么啊！
怒号光明
孤岛风云
灯火序曲
画中人
炎客！
源石尘行动&遗尘漫步
经典60
连这刀了爷两次宁可真行啊jiao
月见夜，空爆，缠丸，食铁兽
可以这么转
覆潮之下
（以上为2019年开服干员）
灯火序曲&连锁竞赛
乌萨斯的孩子
多索雷斯假日
？？
开了就是挂？
三周年快乐！！！
2019年5月-斯卡蒂，格拉尼，夜魔，猎蜂
风暴瞭望
红松林
灯火序曲
好评如潮！
长夜临光
2019年5月底-主线第5章-格雷伊，陈，诗怀雅，斑点
是z旋
风雪过境
三周年快乐！
将进酒&九色鹿
梅尔
她没踹死我她心里有我
火蓝之心-锡兰，苏苏洛，黑，格劳克斯
阴云火花
三周年快乐
坚雷，赫拉格，星极，桃金娘
我要玩这个！！！！！！！！！
吾道先路&霜星&ACE
送葬人，麦哲伦，炎客，红云
破碎日冕
好像确实是有这个操作的
伊桑，梅，拜松，微风
是梅尔吧
槐琥，莫斯提马，布洛卡，苇草
将进酒，杯莫停
灰喉，雪雉，安比尔，煌
年，吽，阿，惊蛰
呜呜 就是说 这个能做成小游戏出个链接下载吗（搓手）
缠丸老婆！！！！
三周年快乐
柏喙，刻俄柏，清流，宴
好喜欢太可爱了
阴云火花
慑砂，断罪者，刻刀，风笛
为什么不放最右边*生气
汀宝！
三周年快乐！
W，温蒂，极境，石棉
越共探头
好耶
一周年干员到此结束（石棉是一周年活动后的危机合约卡池干员）
好可爱
波登可，月禾，莱恩哈特，苦艾
东方
断崖，早露，卡达，亚叶
明日方舟三周年生日快乐！！！
这节目真的用心了
铃兰，稀音，蜜蜡，贾维
？
孑，安哲拉，棘刺，酸糖
三周年快乐
燧石，特米米，森蚺，芳汀
四月，薄绿，史尔特尔，泡泡
杰克，鞭刃，瑕光，奥斯塔
1.5周年/第八章/近卫阿米娅，絮雨，迷迭香，泥岩
Arknights！
孤岛风云/罗宾，松果，卡夫卡，山
蒂生五境（bushi）
爱丽丝，空弦，图耶，豆苗
你最好出！！不要让我跪下来求你
强迫症犯了
太可爱了啊啊啊啊
画中人/夕，嵯峨，炎狱炎熔，乌有
赤冬，熔泉，异客，暴雨（跳过了R6联动干员？）
（）草，打完上条就看到了
这是此地之外哦↑
谢谢你们，彩虹小队
接下来是二周年（包括刚才过去的赤冬）
深靛，哥蕾蒂娅，浊心斯卡蒂，凯尔希
三周年快乐！
设计好棒啊！！
贝娜，绮良，卡涅利安，帕拉斯
来个t旋啊
多索雷斯假日/水月，羽毛笔，龙舌兰，假日威龙陈
灰毫，罗比菈塔，桑葚，琴柳
牛蛙牛蛙hhh
（这也行？）
龙门：白雪 暗锁 阿消 星熊
蜜莓，远牙（远牙和灰毫不太好分辨），布丁，正义骑士号（狙击小车）
角，我要玩这个！
长夜临光/野鬃，焰尾（半周年难忘的松鼠窝），耀骑士临光，蚀清（小水龙）
暮落，极光，灵知，耶拉
？？？？？？？？
大哥！
九色鹿签到+将进酒/夜半，九色鹿，寒芒克洛丝，老鲤
多索雷斯：假日威龙陈 水月 羽毛扫 龙舌兰 
风丸，夏栎（薮大友），令，澄闪
这个是凋叶棕的曲子
芜湖
见行者，菲亚梅塔，话说有两个一组的方块吗，我只记得有对角的那种
三周年快乐！
三周年快乐
霜星，ACE
这巧思太棒了
第十章/洛洛，号角，褐果，海蒂
那个我没认出来的，是从下数第三排右边第三位，应该是梅尔吧
谨此祝方舟三周年快乐
这个加载进度莫名真实
？
大哈鱼
三周年生日快乐!
东舟共荣
彩虹小队，我的超人（?）
三周年快乐！！！！
三周年快乐！！！
三周年生日快乐
长摁屏幕提高难度
好可爱啊
ace！霜星！
创作者们辛苦了，明日方舟三周年快乐
舒服了
他们都是我的天使!!!!!!!!!!!!!!
眉头紧锁
三周年啦
注意分数
慢慢多了新干员，得分也是时间线，很棒的设计
不推荐游玩
这些都是当年的干员们
干员出现时间和时间线好像有关系
这怎么还有自己跑进来的？
三周年生日快乐！
突然从异世界闯来的彩虹小队
？！？
完成
我吃两碗
突然出现了两个上了拉特兰的干员
我直接起立
哈哈哈哈哈哈
动物世界：春季，是（）的季节
？
越共探头！
好评率88%
好评如潮
bgm：insert coin
彩虹小队yyds
这确实是拿高分的玩法呀
一共233位
三周年快乐！！！
是落地干员吗
好像雀食每次都是4个新干员
鹰角快安排
字幕菌辛苦了
这个太棒了
？？？？
探头
确实可以这么操作，不信去玩一下俄罗斯方块环游记
三周年快乐
还能这样？？？？？
不要贴贴，会密接
？？？
ACE！！！！
好耶！
芜湖
食铁兽我老婆!
三周年快乐!
兔兔！可爱！
你最好赶紧出
哇是凋叶棕的投币！
FrostNova，霜星，我永远的老婆！！
水月宝贝~
勃勃生机，万物竞发
三周年快乐
破墙传统艺能
他选择了弹幕最多的打法
又到了罗德岛干员们（     ）的时候了
三周年快乐！
地生五吽
好评如潮
牛啊
没这种操作吧，但有个类似的。
凋叶粽啊
来个T旋啊
威力加强版
666
没有outcast呜呜
好评如潮
山老公！
这招是“左旋”（确信）
大电影是吧，嗝嗝嗝
明日方舟生日快乐！！
退坑狂潮
梅尔又没在莱茵生命里面（悲
少了夜刀
三周年快乐～
进度条是3690
二星队铁铁
阅兵HHHH
握草什么神仙这个也太细了吧 摩拜WWWWW
太细节了！！
太可爱了！！
泪目
红楼旋律出来了
冷知识：兔子不喜欢吃胡萝卜
一趟·123二天、】【破ID森岛帆高寒假快乐；、】【】
大晚上1000+
生日快乐
快来个t spin
三周年快乐！！！
超长加餐有点认不出来了
大家三周年快乐！
开了就是挂？
永夜抄bgm
三周年快乐
三周年快乐！
可惜错过了，真的很有意思
三周年快乐
三周年快乐
贪
我来看重播了
方舟开服是4.30，ios开了，其他才是5.1
三周年快乐！！
三周年快乐
三周年快乐！！！
三周年快乐
三周年快乐！！！！
三周年快乐
明日方舟三周年快乐！
三周年快乐！！！
幽灵鲨好可爱 
三周年快乐
三周年快乐
三周年快乐！！！
拉狗
三周年快乐
二周年！
哈哈哈哈哈哈哈哈哈好Q好可爱哦⊙∀⊙！
俄罗斯方块为什么没有T-Spin？！为什么？！！
好耶！Z-Spin！！！！
有挂
三周年快乐！
三周年快乐
那是梅尔
nb
感谢红色字幕君
这背景怎么是透明的啊
好家伙能天使的声音
合影！！！！
三周年快乐！
？？？？？？
三周年开乐
俄罗斯方块教学？我被启蒙了呜呜
