哪吒的配音真的太棒了！
敖丙的声音很好听！
太强了
哪咤
不不不不…不错！
爹!!
两分钟前！
这个NB啊哈哈哈
申…公公公公……豹
看起来我是你朋友
哈哈哈
啊啊啊敖丙好受
我去我去
哈哈哈哈
都很厉害呀！
绿老师，我要给你刷礼物，你能那啥不
太2真人
什么时候出小哪吒的小人儿手办!!!
哈哈哈哈哈哈哈哈哈哈哈靠
啊啊啊啊敖丙大美人啊啊啊
啊啊啊啊啊，夫人！
卧槽卧槽卧槽？？？？
好可爱
我看了!我是你的朋友!
太乙真人！！！！
哇好棒！
哈哈哈哈哈哈哈哈
餅餅！！！！
哈哈哈哈哈哈哈啊哈哈哈哈
哦哦哦哦哦哦哦我饼
申公公！
哈哈哈哈哈哈哈哈老师好可爱
饼最受怎么肥四
开头见了兄弟们！
来啦
申公公！
啊啊啊啊
啊啊啊啊啊我去我去！！！
啊啊啊啊啊啊啊我死了
下次你点个头就行了
你配吗？
25分钟前
申公公
23分钟前
啊啊啊啊啊啊啊啊啊啊吒儿！！！
你下次点个头就可以了
啊啊啊啊啊啊
半个小时前，热一热
哈哈哈这个好逗呀
快数钱！！！！
哈哈哈哈哈哈
给浩大打call！！！！
了不起了不起
好的好的好的！
强悍！
啊！！！！
申公公
小魔仙！
哈哈哈哈哈
爱你敖丙！！
哈哈哈哈哈哈哈哈哈
啊啊啊啊啊啊我去二刷我去我去
6666
挪吒之魔童降四！
喂
丙丙好温柔
前方高能！！！！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
啊啊啊吒吒！！
哈哈哈哈哈
好可爱
哈哈哈哈哈哈哈哈哈哈
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
啊啊啊啊我去我去
申公公
???
哈哈哈哈哈哈
申公公nice
好滴，我已经是你朋友了
绿老师来数钱啦
一小时前
绿老师数钱吗？
下回点头就行了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
申公公哈哈哈
魔仙
前排前排
殷夫人我可以！
哈哈哈哈哈哈哈哈哈
啊啊啊啊啊我再去一次！
啊啊啊啊啊啊啊啊
2小时前！
哈哈哈哈哈哈哈哈
好的朋友！
哈哈哈哈哈哈哈
哈哈哈哈哈卧槽了
啊啊啊啊啊啊啊啊啊啊啊啊啊啊
太会了
我去了！我是了！！！
哪吒~
哪托
哈哈哈哈哈
啊啊啊啊啊啊啊啊啊我的天哪qaq
啊啊啊啊我已经是朋友了！
啊啊啊啊敖丙
敖丙啊啊啊啊啊
饼饼！！
二刷了啊啊啊
好厉害
哇！
哈哈哈哈哈哈哈哈
哇⊙∀⊙！
真的太好看了
哈哈哈哈
申公豹是我的都别抢
叶问
哈哈哈哈哈哈哈哈
啊啊啊啊啊啊啊啊啊我一定要去啊啊啊啊啊
申公公，你怎么在这。
我们已经是朋友了
我可以！！！
不行，小爷我不答应，说好是我唯一的朋友的
好的
啊啊啊啊啊啊啊啊啊啊啊啊我这就买票！！！
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈xswl
藕饼！
？？？？
啊啊啊啊啊啊啊啊！
哇哈哈哈哈哈哈哈哈
想听龙王的
亿小口
厉害了
你的朋友！
233333
绿老师在线数钱辣
hhhhhhh
哈哈哈哈哈哈哈哈哈哈哈
丙丙❤️❤️超温柔
申公公哈哈哈哈
我们已经是朋友了！！！
哈哈哈哈哈哈哈哈哈哈哈好！！
巾帼不让须眉的夫人！！！！
我是我是我是啊啊啊啊啊啊啊
大神膜拜
哈哈哈哈哈哈哈哈哈哈哈哈哈
啊啊啊啊啊啊啊啊这个我可以
啊我天？！
哈哈哈哈哈哈哈哈哈哈哈
我是我是！
这个好厉害
敖丙啊啊
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
啊啊啊啊啊
粉上大叔了哈哈哈
哈哈哈申公公好
哈哈哈哈哈哈哈哈哈哈哈
啊啊啊啊啊啊我是敖丙的朋友了！
哈哈哈哈哈哈哈哈哈
绿老师
好好好我们是朋友了
