岁月磨平的棱角
被生活磨平棱角
坚持做自己喜欢的事情
派大星是大智若愚，看开了名利，每天都很快乐
所以有时候，我也不知道你为什么难过
最怕鬼畜突然的用情
再来亿遍
从小被朋友嫌弃的我，已经习惯了孤独
鬼畜动了情
别担心 我马上为你治疗
我从来都没想他
欢乐是如何消失的呢海绵宝宝
最怕鬼畜动了情
派大星不是没有头脑，是身体全是头脑
火钳刘明
才会自由自在 没有烦恼
最怕鬼畜动了情
坚持做自己喜欢的事情
天才生来孤独，派大星默默守着自己心灵的一方净土
坚持做自己喜欢的事情
因为天才生来孤独
泪目
这不是鬼畜，这是一首小情歌！
派大星这才是真的好基友啊
只因为，海绵宝宝最喜欢不是常人的朋友啊
鬼知道我看了多少遍
因为天才生来孤独
最怕鬼畜动了情
最怕鬼畜动了情
因为天才生来孤独
最怕已经做了所有该做的却仍是如法挽回
兄弟   你的烦恼还在吗！
磨平棱角
欢乐是如何消失的呢？海绵宝宝
坚持做自己喜欢的事情
又是一个镇站之宝
泪目
艺术就是派大星！
最怕鬼畜动了情
个人理解：鬼畜是为了讽刺现实生活
当章鱼哥拿起了他的竖笛，开始名利双收
虽然不知道它有什么好
补齐了自己的缺点，但同时也磨平了棱角，这就是人生啊，懂吗？
本局黄队战力已爆棚
生活磨平了菱角，   所以处事变得圆滑，为人变的八面玲珑
不要被世俗的眼光束缚，坚持做自己喜欢的事
押韵鬼才啊哈哈哈哈哈
从此海绵宝宝和派大星成为了永远的朋友
他只是羡慕我
因为天才生来孤独
最怕鬼畜动了情
黄队这个太强了
❤️是不是我没把你照顾好❤️
补齐了自己的缺点但是也磨平了棱角，这就是人生啊
最怕鬼畜动了情
章鱼哥的仇 就由我来报
艺术就是派大星
因为天才总是生来孤独
制作上黄绿差不多，黄队大概是赢一手sfz的共鸣吧
但是派大星只有海绵宝宝
因为天才总是生来孤独
最怕鬼畜动了情
生活磨掉了他的棱角，让他如此圆滑
我们已经渐行渐远了，一起笑的时光再也回不去了
真的感动
泪水逐渐溢出眼眶
❤️是不是我没把你照顾好❤️
章鱼哥的仇，就由我来报
哇我哭爆
艺术就是派大星
泪目哭了
自由自在没有烦恼
开始出人头地双收名利
美琴手办...
真实的泪目
最怕鬼畜动了情
被生活磨平棱角，处事圆滑
艺术就是派大星！！！
我们一起去找太阳落下的小岛
不是为了正常而活而是自己的梦想和喜欢的事
欢乐是如何消失的呢，海绵宝宝
黄绿大战诞生神作!
我是守夜冠军！！！
因为天才生来孤独
因为天才生来孤独
强
洛温大佬是大票仓啊！！
鬼知道我看了多少遍
最怕鬼畜动了情
当童年遇上现实
坚持做自己喜欢的事情
因为天才总是孤独
生活磨掉了他的棱角，让他如此圆滑
喵内，你怎么穿着能天使的衣服
我很像帮你，但是，你哪里不好呢？
怎么办？好像更抑郁了
最怕鬼畜动了情
我们一起去抓水母吧！派大星
这一次绿队输的不冤
一人之力拉回同一起点
虽然不知道它们有什么好
因为天才总是生来孤独
因为天才生来孤独
名场面
最怕鬼畜看出了感情
发现了我 看见了我 走近了我 拥向了我
炮姐手办
因为天才生来孤独!
艺术就是派大星
QAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQQAQ
台词出自海绵宝宝第68集，天才派大星
朋友，你还会会来吗？
只有我的规划里，要做的是nothing
还有作为方块的棱角
我是天才，我超嗨！
最怕鬼畜有文化
最怕鬼畜看出感情
友谊的真谛
最后那个镜头 海绵宝宝和欢乐一起消失
因为天才总是生来孤独
我只是在做海星该做的事情
艺术
这个真的洗脑
最怕鬼畜动了情
被岁月磨平了棱角
才会自由自在，没有烦恼
前后呼应
坚持做自己喜欢的事
每一个光鲜亮丽背后都失去了最初的自己
我要入坑了：你踏嘛感动了我
泪目
泪目
最怕鬼畜动了情!!!
我已经哭不动了
最可怕的是鬼蓄动了情
坚持做自己喜欢的事情
我终于可以和你一起追逐梦想，而你却消逝天涯边
因为天才生来孤独
因为天才生来孤独
因为天才生来孤独
棘皮动物的骄傲！
最怕鬼畜有文化
恭喜你发现镇站之宝！
这不是B站派大星该有的亚子
当我被生活磨平了棱角，是否还有一个派大星在身后
因为天才生来孤独
才会自由自在，没有烦恼
竖笛声配BGM好评
欢乐是如何消失的呢
我们谁不是被生活磨平了棱角呢
最怕鬼畜动了情
ail
天才派大星看透了一切
欢乐是如何消失的呢海绵宝宝
才会自由自在，没有烦恼
因为天才生来孤独
我没变，你却变了，我的朋友
因为天才生来孤独
生活磨灭了所有的棱角
坚持做自己喜欢的事情
坚持做自己喜欢的事情
被生活抹平了棱角
妈呀，有点感人
最怕鬼畜动了情！哭了哭了
欢乐是如何消失的呢，海绵宝宝
因为天才天生孤独
你是不是生病了？！
章鱼哥的仇就由我来报
大把青春值得你去奋斗
大把青春值得你去奋斗
坚持做自己喜欢的事情
坚持做自己喜欢的事情
我竟然想重新看海绵宝宝了
真的枯了
大把青春值得你去奋斗
但我们永远是好朋友
太厉害了
才会自由自在 没有烦恼
因为天才生来孤独
这是一个背叛！叛徒！叛徒！
我只是在做海星该做的事情
被生活磨平了棱角
仿佛人生
当所有人追逐想要的东西
章鱼哥的仇，就由我来报
艺术就是派大星
这是他们捡到大珍珠的那一集，好像是300+了
我没什么头脑
我没什么头脑
是不是我没把你照顾好
泪目
欢乐是如何消失的呢？海绵宝宝
大把青春值得你去奋斗
因为天才生来孤独
我想做个正常的平凡人
因为你是天才
你治愈了我   但也抛弃了我
海绵宝宝他们夸我不是常人
因为天才生来孤独
Nothing Nothing Nothing Nothing Nothing Nothing Nothing
第一次看到泪目的鬼畜
章鱼哥的仇，就由我来报
我只是在做海星该做的事情
因为天才生来孤独
这里竖笛调音我吹爆！！！
这里竖笛调音我吹爆！！！
这里竖笛调音我吹爆！！！
最怕鬼畜动真情
因为天才生来孤独
我为什么要打开这个视频，泪奔了
想起刚刚和唯一的朋友闹了矛盾，突然泪目
我只是做海星该做的事情
因为天才天生孤独
那一只水母
我哭了再来亿遍
我只是在做海星该做的事情
新一个镇站之宝
实际上，派大星真的是天才
我没什么头脑
才会自由自在 没有烦恼
是不是我没办照顾好
生活磨平了棱角
大把青春值得你去奋斗
再来亿倍！！！
生活不易
哭唧唧
每天一边防止抑郁
就怕鬼畜动真情
物理头大
这才是挚友
币给你就是，为什么要骗我眼泪
因为天才生来孤独
才会自由自在 没有烦恼
大把青春值得你去奋斗
老了，眼睛经常进卡车
想活成派大星的样子
因为天才生来孤独
被生活磨平了棱角
章鱼哥的仇就由我来报
章鱼哥的仇就由我来报
章鱼哥的仇就由我来报
章鱼哥的仇就由我来报
欢乐是如何消失的呢海绵宝宝
你被官方盯上了！
最怕鬼畜动了情
这抓水母是真的想哭
章鱼哥的仇就由我来报
在考驾照的我枯了
大把青春值得你去奋斗
派大星：我不傻，谁和你做朋友。
被生活磨灭的棱角啊
被生活磨灭的棱角啊
以动画片的形式上演最悲伤的故事
第亿遍
章鱼哥的仇就由我来报
这个会永远支持他的朋友，是派大星吗？
才会自由自在，没有烦恼
欢乐是如何消失的，海绵宝宝.
坚持做自己喜欢的事情！！！！
大把青春值得你去奋斗
大把青春值得你去奋斗！
大把青春值得你去奋斗！
章鱼哥的仇就由我来报
这是唯一看哭的鬼畜
说派大星没变的聪明珊瑚脑了解一下
这时候海绵宝宝还有一个洞
他是你最好的一辈子的好朋友，黄方块
他是你最好的一辈子的好朋友，黄方块
坚持做自己喜欢的事情
左边是天才，右边是疯子
他是你最好的一辈子的好朋友，黄方块
中流砥柱，力挽狂澜。
汝闻之，人言否
你看  这是人说的话吗？
正常的生活就是开开心心的活着
回答，正常是与世人一样
坚持做自己喜欢的事情
派大星多好啊
因为天才上来孤独
他唯一的朋友只有海绵宝宝
在来亿遍
汝闻之，人言否
坚持做自己喜欢的事情
就怕鬼畜动了情
呵呵
天才天生孤独
章鱼哥的仇就由我来报
最后派大星的字幕变成白色 说明派大星再次失去朋友 再次孤独
两边都很强，好难抉择的
因为天才生来孤独
那是被生活磨平的棱角
rua!
再来一遍又一遍
忍不住了，哭的稀里哗啦
再来一遍
欢乐是如何消失的呢
最怕鬼畜动了情
这，才是我永远无法成为的模样啊
应该叫海绵宝宝与派大星
那是天才
这里的竖笛调音我吹爆！！！！
现在才终于懂那集为什么会变得不是方块状了
因为天才生来孤独
我至少第十遍了，洛温太强了
虽然不知道 他们有什么好
欢乐是如何消失的呢
岁月磨去了棱角
岁月磨去了棱角
镇站之宝级别的鬼畜
孤高放荡的灵魂不需要羁绊之地。
这些“为什么”我从来都没想它
派大星是个天才！！！
这一组真是神仙打架
派大星是个天才
因为天才生来孤独
因为天才生来孤独
我超喜欢这里
艺术就是派大星
他是你一辈子的朋友，黄方块
因为天才生来孤独
物理头大
被生活磨平的棱角
欢乐是如何小时的呢，海绵宝宝
派大星你是天才
坚持做自己喜欢的事情
最怕鬼畜动了情
因为天才生来孤独
我想带你周游世界
高中午睡起来的铃声！！！
派大星已经做到了。海星无法做到的事。
真的有时候不知道你们为什么会去难过。
因为天才生来孤独
才会自由自在，没有烦恼
美人鱼战士和企鹅男孩
章鱼哥的仇，就由我来抱
因为天才生来孤独
大把青春值得你去奋斗
最怕鬼畜动了情
派大星是个天才
数来数去只有我是派大星
因为天才生来孤独
羡慕友情
虽然不知道  它们有什么好
姐姐睡觉睡觉
派大星是个天才
失去了作为方块的棱角
注意，这里首尾呼应了
被生活磨平了棱角
友谊！
因为天才生来孤独
欢乐是如何消失的呢？海绵宝宝
我们已经渐行渐远了
最怕鬼畜动了情诶
❤️是不是我没把你照顾好❤️
海绵宝宝，我终于考到了驾照
你恢复正常了吗 海绵宝宝
自己是个天才
没了棱角
因为自由自在，没有烦恼
来过
大把青春值得你去挥霍
汝听，人言否
才会自由自在，没有烦恼
光鲜亮丽的新生活
就怕鬼畜动了情
我想带你周游世界
欢乐是如何消失的呢？
欢乐是如何消失的呢？
欢乐是如何消失的呢？
欢乐是如何消失的呢？
欢乐是如何消失的呢？
欢乐是如何消失的呢？
因为你是天才啊
第一次发弹幕见证了一个镇站之宝的诞生！
那些所谓“正常的事”，你自己真的喜欢吗
我看了不止一遍了
笑笑咧咧的点开视频
数来数去，只有我是派大星
每天一遍
才会自由自在，没有烦恼
大把青春值得你去奋斗
再来亿遍
才会自由自在，没有烦恼
被生活磨平了棱角
直到有人发现了我，看见了我，拥向了我，走近了我，直到改变了我全部生活
骨灰盒
欢乐是如何消失的呢海绵宝宝？
欢乐是如何消失的呢海绵宝宝？
哈哈哈哈哈哈哈哈左边笑死我
开始出人头地双收名利
笑到前仰后合忘乎所以
派大星活出来的才是人生
这才几天啊
一起去找太阳落下的小岛
一起去找太阳落下的小岛
鬼知道我看了多少遍哭了多少遍了
是不是我没把你照顾好你才离开我
这保护壳真硬核
当所有人追逐他们想要的东西
坚持做自己喜欢的事情
为什么渐行渐远了呢，朋友
才会自由自在，没有烦恼
快乐是如何消失的呢
坚持做自己喜欢的事情
人言否
坚持做自己喜欢的事情
坚持做自己喜欢的事情
对不起，大爷，是这个人在珍惜你吗？
我们生来就是孤独，致敬b哥
那才是真正的人
章鱼哥的仇就由我来报
汝听，海绵言否？
对不起大爷，是这个人在珍惜你吗
欢乐是如何消失的呢？
为啥叫派大星，因为他是上天派下来陪主编的
只有我觉得派大星不简单吗，
当所有人追逐他们想要的东西
那个永远会支持他的朋友，是你吗派大星。
当所有人追逐他们想要的东西
坚持做自己喜欢的事情
欢乐是如何消失的呢海绵宝宝
才会自由自在没有烦恼
那是天才
才会自由自在，没有烦恼
被生活磨平棱角
快乐是如何消失的呢？
因为天才生来孤独
坚持做自己喜欢的事情
你听听，这是一块海绵说的话吗
大把青春值得你奋斗
坚持做自己喜欢的事情
对不起，大爷，是这个在珍惜你吗
你瞧瞧，这是海绵该说的话吗?
那不是正常人，是天才
常人就是派大星
因为天才生来孤独
