承包
你的名字
胰脏，玉子，你的名字，四月，等等等等
牛逼 优秀
真的好美
且藏欢喜且藏忧，为谁颜开为谁愁
我真的很想吧二次元和现实融为一体，但这怎么可能这可是现实啊
胰脏物语（大概）
什么时候我才可以拥有你，什么时候你才能做我的女朋友
求bgm?
求封面
不知道是喜欢人，还是喜欢感觉
硝子 我最最喜欢的女主之一♥
我也放弃了，太累了
从那时开始，每个四月都有你的谎言，我很开心
某个女孩某人又想了你一秒
做不了闺蜜啊！
诺克萨斯我喜欢你啊
我喜欢你，邹梦露，快十年了一直忘不掉你
夜空的烟花，你真的拥有过吗？也真的失去过吗？
执着的等待，却擦肩而过，未曾挽留。
bgm   最美的期待
月色真美一闪而过
四月谎五月天
自闭加一
哭，都给我哭
我每天都要说服自己几十遍，让自己别去喜欢你，然而见到你的那一刻，一切说服都失效了
从上面看
情不知所起，一往而深
不谈恋爱逼事没有
十年单身狗来听这歌的我是不是很滑稽。。。。。
我一个连个什么故事都没有的人还是不掺和了
我曾经有过期待
不甘心啊
轻音少女!K-ON!
轻音少女!K-ON!
弹幕？
一方想念，单方相思
雷姆老婆
再见啦，可能是再也不见了
我会好好学习的，但我再怎么奋斗也还是配不上你
都说我心中的良品，老了看不得
情不知所起，一往而情深
今天本来高高兴兴
《胰脏》！
靠，封面是我电脑壁纸
单纯的喜欢，只是喜欢！
学校里很多东西都会忘记，忘不了只有你
人间别久不成悲
当然是伸到炮筒里看
我要这硬币何用
谢谢你陪我的时间，青梅
你是我翘首以盼的望眼欲穿.
《我想吃掉你的胰脏》《烟花》《冰果》不过他们都有一个名字《jojo》
《我想吃掉你的胰脏》《烟花》《冰果》不过他们都有一个名字《jojo》
某和天下第一
我没有拥有过你，可心早已为你碎了无数次……
未曾拥有，15年入伍，19年改制，以后，就让她成为早已逝去梦吧
我啊，明明就没有喜欢过你，却偏偏绝不了啊！
声之形
我知道不该喜欢你，可我就是喜欢了，怎么办呢
声之形
月色真美！
你很好，只是我不配
韦靖涛你敢敢我还喜欢你啊
言叶之庭
那天没有陪你看的声之形…我还是在你离开后自己流着泪看完了...
九若，其实我一直对你有好感，我不知道那是不是喜欢，不过我愿意为你付出
真不甘心啊
我唯一遗憾的是只曾拥有过你的肉体
我想你
张梦梦，我好喜欢你的
愿你有一天能和重要之人重逢
wr我喜欢你 希望你心里还有我
我爱你
我有爱人，但是，我没有恋人
我拥抱着爱，从梦中醒来，执着的等待
一年了
离开也许是对的
还没拥有，就已经失去
声之形
喜欢
过了冲动的年纪，回首已经忘了爱你的样子
回来了
你结婚时，可以让我牵着你的手，把你送到他的身边么
属于你我的四月消失了
真的不甘心，曾经放你离开
强扭的瓜不甜，那就用拔的吧
再骗我一次吧熏，哪怕再一次就好！
我也会记得想你
我真的好喜欢你呢
你说过，我们见面以后可以到处去玩，然后结婚，结果到头来我根本就是没有得到过你
ztj你怎么就不要我了呢
老王，再见啦
愿你有一天能与你最重要的人相逢
我永远的鸟笼
木有石头门差评
哭了
ah   我也硬气了一次  真好
王敏我喜欢你啊
夏天又来了 只不过这次没有你
我好喜欢你，但不知道你是谁
对，她就是人民币！！！
我很爱你，聪聪，我们和好吧，行么
不甘心呢
有下辈子的话我想做个勇敢的男孩
我为什么要点进来啊啊
张楠，我还是很喜欢你，但是希望你和他好好的！
我是真的喜欢你呀!不要再愚弄我了QAQ
不用回来了，滚
阿伟死了
今天听到这个去年 和她在一起时候一直作为手机铃声的我  真TM难受
终将成为你！
我没想走遍千山万水，我只想看你一眼，然后道别。
艾拉
你们如果真的爱ta，就在ta面前告白ta啊。
赵钦  你看他的眼神 和我看你一模一样
京都牛逼
恋爱，恋，却不等于爱
就是，你不爱我罢了
嘿！好想你啊  
我可以一直无所谓，心里它一直掉眼泪
橘晶   恋如雨止
束杨，我还是很喜欢你
不甘心
奈何郎有情，妾无意啊
恋如雨止
我会记得 不会忘 会放下
杨润我依然爱你
杨培硕❤肖炳春
宝宝
无疾而终的爱情！！！啊啊啊，不甘心。
樱良好美
我们从小认识，但现在却像从未认识一样
宠你，爱你
我也一直喜欢着你的啊！你就是那么笨，连怎么开口都不会
能发弹幕了
不好意思，不谈恋爱所以无法感受...
我真的喜欢你
lyf   我喜欢你
我爱董佳琪
愿你终有一天能和你重要的人再次相遇
文馨悦，我喜欢你！
马佳，我真的不甘心
五个月了
爱你❤️
六年了，鼻涕虫啊
不甘心啊！！
这是最后一次了，以后也不会再见面了，冀佳琦
哈哈哈，不甘心，我真的不甘心
我从未拥有过你，却感觉每一刻都在失去你
马化腾我TM的爱你
青春已至尾声，还没遇见喜欢的人
单身狗万岁！！（破音）
言叶之庭
秒速五厘米
可塑性记忆
梁非凡，我要大声告诉你，我宣你！
只要能够爱你，做朋友又能如何呢？
我曾经拥有一切，却唯独失去你
银崽，ytt，我还是忘不掉你
愿你有一天能与你重要的人重逢
程子瑄，我要陪你一辈子！程子瑄，我要陪你一辈子！
我喜欢你，但我不相信爱情
失去你后。我的心也停留在那一刻了。。
我也喜欢过一个人好久了
追过千万番，却发现自己慢慢的已经到了该要创业的年纪。
不过遇见你的时候我还是很开心的
所以我想好好努力学习，一定阔以遇见的！！
我虽然未曾拥有过你，但是我的心里都是你
sys
对不起 是我没有坚持下去
Ich liebe dich
好想回到大一开学的时候，我不会再去喜欢你了
是那个丹阳啊
如果有真爱那么一定是蓝色
杨昕睿我月亮你！！！
wsy
对不起lyt
剩下这53天，请让我自私一次好吗
你还是走了
此生一入地下城，从此不爱任何人
巢唯妙我喜欢你
我承认自己对你动过心，但是现实里我们只能是陌生人
哦！
谢谢你，让我想起了她，我好开心，又好难过
xjy，我忘不了你啊！
我喜欢谁啊
左思琪我真的很喜欢你啊
对不起 我爱你 却再也说不出口了
如果真爱有颜色那么一定是蓝色
弹幕比作品还好看
WKR，若有相遇，我真得好想抱你一次，其实想起你我的眼泪就出来了
我也想在这里表白，但我更想把话放在心里
女孩的大胆，男孩的胆怯，真爱简直可笑……
张梦月我爱你，我会守护你一辈子的
老子莫得感情
刘青莹，我想大声告诉你，我喜欢你
幻想着有朝一日重逢
我爱你啊
lql 我放弃你了
张妍，我爱你(ღ♡‿♡ღ)
好想好想和你在一起
姜许 你会成为我第一个女朋友么
熊玟玟，我爱你。我会等你
连朋友都做不成，，，你好狠的心
熊玟玟，我爱你。我会等你
不想忘记，也不曾忘记
何晓幸，我还喜欢着你
算了，我不喜欢你了
梁维雅 我曾经那么喜欢过你
刘旋爱老虎油
我等了一个人等了很久，想等她记起我的那一刻，廖    算了叫什么不重要，我只想说我等着你的
赖美云我想听你的单曲啊
我喜欢你      唱  跳   rap
李先生
刘梓晴，我喜欢你，此生无悔！
钟徽，我喜欢你
曾品睿我喜欢你
比利我爱你
喜欢，谁都会。向喜欢的人说拜拜，才是真的成长！哈哈哈哈
刘慧，我会一直记得我们的点点滴滴，我从未拥有你，原谅对你的喜欢好吗？
刘海龙我真的好喜欢你啊啊啊！
不为衣锦还乡，何必半世流浪
徐小博 我喜欢你 但是你不懂我
等着吧白如雪 等着我追上你的脚步的那一天的到来
刘言在等我几年你一定在心里是最重要的如果你看见请等我
想，但，算了
以上均为兄妹认亲现场
单身贵族在此
林丝段，我要忘记你
我月亮你
我永远喜欢张迈！
不甘心有如何？呵呵！
郑秀雨
小班诶？
2019，希望找到一个喜欢的人
如果可以不受束缚单身一辈子也没什么不好
你不好，我也不好，那再见吧
李磊要多久才能再见一面啊啊啊啊啊啊啊！七年了，我好想你！
愿天下有情人终成兄妹
甜甜的恋爱什么时候能轮到我
我爱自己
如果还有机会在一起我一定不会放过你笨兔子
遗忘
李婷！老子还是爱你！
王烨，分手快乐
我连个喜欢的人都没有
和我一起守护全世界最好的坤坤
原来世界上这么多和我抱有同等遗憾的人
接下来要展示的是懦夫墙，欢迎观看
❤❤❤
张皓雲，  我爱你
5415201314
我却只能做个朋友小心翼翼接近你
UP辛苦了
祝这里的人都找到自己的真爱
好想你在我身边，李迦楠
没有喜欢的人＋1
失去她就好像失去了全世界，但我从来没有拥有过她
每个人都有个做不了情侣也舍不得让给别人的朋友
藤原书记真的好可爱啊
我是来吃饭的吗？
李银璇我想你再对我笑千千万万次！
谢广坤我也喜欢你
没有人可爱是有多可怜？
卢本伟可还行
小雯，我祝你幸福
我们互为路人
南江
人民币咱俩一定要一起走下去
真好，你们都有喜欢的人
我还是很喜欢你
有喜欢和期待真好
关弹幕啊兄弟们
不太想诅咒你们不过感觉发名字在这自我陶醉真的没有意思
我的筠筠I love you three thousand times
我拥有过你两次，同样我也失去过你两次
张军师，希望我们再也不见
表白过，失败了
对不起
LJ我知道我再也找不回你了。。。
人名币总有一天我拿你们开后宫
娜，昊想你
我   说不出口
祝天下有情人 终成兄妹（除了我哈哈）
刘晓冰，你还好吗，我们都别说谎
hs
对一个任和啊，我只是个她永不知道的过客
张又尹(ง •̀_•́)ง高考加油
自己一个人也挺好，至少不会伤害到谁。。。
我原做你的友人A
我连要想谁都不知道，可悲
四月是你的谎言
对不起
终将有一天，你会遇到那个 会陪你一直走下去的那个人。
玉婷，再见了，愿你遇到更好的那个他
我的那个她   你会出现吗
我真的希望我们是一辈子的朋友或(更亲密的关系)
你在哪里…
都想不起来你叫李婧了
"shaw,一直等你"
病入高黄
四月是你的谎言 我也会去遇见那一个你
声之形！
周雨微，你，还是我以前认识的那个豆子吗？
从未拥有，却哭的像条狗。
因为这些弹幕看的我一脸萌比
放弃世界放弃你，可能生命中只能和你是过客，
why
守护世界上最好的懒姜
龚婷最后我们还是已另一种那你是回来了呢
我有个梦
卢本伟  我不想和你做兄弟了
助在座的各位每天都开开心心的，得不到的注定得不到，想开点，各位
A
孙秋红啊，要好好的
wyq
流泪
我与她终究是两个世界的人
裴伟建，我们能开始吗？
四十天 就再也看不到你了啊 祖‘’
对啊小诺
猫再见了
