一堆人看戏
剪辑好评
up身材好好
莫名热血
为啥还是一级，你不会没答题吧
大佬很强！
贴心小姐姐给本体补漆23333
辛苦辛苦
呃。。
毅力可嘉
好羞耻啊
所以正妹干了什么？
加油
你倒是上山啊
结实的小肚子。
好累哈哈哈
你拿的是名匠铁锤吗
才知道是男的……
你不要过来啊！！！！
好励志哈哈哈
好羞耻
辛苦了
66666666666
QAQ
hhhhhh
加油！！
加油啊，感觉真的好累
加油
哈哈哈哈
掉漆了帮他喷漆啊
加油
6666，笑死我了
还要一个强者的发型
下次偷偷换个假锤，说不定就上去了
干巴爹
冲啊，妹子看着呐，不能怂!
80
火钳刘明
不表演铁锤砸大缸？
很热的
妈耶 还在
骑虎难下2333
好羞耻
勇毅可嘉
海东夫人 是你
群演23333
铁锤残疾人在线卖艺
很拼
应该带手套的
6666666666
可怜
励志
泪目
你需要剃个光头
wwwww
身残志坚
66666666
大佬
竟然是男的
超累的
腿不麻吗
腿麻吗
我还以为是送水，结果只是补漆，哈哈～
掘地求生
哈哈哈哈哈哈
卧槽，吓我一跳，是个男的呀
带手套。。
为毛感觉这个罐子再转。
(ง •̀_•́)ง
换个轻的缸
我也以为是送水哈哈哈哈哈
看封面以为是女的..
你可以躲在缸里滚下来
hhhhhh
不容易不容易
hhhhhhhh魔鬼正妹
尴尬死
小罗是你
司马缸砸光
在残疾人车位，笑了
刚刚莫名像CXK哈哈哈
傻纸
23333333
班尼福特勾住
哈哈哈哈
好心人啊
回家
腹肌要出来了，加油
我还以为是送饮料hhhhh
然后就摸蛇头滚下去了(滑稽)
男的？
补漆233333
哈哈哈哈哈哈   围观群众一脸懵逼
卧槽 男的?
怕不是个傻子吧( ･_･)ﾉ⌒●~*
为啥一定要转一圈，可以直接来回甩啊
6666
牛皮
辛苦了
哥，你要秃了哈哈哈哈哈哈哈哈哈
这缸不错
我以为是丢零钱的
身残志坚，在线卖艺
鸡宝
人家那个是镐啊
缸里加满水就更好了
一瞬间感觉好羞耻233333
上山罐子会掉
转发过来的
幸好有人扶住了，不然就常回家看看了
佩服佩服，是在下输了！
我以为是往壶里灌水的
司马光
2333
真的励志啊
666666666
哈哈哈哈哈
男的？？？？
你倒是爬山啊
为什么要转锤呢？？？不用转锤也能跳啊，游戏也一样
不就是硬币吗？我没有！
苦了你了
人彘
一夜回到解放前
太过沙雕，我喜欢
太强了
行为艺术
哎呀～好羞耻呢!
注入灵魂
自带3.5倍速
三连奉上
这么辛苦，3连了
长的挺好看怎么这么纱雕哈哈哈哈
是个狼灭
里面的腿是怎么放的
看着就好累啊
来都来了
逐渐适应
6666666
你可以的铁子
欢迎回家
肛裂了吗
6666666
可爱
小姐姐你声音好man
这个缸挺结实
摔倒了会滚吗
我好怕罐子碎了。
身材已经很不错了啊
有点燃
应该是台湾
不就是一个币吗
给你就是了
干巴蝶！
不应该是镐吗。。
云南白药膏
投币了，不容易
cosplay啊
能做完一件事狠了不起
买肉体这视频值得点赞
真像海东夫人唉
应该戴手套的
面目狰狞，太硬核了！！！
励志！
加油加油
注意安全
开花开花
怎么不上楼梯喃？至少上个楼梯。才行啊
表情逐渐狰狞
在这个大庭广众之下，真的佛了，拿去。
哈哈
台湾那边的是吗
加油加油
还差一个光头哈哈哈
不你没有
哈哈哈哈哈哈
台湾的up
还有光头
感动（画风突变）
这路面不被锤坏了吗
摸蛇头的你是魔鬼吧（笑cry）
这缸质量不错
这是在学校吗？？？？？
太羞耻了。。。。。
沙雕
好羞耻啊！
太羞耻了，如果是我的话我就想找个洞钻进去。，，
有个锤子
其实还要有缸里面有水。。
又好笑又心疼
这伤地板啊喂…
加油加油加油(ง •̀_•́)ง
你该剃秃头就强了
就冲这个，3连
2D转3D了
coser？
欢迎回家
是个狼人
好傻
丢钱的别跑
行为艺术的感觉
这岗结实~在哪买？
加油呀
加油加油
缸不破？
捕手hhhh
在里面加氦气好点
好痛啊
这根本不是在借铁锤的力吧
哈哈哈哈哈哈哈。 火钳刘明
上毒
xswl
我靠来真的啊
油漆没干吧
这样敲地砖会被城管抓
某路，快去医院…
破皮了?我的天啊，医生医生
哈哈哈哈哈哈
秀啊
笑死我了
2倍速舒服多了
过于沙雕
牛逼
行百里半九十啊
台湾腔
锻炼身体
路人：你TM居然不是残疾
没腿完个锤子
可惜不能一键100个硬币
110吗？这里有个我院的患者
有点肝
我敬你是条汉子
终点前再来个滚动回家
缸应该是塑料的
跑上去就可以把妹了
痴呆蔫傻 五行你占其四
还要没有头发
duang
进度条有点东西
难道这条路叫做山
不带手套，手都废了
罗玉凤
缸的质量真好
妹纸好评
好像还真的蛮正点哎
上楼梯试试
光头呢
司马光砸缸
喷一个惨字
你是妹妹还是哥哥？
加油加油
哈哈哈哈
hhh好傻啊
加油
我们工地抡大锤的哪个不带劳保手套
太励志了
缸裂~
卧槽男的
我这里3.5*2倍
虽然很沙雕，但是莫名觉得很燃很正能量
累
注意阳光方向
为无名山增高一厘米
海东大树
 我觉得你可以演许仙
破坏国家公共财产
为什么要甩锤。。
加油
牛人啊
提前自闭
没有光头就没有灵魂
你倒是爬山呢
是个狼火
又疯一个
你是司马缸？
可是你多了头发
疑似使用大锤恶意毁坏公共财产（道路），罚款500
狼灭！！！！
哭了
有种划船的感觉
(ง •̀_•́)ง
我哭了
我想去现场投个币～～～
cxk？
跟我一女同事张的好像
塑料缸？
好尴尬啊…
就这个正妹投币
你不累吗哥T▽T
看到这里一直鹅叫笑声
班尼福特  冲鸭
这头发......
帅个锤子啊
原来你是个男的
干巴爹
刚刚那个小姐姐走过去了
2333333
hhhhhh
魔物娘？（）
缸也是挺坚强的
很累
？？？
这缸质量可以的
肛裂了?
辛苦了
钢会不会有点大
辛苦啦
我觉得是头发的问题
喷个惨字的你别走233333
戴个手套应该会好些（…心疼
小姐姐好看
来爬上坡啊
男的女的
玩游戏走火入魔
2.0看是魔鬼
突然励志
2倍不错
^_^
卧槽好远
我以为送水
为什么一定要把锤子转个圈？
磕的身上都红了！三连都给我三连！！
是塑脂的缸 还好 
哈哈哈
让鹿晗来试试
牛逼牛逼
加油加油
双重BGM
不用爬山上个台阶就行
塑料的缸子吧
这叫伤？
说滚下去的，你是魔鬼吗？
好羞耻啊
啊啊啊啊啊啊啊啊
冲呀！
抡锤子握在柄头和锤头两处比较省力
燃起来了
哈哈哈哈哈哈
对不起虽然很励志但是哈哈哈哈哈哈哈
缸里头没有水，差评
还以为帮他喷药呕
斜坡而已，没人生难啦！
好累啊看起来
哈哈哈哈(ಡωಡ)hiahiahia
好，好累
好艰难
燃
看到第二个了
说实话蛮有意义的事情
80 80 80 80
劳资就要这样去医院！
为什么要一直问人家的性别，安静看视频不行吗？
不觉得这样…
哈哈哈哈哈哈
隔空传物
加油你是最棒的
 加油啊！
缸里放点水呗
该牵手了
这么秀的吗
好羞耻啊
非得让这么多人看着吗？感觉好羞耻哦
智残身坚才是吧，啊哈哈哈
欢迎回家
没硬币给个赞
够沙雕，配做我网友
长得挺好看的 但是是个小傻子哈哈哈哈哈哈
火钳刘明
投币干嘛？愣着啊
你里面没水不真实
牛逼！
常回家看看
2.0特好玩
太沙雕了吧
这瓷缸哪里买的
可怕的发际线
锤哥是没有腿的，他们是以为你也是残疾人
突然变成划船小游戏
如果不是封面我怎么能和在座的各位绅士相遇
草2333333
羞耻
加油
太励志了
心疼up
666
3d还行
沙雕啊
头发比我还多
极致沙雕
真的太沙雕了。笑死我了
羞耻
又疯一个
帮我叫一下城管
哈哈哈哈太沙雕了吧
哈滋噶西。。
卡哇伊
没啥意义，真的。就是好玩，而且很考验毅力
我湾的？
不痛是因为肾上腺素，一会就疼了，诶，心疼
加油～
肥嘟嘟小肚肚
然后表演司马光咂缸
为什么一定转一圈铁锤？
欢迎回家
☜☜☜妹子和别人跑了
加油啊啊啊啊啊。
前面觉得好笑 后面是真的励志啊
缸裂了？
哈哈哈2333333
心疼啊
笑容渐渐消失
？？？？？
绑个绷带啊…
看在up主这么痛苦的份上。给你一个硬币
这声a很还原
看的我好热血啊
2倍速更好看
为什么一定要转个圈圈呢233333
好热血!!
你没有光头诶
哈哈哈哈哈哈哈
加油啊
…
说好的爬山呢？
加油啊
小伙身残志坚
身残志坚
厉害了
火钳刘明
哈哈哈哈哈哈嗝
因为游戏里就是这样用的锤子
没你这么无聊好吧……
泪目
看什么还不快投币充电
二倍速食用更加
长的好看又沙雕，我的菜～
沙雕至尊
蔡徐坤
居然敢在这么多人的地方，服了
你上山看看
上天啊
没装水啊喂
身残志坚
因为游戏里是转圈圈的
过于沙雕
就不能拿个塑料锤
好羞耻啊
哈哈哈哈哈哈哈哈哈
我其实想看一夜回到解放前
正因为这样生活才精彩
哈哈哈哈嗝
像海东的你眼睛真好，xswl
这里都有来打厨？
因为游戏就是这么转的
求BGM
这是何苦呢你
只有你会
DEJ up主？
上个楼梯
不就是硬币吗，给了给了
火钳刘明
不是铁锹吗
坚持！！
有意思啊
加油加油
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我笑死了，好羞耻
劳保手套了解一下
不该用铁锤的
人彘
硬币给你还不行吗
哈哈哈哈哈哈哈哈哈哈
如果下次还做抹上点灰把！在手上。
丢零钱的你是要笑死我嘛
绝望
海 东 大 树
人才
真有点像海东夫人
太励志了
这缸演得好
发际线感人，哈哈哈
我常常为自己不够纱雕，而感到自卑。。。
开2倍有惊喜
因为游戏里是这样的啊
又羞耻又累炸
为啥要轮一圈
哈哈哈哈哈哈哈哈哈哈
？？？
不对，你腿不麻吗？
哈哈哈哈哈哈哈哈哈哈好沙雕啊
肛裂
肛裂
除了光头就是高度还原了
勇者
风格很好哈哈哈
没人报警？
好多人看
游戏害人
玩个锤子
加油
竟然不会摔
就差脱衣服了  滑稽
张艺源
没事，锻炼身体
233333
硬核cos
到达山前 卒
真怕你把相机砸了(瑟瑟发抖
......好羞耻啊为什么要在路上
因为游戏里是轮一圈
锤子不转圈圈不行吗
