点赞啦~就行啦~
酷´_>`！！！！！！！！！！！！
字错了
帅
战术错字
烃的衍生物瞩目
我先来，不务正业
这段爆炸
心疼笔油
好厉害
66666
同款字帖
经常干这事
觉得不要手翻，照片拼接可能会流畅一点
教材帮
我要去找化学老师打小报告了
同款教材帮
踩点！！
烃的衍生物23333
3982
好熟悉的书
woc
暂停看题
开倍速很爽
不是，换个面，你这个就很强了吧
必修二化学
有点帅啊
帅哦
被学习耽误的画家
看得出，你很讨厌化学233
那是理综
教材帮
Trans-AM
真的很厉害啊
阿尔法突袭？
作写错了
建议下次要换个字典
教材帮，优秀
教材帮？？？2333
我也是用这个。。
采点好评
教材帮，，，
教材帮我去
暗示没书画了
你这个正确利用教材帮的男人。
服气
他在等BGM
作
化学选修额
教材帮好评
还变色6666666666
逐帧动画
选项五这是
66666
牛逼
666666
棉花糖
可以啊
前面说必修2的，这明明是选修5
打制作
烃的衍生物
6666666666666666
1.5极度舒适
还会放大kkkk
所以，你刚刚用了很多笔油
选修5教材帮
好厉害
苯环
我懂，三连
经费曝炸
被耽误的小画家
火柴人打篮球 唱跳rap
6666
教材帮
你是看不起我对二甲苯吗？？？
js?
选修5
对焦讲究
啊，这书真厚
要爆了
要是用红笔画特效，黑笔画实体可能效果更好
化学选修五
bgm炸出（老棉白
bgm炸出！！（老棉白
牛逼
左边对波赢了！
为什么你们的书跟我们不一样
666666666
教材帮
yes～yes～yes～
教材帮哈哈哈哈
6666
硬币比赞还多？
过肩摔2333
同款衡水字帖
老棉的风光闪！
up好强啊
嗯，教材帮
貌似是化学必修2
同款字贴，英语的快乐
封面教材帮
BGM：龙卷闪
不错不错
男生的快乐其实很简单
有机化学
2.0倍速很爽
6666
666
我的语文全解啊
哈哈哈哈哈哈哈
当年高中买了好多教材帮
奥巴马的Q
666
用左手写的字
flashflunk
字体感人
伞剑？
封面教材帮
同款字帖？？？
教材帮好评
教材帮！
化学必修2
姬子？！是你吗
化学选修有机化学基础，教材帮。。
伞皇
66666
化学选修5
教材帮化学选修五
有机化学还行
同款练字！！！
666666666666666666666666666666666
教材帮是让你干这的吗，(ಡωಡ)
666
高等数学教科书要不要，足够你编部剧了
尾兽玉......右下角
二倍非常爽！
马上就高考了，好好看看书吧
66666
刀光鸽
妈见打
2倍新世界
up只会有剑的打没剑的嗷
必须2倍，贼好看
666
9666666
选修五
同款教材帮
选修五？
师见打
2.0可以
我们有同款字帖，我的是语文……
up得字可真……独具一格hhh
教材帮好评
妈耶我跪了
厉害了
你怎么都是白的
1.5巨爽
膜拜大佬
教材帮……
666666
帅爆
帅啊啊啊啊
带制作
确认过眼神是有机化学
