好
哇
一个人，何止一个人！
致敬
诶？怎么只有四个弹幕？
6个弹幕？？？
弹幕呢？
这离谱的弹幕量
咋弹幕变这么少了
弹幕？8个？
致敬
只有18条弹幕
弹幕？
怎么不行！
能！
致敬
？？？
？
为什么没人说话
诸君，且听龙吟
弹幕呢？
行
弹幕怎么都没了
这两个字幕太有感觉了！！！
肯定行
谢谢阿弥！
承报空屏
梦的起点
承包空屏
致敬
行
这里的字体效果好好看
真的很不容易，致敬
致敬
彳亍！怎么不彳亍？
等到了
我们的征途是星辰大海！！！
爷爷，你关注的up主更新了
行
给大佬递茶
看到都晕了
！！
保留样本是指保留大小便样本吗哈哈哈(纯好奇
能！
yyds！
阿弥的剪辑越来越棒了！
怎么不行啊！！！
四星
阿弥太棒啦！不愧是你
G值
奉献了太多太多
彳亍
训练过程就一个字难
致敬
行
火钳刘明
致敬
行!
来了！
报国！报国！！报国！！！
鲜橙多
钱总真乃神人也
牛逼
1000+正在观看
必须行！
怎么不行啊！！！
杨哥从你嘴里说出来也太平淡了吧。。
晕了
你已经是皇牌宇航员了
上课了！
国足出来回答一下时代的，期盼！
先三连再看
致敬
强者发型
终于等到了！
行
必须行
行
昨天？来晚了
这个后期简直了
阿弥好棒，等待值得
skr
skr
先赞再看
太厉害了！致敬！！
阿弥更视频啦！！
钱老千古！
铃声一出，气氛就变了
素材量爆棚
一样的
致敬！
行
行！！
钱老千古
朱广权狂喜
欢迎报考哈尔滨工业大学
致敬
全体起立
肉肉脸
中国牛逼
致敬！
行！
中国人从嫦娥开始做航天梦的。
从人类的历史来看，我们的研发到进入太空的时间真的短，奇迹！
必须行！
行
更新了！！！！！！！！！！！！！
致敬！！
行！
行！！！
行
致敬
终于更了
嘿嘿号
飞天梦，冲冲冲
阿弥的视频拓宽了我的眼界 从知道到进一步了解了这些伟大的人
.0
点赞
YEQHU8I
我完美符合一切条件
一定行
行
致敬
致敬
钱老好
太厉害了！！！
行！！！
致敬钱老！
三连三连
咋还胖了呢2333
哇塞
失重很恐怖
啊啊啊啊啊啊可算更新啦
我和我的祖国bgm
致敬
深海模式
致敬
致敬
终于更新啦
行
阿弥谢谢你
钱学森弹道独步时代!
致敬！
行！
行！
千古飞天梦，何日上九天
跟我们学校有点像……
钱老
开头2001太空漫游！！！！！！
行
果然是爱的up主
阿弥总是能把尘封的记忆，再次很细腻呈现给我们
我天 脸都变形了
一点也不诗意
行
先呼吸困难，灰视，然后黑视，意识丧失，如果缺血时间长就会危及生命
终于
发福了
我记得空间站航天服面罩好像还是镀金的
当时国家穷，飞行员训练少，杨利伟的1200小时足以说明他的厉害
行！
行
欢迎报考哈尔滨工业大学
20年……
必须的
哇！我有！我姥爷留下的那个新闻！不知道是新闻还是一页书上的，很旧了不过就只有一张
行！
